GEOID20,District
011150402091000,3
011150402091001,3
011150402091002,3
011150402091012,3
011150402091013,3
011150402091014,3
011150402091016,3
011150402091017,3
011150402091026,3
011150402091027,3
011150402091028,3
011150402091029,3
011150402101000,3
011150402101001,3
011150402101002,3
011150402101003,3
011150402101004,3
011150402101005,3
011150402101006,3
011150402101007,3
011150402101008,3
011150402101009,3
011150402101010,3
011150402101011,3
011150402101012,3
011150402101013,3
011150402101014,3
011150402101015,3
011150402101016,3
011150402101017,3
011150402101018,3
011150402101019,3
011150402101020,3
011150402101021,3
011150402101022,3
011150402101023,3
011150402101024,3
011150402101025,3
011150402101026,3
011150402102005,3
011150402102006,3
011150402102007,3
011150402102008,3
011150402102009,3
011150402102010,3
011150402102011,3
011150402102012,3
011150402102013,3
011150402102014,3
011150402102015,3
011150402102016,3
011150402102017,3
011150402102018,3
011150402102019,3
011150402102020,3
011150402102021,3
011150402102022,3
011150402102023,3
011150402102024,3
011150402102025,3
011150402102026,3
011150402102027,3
011150402102028,3
011150402102029,3
011150402102030,3
011150402102031,3
011150402102032,3
011150402102033,3
011150402102034,3
011150402102035,3
011150402102036,3
011150402102037,3
011150402102038,3
011150402102039,3
011150402102040,3
011150402102041,3
011150402102042,3
011150402102043,3
011150402102044,3
011150402102045,3
011150402103000,3
011150402103001,3
011150402103002,3
011150402103003,3
011150402103004,3
011150402103005,3
011150402103006,3
011150402103007,3
011150402103008,3
011150402103009,3
011150402103010,3
011150402103011,3
011150402103012,3
011150402103013,3
011150402103014,3
011150402103015,3
011150402103016,3
011150402103017,3
011150402103018,3
011150402103019,3
011150402103020,3
011150402103021,3
011150402103022,3
011150402103023,3
011150402103024,3
011150402103025,3
011150402103026,3
011150402103027,3
011150402103028,3
011150402112021,3
011150402112022,3
011150402113000,3
011150402113001,3
011150402113002,3
011150402113003,3
011150402113004,3
011150402113005,3
011150402113006,3
011150402113007,3
011150402113008,3
011150402113009,3
011150402113010,3
011150402113011,3
011150402113012,3
011150402113013,3
011150402113014,3
011150402113015,3
011150402113016,3
011150402113017,3
011150402113018,3
011150402113019,3
011150402113020,3
011150402113021,3
011150402113022,3
011150402113023,3
011150402113024,3
011150402113025,3
011150402113026,3
011150402113027,3
011150402121000,3
011150402121001,3
011150402121002,3
011150402121003,3
011150402121010,3
011150402121013,3
011150402121014,3
011150402121017,3
011150402121027,3
011150402121028,3
011150402121029,3
011150402121030,3
011150402122005,3
011150402122006,3
011150402062010,3
011150402062011,3
011150402062012,3
011150402062013,3
011150402062014,3
011150402062019,3
011150402062020,3
011150402062021,3
011150402062022,3
011150402062023,3
011150402062024,3
011150402062025,3
011150402062027,3
011150402062041,3
011150402062042,3
011150402062043,3
011150402062044,3
011150402062045,3
011150402062049,3
011150402062050,3
011150402062051,3
011150402071022,3
011150402071023,3
011150402071024,3
011150402071026,3
011150402071027,3
011150402071028,3
011150402071029,3
011150402071030,3
011150402071031,3
011150402071032,3
011150402071033,3
011150402071034,3
011150402071035,3
011150402071036,3
011150402071037,3
011150402071038,3
011150402071039,3
011150402071040,3
011150402071041,3
011150402071042,3
011150402071043,3
011150402071044,3
011150402071045,3
011150402071046,3
011150402071047,3
011150402071048,3
011150402071049,3
011150402071050,3
011150402071051,3
011150402071052,3
011150402071053,3
011150402071054,3
011150402071055,3
011150402071056,3
011150402072012,3
011150402072013,3
011150402072029,3
011150402072030,3
011150402072031,3
011150402072032,3
011150402072033,3
011150402072038,3
011150402072039,3
011150402072040,3
011150402072041,3
011150402072044,3
011150402072045,3
011150402072046,3
011150402072047,3
011150402081023,3
011150402081024,3
011150402081025,3
011150402081026,3
011150402081027,3
011150402081028,3
011150402081029,3
011150402081030,3
011150402081031,3
011150402081032,3
011150402081033,3
011150402081034,3
011150402081035,3
011150402082000,3
011150402082001,3
011150402082002,3
011150402082009,3
011150402082010,3
011150402082011,3
011150402082012,3
011150402082013,3
011150402082014,3
011150402082015,3
011150402082016,3
011150402082017,3
011150402082018,3
011150402082019,3
011150402082020,3
011150402082021,3
011150402082022,3
011150402082023,3
011150402082024,3
011150402082025,3
011150402082026,3
011150402082027,3
011150402082028,3
011150402082029,3
011150402082030,3
011150402082031,3
011150402082032,3
011150402082033,3
011150402082034,3
011150402082035,3
011150402082036,3
011150402082037,3
011150402082038,3
011150402082039,3
011150402091003,3
011150402091004,3
011150402091005,3
011150402091006,3
011150402091007,3
011150402091008,3
011150402091009,3
011150402091010,3
011150402091011,3
011150402091018,3
011150402091019,3
011150402091020,3
011150402092000,3
011150402092001,3
011150402092002,3
011150402092003,3
011150402092004,3
011150402092005,3
011150402092006,3
011150402092007,3
011150402092008,3
011150402092009,3
011150402092010,3
011150402092011,3
011150402092012,3
011150402092013,3
011150402092014,3
011150402092015,3
011150402092016,3
011150402092017,3
011150402092030,3
011150402092031,3
011150402092032,3
011150402092033,3
011150402092034,3
011150402092035,3
011150402092036,3
011150402092058,3
011150402092060,3
011150402092064,3
011150402111000,3
011150402111001,3
011150402111002,3
011150402111003,3
011150402111004,3
011150402111005,3
011150402111006,3
011150402111007,3
011150402111008,3
011150402111009,3
011150402111010,3
011150402111011,3
011150402111012,3
011150402111013,3
011150402111014,3
011150402111015,3
011150402111016,3
011150402111017,3
011150402111018,3
011150402111019,3
011150402111020,3
011150402111021,3
011150402111022,3
011150402111023,3
011150402111024,3
011150402111025,3
011150402111026,3
011150402111027,3
011150402111028,3
011150402111029,3
011150402111030,3
011150402111031,3
011150402111032,3
011150402111033,3
011150402111034,3
011150402111035,3
011150402111036,3
011150402111037,3
011150402111038,3
011150402111039,3
011150402111040,3
011150402111041,3
011150402111042,3
011150402111043,3
011150402111044,3
011150402111045,3
011150402111046,3
011150402111047,3
011150402111048,3
011150402111049,3
011150402111050,3
011150402111051,3
011150402112002,3
011150402112003,3
011150402112004,3
011150402112005,3
011150402112006,3
011150402112007,3
011150402112008,3
011150402112009,3
011150402112010,3
011150402112011,3
011150402112012,3
011150402112013,3
011150402112014,3
011150402112015,3
011150402112016,3
011150402112017,3
011150402112018,3
011150402112019,3
011150402112020,3
011150402061000,3
011150402061001,3
011150402061002,3
011150402061003,3
011150402061004,3
011150402061005,3
011150402061006,3
011150402061007,3
011150402061008,3
011150402061009,3
011150402061010,3
011150402061011,3
011150402061012,3
011150402061013,3
011150402061014,3
011150402061015,3
011150402061016,3
011150402061017,3
011150402061018,3
011150402061019,3
011150402061020,3
011150402061021,3
011150402061022,3
011150402061023,3
011150402061024,3
011150402061025,3
011150402061026,3
011150402061027,3
011150402061028,3
011150402061029,3
011150402061030,3
011150402061031,3
011150402061032,3
011150402061033,3
011150402061034,3
011150402061035,3
011150402061036,3
011150402061037,3
011150402061038,3
011150402061039,3
011150402061040,3
011150402061041,3
011150402061042,3
011150402062015,3
011150402062016,3
011150402062017,3
011150402062018,3
