GEOID20,District
051430104051004,1
051430104051012,1
051430104051013,1
051430104051014,1
051430104051015,1
051430104051016,1
051430104051017,1
051430104051021,1
051430104052010,1
051430104052011,1
051430104052012,1
051430104052013,1
051430104052017,1
051430104052018,1
051430104052019,1
051430104052020,1
051430104052021,1
051430104052022,1
051430104052023,1
051430104052024,1
051430104052025,1
051430104052026,1
051430104052027,1
051430104052028,1
051430105111007,1
051430105111008,1
051430105111009,1
051430105111018,1
051430105111019,1
051430105111020,1
051430105111021,1
051430105111022,1
051430105111028,1
051430105111029,1
051430105111030,1
051430105111031,1
051430105111032,1
051430105111033,1
051430105111034,1
051430105111035,1
051430105111036,1
051430105111037,1
051430105111038,1
051430105111039,1
051430105111040,1
051430105111041,1
051430105112007,1
051430105112014,1
051430105112015,1
051430105112016,1
051430105112017,1
051430105112018,1
051430105112019,1
051430105112020,1
051430105112021,1
051430105112023,1
051430105112024,1
051430105112025,1
051430105112028,1
051430105112053,1
051430105112054,1
051430105112055,1
051430105112056,1
051430105112058,1
051430105112062,1
051430105112065,1
051430105112066,1
051430105112067,1
051430105112070,1
051430105112073,1
051430101081005,1
051430101081018,1
051430101081020,1
051430101081022,1
051430101081023,1
051430101081037,1
051430101081038,1
051430101081039,1
051430101081041,1
051430101081042,1
051430101081043,1
051430101081044,1
051430101081045,1
051430101141000,1
051430101141001,1
051430101141002,1
051430101141003,1
051430101141004,1
051430101141005,1
051430101141006,1
051430101141007,1
051430101141008,1
051430101141011,1
051430101141012,1
051430101141013,1
051430101141014,1
051430101141022,1
051430101142000,1
051430101142001,1
051430101142002,1
051430101142003,1
051430101142004,1
051430101142005,1
051430101142006,1
051430101142007,1
051430101142008,1
051430101142009,1
051430101142010,1
051430101142011,1
051430101142012,1
051430101142013,1
051430101142017,1
051430101142018,1
051430101142019,1
051430101142020,1
051430101142021,1
051430101142022,1
051430101142023,1
051430101142024,1
051430101142025,1
051430101142026,1
051430101142027,1
051430101142028,1
051430101142032,1
051430101142033,1
051430101142034,1
051430101142035,1
051430103034012,1
051430103034013,1
051430103034015,1
051430103034016,1
051430103051009,1
051430103051010,1
051430105112045,1
051430105112046,1
051430105112047,1
051430105112048,1
051430105112049,1
051430105112052,1
051430107051000,1
051430107051001,1
051430107051002,1
051430107051003,1
051430107051004,1
051430107051005,1
051430107051006,1
051430107051007,1
051430107051008,1
051430107051009,1
051430107051010,1
051430107051011,1
051430107051012,1
051430107051013,1
051430107051014,1
051430107051015,1
051430107051016,1
051430107052000,1
051430107052001,1
051430107052002,1
051430107052003,1
051430107052004,1
051430107052005,1
051430107052006,1
051430107052007,1
051430107053006,1
051430107053007,1
051430107053008,1
051430107053009,1
051430107053012,1
051430107053013,1
051430107053014,1
051430107053015,1
051430107053016,1
051430107053017,1
051430107053018,1
051430107053019,1
051430107053020,1
051430107053021,1
051430107053022,1
051430107053023,1
051430107053024,1
051430107053025,1
051430107053026,1
051430107053027,1
051430107053028,1
051430107053029,1
051430107053030,1
051430105012068,1
051430105171000,1
051430105171001,1
051430105171002,1
051430105171003,1
051430105171004,1
051430105171005,1
051430105171006,1
051430105171007,1
051430105171008,1
051430105171009,1
051430105171010,1
051430105171011,1
051430105171012,1
051430105171013,1
051430105171014,1
051430105171015,1
051430105171016,1
051430105171024,1
051430105171025,1
051430105171026,1
051430105171027,1
051430105171038,1
051430105171039,1
051430105172004,1
051430105172005,1
051430105172006,1
051430105172008,1
051430105172009,1
051430105172010,1
051430105172011,1
051430105172012,1
051430105172013,1
051430105172015,1
051430105172016,1
051430105172017,1
051430105172018,1
051430105172019,1
051430105172020,1
051430105172021,1
051430105172030,1
051430105172031,1
051430105172032,1
051430105172033,1
051430105172034,1
051430105172035,1
051430105172036,1
051430105172038,1
051430105172040,1
051430105172041,1
051430105172042,1
051430105172043,1
051430105172044,1
051430105172045,1
051430105172046,1
051430105172047,1
051430105172048,1
051430105172049,1
051430105172050,1
051430105172051,1
051430105172052,1
051430105112022,1
051430105112027,1
051430105112064,1
051430105112075,1
051430105112076,1
051430105112077,1
051430105112078,1
051430105112079,1
051430105171037,1
051430106021001,1
051430106021002,1
051430106021003,1
051430106021004,1
051430106021005,1
051430106021006,1
051430106021007,1
051430106021008,1
051430106022000,1
051430106022001,1
051430106022002,1
051430106022003,1
051430106022004,1
051430106022005,1
051430106022006,1
051430106022007,1
051430106022008,1
051430106022009,1
051430106022010,1
051430106022011,1
051430106022012,1
051430106022013,1
051430106023000,1
051430106023001,1
051430106023002,1
051430106023003,1
051430106023004,1
051430106023005,1
051430106023006,1
051430106023007,1
051430106023008,1
051430106023009,1
051430106023010,1
051430106023011,1
051430106023012,1
051430106023013,1
051430106023014,1
051430106023015,1
051430106023016,1
051430106023017,1
051430101071000,1
051430101071001,1
051430101071002,1
051430101071003,1
051430101071004,1
051430101071005,1
051430101071006,1
051430101071007,1
051430101071008,1
051430101071009,1
051430101071010,1
051430101071011,1
051430101071012,1
051430101071013,1
051430101071014,1
051430101071015,1
051430101151000,1
051430101151001,1
051430101151002,1
051430101151003,1
051430101151004,1
051430101151005,1
051430101151006,1
051430101151007,1
051430101151008,1
051430101151009,1
051430101151010,1
051430101151011,1
051430101151012,1
051430101152000,1
051430101152001,1
051430101152002,1
051430101152003,1
051430101152004,1
051430101152005,1
051430101152006,1
051430101152007,1
051430101152008,1
051430101152009,1
051430101152010,1
051430101152011,1
051430101152012,1
051430107061000,1
051430107061001,1
051430107061002,1
051430107061003,1
051430107061004,1
051430107061005,1
051430107061006,1
051430107061007,1
051430107061008,1
051430107061009,1
051430107061010,1
051430107061011,1
051430107061012,1
051430107061013,1
051430107061016,1
051430105112026,1
051430105112059,1
051430105112060,1
051430105112061,1
051430107031000,1
051430107031001,1
051430107031002,1
051430107031003,1
051430107031004,1
051430107031005,1
051430107031006,1
051430107031007,1
051430107031008,1
051430107031009,1
051430107031010,1
051430107031011,1
051430107031012,1
051430107031013,1
051430107031014,1
051430107031015,1
051430107031016,1
051430107031017,1
051430107031018,1
051430107031019,1
051430107031020,1
051430107031021,1
051430107031022,1
051430107031023,1
051430107031024,1
051430107032000,1
051430107032001,1
051430107032002,1
051430107032003,1
051430107041000,1
051430107041001,1
051430107041002,1
051430107041003,1
051430107041004,1
051430107041007,1
051430104051001,1
051430104051002,1
051430104051003,1
051430104051005,1
051430104051006,1
051430104051007,1
051430104051008,1
051430104051009,1
051430104051010,1
051430104051011,1
051430101072000,1
051430101072001,1
051430101072002,1
051430101072003,1
051430101072004,1
051430101072005,1
051430101072006,1
051430101072007,1
051430101072008,1
051430101072009,1
051430101072010,1
051430101072011,1
051430101082013,1
051430101153002,1
051430101153003,1
051430101153004,1
051430101153005,1
051430101153006,1
051430101153007,1
051430101153008,1
051430101153009,1
051430101153010,1
051430101153011,1
051430101153012,1
051430101153013,1
051430101153014,1
051430104051019,1
051430104051020,1
051430105112000,1
051430105112001,1
051430105112002,1
051430105112003,1
051430105112004,1
051430105112005,1
051430105112006,1
051430105112008,1
051430105112009,1
051430105112010,1
051430105112011,1
051430105112012,1
051430105112013,1
051430105112036,1
051430105112037,1
051430105112038,1
051430105112039,1
051430105112040,1
051430105112041,1
051430105112042,1
051430105112043,1
051430105112044,1
051430105112050,1
051430105112051,1
051430105112057,1
051430107053000,1
051430107053001,1
051430107053002,1
051430107053003,1
051430107053004,1
051430107053005,1
051430107053010,1
051430107053011,1
051430101073000,1
051430101073001,1
051430101073002,1
051430101073003,1
051430101073004,1
051430101073005,1
051430101073006,1
051430101073007,1
051430101073008,1
051430101073009,1
051430101073010,1
051430101073011,1
051430101073012,1
051430101073013,1
051430101073014,1
051430101073015,1
051430101073016,1
051430101073017,1
051430101073018,1
051430101073019,1
051430101073020,1
051430101073021,1
051430101073022,1
051430101073023,1
051430101073024,1
051430101073025,1
051430101073026,1
051430101073027,1
051430101073028,1
051430101073029,1
051430101073030,1
051430101073031,1
051430101073032,1
051430105112029,1
051430105112030,1
051430105112031,1
051430105112032,1
051430105112033,1
051430105112034,1
051430105112035,1
051430101081050,1
051430101081051,1
051430101081052,1
051430101081053,1
051430101081054,1
051430101081055,1
051430101081056,1
051430101082002,1
051430101082003,1
051430101141009,1
051430101141010,1
051430101141015,1
051430101141016,1
051430101141017,1
051430101141018,1
051430101141019,1
051430101141020,1
051430101141021,1
