GEOID20,District
050674802002025,1
050674802002026,1
050674804011088,1
050674804011094,1
050674804011097,1
050674804011098,1
050674804011099,1
050674804011100,1
050674804011102,1
050674804011103,1
050674804011104,1
050674804011140,1
050674804011141,1
050674804011203,1
050674804011204,1
050674804011205,1
050674804011206,1
050674804011207,1
050674804011208,1
050674804011209,1
050674804011210,1
050674804011211,1
050674804011212,1
050674804011213,1
050674804011214,1
050674804011215,1
050674804011216,1
050674804011217,1
050674804011218,1
050674804011219,1
050674804011220,1
050674804011227,1
050674801001023,1
050674801001024,1
050674801001025,1
050674801001039,1
050674801001040,1
050674801001041,1
050674801001042,1
050674801001043,1
050674801001044,1
050674801001045,1
050674801001046,1
050674801001047,1
050674801001048,1
050674801001049,1
050674801001050,1
050674801001111,1
050674801001112,1
050674801001113,1
050674801001114,1
050674801001115,1
050674801001116,1
050674801001117,1
050674801001118,1
050674801001119,1
050674801001120,1
050674801001126,1
050674801001127,1
050674801001132,1
050674801001177,1
050674801001178,1
051239601003040,1
051239601003041,1
051239601003042,1
051239601003043,1
051239601003044,1
051239601003045,1
051239601003046,1
051239601003047,1
051239601003048,1
051239601003049,1
051239601003050,1
051239601003091,1
051239601003092,1
051239601003093,1
051239601003101,1
051239601003102,1
051239601003103,1
051239601003104,1
051239601003105,1
051239601003106,1
051239601003107,1
051239601003108,1
051239601003109,1
051239601003110,1
051239601003111,1
051239601003112,1
051239601003113,1
051239601003140,1
051239601003141,1
051239601003142,1
051239601003143,1
051239601003144,1
051239601003145,1
051239601003146,1
051239601003147,1
051239601003148,1
051239601003149,1
051239601003151,1
051239601003154,1
051239601003156,1
051239601003157,1
051239601003175,1
051239601003176,1
051239601003177,1
051239601003233,1
051239602021007,1
051239602021008,1
051239602021009,1
051239602021028,1
051239602021051,1
051239602021052,1
051239602021053,1
050674803003054,1
050674803003055,1
050674803003061,1
050674803003062,1
050674803003067,1
050674804011015,1
050674804011018,1
050674804011019,1
050674804011020,1
050674804011029,1
050674804011030,1
050674804011031,1
050674804011032,1
050674804011033,1
050674804011035,1
050674804011036,1
050674804011235,1
050799606001000,1
050799606001001,1
050799606001002,1
050799606001003,1
050799606001004,1
050799606001005,1
050799606001006,1
050799606001007,1
050799606001008,1
050799606001009,1
050799606001010,1
050799606001011,1
050799606001012,1
050799606001013,1
050799606001014,1
050799606001015,1
050799606001016,1
050799606001017,1
050799606001018,1
050799606001019,1
050799606001022,1
050799606001023,1
050799606001024,1
050799606001025,1
050799606001026,1
050799606001027,1
050799606001032,1
050799606001033,1
050799606001034,1
050799606001035,1
050799606001036,1
050799606001037,1
050799606001038,1
050799606001045,1
050799606001107,1
050799606001108,1
050799606001111,1
050774701002043,1
050774701002044,1
050774701002046,1
050774701002047,1
050774701002050,1
050774701002052,1
050774701002053,1
050774701002054,1
050774701002055,1
050774701002056,1
050774701002057,1
050774701002058,1
050774701002059,1
050774701002060,1
050774701002061,1
050774701002062,1
050774701002063,1
050774701002064,1
050774701002065,1
050774701002066,1
050774701002067,1
050774701002068,1
050774701002069,1
050774701002070,1
050774701002071,1
050774701002072,1
050774701002073,1
050774701002074,1
050774701002075,1
050774701002076,1
050774701002077,1
050774701002078,1
050774701002079,1
050774701002080,1
050774701002081,1
050774701002082,1
050774701002083,1
050774701002084,1
050774701002085,1
050774701002086,1
050774701002087,1
050774701002088,1
050774701002090,1
050774701002091,1
050774701002092,1
050774701002093,1
050774701002094,1
050774702001036,1
050774703001023,1
050774703001042,1
050774703001043,1
050774703002035,1
050774703002036,1
050774703002037,1
050774703002038,1
050774703002041,1
050774703002042,1
050774703002043,1
050774703004004,1
050774703004013,1
050774703004022,1
050774703004023,1
050774703004027,1
050774703004028,1
050774703004029,1
050774703004030,1
050774703004031,1
050774704002000,1
050774704002001,1
050774704002002,1
050774704002003,1
050774704002004,1
050774704002005,1
050774704002006,1
050774704002007,1
050774704002011,1
050774704002012,1
050774704002016,1
050774704002017,1
050774704002018,1
050774704002019,1
050774704002020,1
050774704002021,1
050774704002077,1
050774704002078,1
050310004031017,1
050310004031018,1
050310004031019,1
050310004031020,1
050310004031021,1
050310004031026,1
050310004031027,1
050310004031028,1
050310004031029,1
050310004031030,1
050310004031031,1
050310004031032,1
050310004031033,1
050310004031034,1
050310004031041,1
050310004031042,1
050310004031043,1
050310004031047,1
050310004034000,1
050310004034001,1
050310004034002,1
050310004034003,1
050310004034004,1
050310004034005,1
050310004034006,1
050310004034007,1
050310004034008,1
050310004034009,1
050310004042000,1
050310004042001,1
050310004042002,1
050310004042003,1
050310004042004,1
050310004043000,1
050310004043001,1
050310004043002,1
050310004043003,1
050310004043004,1
050310004043005,1
050310004043006,1
050310004043007,1
050310004043008,1
050310008052000,1
050310008052001,1
050310008052002,1
050310008052003,1
050310008052004,1
050097903001104,1
050097903002006,1
050097903002009,1
050097903002010,1
050097903002011,1
050097903002012,1
050097904001004,1
050097904001005,1
050097904001006,1
050097904001007,1
050097904001008,1
050097904001009,1
050097904001010,1
050097904001011,1
050097904001012,1
050097904001013,1
050097904001014,1
050097904001015,1
050097904001016,1
050097904001017,1
050097904001018,1
050097904001019,1
050097904001020,1
050097904001021,1
050097904001022,1
050097904001028,1
050097904001029,1
050097904001033,1
050097904001034,1
050097904001035,1
050097904001036,1
050097904001037,1
050097904001038,1
050097904001039,1
050097904001040,1
050097904001041,1
050097904001042,1
050097904001043,1
050097904001044,1
050097904001045,1
050097904001046,1
050097904001047,1
050097904001048,1
050097904001049,1
050097904001050,1
050097904001051,1
050097904001052,1
050097904001053,1
050097904001054,1
050097904001055,1
050097904001056,1
050097904001057,1
050097904001058,1
050097904001059,1
050097904002005,1
050097904002006,1
050097904002007,1
050097904002008,1
050097904002009,1
050097904002010,1
050097904002011,1
050097904002012,1
050097904002013,1
050097904002014,1
050097904002015,1
050097904002017,1
050097904002018,1
050097904002019,1
050097904002023,1
050097904002029,1
050097904002030,1
050097904002031,1
050097904002032,1
050097904002033,1
050097904002034,1
050097904002035,1
050097904002036,1
050097904002037,1
050097904002038,1
050097904002039,1
050097904002040,1
050097904002041,1
050097904002042,1
050097904002043,1
050097904002044,1
050097904002045,1
050097904002046,1
050097904002047,1
050097904002048,1
050097904002049,1
050097904002050,1
050097904003048,1
050097904003051,1
050097904003052,1
050014802001164,1
050014802001230,1
050014802001233,1
050014802001234,1
050014802001235,1
050014802001236,1
050014802001237,1
050014802001280,1
050014802001283,1
050014802001284,1
050014802001285,1
050014802001286,1
050014802001287,1
050014802001288,1
050014802001289,1
050014802001290,1
050014802001291,1
050014802001292,1
050014802001293,1
050014802001360,1
050014802001361,1
050014802001362,1
050014802001363,1
050014802001364,1
050014802001365,1
050014802001366,1
050014802001367,1
050014802001368,1
050014802001369,1
050014802001370,1
050014802001371,1
050014802001372,1
050014802001373,1
050014802001374,1
050014802001375,1
050014802001376,1
050014802001377,1
050014802001378,1
050014802001379,1
050014802001380,1
050014802001381,1
050014802001385,1
050014802001386,1
050014802001389,1
050014802001419,1
050014802001420,1
050014802001429,1
050014802001430,1
050014802001432,1
050014806001029,1
050014806001030,1
050014806001031,1
050014806001035,1
050014806001036,1
050014808001017,1
050014808001018,1
050014808001019,1
050014808001020,1
050014808001021,1
050014808001026,1
050014808001027,1
050014808001028,1
050014808001029,1
050014801001038,1
050014801001039,1
050014801001252,1
050014801001253,1
050014801001254,1
050014801001255,1
050014801001256,1
050014801001259,1
050014801001260,1
050014801001261,1
050014802001015,1
050014802001016,1
050014802001026,1
050014802001027,1
050014802001028,1
050014802001029,1
050014802001030,1
050014802001031,1
050014802001032,1
050014802001033,1
050014802001034,1
050014802001046,1
050014802001047,1
050014802001048,1
050014802001049,1
050014802001050,1
050014802001051,1
050014802001052,1
050014802001053,1
050014802001054,1
050014802001055,1
050014802001056,1
050014802001057,1
050014802001058,1
050014802001177,1
050014802001178,1
050014802001179,1
050014802001180,1
050014802001181,1
050014802001182,1
050014802001183,1
050014802001184,1
050014802001185,1
050014802001186,1
050014802001187,1
050014802001188,1
050014802001189,1
050014802001190,1
050014802001191,1
050014802001192,1
050014802001193,1
050014802001194,1
050014802001195,1
050014802001196,1
050014802001197,1
050014802001198,1
050014802001199,1
050014802001200,1
050014802001201,1
050014802001202,1
050014802001203,1
050014802001204,1
050014802001205,1
050014802001206,1
050014802001207,1
050014802001208,1
050014802001209,1
050014802001210,1
050014802001211,1
050014802001212,1
050014802001218,1
050014802001219,1
050014802001231,1
050014802001232,1
050014802001294,1
050014802001295,1
050014802001296,1
050014802001297,1
050014802001298,1
050014802001299,1
050014802001300,1
050014802001301,1
050014802001302,1
050014802001303,1
050014802001304,1
050014802001305,1
050014802001306,1
050014802001307,1
050014802001308,1
050014802001314,1
050014802001315,1
050014802001316,1
050014802001339,1
050014802001340,1
050014802001343,1
050014802001344,1
050014802001345,1
050014802001346,1
050014802001347,1
050014802001348,1
050014802001349,1
050014802001351,1
050014802001352,1
050014802001353,1
050014802001354,1
050014802001355,1
050014802001356,1
050014802001357,1
050014802001358,1
050014802001359,1
050014802001431,1
050014802001433,1
050014802001434,1
050014802001443,1
050014803002028,1
050014803002029,1
050014803002030,1
050014803002031,1
050014805003036,1
050014806001004,1
050014806001005,1
050014806001006,1
050014806001007,1
050014806001008,1
050014806001017,1
050014806001018,1
050014806001019,1
050014806001020,1
050014806001021,1
051299701001131,1
051299701001132,1
051299701001133,1
051299701001134,1
051299701001135,1
051299701001136,1
051299701001137,1
051299701001138,1
051299701001139,1
051299701001140,1
051299701001141,1
051299701001142,1
051299701001143,1
051299701001144,1
051299701001145,1
051299701001146,1
051299701001147,1
051299701001148,1
051299701001167,1
051299701001168,1
051299701001169,1
051299701001177,1
051299701001178,1
051299701001179,1
051299701001180,1
051299701001181,1
051299701001188,1
051299701001189,1
051299701001190,1
051299701001191,1
051299701001192,1
051299701001193,1
051299701001194,1
051299701001195,1
051299701001196,1
051299701001197,1
051299701001198,1
051299701001199,1
051299701001200,1
051299701001201,1
051299701001202,1
051299701001203,1
051299701001204,1
051299701001205,1
051299701001206,1
051299701001207,1
051299701001208,1
051299701001209,1
051299701001210,1
051299701001211,1
051299701001212,1
051299701001213,1
051299701001214,1
051299701001215,1
051299701001216,1
051299701001225,1
051299701001226,1
051299701001227,1
051299701001228,1
051299703001038,1
051299703001046,1
051299703001047,1
051299703001048,1
051299703001049,1
051299703001050,1
051299703001051,1
051299703001063,1
051299703001064,1
051299703001065,1
051299703001066,1
051299703001073,1
050310004014007,1
050310004014009,1
050310004014010,1
050310004014011,1
050310004014012,1
050310004014013,1
050310004014014,1
050310004014034,1
050310004015000,1
050310004015001,1
050310004015002,1
050310004015004,1
050310004015005,1
050310004015006,1
050310004015007,1
050310004015008,1
050310004015015,1
050310004015016,1
050310004015017,1
050310004015018,1
050310004015030,1
050310004015031,1
050310004015033,1
050310004015034,1
050310004015035,1
050310004015036,1
050310004015037,1
050310004015038,1
050310004015039,1
050310004015040,1
050310004015041,1
050310004015042,1
050310004015043,1
050310004015044,1
050310004015045,1
050310004015046,1
050310004015047,1
050310004015048,1
050310009001009,1
050310009001010,1
050310009001011,1
050310009001012,1
050310009001013,1
050310009001014,1
050310009001015,1
050310009001016,1
050310009001017,1
050310009001023,1
050310009001024,1
050310009001037,1
050310009001038,1
050310009001039,1
050310009001040,1
050310009001041,1
050310009001042,1
050310009001043,1
050310009001044,1
050310009001045,1
050310009001046,1
050310009001047,1
050310009001048,1
050310009001049,1
050310009001056,1
050310009001059,1
050310009001060,1
050310009001061,1
050310009001062,1
050310009001063,1
050310009001064,1
050310009001065,1
050310009001066,1
050310009001067,1
050310009001068,1
050310009001069,1
050310009001070,1
050310009002063,1
050310009002064,1
050310009002065,1
050310009001004,1
050310009001005,1
050310009001018,1
050310009001019,1
050310009001020,1
050310009001021,1
050310009001022,1
050310009001025,1
050310009001026,1
050310009001027,1
050310009001028,1
050310009001029,1
050310009001030,1
050310009001031,1
050310009001032,1
050310009001033,1
050310009001035,1
050310009001050,1
050310009001051,1
050310009001052,1
050310009001053,1
050310009001054,1
