GEOID20,District
040019426001000,2
040019426001001,2
040019426001002,2
040019426001003,2
040019426001004,2
040019426001005,2
040019426001006,2
040019426001007,2
040019426001008,2
040019426001009,2
040019426001010,2
040019426001011,2
040019426001012,2
040019426001013,2
040019426001014,2
040019426001015,2
040019426001016,2
040019426001017,2
040019426001018,2
040019426001019,2
040019426001020,2
040019426001021,2
040019426001022,2
040019426001023,2
040019426001024,2
040019426001025,2
040019426001026,2
040019426001027,2
040019426001052,2
040019426001053,2
040019426001055,2
040019426001056,2
040019426001057,2
040019426001081,2
040019426001082,2
040019426001083,2
040019426001084,2
040019426001085,2
040019426001087,2
040019426001088,2
040019426001089,2
040019426001090,2
040019426001091,2
040019426001092,2
040019426001093,2
040019426001094,2
040019426001095,2
040019426001096,2
040019426001097,2
040019426001098,2
040019426001099,2
040019426001100,2
040019426001101,2
040019426001102,2
040019426001103,2
040019426001104,2
040019426001105,2
040019426001106,2
040019426001107,2
040019426001108,2
040019426001109,2
040019426001110,2
040019426001111,2
040019426001116,2
040019426001119,2
040019426001219,2
040019426001220,2
040019426001221,2
040019426002000,2
040019426002001,2
040019426002002,2
040019426002003,2
040019426002004,2
040019426002005,2
040019426002006,2
040019426002007,2
040019426002008,2
040019426002009,2
040019426002010,2
040019426002011,2
040019426002012,2
040019426002013,2
040019426002014,2
040019426002015,2
040019426002016,2
040019426002017,2
040019426002018,2
040019426002019,2
040019426002020,2
040019426002021,2
040019426002022,2
040019426002023,2
040019426002024,2
040019426002025,2
040019426002026,2
040019426002027,2
040019426002028,2
040019426002029,2
040019426002030,2
040019426002031,2
040019426002032,2
040019426002033,2
040019426002034,2
040019426002035,2
040019426002036,2
040019426002037,2
040019426002038,2
040019426002039,2
040019426002040,2
040019426002041,2
040019426002042,2
040019426002043,2
040019426002044,2
040019426002045,2
040019426002046,2
040019426002047,2
040019426002048,2
040019426002049,2
040019426002050,2
040019426002051,2
040019426002052,2
040019426001028,2
040019426001029,2
040019426001030,2
040019426001031,2
040019426001032,2
040019426001033,2
040019426001034,2
040019426001035,2
040019426001036,2
040019426001037,2
040019426001038,2
040019426001039,2
040019426001040,2
040019426001041,2
040019426001042,2
040019426001043,2
040019426001044,2
040019426001045,2
040019426001046,2
040019426001047,2
040019426001048,2
040019426001049,2
040019426001050,2
040019426001051,2
040019426001054,2
040019426001058,2
040019426001059,2
040019426001060,2
040019426001061,2
040019426001062,2
040019426001063,2
040019426001064,2
040019426001065,2
040019426001066,2
040019426001067,2
040019426001068,2
040019426001069,2
040019426001070,2
040019426001071,2
040019426001072,2
040019426001073,2
040019426001074,2
040019426001075,2
040019426001076,2
040019426001077,2
040019426001078,2
040019426001079,2
040019426001080,2
040019426001121,2
040019426001122,2
040019426001140,2
040019426001141,2
040019426001142,2
040019426001143,2
040019426001144,2
040019426001145,2
040019426001146,2
040019426001147,2
040019426001148,2
040019426001149,2
040019426001195,2
040019426001196,2
040019426001197,2
040019426001198,2
040019426001199,2
040019426001200,2
040019426001201,2
040019426001202,2
040019426001203,2
040019426001204,2
040019426001216,2
040019426001217,2
040019426001218,2
040019427002086,2
040019427002087,2
040019427002089,2
040019427002093,2
040019427002097,2
040019427002098,2
040019427002099,2
040019427002100,2
040019427002101,2
040019427002102,2
040019427002103,2
040019427002104,2
040019427002105,2
040019427002106,2
040019427002107,2
040019427002109,2
040019427002110,2
040019427002111,2
040019427002112,2
040019427002113,2
040019427002114,2
040019427002115,2
040019427002116,2
040019427002117,2
040019427002118,2
040019427002120,2
040019427002121,2
040019427002122,2
040019427002123,2
040019427002124,2
040019427002125,2
040019427002126,2
040019427002127,2
040019427002128,2
040019427002129,2
040019427002130,2
040019427002131,2
040019427002132,2
040019427002133,2
040019427002134,2
040019427002135,2
040019427002136,2
040019427002137,2
040019427002138,2
040019427002139,2
040019427002140,2
040019427002141,2
040019427002142,2
040019427002143,2
040019427002144,2
040019427002145,2
040019427002146,2
040019427002147,2
040019427002148,2
040019427002149,2
040019427002150,2
040019427002151,2
040019427002152,2
040019427002153,2
040019427002154,2
040019427002155,2
040019427002156,2
040019427002157,2
040019427002158,2
040019427002159,2
040019427002160,2
040019427002161,2
040019427002162,2
040019427002163,2
040019427002164,2
040019427002165,2
040019427002166,2
040019427002167,2
040019427002168,2
040019427002169,2
040019427002170,2
040019427002171,2
040019427002172,2
040019427002173,2
040019427002174,2
040019427002175,2
040019427002176,2
040019427002177,2
040019427002178,2
040019427002179,2
040019427002180,2
040019427002181,2
040019427002182,2
040019427002183,2
040019427002184,2
040019427002185,2
040019427002186,2
040019427002187,2
040019427002188,2
040019427002189,2
040019427002190,2
040019427002191,2
040019427002192,2
040019427002193,2
040019427002194,2
040019427002195,2
040019427002196,2
040019427002197,2
040019427002198,2
040019427002199,2
040019427002200,2
040019427002201,2
040019427002202,2
040019427002203,2
040019427002204,2
040019427002205,2
040019427002206,2
040019427002207,2
040019427002208,2
040019427002209,2
040019427002210,2
040019427002211,2
040019427002212,2
040019427002213,2
040019427002214,2
040019427002215,2
040019427002218,2
040019427002227,2
040019427002234,2
040019427002235,2
040019427002236,2
040019427002237,2
040019427002238,2
040019427002239,2
040019427002241,2
040019427002242,2
040019427002243,2
040019427002244,2
040019427002250,2
040019427002251,2
040019427002252,2
040019427002253,2
040019427002254,2
040019427002255,2
040019427002256,2
040019427002257,2
040019427002259,2
040019427002279,2
040019427002280,2
040019427002281,2
040019427002282,2
040019427002283,2
040019427002284,2
040019427003112,2
040019441002004,2
040019441002005,2
040019441002008,2
040019441002009,2
040019441002012,2
040019441002013,2
040019441002014,2
040019441002020,2
040019441002021,2
040019441002031,2
040019441002032,2
040019441002033,2
040019441002034,2
040019441002035,2
040019441002036,2
040019441002037,2
040019441002038,2
040019441002039,2
040019441002040,2
040019441002043,2
040019441002064,2
040019441002065,2
040019441002085,2
040019441002086,2
040019441002087,2
040019441002088,2
040019441002165,2
040019443011000,2
040019443011001,2
040019443011002,2
040019443011007,2
040019443011008,2
040019426001086,2
040019426001112,2
040019426001113,2
040019426001114,2
040019426001115,2
040019426001117,2
040019426001118,2
040019426001120,2
040019426001123,2
040019426001124,2
040019426001125,2
040019426001126,2
040019426001127,2
040019426001128,2
040019426001129,2
040019426001130,2
040019426001131,2
040019426001132,2
040019426001133,2
040019426001134,2
040019426001135,2
040019426001136,2
040019426001137,2
040019426001138,2
040019426001139,2
040019426001150,2
040019426001151,2
040019426001152,2
040019426001153,2
040019426001154,2
040019426001155,2
040019426001156,2
040019426001157,2
040019426001158,2
040019426001159,2
040019426001160,2
040019426001161,2
040019426001162,2
040019426001163,2
040019426001164,2
040019426001165,2
040019426001166,2
040019426001167,2
040019426001168,2
040019426001169,2
040019426001170,2
040019426001171,2
040019426001172,2
040019426001173,2
040019426001174,2
040019426001175,2
040019426001176,2
040019426001177,2
040019426001178,2
040019426001179,2
040019426001180,2
040019426001181,2
040019426001182,2
040019426001183,2
040019426001184,2
040019426001185,2
040019426001186,2
040019426001187,2
040019426001188,2
040019426001189,2
040019426001190,2
040019426001191,2
040019426001192,2
040019426001193,2
040019426001194,2
040019426001205,2
040019426001206,2
040019426001207,2
040019426001208,2
040019426001209,2
040019426001210,2
040019426001211,2
040019426001212,2
040019426001213,2
040019426001214,2
040019426001215,2
040019427002216,2
040019427002217,2
040019427002219,2
040019427002220,2
040019427002221,2
040019427002222,2
040019427002223,2
040019427002224,2
040019427002225,2
040019427002226,2
040019427002228,2
040019427002229,2
040019427002230,2
040019427002231,2
040019427002232,2
040019427002233,2
040019427002240,2
040019427002245,2
040019427002246,2
040019427002247,2
040019427002248,2
040019427002249,2
040019442012030,2
040019442012031,2
040019442012032,2
040019442012033,2
040019442012122,2
040019442012124,2
040019442012128,2
040019442012131,2
040019443011071,2
040019443011072,2
040019443011073,2
040019443011074,2
040019443011075,2
040019443012001,2
040019443012002,2
040019443012003,2
040019443012006,2
040019443012007,2
040019443012008,2
040019443012009,2
040019443012010,2
040019443012011,2
040019443012012,2
040019443012013,2
040019443012014,2
040019443012015,2
040019443012016,2
040019443012017,2
040019443012018,2
040019443012019,2
040019443012020,2
040019443012021,2
040019443012022,2
040019443012023,2
040019443012024,2
040019443012025,2
040019443012026,2
040019443012027,2
040019443012028,2
040019443012029,2
040019443012030,2
040019443012031,2
040019443012032,2
040019443012033,2
040019443012034,2
040019443012035,2
040019443012036,2
040019443012037,2
040019443012038,2
040019443012039,2
040019443012040,2
040019443012041,2
040019443012042,2
040019443012043,2
040019443012044,2
040019443012045,2
040019443012046,2
040019443012047,2
040019443012048,2
040019443012049,2
040019443012050,2
040019443012051,2
040019443012052,2
040019443012053,2
040019443012054,2
040019443012055,2
040019443012056,2
040019443012057,2
040019443012058,2
040019443012059,2
040019443012060,2
040019443012061,2
040019443012062,2
040019443012063,2
040019443012064,2
040019443012065,2
040019443012069,2
040019443012070,2
040019443012071,2
040019443012072,2
040019443012073,2
040019443012074,2
040019443012075,2
040019443012076,2
040019443012077,2
040019443012078,2
040019443012079,2
040019443012156,2
040019443012157,2
040019443012158,2
040019443012159,2
040019443012160,2
040019443012161,2
040019443012162,2
040019443012163,2
040019443012164,2
040019443012165,2
040019443012166,2
040019443012167,2
040019427001000,2
040019427001001,2
040019427001002,2
040019427001003,2
040019427001004,2
040019427001005,2
040019427001006,2
040019427001007,2
040019427001008,2
040019427001009,2
040019427001010,2
040019427001011,2
040019427001012,2
040019427001013,2
040019427001014,2
040019427001015,2
040019427001016,2
040019427001017,2
040019427001018,2
040019427001019,2
040019427001020,2
040019427001021,2
040019427001022,2
040019427001023,2
040019427001024,2
040019427001025,2
040019427001026,2
040019427001027,2
040019427001028,2
040019427001029,2
040019427001030,2
040019427001031,2
040019427001032,2
040019427001033,2
040019427001034,2
040019427001035,2
040019427001036,2
040019427001037,2
040019427001038,2
040019427001039,2
040019427001040,2
040019427001041,2
040019427001042,2
040019427001043,2
040019427001044,2
040019427001045,2
040019427001046,2
040019427001047,2
040019427001048,2
040019427001049,2
040019427001050,2
040019427001051,2
040019427001052,2
040019427001053,2
040019427001054,2
040019427001055,2
040019427001056,2
040019427001057,2
040019427001058,2
040019427001059,2
040019427001060,2
040019427001061,2
040019427001062,2
040019427001063,2
040019427001064,2
040019427001065,2
040019427001066,2
040019427001067,2
040019427001068,2
040019427001069,2
040019427001070,2
040019427001071,2
040019427001072,2
040019427001073,2
040019427001074,2
040019427001075,2
040019427001076,2
040019427001077,2
040019427001078,2
040019427001079,2
040019427001080,2
040019427001081,2
040019427001082,2
040019427001083,2
040019427001084,2
040019427001085,2
040019427001086,2
040019427001087,2
040019427001088,2
040019427001089,2
040019427001090,2
040019427001091,2
040019427001092,2
040019427001093,2
040019427001094,2
040019427001095,2
040019427001096,2
040019427001097,2
040019427001098,2
040019427001099,2
040019427001100,2
040019427001101,2
040019427001102,2
040019427001104,2
040019427001106,2
040019427001107,2
040019427001109,2
040019427001110,2
040019427001111,2
040019427001112,2
040019427001113,2
040019427002000,2
040019427002004,2
040019427002273,2
040019427003082,2
040019427003083,2
040019427003084,2
040019427004000,2
040019427004001,2
040019427004002,2
040019427004003,2
040019427004004,2
040019427004007,2
040019427004009,2
040019427004011,2
040019427004229,2
040019427004230,2
040019427001103,2
040019427001105,2
040019427004005,2
040019427004006,2
040019427004008,2
040019427004010,2
040019427004012,2
