GEOID20,District
090159051011000,4
090159051011001,4
090159051011002,4
090159051011003,4
090159051011004,4
090159051011005,4
090159051011006,4
090159051011007,4
090159051011008,4
090159051011009,4
090159051011010,4
090159051011011,4
090159051011012,4
090159051012000,4
090159051012001,4
090159051012002,4
090159051012003,4
090159051012004,4
090159051012005,4
090159051012006,4
090159051012007,4
090159051012008,4
090159051012009,4
090159051012010,4
090159051012011,4
090159051012012,4
090159051012013,4
090159051012014,4
090159051012015,4
090159051012016,4
090159051012017,4
090159051012018,4
090159051012019,4
090159051012020,4
090159051012021,4
090159051012022,4
090159051012023,4
090159051012024,4
090159051012025,4
090159051012026,4
090159051012027,4
090159051012028,4
090159051012029,4
090159051013000,4
090159051013001,4
090159051013002,4
090159051013003,4
090159051013004,4
090159051013005,4
090159051013006,4
090159051013007,4
090159051013008,4
090159051013009,4
090159051013010,4
090159051013011,4
090159051013012,4
090159051013013,4
090159051013014,4
090159051013015,4
090159051013016,4
090159051013017,4
090159051013018,4
090159051013019,4
090159051013020,4
090159051013021,4
090159051021000,4
090159051021001,4
090159051021002,4
090159051021003,4
090159051021004,4
090159051021005,4
090159051021006,4
090159051021007,4
090159051021008,4
090159051021009,4
090159051021010,4
090159051021011,4
090159051021012,4
090159051021013,4
090159051021014,4
090159051021015,4
090159051021016,4
090159051021017,4
090159051021018,4
090159051021019,4
090159051021020,4
090159051021021,4
090159051021022,4
090159051021023,4
090159051021024,4
090159051021025,4
090159051021026,4
090159051021027,4
090159051021028,4
090159051021029,4
090159051021030,4
090159051021031,4
090159051021032,4
090159051021033,4
090159051021034,4
090159051021035,4
090159051021036,4
090159051021037,4
090159051021038,4
090159051021039,4
090159051021040,4
090159051021041,4
090159051021042,4
090159051021043,4
090159051021044,4
090159051021045,4
090159051021046,4
090159051021047,4
090159051021048,4
090159051021049,4
090159051021050,4
090159051021051,4
090159051021052,4
090159051021053,4
090159051021054,4
090159051021055,4
090159051021056,4
090159051021057,4
090159051021058,4
090159051021059,4
090159051021060,4
090159051022000,4
090159051022001,4
090159051022002,4
090159051022003,4
090159051022004,4
090159051022005,4
090159051022006,4
090159051022007,4
090159051022008,4
090159051022009,4
090159051022010,4
090159051022011,4
090159051022012,4
090159051022013,4
090159051022014,4
090159051022015,4
090159051022016,4
090159051022017,4
090159051022018,4
090159051022019,4
090159051022020,4
090159051022021,4
090159051022022,4
090159051022023,4
090159051022024,4
090159051022025,4
090159051022026,4
090159041013007,4
090159041013008,4
090159041013009,4
090159044002001,4
090159044002006,4
090159044002007,4
090159044002008,4
090159044002009,4
090159044002010,4
090159044002011,4
090159044003000,4
090159044003001,4
090159044003002,4
090159044003003,4
090159044003004,4
090159044003005,4
090159044003007,4
090159044003008,4
090159044003009,4
090159044003010,4
090159044003011,4
090159044003012,4
090159044003013,4
090159044003015,4
090159044003016,4
090159044003017,4
090159044004000,4
090159044004001,4
090159044004009,4
090159044004010,4
090159044004012,4
090159072001000,4
090159072001001,4
090159072001002,4
090159072001003,4
090159072001004,4
090159072001005,4
090159072001006,4
090159072001007,4
090159072001008,4
090159072001009,4
090159072001010,4
090159072001011,4
090159072001012,4
090159072001013,4
090159072001014,4
090159072001015,4
090159072001016,4
090159072001017,4
090159072001018,4
090159072001019,4
090159072001020,4
090159072001021,4
090159072001022,4
090159072001023,4
090159072001024,4
090159072001025,4
090159072001026,4
090159072001027,4
090159072001028,4
090159072001029,4
090159072001030,4
090159072001031,4
090159072001032,4
090159072001033,4
090159072001034,4
090159072002000,4
090159072002001,4
090159072002002,4
090159072002003,4
090159072002004,4
090159072002005,4
090159072002006,4
090159072002007,4
090159072002008,4
090159072002009,4
090159072002010,4
090159072002011,4
090159072002012,4
090159072002013,4
090159072002014,4
090159072002015,4
090159072002016,4
090159072002017,4
090159072002018,4
090159072002019,4
090159072002020,4
090159072002021,4
090159072002022,4
090159072002023,4
090159072002024,4
090159072002025,4
090159072002026,4
090159072003000,4
090159072003001,4
090159072003002,4
090159072003003,4
090159072003004,4
090159072003005,4
090159072003006,4
090159072003007,4
090159072003008,4
090159072003009,4
090159072003010,4
090159072003011,4
090159072003012,4
090159072003013,4
090159072003014,4
090159072003015,4
090159072003016,4
090159072004000,4
090159072004001,4
090159072004002,4
090159072004003,4
090159072004004,4
090159072004005,4
090159072004006,4
090159072004007,4
