GEOID20,District
090034771011000,2
090034771011001,2
090034771011002,2
090034771011003,2
090034771011004,2
090034771011005,2
090034771011006,2
090034771011007,2
090034771011008,2
090034771011009,2
090034771011010,2
090034771011011,2
090034771011012,2
090034771011013,2
090034771011014,2
090034771012000,2
090034771012001,2
090034771012002,2
090034771012003,2
090034771012004,2
090034771012005,2
090034771012006,2
090034771012007,2
090034771012008,2
090034771012009,2
090034771012010,2
090034771012011,2
090034771012012,2
090034771012013,2
090034771012014,2
090034771012015,2
090034771012016,2
090034771012017,2
090034771012018,2
090034771012019,2
090034771012020,2
090034771012021,2
090034771012022,2
090034771012023,2
090034771013000,2
090034771013001,2
090034771013002,2
090034771013003,2
090034771013004,2
090034771013005,2
090034771013006,2
090034771013007,2
090034771013008,2
090034771013009,2
090034771013010,2
090034771013011,2
090034771013012,2
090034771013013,2
090034771013014,2
090034771013015,2
090034771013016,2
090034771013017,2
090034771013018,2
090034771013019,2
090034771013020,2
090034771013021,2
090034771013022,2
090034771031000,2
090034771031001,2
090034771031002,2
090034771031003,2
090034771031004,2
090034771031005,2
090034771031006,2
090034771031007,2
090034771031008,2
090034771031009,2
090034771031010,2
090034771031011,2
090034771031012,2
090034771031013,2
090034771031014,2
090034771031015,2
090034771031016,2
090034771031017,2
090034771031018,2
090034771032000,2
090034771032001,2
090034771032002,2
090034771032003,2
090034771032004,2
090034771032005,2
090034771032006,2
090034771032007,2
090034771032008,2
090034771032009,2
090034771032010,2
090034771032011,2
090034771032012,2
090034771032013,2
090034771032014,2
090034771032015,2
090034771032016,2
090034771041000,2
090034771041001,2
090034771041002,2
090034771041003,2
090034771041004,2
090034771041005,2
090034771041006,2
090034771041007,2
090034771041008,2
090034771041009,2
090034771041010,2
090034771041011,2
090034771041012,2
090034771041013,2
090034771041014,2
090034771041015,2
090034771042000,2
090034771042001,2
090034771042002,2
090034771042003,2
090034771042004,2
090034771042005,2
090034771042006,2
090034771042007,2
090034771042008,2
090034771042009,2
090034771042010,2
090034771042011,2
090034771042012,2
090034771042013,2
090034771042014,2
090034771042015,2
090034771042016,2
090034771042017,2
090034771042018,2
090034771042019,2
090034771042020,2
090034771042021,2
090034771042022,2
090034771042023,2
090034772001000,2
090034772001001,2
090034772001002,2
090034772001003,2
090034772001004,2
090034772001005,2
090034772001006,2
090034772001007,2
090034772001008,2
090034772001009,2
090034772001010,2
090034772001011,2
090034772001012,2
090034772001013,2
090034772002000,2
090034772002001,2
090034772002002,2
090034772002003,2
090034772002004,2
090034772002005,2
090034772002006,2
090034772002007,2
090034772002008,2
090034772002009,2
090034772002010,2
090034772002011,2
090034772002012,2
090034772002013,2
090034772002014,2
090034772002015,2
090034772002016,2
090034772002017,2
090034772002018,2
090034772002019,2
090034772002020,2
090034772002021,2
090034772002022,2
090034772002023,2
090034772002024,2
090034772002025,2
090034772002026,2
090034772002027,2
090034772002028,2
090034772002029,2
090034772002030,2
090034772002031,2
090034772002032,2
090034772002033,2
090034772002034,2
090034772002035,2
090039800031000,2
090039800031001,2
090034761001004,1
090034761002000,1
090034761002001,1
090034761002002,1
090034761002003,1
090034761002004,1
