GEOID20,District
160270218013000,1
160270218013001,1
160270218013002,1
160270218013003,1
160270218013004,1
160270218013005,1
160270218013006,1
160270218013007,1
160270218013008,1
160270218013009,1
160270218013010,1
160270218013011,1
160270218013012,1
160270218013013,1
160270218013014,1
160270218013015,1
160270218013016,1
160270218013017,1
160270218013018,1
160270218013019,1
160270218013020,1
160270218013021,1
160270218013029,1
160270218013030,1
160270218013031,1
160270218013032,1
160270218013033,1
160270218013034,1
160270218013035,1
160270218013036,1
160270218013037,1
160270218013038,1
160270218014003,1
160270218014005,1
160270218014014,1
160270218014015,1
160270218014016,1
160270218014017,1
160270218014018,1
160270218014019,1
160270218014020,1
160270218014021,1
160270218014022,1
160270218014023,1
160270218014024,1
160270218014025,1
160270218014026,1
160270218014027,1
160270218014032,1
160270218014033,1
160270218014040,1
160270218014041,1
160270218014074,1
160270218014075,1
160270218014076,1
160270218014077,1
160270218014078,1
160270218014079,1
160270218014080,1
160270218014081,1
160270218014082,1
160270218014083,1
160270218014084,1
160270218014085,1
160270218014086,1
160270218014087,1
160270218014088,1
160270218014089,1
160270218014090,1
160270218014091,1
160270218014092,1
160270218014093,1
160270218014094,1
160270218014095,1
160270218014096,1
160270218014097,1
160270218014098,1
160270218014099,1
160270218014100,1
160270218014101,1
160270218014102,1
160270218014103,1
160270218014104,1
160270218014105,1
160270218014107,1
160270218014108,1
160270218014109,1
160270218014110,1
160270218014111,1
160270218014112,1
160270221003162,1
160270221003164,1
160270221003167,1
160270221003168,1
160270221003195,1
160270222003000,1
160270222003001,1
160270222003002,1
160270222003003,1
160270222003004,1
160270222003005,1
160270222003007,1
160270222003011,1
160270222003012,1
160270222003013,1
160270222003017,1
160270222003018,1
160270222003019,1
160270222003020,1
160270222003021,1
160270222003022,1
160270222003023,1
160270222003041,1
160270222003042,1
160270222003043,1
160270222003044,1
160270222003045,1
160270222003058,1
160270222003061,1
160270222003062,1
160270222003063,1
160270222003066,1
160270222003067,1
160270222003068,1
160270222003069,1
160270222003070,1
160270222003071,1
160270222003072,1
160270222003073,1
160270222003074,1
160270222003075,1
160270222003076,1
160270222003077,1
160270222003081,1
160270222003082,1
160270222003083,1
160270222003087,1
160270222003088,1
160270222003094,1
160270222003095,1
160270222003096,1
160270222003097,1
160270222003098,1
160270222003099,1
160270222003100,1
160270222003101,1
160270222003102,1
160270222003103,1
160270222003104,1
160270222003105,1
160270222003106,1
160270222003107,1
160270222003108,1
160270222003109,1
160270222003110,1
160270222003111,1
160270222003115,1
160270222003116,1
160270222003117,1
160270222003118,1
160270222003119,1
160270222003120,1
160270222003121,1
160270222003122,1
160270222003123,1
160270222003124,1
160270222003125,1
160270222003126,1
160270222003127,1
160270222003128,1
160270222003129,1
160270222003130,1
160270222003131,1
160270222003132,1
160270222003133,1
160270222003134,1
160270222003135,1
160270222003140,1
160270222003141,1
160270222003142,1
160270222003143,1
160270222003148,1
160270222003149,1
160270222003178,1
160270222003179,1
160270221001106,1
160270221001107,1
160270221001108,1
160270221001109,1
160270221001110,1
160270221001111,1
160270221001112,1
160270221001113,1
160270221001114,1
160270221001115,1
160270221001116,1
160270221001117,1
160270221001121,1
160270221001129,1
160270221001130,1
160270221001131,1
160270221001132,1
160270221001133,1
160270221001134,1
160270221001135,1
160270221001137,1
160270222001000,1
160270222001001,1
160270222001002,1
160270222001003,1
160270222001010,1
160270222001011,1
160270222001012,1
160270222001013,1
160270222001014,1
160270222001015,1
160270222001016,1
160270222001017,1
160270222001018,1
160270222001019,1
160270222001020,1
160270222001023,1
160270222001024,1
160270222001025,1
160270222001026,1
160270222001027,1
160270222001028,1
160270222001039,1
160270222001048,1
160270222001073,1
160270222002000,1
160270222002001,1
160270222002002,1
160270222002003,1
160270222002004,1
160270222002005,1
160270222002006,1
160270222002007,1
160270222002008,1
160270222002009,1
160270222002010,1
160270222002011,1
160270222002012,1
160270222002013,1
160270222002014,1
160270222002015,1
160270222002016,1
160270222002017,1
160270222002018,1
160270222002019,1
160270222002020,1
160270222002021,1
160270222002022,1
160270222002023,1
160270222002024,1
160270222002025,1
160270222002026,1
160270222002027,1
160270222002028,1
160270222002029,1
160270222002030,1
160270222002031,1
160270222002032,1
160270222002033,1
160270222002034,1
160270222002035,1
160270222002036,1
160270222002037,1
160270222002038,1
160270222002039,1
160270222002040,1
160270222002041,1
160270222002042,1
160270222002043,1
160270222002044,1
160270222002045,1
160270222002046,1
160270222002047,1
160270222002048,1
160270222002049,1
160270222002050,1
160270222002051,1
160270222003006,1
160270222003008,1
160270222003009,1
160270222003010,1
160270222003014,1
160270222003015,1
160270222003016,1
160270222003024,1
160270222003025,1
160270222003026,1
160270222003027,1
160270222003028,1
160270222003029,1
160270222003030,1
160270222003031,1
160270222003032,1
160270222003033,1
160270222003034,1
160270222003035,1
160270222003036,1
160270222003037,1
160270222003038,1
160270222003039,1
160270222003040,1
160270222003046,1
160270222003047,1
160270222003048,1
160270222003049,1
160270222003050,1
160270222003051,1
160270222003052,1
160270222003053,1
160270222003054,1
160270222003055,1
160270222003056,1
160270222003057,1
160270222003059,1
160270222003060,1
160270222003064,1
160270222003065,1
160270222003078,1
160270222003079,1
160270222003080,1
160270222003084,1
160270222003085,1
160270222003086,1
160270222003089,1
160270222003090,1
160270222003091,1
160270219061000,1
160270219061001,1
160270219061002,1
160270219061003,1
160270219061006,1
160270219061007,1
160270219061008,1
160270219061009,1
160270219061012,1
