GEOID20,District
200199646001081,4
200199646001082,4
200199646001083,4
200199646001116,4
200199646001117,4
200199646001118,4
200199646001119,4
200199646001120,4
200199646001121,4
200199646001122,4
200199646001123,4
200199646001124,4
200199646001125,4
200199646001126,4
200199646001127,4
200199646001128,4
200199646001129,4
200199646001130,4
200199646001131,4
200199646001132,4
200199646001133,4
200199646001134,4
200199646001135,4
200199646001136,4
200199646001140,4
200199646001141,4
200199646001142,4
200199646001143,4
200199646001144,4
200199646001145,4
200199646001146,4
200199646001147,4
200199646001148,4
200199646001149,4
200199646001150,4
200199646001151,4
200199646001152,4
200199646001153,4
200199646001154,4
200199646001247,4
200199646001260,4
200199646001261,4
200199646001262,4
200199646001263,4
200199646003012,4
200199646003013,4
200199646003014,4
200199646003022,4
200199646002072,4
200199646002073,4
200199646002074,4
200199646002075,4
200199646002081,4
200199646002082,4
200199646002083,4
200199646002084,4
200199646002085,4
200199646002086,4
200199646002087,4
200199646002088,4
200199646002090,4
200199646002091,4
200199646002099,4
200199646002100,4
200199646002101,4
200199646002105,4
200199646002119,4
200199646002160,4
200199646002200,4
200199646002201,4
200199646002202,4
200199646002203,4
200199646002204,4
200199646002205,4
200199646002206,4
200199646002207,4
200199646002208,4
200199646002209,4
200199646002210,4
200199646002211,4
200199646002212,4
200199646002215,4
200199646002275,4
200199646003114,4
200199646002157,4
200199646002158,4
200199646002159,4
200199646002161,4
200199646002192,4
200199646002193,4
200199646002194,4
200199646002195,4
200199646002196,4
200199646002197,4
200199646002198,4
200199646002199,4
200199646002213,4
200199646002214,4
200199646002216,4
200199646002217,4
200199646002218,4
200199646002219,4
200199646002220,4
200199646002221,4
200199646002222,4
200199646002223,4
200199646002224,4
200199646002225,4
200199646002226,4
200199646002227,4
200199646002228,4
200199646002229,4
200199646002230,4
200199646002231,4
200199646002232,4
200199646002233,4
200199646002234,4
200199646002235,4
200199646002236,4
200199646002237,4
200199646002238,4
200199646002239,4
200199646002240,4
200199646002241,4
200199646002242,4
200199646002243,4
200199646002244,4
200199646002245,4
200199646002246,4
200199646002247,4
200199646002248,4
200199646002249,4
200199646002250,4
200199646002251,4
200199646002252,4
200199646002253,4
200199646002254,4
200199646002255,4
200199646002256,4
200199646002257,4
200199646002258,4
200199646002259,4
200199646002260,4
200199646002261,4
200199646002262,4
200199646002263,4
200199646002264,4
200199646002289,4
201730002001016,4
201730002001017,4
201730003002008,4
201730003002009,4
201730003002010,4
201730003002011,4
201730003002012,4
201730003002013,4
201730003002014,4
201730003002015,4
201730003002016,4
201730003002017,4
201730003002018,4
201730003003000,4
201730003003001,4
201730003003002,4
201730003003003,4
201730003003004,4
201730003003005,4
201730003003006,4
201730003003007,4
201730003003008,4
201730003003009,4
201730003003010,4
201730003003011,4
201730003003012,4
201730003003013,4
201730003003014,4
201730003003015,4
201730003004000,4
201730003004001,4
201730003004002,4
201730003004003,4
201730003004004,4
201730003004005,4
201730003004006,4
201730003004007,4
201730003004008,4
201730003004009,4
201730003004010,4
201730003004011,4
201730003004012,4
201730003004013,4
201730003004014,4
201730003004015,4
201730003004016,4
201730003005000,4
201730003005001,4
201730003005002,4
201730003005003,4
201730003005004,4
201730003005005,4
201730003005006,4
201730003005007,4
201730003005008,4
201730003005009,4
201730003005012,4
201730003005013,4
201730003005014,4
201730003005015,4
201730003005016,4
201730003005017,4
201730003005018,4
201730003005019,4
201730003005023,4
201730003005024,4
201730003005025,4
201730003005026,4
201730003005027,4
201730003005028,4
201730004001006,4
201730004001007,4
201730004001008,4
201730004001009,4
201730004001010,4
201730004001011,4
201730004001012,4
201730004001013,4
201730014002011,4
201730014002012,4
201730014002013,4
201730014002014,4
201730014002015,4
201730014002016,4
201730014002017,4
201730014002018,4
201730014002019,4
201730014002020,4
201730014002021,4
201730014002022,4
201730014002023,4
201730014002024,4
201730014002025,4
201730014002026,4
201730014002027,4
201730014002028,4
201730014002029,4
201730014002030,4
201730014002031,4
201730014002032,4
201730014002033,4
201730014003000,4
201730014003001,4
201730014004016,4
200499651001059,4
200499651001060,4
200499651001061,4
200499651001062,4
200499651001065,4
200499651001066,4
200499651001067,4
200499651001071,4
200499651001072,4
200499651001073,4
200499651001074,4
200499651001075,4
200499651001086,4
200499651001217,4
200499651001218,4
200499651001219,4
200499651001222,4
200499651001228,4
200499651001229,4
200499651001230,4
200499651001231,4
200499651001232,4
200499651001233,4
200499651001234,4
200499651001235,4
200499651004000,4
200499651004001,4
200499651004002,4
200499651004005,4
200499651004015,4
200150202052001,4
200150202052002,4
200150202052003,4
200150202052004,4
200150202052011,4
200150202052013,4
200150202052018,4
200150202052019,4
200150202052020,4
200150202052022,4
200150202052023,4
200150202052024,4
200150202052028,4
200150202052029,4
200150202052041,4
200150203001000,4
200150203001001,4
200150203001002,4
200150203001003,4
200150203001004,4
200150203001005,4
200150203001006,4
200150203001007,4
200150203001008,4
200150203001009,4
200150203001010,4
200150203001011,4
200150203001012,4
200150203001013,4
200150203001014,4
200150203001015,4
200150203001016,4
200150203001017,4
200150203001018,4
200150203001019,4
200150203001020,4
200150203001021,4
200150203001022,4
200150203001023,4
200150203001024,4
200150203001025,4
200150203001026,4
200150203001027,4
200150203001028,4
200150203001029,4
200150203001030,4
200150203001031,4
200150203001032,4
200150203001033,4
200150203001034,4
200150203001035,4
200150203001036,4
200150203001037,4
200150203001038,4
200150203001039,4
200150203001040,4
200150203001041,4
200150203001042,4
200150203001043,4
200150203001044,4
200150203001045,4
200150203001046,4
200150203001047,4
200150203001048,4
200150203001049,4
200150203001050,4
200150203003012,4
200150203003013,4
200150203003014,4
200150203003015,4
200150203003017,4
200150203003019,4
200150203003020,4
200150203003021,4
200150203003022,4
200150203003023,4
200150203003024,4
200150203003025,4
200150203003026,4
200150203003027,4
200150203003028,4
200150203003029,4
200150204001000,4
200150204001001,4
200150204001002,4
200150204001006,4
200150204001023,4
200150204001024,4
200150204001025,4
200150204001026,4
200150204001027,4
200150204001028,4
200150204001030,4
200150204001031,4
200150204001032,4
200150204001033,4
200150204001050,4
200150204001051,4
200150204001068,4
200150204001069,4
200150204001070,4
200499651002013,4
200499651002014,4
200499651002015,4
200499651002075,4
200499651002076,4
200499651003002,4
200499651003003,4
200499651003004,4
200499651003005,4
200499651003006,4
200499651003007,4
200499651003008,4
200499651003009,4
200499651003010,4
200499651003011,4
200499651003012,4
200499651003013,4
200499651003014,4
200499651003015,4
200499651003016,4
200499651003017,4
200499651003018,4
200499651003019,4
200499651003020,4
200499651003021,4
200499651003022,4
200499651003023,4
200499651003024,4
200499651003025,4
200499651003026,4
200499651003027,4
200499651003035,4
200499651003036,4
200499651003041,4
200499651003042,4
200499651003043,4
200499651003044,4
200499651003045,4
200499651003047,4
200499651003048,4
200499651003049,4
200499651003050,4
200499651003051,4
200499651003052,4
200499651003053,4
200499651003054,4
200499651003055,4
200499651003056,4
200499651003057,4
200499651003058,4
200499651003059,4
200499651003060,4
200499651003061,4
200499651003062,4
200499651003063,4
200499651003064,4
200499651003068,4
200499651003069,4
200499651003070,4
200499651003071,4
200499651003072,4
200499651003073,4
200499651003074,4
200499651003075,4
200499651003076,4
200499651003077,4
200499651003078,4
200499651003079,4
200499651003080,4
200499651003081,4
200499651003082,4
200499651003083,4
200499651003084,4
200499651003085,4
200499651003086,4
200499651003087,4
200499651003088,4
200499651003089,4
200499651003090,4
200499651003091,4
200499651003092,4
200499651003093,4
200499651003094,4
200499651003095,4
200499651003104,4
200499651003109,4
200499651003127,4
200499651003304,4
200499651003307,4
200199646001047,4
200199646001048,4
200199646001051,4
200199646001052,4
200199646001053,4
200199646001054,4
200199646001055,4
200199646001056,4
200199646001057,4
200199646001058,4
200199646001059,4
200199646001060,4
200199646001062,4
200199646001063,4
200199646001064,4
200199646001065,4
200199646001066,4
200199646001067,4
200199646001068,4
200199646001069,4
200199646001070,4
200199646001071,4
200199646001072,4
200199646001073,4
200199646001074,4
200199646001075,4
200199646001076,4
200199646001077,4
200199646001078,4
200199646001079,4
200199646001080,4
200199646001155,4
200199646001156,4
200199646001157,4
200199646001158,4
200199646001159,4
200199646001160,4
200199646001161,4
200199646001162,4
200199646001163,4
200199646001164,4
200199646001165,4
200199646001166,4
200199646001167,4
200199646001168,4
200199646001169,4
200199646001170,4
200199646001171,4
200199646001172,4
200199646001173,4
200199646001174,4
200199646001175,4
200199646001176,4
200199646001177,4
200199646001178,4
200199646001179,4
200199646001180,4
200199646001181,4
200199646001182,4
200199646001183,4
200199646001184,4
200199646001185,4
200199646001186,4
200199646001187,4
200199646001188,4
200199646001189,4
200199646001190,4
200199646001191,4
200199646001192,4
200199646001193,4
200199646001194,4
200199646001195,4
200199646001196,4
200199646001197,4
200199646001198,4
200199646001199,4
200199646001200,4
200199646001201,4
200199646001202,4
200199646001203,4
200199646001204,4
200199646001205,4
200199646001206,4
200199646001207,4
200199646001208,4
200199646001209,4
200199646001210,4
200199646001211,4
200199646001212,4
200199646001213,4
200199646001214,4
200199646001215,4
200199646001216,4
200199646001217,4
200199646001218,4
200199646001219,4
200199646001220,4
200199646001221,4
200199646001222,4
200199646001223,4
200199646001224,4
200199646001225,4
200199646001226,4
200199646001227,4
200199646001228,4
200199646001229,4
200199646001230,4
200199646001231,4
200199646001232,4
200199646001233,4
200199646001234,4
200199646001235,4
200199646001236,4
200199646001238,4
200199646001239,4
200199646001352,4
200199646001372,4
200199646001373,4
200199646001374,4
200199646001138,4
200199646002008,4
200199646002013,4
200199646002014,4
200199646002015,4
200199646002016,4
200199646002017,4
200199646002018,4
200199646002019,4
200199646002023,4
200199646002024,4
200199646002025,4
200199646002026,4
200199646002027,4
200199646002028,4
200199646002029,4
200199646002030,4
200199646002031,4
200199646002032,4
200199646002033,4
200199646002034,4
200199646002035,4
200199646002036,4
200199646002037,4
200199646002038,4
200199646002039,4
200199646002040,4
200199646002041,4
200199646002042,4
200199646002043,4
200199646002044,4
200199646002045,4
200199646002046,4
200199646002047,4
200199646002050,4
200199646002051,4
200199646002052,4
200199646002053,4
200199646002054,4
200199646002055,4
200199646002096,4
200199646002097,4
200199646002276,4
200199646002277,4
200199646002285,4
200199646002286,4
200199646002287,4
200199646002288,4
200199646002089,4
200199646002102,4
200199646002103,4
200199646002104,4
200199646002109,4
200199646002110,4
200199646002111,4
200199646002112,4
200199646002113,4
200199646002114,4
200199646002115,4
200199646002116,4
200199646002117,4
200199646002118,4
200199646002120,4
200199646002121,4
200199646002122,4
200199646002123,4
200199646002124,4
200199646002125,4
200199646002126,4
200199646002127,4
200199646002128,4
200199646002129,4
200199646002131,4
200199646002132,4
200199646002133,4
200199646002134,4
200199646002135,4
200199646002136,4
200199646002137,4
200199646002138,4
200199646002139,4
200199646002140,4
200199646002142,4
200199646002143,4
200199646002144,4
200199646002145,4
200199646002146,4
200199646002147,4
200199646002148,4
200199646002149,4
200199646002150,4
200199646002151,4
200199646002152,4
200199646002155,4
200199646002156,4
200199646002162,4
200199646002163,4
200199646002164,4
200199646002189,4
200199646002190,4
200199646002265,4
200199646002266,4
200199646002267,4
200199646002268,4
200199646002269,4
200199646002270,4
200199646002271,4
200199646002272,4
200199646002278,4
200199646003117,4
200199646003118,4
200199646003119,4
200199646003120,4
200199646003121,4
200199646003122,4
200199646003123,4
200199646003125,4
200150201011000,4
200150201011001,4
200150201011002,4
200150201011003,4
200150201011004,4
200150201011005,4
200150201011006,4
200150201011007,4
200150201011008,4
200150201011009,4
200150201011010,4
200150201011011,4
200150201011012,4
200150201011017,4
200150201011018,4
200150201011019,4
200150201011020,4
200150201011021,4
200150201011022,4
200150201011082,4
200150201011083,4
200150201011185,4
200150201011186,4
200150201011187,4
200150201011188,4
200150201011189,4
200150201011190,4
200150201011191,4
200150201011192,4
200150201011193,4
200150201011194,4
200150201011195,4
200150201011196,4
200150201011197,4
200150201011198,4
200150201011199,4
200150201011200,4
200150201011201,4
200150201011202,4
200150201011203,4
200150201011204,4
200150201011205,4
200150201011206,4
200150201011207,4
200150201011208,4
200150201011209,4
200150201011210,4
200150201011211,4
200150201011212,4
200150201011213,4
200150201011214,4
200150201011216,4
200150201011217,4
200150201011218,4
200150201011219,4
200150201011220,4
200150201011221,4
200150201011222,4
200150201011223,4
200150201011224,4
200150201011225,4
200150201011230,4
200150201011231,4
200150201011233,4
200150201011234,4
200150201012000,4
200150201012001,4
200150201012002,4
200150201012003,4
200150201012004,4
200150201012005,4
200150201012006,4
200150201012007,4
200150201012008,4
200150201012009,4
200150201012010,4
200150201012011,4
200150201012012,4
200150201012013,4
200150201012014,4
200150201012015,4
200150201012016,4
200150201012017,4
200150201012018,4
200150201012019,4
200150201012020,4
200150201012021,4
200150201012022,4
200150201012023,4
200150201012024,4
200150201012025,4
200150201012026,4
200150201012027,4
200150201012028,4
200150201012029,4
200150201012030,4
200150201012031,4
200150201012032,4
200150201012033,4
200150201012034,4
200150201012035,4
200150201012036,4
200150201012037,4
200150201012038,4
200150201012039,4
200150201012040,4
200150201012041,4
200150201012042,4
200150201012043,4
200150201012044,4
200150201012045,4
200150201012046,4
200150201012047,4
200150201012048,4
200150201012049,4
200150201012050,4
200150201012051,4
200150201012052,4
200150201012053,4
200150201012054,4
200150201012058,4
200150201012059,4
200150201012060,4
200150201012061,4
200150201012062,4
200150201012063,4
200150201012067,4
200150201012068,4
200150201012251,4
200150201012252,4
200499651001101,4
200499651001102,4
200499651001103,4
200499651001104,4
200499651001105,4
200499651001106,4
200499651001108,4
200499651001113,4
200499651001114,4
200499651001115,4
200499651001116,4
200499651001117,4
200499651001118,4
200499651001119,4
200499651001131,4
200499651001132,4
200499651001133,4
200499651001134,4
200499651001135,4
200499651001136,4
200499651001137,4
200499651001138,4
200499651001139,4
200499651001140,4
200499651001141,4
200499651001142,4
200499651001143,4
200499651001144,4
200499651001145,4
200499651001146,4
200499651001147,4
200499651001148,4
200499651001149,4
200499651001150,4
200499651001151,4
200499651001152,4
200499651001153,4
200499651001154,4
200499651001155,4
200499651001156,4
200499651001157,4
200499651001158,4
200499651001159,4
200499651001160,4
200499651001161,4
200499651001162,4
200499651001163,4
200499651001164,4
200499651001165,4
200499651001166,4
200499651001167,4
200499651001168,4
200499651001169,4
200499651001170,4
200499651001171,4
200499651001172,4
200499651001173,4
200499651001174,4
200499651001175,4
200499651001176,4
200499651001177,4
200499651001178,4
200499651001179,4
200499651001180,4
200499651001181,4
200499651001182,4
200499651001183,4
200499651001186,4
200499651001187,4
200499651001188,4
200499651001189,4
200499651001190,4
200499651001191,4
200499651001192,4
200499651001193,4
200499651001196,4
200499651001197,4
200499651001207,4
200499651001208,4
200499651001209,4
200499651001210,4
200499651001240,4
200499651001243,4
200499651003111,4
200499651003112,4
200499651003145,4
200499651003146,4
200499651003156,4
200499651003157,4
200499651003159,4
200499651004100,4
200499651004101,4
200499651001085,4
200499651001109,4
200499651001110,4
200499651001111,4
200499651001112,4
200499651001194,4
200499651001198,4
200499651001199,4
200499651001200,4
200499651001201,4
200499651001202,4
200499651001203,4
200499651001204,4
200499651001205,4
200499651001206,4
200499651001211,4
