GEOID20,District
200910534152000,2
200910534152001,2
200910534152002,2
200910534152003,2
200910534152004,2
200910534153000,2
200910534153001,2
200910534153002,2
200910534153003,2
200910534153004,2
200910534153005,2
200910534153006,2
200910534153007,2
200910534153008,2
200910534153009,2
200910534153010,2
200910534153011,2
200910534153012,2
200910534153013,2
200910534153014,2
200910534153015,2
200910534153016,2
200910524171028,2
200910524221010,2
200910524231007,2
200910529101000,2
200910530051001,2
200910530051002,2
200910530051003,2
200910530051004,2
200910530051005,2
200910530051006,2
200910530051007,2
200910530051008,2
200910530051009,2
200910530051010,2
200910530051011,2
200910530051012,2
200910530051013,2
200910530051014,2
200910530051015,2
200910530051016,2
200910530051017,2
200910530051018,2
200910530051019,2
200910530051020,2
200910530051021,2
200910530051022,2
200910530051023,2
200910530051024,2
200919800011000,2
200919800011001,2
200919800011002,2
200919800011003,2
200919800011004,2
200919800011005,2
200919800011006,2
200919800011007,2
200919800011008,2
200919800011009,2
200919800011010,2
200919800011011,2
200919800011012,2
200919800011013,2
200919800011015,2
200919800011016,2
200919800011017,2
200919800011018,2
200919800011019,2
200919800011020,2
200919800011021,2
200919800011022,2
200919800011023,2
200919800011024,2
200919800011025,2
200919800011026,2
200919800011027,2
200919800011028,2
200919800011029,2
200919800011030,2
200919800011031,2
200919800011032,2
200919800011033,2
200919800011034,2
200919800011035,2
200919800011036,2
200919800011037,2
200919800011038,2
200919800011039,2
200919800011040,2
200919800011041,2
200919800011042,2
200919800011043,2
200919800011044,2
200919800011045,2
200919800011046,2
200919800011047,2
200919800011048,2
200919800011052,2
200919800011053,2
200919800011054,2
200919800011055,2
200919800011058,2
200919800011059,2
200919800011060,2
200919800011061,2
200919800011062,2
200919800011063,2
200919800011064,2
200919800011065,2
200919800011066,2
200919800011067,2
200919800011068,2
200919800011069,2
200910531091000,2
200910531091001,2
200910531092000,2
200910531092009,2
200910531093000,2
200910531093001,2
200910531093002,2
200910531093003,2
200910532013031,2
200910532013032,2
200910532013033,2
200910532034000,2
200910532034001,2
200910532034002,2
200910532034003,2
200910532034004,2
200910532034005,2
200910532034006,2
200910532034007,2
200910532034008,2
200910532034009,2
200910532034011,2
200910532034012,2
200910523061006,2
200910523081000,2
200910523081001,2
200910523081002,2
200910523081003,2
200910523081004,2
200910523081005,2
200910523081006,2
200910523081007,2
200910523081008,2
200910523081009,2
200910523081010,2
200910523082000,2
200910523082001,2
200910523082002,2
200910523082003,2
200910523082004,2
200910534091000,2
200910534091001,2
200910534091002,2
