GEOID20,District
220330046051008,1
220330046051011,1
220330046051012,1
220330046051013,1
220330046051014,1
220330046051015,1
220330046051016,1
220330046051025,1
220330046051026,1
220330046051027,1
220330046052007,1
220330046052010,1
220330046052011,1
220330046052012,1
220330046052013,1
220330046052014,1
220330046052015,1
220330046052016,1
220330046052017,1
220330046052023,1
220330046052024,1
220330046052026,1
220330046052027,1
220330046052028,1
220330046052029,1
220330046052030,1
220330046052031,1
220330025003007,1
220330025004006,1
220330025004007,1
220330025004008,1
220330025004011,1
220330025004012,1
220330025004013,1
220330025004014,1
220330025004015,1
220330025004016,1
220330025004017,1
220330025004018,1
220330025004019,1
220330025004020,1
220330025004021,1
220330025004022,1
220330025004023,1
220330025004024,1
220330025004025,1
220330025004026,1
220330025004027,1
220330025004028,1
220330025004029,1
220330024001000,1
220330024001001,1
220330024001002,1
220330024001003,1
220330024001004,1
220330024001007,1
220330024001008,1
220330024001009,1
220330024001010,1
220330024001011,1
220330024001012,1
220330024001013,1
220330024001014,1
220330024001015,1
220330024001016,1
220330024001017,1
220330024001018,1
220330024001019,1
220330024001020,1
220330024001021,1
220330024001022,1
220330024001023,1
220330024001024,1
220330024001027,1
220330024001028,1
220330024001029,1
220330024001030,1
220330024001031,1
220330024002000,1
220330024002001,1
220330024002002,1
220330024002003,1
220330024002004,1
220330024002005,1
220330024002006,1
220330024002007,1
220330024002008,1
220330024002009,1
220330024002010,1
220330024002011,1
220330024002012,1
220330024002013,1
220330024002014,1
220330024002015,1
220330024002016,1
220330024002017,1
220330024002018,1
220330024002019,1
220330024002020,1
220330024002021,1
220330028012000,1
220330028012001,1
220330028012002,1
220330028012003,1
220330028012004,1
220330028012005,1
220330028012006,1
220330028012007,1
220330028012009,1
220330028012010,1
220330028012011,1
220330028022011,1
220330052002013,1
220330052002014,1
220330052002074,1
220330052002082,1
220330052002083,1
220330052002084,1
220330052002085,1
220330052002086,1
220330052002087,1
220330052002088,1
220330052002089,1
220330052002090,1
220330052002091,1
220330052002092,1
220330052002093,1
220330052002094,1
220330052002095,1
220330052002096,1
220330052002097,1
220330052002098,1
220330052002099,1
220330052002108,1
220330052002109,1
