GEOID20,District
250110402001000,1
250110402001001,1
250110402001002,1
250110402001003,1
250110402001004,1
250110402001005,1
250110402001006,1
250110402001030,1
250110402001031,1
250110402001032,1
250110402001040,1
250110402001041,1
250110402001042,1
250110402001043,1
250110402001044,1
250110402001045,1
250110402001046,1
250110402001047,1
250110402001048,1
250110402001049,1
250110402001050,1
250110402001051,1
250110402001052,1
250110402001053,1
250110402001054,1
250110402001055,1
250110402001056,1
250110402001057,1
250110402001058,1
250110402001059,1
250110402001060,1
250110402001061,1
250110402001062,1
250110402001063,1
250110402001064,1
250110402001065,1
250110402001066,1
250110402001067,1
250110402001068,1
250110402001069,1
250110402001070,1
250110402001071,1
250110402001072,1
250110402001073,1
250110402001074,1
250110402001075,1
250110402001076,1
250110402001093,1
250110402002000,1
250110402002001,1
250110402002002,1
250110402002003,1
250110402002004,1
250110402002005,1
250110402002006,1
250110402002007,1
250110402002008,1
250110402002009,1
250110402002010,1
250110402002011,1
250110402002012,1
250110402002013,1
250110402002014,1
250110402002015,1
250110402002016,1
250110402002017,1
250110402002018,1
250110402002019,1
250110402002020,1
250110402002021,1
250110402002022,1
250110402002023,1
250110402002024,1
250110402002025,1
250110402002026,1
250110402002027,1
250110402002028,1
250110402002029,1
250110402002030,1
250110402002031,1
250110402002032,1
250110402002033,1
250110402002034,1
250110402002035,1
250110402002036,1
250110402002037,1
250110402002038,1
250110402002039,1
250110402002040,1
250110402002041,1
250110402002042,1
250110402002043,1
250110402002044,1
250110402002045,1
250110403001000,1
250110403001001,1
250110403001002,1
250110403001003,1
250110403001004,1
250110403001005,1
250110403001006,1
250110403001007,1
250110403001008,1
250110403001009,1
250110403001010,1
250110403001011,1
250110403001012,1
250110403001013,1
250110403001014,1
250110403001015,1
250110403001016,1
250110403001017,1
250110403001018,1
250110403001019,1
250110403001020,1
250110403001021,1
250110403001022,1
250110403001023,1
250110403001024,1
250110403001025,1
250110403001026,1
250110403001027,1
250110403001028,1
250110403001029,1
250110403001030,1
250110403001031,1
250110403001032,1
250110403001033,1
250110403001034,1
250110403001035,1
250110403001036,1
250110403001037,1
250110403001038,1
250110403001039,1
250110403001040,1
250110403001041,1
250110403001042,1
250110403001043,1
250110403001044,1
250110403001045,1
250110403001046,1
250110403001047,1
250110403001048,1
250110403001049,1
250110403001050,1
250110403001051,1
250110403001052,1
250110403001053,1
250110403001054,1
250110403001055,1
250110403001056,1
250110403001057,1
250110403001058,1
250110403001059,1
250110403001060,1
250110403001061,1
250110403001062,1
250110403001063,1
250110403001064,1
250110403001065,1
250110403001066,1
250110403001067,1
250110403001068,1
250110403001069,1
250110403001070,1
250110403001071,1
250110403001072,1
250110403001073,1
250110403001074,1
250110403001075,1
250110403001076,1
250110403001077,1
250110403001078,1
250110403002000,1
250110403002001,1
250110403002002,1
250110403002003,1
250110403002004,1
250110403002005,1
250110403002006,1
250110403002007,1
250110403002008,1
250110403002009,1
250110403002010,1
250110403002011,1
250110403002012,1
250110403002013,1
250110403002014,1
250110403002015,1
250110403002016,1
250110403002017,1
250110403002018,1
250110403002019,1
250110403002020,1
250110403002021,1
250110403002022,1
250110403002023,1
250110403002024,1
250110403002025,1
250110403002026,1
250110403002027,1
250110403002028,1
250110403002029,1
250110403002030,1
250110403002031,1
250110403002032,1
250110403002033,1
250110403002034,1
250110403002035,1
250110403002036,1
250110403002037,1
250110403002038,1
250110403002039,1
250110403002040,1
250110403002041,1
250110403002042,1
250110403002043,1
250110403002044,1
250110403002045,1
250110403002046,1
250110403002047,1
250110403002048,1
250110403002049,1
250110403002050,1
250110403002051,1
250110403002052,1
250110403002053,1
250110403002054,1
250110403002055,1
250110403002056,1
250110403002057,1
250110403002058,1
250110403002059,1
250110403002060,1
250110403002061,1
250110403002062,1
250110403002063,1
250110403002064,1
250110403002065,1
250110403002066,1
250110403002067,1
250110403002068,1
250110403002069,1
250110403002070,1
250110403002071,1
250110403002072,1
250110404001084,1
250110404001085,1
250110404001086,1
250110404001087,1
250110404001088,1
250110404001089,1
250110404001090,1
250110404001091,1
250110404001092,1
250110404001093,1
