GEOID20,District
250250819004009,7
250250819004010,7
250250821001003,7
250250821001004,7
250250821001005,7
250250821001006,7
250250821001007,7
250250821001008,7
250250821002000,7
250250821002001,7
250250821002002,7
250250821002003,7
250250821002004,7
250250821002005,7
250250821002006,7
250250821002007,7
250250821003002,7
250250821003003,7
250250821003004,7
250250821003005,7
250259803001000,7
250259803001001,7
250259803001002,7
250259803001005,7
250259803001006,7
250259803001007,7
250259803001008,7
250259803001009,7
250259803001010,7
250259803001011,7
250259803001012,7
250259803001015,7
250250303012000,6
250250303012001,6
250250303012002,6
250250303021014,6
250250303021018,6
250250303021021,6
250250303021022,6
250250304001000,6
250250304001001,6
250250304002005,6
250250304004000,6
250250304004001,6
250250304004002,6
250250304004003,6
250250304004004,6
250250304004005,6
250250304004006,6
250250304004007,6
250250304004008,6
250250305001006,6
250250305001007,6
250250305001008,6
250250305001009,6
250250305001010,6
250250305001012,6
250250305001013,6
250250305001014,6
250250305001015,6
250250305001016,6
250250305002000,6
250250305002001,6
250250305002002,6
250250305002003,6
250250305002004,6
250250305002005,6
250250305002006,6
250250305002007,6
250250305002008,6
250250305002009,6
250250305002010,6
250250305003001,6
250250305003003,6
250259901010027,6
250259901010028,6
250250819001004,6
250250819001010,6
250250819001011,6
250250819002002,6
250250819002003,6
250250819002004,6
250250819002005,6
250250819003000,6
250250819003001,6
250250819003002,6
250250819003003,6
250250819003004,6
250250819003005,6
250250819003006,6
250250819004000,6
250250819004001,6
250250819004002,6
250250819004008,6
250251006013006,7
250251006013007,7
250251006013008,7
250251006013009,7
250251006013010,7
250251006013011,7
250251006013012,7
250251006014004,7
250251006014005,7
250251006014006,7
250251006014007,7
250251006014008,7
250251008001000,7
250251008001001,7
250251008001002,7
250251008002000,7
250251008002001,7
250250603013005,6
250250604001000,6
250250604005000,6
250250604005001,6
250250605012005,6
250250605013005,6
250250605013006,6
250250605013008,6
250250605015000,6
250250605015001,6
250250605015002,6
250250605015003,6
250250605015004,6
250250605015005,6
250250605015006,6
250250605015007,6
250250606011011,6
250250606011012,6
250250606011013,6
250250606021007,6
250250608001000,6
250250608001001,6
250259812021004,6
250259812022015,6
250259812022016,6
250259812022017,6
250259812022018,6
250250813022005,6
250250813022006,6
250250813022007,6
250250814003009,6
250250815001000,6
250250815001001,6
250250815001002,6
250250815001004,6
250250815001005,6
250250815001006,6
250250815001007,6
250250815001008,6
250250817003000,6
250250817003007,6
250250817003008,6
250250608001006,6
250250608001007,6
250250608002008,6
250250608002009,6
250250608004010,6
250250608004011,6
250250608004013,6
250250608004014,6
250250608004015,6
250250608004016,6
250250608004017,6
250250608004018,6
250250608004019,6
250250608004020,6
250250608004021,6
250250608004022,6
250250608004023,6
250250610001002,6
250250610001005,6
250250610001006,6
250250610002002,6
250250610002003,6
250250610002004,6
250250610003000,6
250250612011000,6
250250612011001,6
250250612011002,6
250250612011003,6
250250612011004,6
250250612011005,6
250250612011006,6
250250612011007,6
250250612011020,6
250250612011021,6
250250612011022,6
250250612011023,6
250250612011024,6
250250612011025,6
250250907002003,6
250250907002004,6
250250907003000,6
250250907003001,6
250250907003002,6
250250907003003,6
250250907003004,6
250250907003007,6
250250907004008,6
250250907004010,6
250250912001001,6
250250912001002,6
250250401001002,8
250250401001003,8
250250401001005,8
250250401001006,8
250250401001007,8
250250401001008,8
250250401001009,8
250250401001010,8
250250401001011,8
250250401002003,8
250250401002004,8
250250401002007,8
250250401002008,8
250250401002009,8
250250401002010,8
250250401002011,8
250250401002012,8
250250401002013,8
250250401002014,8
250250401002015,8
250250401002016,8
250250401002017,8
250250404011010,8
250250404011011,8
250250404011012,8
250250404012000,8
250250404012001,8
250250404012002,8
250250404012003,8
250250404012004,8
250250404012005,8
250250404012006,8
250250404012007,8
250250404012008,8
250250404012009,8
250250404012010,8
250250404012011,8
250250404012012,8
250250404012013,8
250250404012014,8
250250404012015,8
250250404012016,8
250250404012017,8
250250404012018,8
250250404012019,8
250250404012020,8
250250404012024,8
250250404012025,8
250250404012026,8
250250404012027,8
250250404012028,8
250250404012029,8
250250404012030,8
250250404012031,8
250250404012032,8
250250406001043,8
250250406001044,8
250250406001045,8
250250406001046,8
250250406001047,8
250250406001048,8
250250408013004,8
250250408013005,8
250250408013012,8
250251603001000,6
250251603001001,6
250251603001002,6
250251603001003,6
250251603001004,6
250251603001005,6
250251603001006,6
250251603001007,6
250251603001008,6
250251603001009,6
250251603001010,6
250251603001011,6
250251603002000,6
250251603002001,6
250251603002002,6
250251603002003,6
250251603002004,6
250251603002005,6
250251603002006,6
250251603002007,6
250251603002008,6
250251604001010,6
250251604001011,6
250251604001012,6
250251604001013,6
250251604002010,6
250251604002011,6
250251604002012,6
250251604002013,6
250251604002014,6
250251604002015,6
250251604002016,6
250251604002025,6
250251802001000,6
250251802001001,6
250251802001002,6
250251802001003,6
250251802001004,6
