GEOID20,District
250039213003000,1
250039213003001,1
250039213003002,1
250039213003003,1
250039213003004,1
250039213003005,1
250039213003006,1
250039213003007,1
250039213003008,1
250039213003009,1
250039213003010,1
250039213003011,1
250039213003012,1
250039213003013,1
250039213003014,1
250039213003015,1
250039213003016,1
250039213003017,1
250039213003018,1
250039213003019,1
250039213003020,1
250039214001008,1
250039214001009,1
250039214001010,1
250039214001011,1
250039214001012,1
250039214001013,1
250039214001014,1
250039214001015,1
250039214001016,1
250039214001017,1
250039214001018,1
250039214001019,1
250039214001020,1
250039214001021,1
250039214001022,1
250039214002000,1
250039214002001,1
250039214002002,1
250039214002003,1
250039214002004,1
250039214002005,1
250039214002006,1
250039214002007,1
250039214002008,1
250039214002009,1
250039214002010,1
250039214002011,1
250039214002012,1
250039214002013,1
250039214002014,1
250039214002015,1
250039214002016,1
250039214002017,1
250039214002018,1
250039214002019,1
250039214002020,1
250039214002021,1
250039214002022,1
250039214002023,1
250039214002024,1
250039214002025,1
250039214002026,1
250039214002027,1
250039214002028,1
250039214002029,1
250039214002030,1
250039353003031,1
250039353003032,1
250039353003033,1
250039353003043,1
250039353003044,1
250039353003047,1
250039353003048,1
250039353003049,1
250039353003050,1
250039353003051,1
250039353003052,1
250039353003053,1
250039353003054,1
250039353003055,1
250039353003056,1
250039353003057,1
250039353003058,1
250039201011013,1
250039201011015,1
250039201011016,1
250039201011017,1
250039201011018,1
250039201021000,1
250039201021001,1
250039201021002,1
250039201021003,1
250039201021004,1
250039201021005,1
250039201021006,1
250039201021007,1
250039201021008,1
250039201021009,1
250039201021010,1
250039201021011,1
250039201021012,1
250039201021013,1
250039201021014,1
250039201021015,1
250039201021016,1
250039201021017,1
250039201021018,1
250039201021019,1
250039201021020,1
250039201021021,1
250039201021022,1
250039201021023,1
250039201021024,1
250039201021025,1
250039201021026,1
250039201021027,1
250039201021028,1
250039201021029,1
250039201021030,1
250039201021031,1
250039201021032,1
250039201021033,1
250039201021034,1
250039201021035,1
250039201021036,1
250039201021037,1
250039201021038,1
250039201021039,1
250039201021040,1
250039201021041,1
250039201021042,1
250039201022000,1
250039201022010,1
250039201022012,1
250039201022014,1
250039201022016,1
250039201022017,1
250039201022018,1
250039201022019,1
250039201022020,1
250039201022021,1
250039201022022,1
250039201022023,1
250039201022024,1
250039201022025,1
250039201022026,1
250039201022027,1
250039201022028,1
250039261001000,1
250039261001001,1
250039261001002,1
250039261001003,1
250039261001004,1
250039261001005,1
250039261001006,1
250039261001007,1
250039261001008,1
250039261001009,1
250039261001010,1
250039261001011,1
250039261001012,1
250039261001013,1
250039261001014,1
250039261001015,1
250039261001016,1
250039261001017,1
250039261001018,1
250039261001019,1
250039261001020,1
250039261001021,1
250039261001022,1
250039261001023,1
250039261001024,1
250039261001025,1
250039261001026,1
250039261001027,1
250039261001028,1
250039261001029,1
250039261001030,1
250039261001031,1
250039261001032,1
250039261001033,1
250039261001034,1
250039261001035,1
250039261001036,1
250039261001037,1
250039261001038,1
250039261001039,1
250039261001040,1
250039261001041,1
250039261001042,1
250039261001043,1
250039261001044,1
250039261001045,1
250039261001046,1
250039261001047,1
250039261001048,1
250039261001049,1
250039261001050,1
250039261001051,1
250039261001052,1
250039261001053,1
250039261001054,1
250039261001055,1
250039261001056,1
250039261001057,1
250039261001058,1
250039261001059,1
250039261001060,1
250039261001061,1
250039261001062,1
250039261001063,1
250039261001064,1
250039261001065,1
250039261001066,1
250039261001067,1
250039261001068,1
250039261001069,1
250039261001070,1
250039261001071,1
250039261001072,1
250039261001073,1
250039261001074,1
250039261002000,1
250039261002001,1
250039261002002,1
250039261002003,1
250039261002004,1
250039261002005,1
250039261002006,1
250039261002007,1
250039261002008,1
250039261002009,1
250039261002010,1
250039261002011,1
250039261002012,1
250039261002013,1
250039261002014,1
250039261002015,1
250039261002016,1
250039261002017,1
250039261002018,1
250039261002019,1
250039261002020,1
250039261002021,1
250039261003000,1
250039261003001,1
250039261003002,1
250039261003003,1
250039261003004,1
250039261003005,1
250039261003006,1
250039261003007,1
250039261003008,1
250039261003009,1
250039261003010,1
250039261003011,1
250039261003012,1
250039261003013,1
250039261003014,1
250039261003015,1
250039261003016,1
250039261003017,1
250039261003018,1
250039261003019,1
250039261003020,1
250039261003021,1
250039261003022,1
250039261003023,1
250039261003024,1
250039261003025,1
250039261003026,1
250039261003027,1
250039261003028,1
250039261003029,1
250039261003030,1
250039261003031,1
250039261003032,1
250039261003033,1
250039261003034,1
250039261003035,1
250039261003036,1
250039261003037,1
250039261003038,1
250039261003039,1
250039261003040,1
250039261003041,1
250039261003042,1
250039261004000,1
250039261004001,1
250039261004002,1
250039261004003,1
250039261004004,1
250039261004005,1
250039261004006,1
250039261004007,1
250039261004008,1
250039261004009,1
250039261004010,1
250039261004011,1
250039261004012,1
250039261004013,1
250039261004014,1
250039261004015,1
250039261004016,1
250039261004017,1
250039261004018,1
250039261004019,1
250039261004020,1
250039261004021,1
250039261004022,1
250039261004023,1
250039261004024,1
250039261004025,1
250039261004026,1
250039311001000,1
250039311001001,1
250039311001002,1
250039311001003,1
250039311001004,1
250039311001005,1
250039311001006,1
250039311001007,1
250039311001008,1
250039311001009,1
250039311001010,1
250039311001011,1
250039311001012,1
250039311001013,1
250039311001014,1
250039311001015,1
250039311002000,1
250039311002001,1
250039311002002,1
250039311002003,1
250039311002004,1
250039311002005,1
250039311002006,1
250039311002007,1
250039311002008,1
250039311002009,1
250039311002010,1
250039311002011,1
250039311002012,1
250039311002013,1
250039311002014,1
250039311002015,1
250039311002016,1
250039311002017,1
250039311002018,1
250039311002019,1
250039311002020,1
250039311002021,1
250039311002022,1
250039311002023,1
250039311002024,1
250039008004005,1
250039008004012,1
250039008004013,1
250039008004014,1
250039008004015,1
250039008004016,1
250039008004017,1
250039008004018,1
250039008004019,1
250039008004020,1
250039352002000,1
250039352002001,1
250039352002002,1
250039352002003,1
250039352002004,1
250039352002005,1
250039352002006,1
250039352002007,1
250039352002008,1
250039352002009,1
250039352002010,1
250039352002011,1
250039352002012,1
250039352002013,1
250039352002014,1
250039352002015,1
250039352002016,1
250039352002017,1
250039352002018,1
250039352003002,1
250039352003014,1
250039352004000,1
250039352004001,1
250039352004002,1
250039352004003,1
250039352004004,1
250039352004005,1
250039352004006,1
250039352004007,1
250039352004008,1
250039352005022,1
250039352005023,1
250039352005024,1
250039352005025,1
250039352005026,1
250039352005027,1
250039352005028,1
250039352005029,1
250039352005030,1
250039352005031,1
250039352005032,1
250039352005033,1
250039352005035,1
250039001002000,1
250039001002001,1
250039001002002,1
250039001002003,1
250039001002004,1
250039001002005,1
250039001002006,1
250039003002003,1
250039003002004,1
250039003002005,1
250039003002006,1
250039003002009,1
250039003002010,1
250039003003003,1
250039003003005,1
250039003003006,1
250039003003008,1
250039003003009,1
250039004002000,1
250039004002001,1
250039004002002,1
250039004002003,1
250039004002004,1
250039004002005,1
250039004002006,1
250039004002007,1
250039004002008,1
250039004002009,1
250039004002010,1
250039004002011,1
250039004002012,1
250039004002013,1
250039004002014,1
250039004002015,1
250039004002016,1
250039004002017,1
250039004002018,1
250039004002019,1
250039004002020,1
250039004002021,1
250039004002022,1
250039004004000,1
250039004004001,1
250039004004002,1
250039004004007,1
250039004004010,1
250039004004018,1
250039004004019,1
250039006003000,1
250039006003001,1
250039006003002,1
250039006003003,1
250039006003004,1
250039006003005,1
250039006003006,1
250039006003010,1
250039006003011,1
250039006003012,1
250039006003013,1
250039004003000,1
250039004003001,1
250039004003002,1
250039004003003,1
250039004003004,1
250039004003005,1
250039004003006,1
250039004003007,1
250039004003008,1
250039004003009,1
250039004003010,1
250039004003011,1
250039004003012,1
250039004003013,1
250039004003014,1
250039004003015,1
250039004003016,1
250039004003017,1
250039004003018,1
250039004003019,1
250039004003020,1
250039004003021,1
250039004003022,1
250039004003023,1
250039004003024,1
250039004003025,1
250039004003026,1
250039004003027,1
250039004004003,1
250039004004004,1
250039004004005,1
250039004004006,1
250039004004008,1
250039004004009,1
250039004004011,1
250039004004012,1
250039004004013,1
250039004004014,1
250039004004015,1
250039004004016,1
250039004004017,1
250039004004020,1
250039004004021,1
250039004004022,1
250039005002000,1
250039005002001,1
250039005002002,1
250039005002003,1
250039005002004,1
250039005002005,1
250039005002009,1
250039005002014,1
250039005002017,1
250039005002018,1
250039005002019,1
250039005002020,1
250039005002021,1
250039005002034,1
250039005002035,1
250039005002037,1
250039005002040,1
250039005002041,1
250039006001000,1
250039006001001,1
250039006001002,1
250039006001003,1
250039006001004,1
250039006001005,1
250039006001006,1
250039006001007,1
250039006001009,1
250039006001010,1
250039006001011,1
250039006003007,1
250039006003008,1
250039006003009,1
250039006004000,1
250039006004001,1
250039006004002,1
250039006004003,1
250039006004004,1
250039006004005,1
250039141001000,1
250039141001001,1
250039141001002,1
250039141001003,1
250039141001004,1
250039141001005,1
250039141001006,1
250039141001007,1
250039141001008,1
250039141001009,1
250039141001010,1
250039141001011,1
250039141001012,1
250039141001013,1
250039141001014,1
250039141001015,1
250039141001016,1
250039141001017,1
250039141001018,1
250039141001019,1
250039141001020,1
250039141001021,1
250039141001022,1
250039141001023,1
250039141002000,1
250039141002001,1
250039141002002,1
250039141002003,1
250039141002004,1
250039141002005,1
250039141002006,1
250039141002007,1
250039141002008,1
250039141002009,1
250039141002010,1
250039141002011,1
250039141002012,1
250039141002013,1
250039141002014,1
250039141002015,1
250039141002016,1
250039141002017,1
250039141002018,1
250039141003000,1
250039141003001,1
250039141003002,1
250039141003003,1
250039141003004,1
250039141003005,1
250039141003006,1
250039141003007,1
250039141003008,1
250039141003009,1
250039141003010,1
250039141003011,1
250039141003012,1
250039141003013,1
250039141003014,1
250039141003015,1
250039141003016,1
250039141003017,1
250039141003018,1
250039141003019,1
250039141003020,1
250039141004000,1
250039141004001,1
250039141004002,1
250039141004003,1
250039141004004,1
250039141004005,1
250039141004006,1
250039141004007,1
250039141004008,1
250039141004009,1
250039141004010,1
250039141004011,1
250039141004012,1
250039141004013,1
250039141004014,1
250039141004015,1
250039141004016,1
250039141004017,1
250039141004018,1
250039141004019,1
250039141004020,1
250039141004021,1
250039141004022,1
250039141004023,1
250039141004024,1
250039141004025,1
250039141004026,1
250039141004027,1
250039141004028,1
250039141004029,1
250039141004030,1
250039141004031,1
250039141004032,1
250039141004033,1
250039141004034,1
250039141004035,1
250039141004036,1
250039141004037,1
250039141004038,1
250039141004039,1
250039141004040,1
250039141004041,1
250039141004042,1
250039141004043,1
250039141004044,1
250039141004045,1
250039141004046,1
250039141004047,1
250039141004048,1
250039141005000,1
250039141005001,1
250039141005002,1
250039141005003,1
250039141005004,1
250039141005005,1
250039141005006,1
250039141005007,1
250039141005008,1
250039141005009,1
250039141005010,1
250039141005011,1
250039141005012,1
250039141005013,1
250039141005014,1
250039141005015,1
250039141005016,1
250039141005017,1
250039141005018,1
250039141005019,1
250039141005020,1
250039141005021,1
250039141005022,1
250039141005023,1
250039141005024,1
250039141005025,1
250039141005026,1
250039141005027,1
250039141005028,1
250039141005029,1
250039141005030,1
250039141005031,1
250039141005032,1
250039141005033,1
250039141005034,1
250039141005035,1
250039141005036,1
250039141005037,1
250039141005038,1
250039141005039,1
250039141005040,1
250039141005041,1
250039141005042,1
250039141005043,1
250039141005044,1
250039141005045,1
250039141005046,1
250039141005047,1
250039141005048,1
250039141005049,1
250039141005050,1
250039141005051,1
250039141005052,1
250039141005053,1
250039141005054,1
250039141005055,1
250039141005056,1
250039141005057,1
250039141005058,1
250039141005059,1
250039141005060,1
250039141005061,1
250039141005062,1
250039141006000,1
250039141006001,1
250039141006002,1
250039141006003,1
250039141006004,1
250039141006005,1
250039141006006,1
250039141006007,1
250039141006008,1
250039141006009,1
250039141006010,1
250039141006011,1
250039141006012,1
250039141006013,1
250039141006014,1
250039141006015,1
250039141006016,1
250039141006017,1
250039141006018,1
250039141006019,1
250039141006020,1
250039141006021,1
250039141006022,1
250039141006023,1
250039141006024,1
250039141006025,1
250039141006026,1
250039141006027,1
250039141006028,1
250039141006029,1
250039141006030,1
250039141006031,1
250039322002000,1
250039322002001,1
250039322002002,1
250039322002003,1
250039322002004,1
250039322002005,1
250039322002006,1
250039322002007,1
250039322002008,1
250039322002009,1
250039322002010,1
250039322002011,1
250039322002012,1
250039322002013,1
250039322002014,1
250039322002015,1
250039322002016,1
250039322002017,1
250039322002018,1
250039322002019,1
250039322002020,1
250039322002021,1
250039322002022,1
250039322002023,1
250039322002024,1
250039322002025,1
250039322002026,1
250039322002027,1
250039322002028,1
250039322002029,1
250039322002030,1
250039322002031,1
250039322002032,1
250039322002033,1
250039322002034,1
250039322002035,1
250039322002036,1
250039322002037,1
250039322002038,1
250039322002039,1
250039322002040,1
250039322002041,1
250039322002042,1
250039322002043,1
250039322002044,1
250039322002045,1
250039322002046,1
250039322002047,1
250039322002048,1
250039322002049,1
250039322002050,1
250039322002051,1
250039322002052,1
250039322002053,1
250039322002054,1
250039322002055,1
250039322002056,1
250039322002057,1
250039322002058,1
250039322002059,1
250039322002060,1
250039322002061,1
250039322002062,1
250039322002063,1
250039322002064,1
250039322002065,1
250039322002066,1
250039322002067,1
250039322002068,1
250039322002069,1
250039322002070,1
250039322002071,1
250039322002072,1
250039322002073,1
250039322002074,1
250039322002075,1
250039322002076,1
250039322002077,1
250039322002078,1
250039322002079,1
250039322002080,1
250039322002081,1
250039322002082,1
250039322002083,1
250039322002084,1
250039322002085,1
250039322002086,1
250039322002087,1
250039322002088,1
250039322002089,1
250039322002090,1
250039322002091,1
250039322002092,1
250039322002093,1
250039322002094,1
250039322002095,1
250039322002096,1
250039322002097,1
250039322002098,1
250039322002099,1
250039322002100,1
250039322002101,1
250039322002102,1
250039322002103,1
250039322002104,1
250039322002105,1
250039322002106,1
250039322002107,1
250039322002108,1
250039322002109,1
250039322002110,1
250039322002111,1
250039322002112,1
250039322002113,1
250039322002114,1
250039322002115,1
250039322002116,1
250039322002117,1
250039322002118,1
250039322002119,1
250039322002120,1
250039322002121,1
250039322002122,1
250039322002123,1
250039322002124,1
250039322002125,1
250039322002126,1
250039322002127,1
250039322002128,1
250039322002129,1
250039322002130,1
250039322002131,1
250039322002132,1
250039322002133,1
250039322002134,1
250039322002135,1
250039322002136,1
250039322002137,1
250039322002138,1
250039322002139,1
250039322002140,1
250039322002141,1
250039322002142,1
250039322002143,1
250039322002144,1
250039322002145,1
250039322002146,1
250039322003000,1
250039322003001,1
250039322003002,1
250039322003003,1
250039322003004,1
250039322003005,1
250039322003006,1
250039322003007,1
250039322003008,1
250039322003009,1
250039322003010,1
250039322003011,1
250039322003012,1
250039322003013,1
250039322003014,1
250039322003015,1
250039322003016,1
250039322003017,1
250039322003018,1
250039322003019,1
