GEOID20,District
250039213003000,6
250039213003001,6
250039213003002,6
250039213003003,6
250039213003004,6
250039213003005,6
250039213003006,6
250039213003007,6
250039213003008,6
250039213003009,6
250039213003010,6
250039213003011,6
250039213003012,6
250039213003013,6
250039213003014,6
250039213003015,6
250039213003016,6
250039213003017,6
250039213003018,6
250039213003019,6
250039213003020,6
250039214001008,6
250039214001009,6
250039214001010,6
250039214001011,6
250039214001012,6
250039214001013,6
250039214001014,6
250039214001015,6
250039214001016,6
250039214001017,6
250039214001018,6
250039214001019,6
250039214001020,6
250039214001021,6
250039214001022,6
250039214002000,6
250039214002001,6
250039214002002,6
250039214002003,6
250039214002004,6
250039214002005,6
250039214002006,6
250039214002007,6
250039214002008,6
250039214002009,6
250039214002010,6
250039214002011,6
250039214002012,6
250039214002013,6
250039214002014,6
250039214002015,6
250039214002016,6
250039214002017,6
250039214002018,6
250039214002019,6
250039214002020,6
250039214002021,6
250039214002022,6
250039214002023,6
250039214002024,6
250039214002025,6
250039214002026,6
250039214002027,6
250039214002028,6
250039214002029,6
250039214002030,6
250039353003031,6
250039353003032,6
250039353003033,6
250039353003043,6
250039353003044,6
250039353003047,6
250039353003048,6
250039353003049,6
250039353003050,6
250039353003051,6
250039353003052,6
250039353003053,6
250039353003054,6
250039353003055,6
250039353003056,6
250039353003057,6
250039353003058,6
250039201011013,6
250039201011015,6
250039201011016,6
250039201011017,6
250039201011018,6
250039201021000,6
250039201021001,6
250039201021002,6
250039201021003,6
250039201021004,6
250039201021005,6
250039201021006,6
250039201021007,6
250039201021008,6
250039201021009,6
250039201021010,6
250039201021011,6
250039201021012,6
250039201021013,6
250039201021014,6
250039201021015,6
250039201021016,6
250039201021017,6
250039201021018,6
250039201021019,6
250039201021020,6
250039201021021,6
250039201021022,6
250039201021023,6
250039201021024,6
250039201021025,6
250039201021026,6
250039201021027,6
250039201021028,6
250039201021029,6
250039201021030,6
250039201021031,6
250039201021032,6
250039201021033,6
250039201021034,6
250039201021035,6
250039201021036,6
250039201021037,6
250039201021038,6
250039201021039,6
250039201021040,6
250039201021041,6
250039201021042,6
250039201022000,6
250039201022010,6
250039201022012,6
250039201022014,6
250039201022016,6
250039201022017,6
250039201022018,6
250039201022019,6
250039201022020,6
250039201022021,6
250039201022022,6
250039201022023,6
250039201022024,6
250039201022025,6
250039201022026,6
250039201022027,6
250039201022028,6
250039261001000,6
250039261001001,6
250039261001002,6
250039261001003,6
250039261001004,6
250039261001005,6
250039261001006,6
250039261001007,6
250039261001008,6
250039261001009,6
250039261001010,6
250039261001011,6
250039261001012,6
250039261001013,6
250039261001014,6
250039261001015,6
250039261001016,6
250039261001017,6
250039261001018,6
250039261001019,6
250039261001020,6
250039261001021,6
250039261001022,6
250039261001023,6
250039261001024,6
250039261001025,6
250039261001026,6
250039261001027,6
250039261001028,6
250039261001029,6
250039261001030,6
250039261001031,6
250039261001032,6
250039261001033,6
250039261001034,6
250039261001035,6
250039261001036,6
250039261001037,6
250039261001038,6
250039261001039,6
250039261001040,6
250039261001041,6
250039261001042,6
250039261001043,6
250039261001044,6
250039261001045,6
250039261001046,6
250039261001047,6
250039261001048,6
250039261001049,6
250039261001050,6
250039261001051,6
250039261001052,6
250039261001053,6
250039261001054,6
250039261001055,6
250039261001056,6
250039261001057,6
250039261001058,6
250039261001059,6
250039261001060,6
250039261001061,6
250039261001062,6
250039261001063,6
250039261001064,6
250039261001065,6
250039261001066,6
250039261001067,6
250039261001068,6
250039261001069,6
250039261001070,6
250039261001071,6
250039261001072,6
250039261001073,6
250039261001074,6
250039261002000,6
250039261002001,6
250039261002002,6
250039261002003,6
250039261002004,6
250039261002005,6
250039261002006,6
250039261002007,6
250039261002008,6
250039261002009,6
250039261002010,6
250039261002011,6
250039261002012,6
250039261002013,6
250039261002014,6
250039261002015,6
250039261002016,6
250039261002017,6
250039261002018,6
250039261002019,6
250039261002020,6
250039261002021,6
250039261003000,6
250039261003001,6
250039261003002,6
250039261003003,6
250039261003004,6
250039261003005,6
250039261003006,6
250039261003007,6
250039261003008,6
250039261003009,6
250039261003010,6
250039261003011,6
250039261003012,6
250039261003013,6
250039261003014,6
250039261003015,6
250039261003016,6
250039261003017,6
250039261003018,6
250039261003019,6
250039261003020,6
250039261003021,6
250039261003022,6
250039261003023,6
250039261003024,6
250039261003025,6
250039261003026,6
250039261003027,6
250039261003028,6
250039261003029,6
250039261003030,6
250039261003031,6
250039261003032,6
250039261003033,6
250039261003034,6
250039261003035,6
250039261003036,6
250039261003037,6
250039261003038,6
250039261003039,6
250039261003040,6
250039261003041,6
250039261003042,6
250039261004000,6
250039261004001,6
250039261004002,6
250039261004003,6
250039261004004,6
250039261004005,6
250039261004006,6
250039261004007,6
250039261004008,6
250039261004009,6
250039261004010,6
250039261004011,6
250039261004012,6
250039261004013,6
250039261004014,6
250039261004015,6
250039261004016,6
250039261004017,6
250039261004018,6
250039261004019,6
250039261004020,6
250039261004021,6
250039261004022,6
250039261004023,6
250039261004024,6
250039261004025,6
250039261004026,6
250039311001000,6
250039311001001,6
250039311001002,6
250039311001003,6
250039311001004,6
250039311001005,6
250039311001006,6
250039311001007,6
250039311001008,6
250039311001009,6
250039311001010,6
250039311001011,6
250039311001012,6
250039311001013,6
250039311001014,6
250039311001015,6
250039311002000,6
250039311002001,6
250039311002002,6
250039311002003,6
250039311002004,6
250039311002005,6
250039311002006,6
250039311002007,6
250039311002008,6
250039311002009,6
250039311002010,6
250039311002011,6
250039311002012,6
250039311002013,6
250039311002014,6
250039311002015,6
250039311002016,6
250039311002017,6
250039311002018,6
250039311002019,6
250039311002020,6
250039311002021,6
250039311002022,6
250039311002023,6
250039311002024,6
250039008004005,6
250039008004012,6
250039008004013,6
250039008004014,6
250039008004015,6
250039008004016,6
250039008004017,6
250039008004018,6
250039008004019,6
250039008004020,6
250039352002000,6
250039352002001,6
250039352002002,6
250039352002003,6
250039352002004,6
250039352002005,6
250039352002006,6
250039352002007,6
250039352002008,6
250039352002009,6
250039352002010,6
250039352002011,6
250039352002012,6
250039352002013,6
250039352002014,6
250039352002015,6
250039352002016,6
250039352002017,6
250039352002018,6
250039352003002,6
250039352003014,6
250039352004000,6
250039352004001,6
250039352004002,6
250039352004003,6
250039352004004,6
250039352004005,6
250039352004006,6
250039352004007,6
250039352004008,6
250039352005022,6
250039352005023,6
250039352005024,6
250039352005025,6
250039352005026,6
250039352005027,6
250039352005028,6
250039352005029,6
250039352005030,6
250039352005031,6
250039352005032,6
250039352005033,6
250039352005035,6
250039001002000,6
250039001002001,6
250039001002002,6
250039001002003,6
250039001002004,6
250039001002005,6
250039001002006,6
250039003002003,6
250039003002004,6
250039003002005,6
250039003002006,6
250039003002009,6
250039003002010,6
250039003003003,6
250039003003005,6
250039003003006,6
250039003003008,6
250039003003009,6
250039004002000,6
250039004002001,6
250039004002002,6
250039004002003,6
250039004002004,6
250039004002005,6
250039004002006,6
250039004002007,6
250039004002008,6
250039004002009,6
250039004002010,6
250039004002011,6
250039004002012,6
250039004002013,6
250039004002014,6
250039004002015,6
250039004002016,6
250039004002017,6
250039004002018,6
250039004002019,6
250039004002020,6
250039004002021,6
250039004002022,6
250039004004000,6
250039004004001,6
250039004004002,6
250039004004007,6
250039004004010,6
250039004004018,6
250039004004019,6
250039006003000,6
250039006003001,6
250039006003002,6
250039006003003,6
250039006003004,6
250039006003005,6
250039006003006,6
250039006003010,6
250039006003011,6
250039006003012,6
250039006003013,6
250039004003000,6
250039004003001,6
250039004003002,6
250039004003003,6
250039004003004,6
250039004003005,6
250039004003006,6
250039004003007,6
250039004003008,6
250039004003009,6
250039004003010,6
250039004003011,6
250039004003012,6
250039004003013,6
250039004003014,6
250039004003015,6
250039004003016,6
250039004003017,6
250039004003018,6
250039004003019,6
250039004003020,6
250039004003021,6
250039004003022,6
250039004003023,6
250039004003024,6
250039004003025,6
250039004003026,6
250039004003027,6
250039004004003,6
250039004004004,6
250039004004005,6
250039004004006,6
250039004004008,6
250039004004009,6
250039004004011,6
250039004004012,6
250039004004013,6
250039004004014,6
250039004004015,6
250039004004016,6
250039004004017,6
250039004004020,6
250039004004021,6
250039004004022,6
250039005002000,6
250039005002001,6
250039005002002,6
250039005002003,6
250039005002004,6
250039005002005,6
250039005002009,6
250039005002014,6
250039005002017,6
250039005002018,6
250039005002019,6
250039005002020,6
250039005002021,6
250039005002034,6
250039005002035,6
250039005002037,6
250039005002040,6
250039005002041,6
250039006001000,6
250039006001001,6
250039006001002,6
250039006001003,6
250039006001004,6
250039006001005,6
250039006001006,6
250039006001007,6
250039006001009,6
250039006001010,6
250039006001011,6
250039006003007,6
250039006003008,6
250039006003009,6
250039006004000,6
250039006004001,6
250039006004002,6
250039006004003,6
