GEOID20,District
240479500001000,8
240479500001001,8
240479500001002,8
240479500001003,8
240479500001004,8
240479500001005,8
240479500001006,8
240479500001007,8
240479500001008,8
240479500001009,8
240479500001010,8
240479500001011,8
240479500001012,8
240479500001013,8
240479500002000,8
240479500002001,8
240479500002002,8
240479500002003,8
240479500002004,8
240479500002005,8
240479500002006,8
240479500002007,8
240479500002008,8
240479500002009,8
240479500002010,8
240479500002011,8
240479500002012,8
240479500002013,8
240479500002014,8
240479500002015,8
240479500002016,8
240479500002017,8
240479500002018,8
240479500002019,8
240479500002020,8
240479500002021,8
240479500002022,8
240479500002023,8
240479500002024,8
240479500002025,8
240479500002026,8
240479500002027,8
240479500002028,8
240479500002029,8
240479500002030,8
240479500002031,8
240479500002032,8
240479500002033,8
240479500002034,8
240479500002035,8
240479500002036,8
240479500002037,8
240479500002039,8
240479500002040,8
240479500002041,8
240479500002042,8
240479500002043,8
240479500002044,8
240479500002045,8
240479500002046,8
240479500002047,8
240479500002048,8
240479500002049,8
240479500002050,8
240479500002051,8
240479500002061,8
240479500002062,8
240479500002063,8
240479500002064,8
240479500002065,8
240479500002066,8
240479500002067,8
240479500002068,8
240479500002069,8
240479500002070,8
240479500002071,8
240479500002072,8
240479500002073,8
240479500002074,8
240479500002075,8
240479500002076,8
240479500002077,8
240479500002078,8
240479500002079,8
240479500002080,8
240479500002081,8
240479500002082,8
240479500002083,8
240479500002084,8
240479500002085,8
240479500002086,8
240479500002087,8
240479500002088,8
240479500002089,8
240479500002090,8
240479500002091,8
240479500002092,8
240479500002093,8
240479500002094,8
240479500002095,8
240479500002096,8
240479500002097,8
240479500002098,8
240479500002099,8
240479500002100,8
240479500002101,8
240479500002102,8
240479500002103,8
240479500002104,8
240479500002105,8
240479500003002,8
240479500003004,8
240479500003005,8
240479500003006,8
240479500003007,8
240479500003008,8
240479500003009,8
240479500003010,8
240479500003011,8
240479500003012,8
240479500003013,8
240479500003014,8
240479500003015,8
240479500003016,8
240479500003017,8
240479500003018,8
240479500003019,8
240479500003020,8
240479500003021,8
240479500003022,8
240479500004000,8
240479500004001,8
240479500004002,8
240479500004003,8
240479500004004,8
240479500004005,8
240479500004006,8
240479500004007,8
240479500004008,8
240479500004009,8
240479500004010,8
240479500004011,8
240479500004012,8
240479500004013,8
240479500004014,8
240479500004015,8
240479500004016,8
240479500004017,8
240479500004018,8
240479500004019,8
240479500004020,8
240479500004021,8
240479500004022,8
240479500004023,8
240479500004024,8
