GEOID20,District
271230367003009,1
271230367003025,1
271230376031000,1
271230376031001,1
271230376031002,1
271230376031003,1
271230376031004,1
271230376031005,1
271230376031006,1
271230376031007,1
271230376032000,1
271230376032001,1
271230376032002,1
271230376032003,1
271230376032004,1
271230376032005,1
271230376032006,1
271230376041000,1
271230376041001,1
271230376041002,1
271230376041003,1
271230376041004,1
271230376041005,1
271230376041011,1
271230376041012,1
271230376041013,1
271230376041014,1
271230376041018,1
271230376041019,1
271230376041020,1
271230376041021,1
271230421012000,1
271230421012001,1
271230421012002,1
271230421012003,1
271230421012004,1
271230421013000,1
271230421013001,1
271230421013002,1
271230421013003,1
271230421013004,1
271230421013005,1
271230421013006,1
271230421013007,1
271230421013008,1
271230421013009,1
271230421013010,1
271230421013011,1
271230421013012,1
271230421013013,1
271230421013014,1
271230421013015,1
271230421013016,1
271230421013017,1
271230421013018,1
271230421013019,1
271230421013020,1
271230421013021,1
271230421013022,1
271230421013023,1
271230421014003,1
271230421014004,1
271230421014006,1
271230421015004,1
271230407051000,4
271230407051001,4
271230407051002,4
271230407051003,4
271230407051004,4
271230407051005,4
271230407051006,4
271230407051007,4
271230407051008,4
271230407051009,4
271230407051010,4
271230407051011,4
271230407051012,4
271230407051013,4
271230407051014,4
271230407051015,4
271230407051016,4
271230407051017,4
271230407051018,4
271230407051019,4
271230407051020,4
271230407051021,4
271230407051022,4
271230407051023,4
271230407051024,4
271230407051025,4
271230407051026,4
271230407051027,4
271230407052000,4
271230407052001,4
271230407052002,4
271230407052003,4
271230407052004,4
271230407052005,4
271230407052006,4
271230407052007,4
271230407052008,4
271230407052009,4
271230407052010,4
271230407052011,4
271230407052012,4
271230407052013,4
271230407052015,4
271230407052016,4
271230407053000,4
271230407053001,4
271230407053002,4
271230407053003,4
271230407053004,4
271230407053005,4
271230407053006,4
271230407053007,4
271230407053008,4
271230407053009,4
271230407053010,4
271230407053011,4
271230407053012,4
271230407053013,4
271230407053014,4
271230407053015,4
271230407053016,4
271230407063007,4
271230330001000,1
271230330001001,1
271230330001003,1
271230330001018,1
271230330001020,1
271230330001021,1
271230331001002,1
271230331001003,1
271230331001004,1
271230331001006,1
271230331001007,1
271230331001008,1
271230331001009,1
271230331001010,1
271230331001011,1
271230331002003,1
271230331002004,1
271230331002005,1
271230331002006,1
271230331002007,1
271230331002008,1
271230331002009,1
271230331002010,1
271230331002012,1
271230331002013,1
271230331002014,1
271230331002015,1
271230331002016,1
271230331002017,1
271230331002018,1
271230331002019,1
271230344001002,1
271230344001003,1
271230344001004,1
271230344001005,1
271230344001006,1
271230344001008,1
271230344001009,1
271230344001034,1
271230344002000,1
271230344002001,1
271230344002002,1
271230344002003,1
271230344002004,1
271230344002005,1
271230344002006,1
271230344002007,1
271230344002008,1
271230344002009,1
271230344002010,1
271230344002011,1
271230344002012,1
271230344002013,1
271230344002014,1
271230344002015,1
271230344002016,1
271230344002017,1
271230345001006,1
271230345001007,1
271230345001008,1
271230345001009,1
271230345001010,1
271230345001011,1
271230345001016,1
271230345001017,1
271230345001018,1
271230345001019,1
271230345003000,1
271230345003001,1
271230345003002,1
271230345003003,1
271230345003004,1
271230345003005,1
271230345003006,1
271230345003007,1
271230345003008,1
271230309001004,1
271230309001005,1
271230309001006,1
271230309001007,1
271230309001008,1
271230309001009,1
271230309001010,1
271230309001011,1
271230309001012,1
271230309001013,1
271230309001014,1
271230309001015,1
271230309002000,1
271230309002001,1
271230309002002,1
271230309002003,1
271230309002004,1
271230309002005,1
271230309002006,1
271230309002007,1
271230309002008,1
271230309002009,1
271230309002010,1
271230309002011,1
271230309002012,1
271230309002013,1
271230309002014,1
271230309002015,1
271230309002016,1
271230309002017,1
271230309002018,1
271230309002019,1
271230309003002,1
271230309003003,1
271230309003004,1
271230309003005,1
271230309003006,1
271230309003007,1
271230309003008,1
271230309003009,1
271230309003010,1
271230309003011,1
271230309003012,1
271230309003013,1
271230309003014,1
271230309003015,1
271230309003016,1
271230309003017,1
