GEOID20,District
340330222011000,2
340330222011001,2
340330222011002,2
340330222011003,2
340330222011004,2
340330222011005,2
340330222011006,2
340330222011007,2
340330222011008,2
340330222011009,2
340330222011010,2
340330222011011,2
340330222011012,2
340330222011013,2
340330222011014,2
340330222011015,2
340330222011016,2
340330222011017,2
340330222011018,2
340330222011019,2
340330222011020,2
340330222011021,2
340330222011022,2
340330222011023,2
340330222011024,2
340330222011025,2
340330222011026,2
340330222011027,2
340330222011028,2
340330222011029,2
340330222011030,2
340330222011031,2
340330222011032,2
340330222011033,2
340330222011034,2
340330222011035,2
340330222011036,2
340330222011037,2
340330222011038,2
340330222011039,2
340330222011040,2
340330222011041,2
340330222011045,2
340330222011046,2
340330222011047,2
340330222011048,2
340330222011070,2
340330222011072,2
340330222012000,2
340330222012001,2
340330222012002,2
340330222012003,2
340330222012004,2
340330222012005,2
340330222012006,2
340330222012007,2
340330222012008,2
340330222012009,2
340330222012010,2
340330222012011,2
340330222012012,2
340330222012013,2
340330222012014,2
340330222012015,2
340330222012016,2
340330222012017,2
340330222012018,2
340330222012019,2
340330222012020,2
340330222012021,2
340330222012022,2
340330222012023,2
340330222012024,2
340330222012025,2
340330222012026,2
340330222012027,2
340330222012028,2
340330222012046,2
340330222012047,2
340330222012050,2
340330222012051,2
340339900000001,2
340330222021000,2
340330222021001,2
340330222021002,2
340330222021003,2
340330222021004,2
340330222021005,2
340330222021006,2
340330222021007,2
340330222021008,2
340330222021009,2
340330222021010,2
340330222021011,2
340330222021012,2
340330222021013,2
340330222021014,2
340330222021015,2
340330222021016,2
340330222021017,2
340330222021018,2
340330222021019,2
340330222021020,2
340330222021021,2
340330222021022,2
340330222021023,2
340330222021024,2
340330222021025,2
340330222021026,2
340330222021027,2
340330222021028,2
340330222021029,2
340330222021030,2
340330222021031,2
340330222021032,2
340330222021033,2
340330222021034,2
340330222021035,2
340330222021036,2
340330222021037,2
340330222021038,2
340330222021039,2
340330222021040,2
340330222021041,2
340330222021042,2
340330222021043,2
340330222021044,2
340330222021045,2
340330222021046,2
340330216004014,2
340330216004015,2
340330216004017,2
340330216004018,2
