GEOID20,District
401091074061000,1
401091074061001,1
401091074061002,1
401091074061003,1
401091074061004,1
401091074061005,1
401091074061006,1
401091074061007,1
401091074061008,1
401091074061009,1
401091074061010,1
401091074061011,1
401091074061012,1
401091074061013,1
401091074061014,1
401091074061015,1
401091074061016,1
401091074061017,1
401091074061018,1
401091074061019,1
401091074061020,1
401091074061021,1
401091074061022,1
401091074061023,1
401091074062000,1
401091074062001,1
401091074062002,1
401091074062003,1
401091074062004,1
401091074062005,1
401091074062006,1
401091074062007,1
401091074062008,1
401091074062009,1
401091074062010,1
401091074062011,1
401091074062012,1
401091074062013,1
401091074062014,1
401091074062015,1
401091074062016,1
401091074062017,1
401091074062018,1
401091074062019,1
401091074063000,1
401091074063001,1
401091074063002,1
401091074063003,1
401091074063004,1
401091074063005,1
401091074063006,1
401091074063007,1
401091074063008,1
401091074063009,1
401091074063010,1
401091074063011,1
401091074063012,1
401091074063013,1
401091074063014,1
401091074063015,1
401091074063016,1
401091074063017,1
401091074063018,1
401091074063019,1
401091074063020,1
401091074063021,1
401091074063022,1
401091074063023,1
401091074063024,1
401091074063025,1
401091074063026,1
401091074063027,1
401091074064000,1
401091074064001,1
401091074064002,1
401091074064003,1
401091074064004,1
401091074064005,1
401091074064006,1
401091074064007,1
401091074064008,1
401091074064009,1
401091074071035,1
401091074071036,1
401091074071044,1
401091074071045,1
401091074071049,1
401099800011000,1
401099800011001,1
401099800011002,1
401099800011003,1
401099800011004,1
401099800011005,1
401099800011006,1
401099800011007,1
401099800011008,1
401099800011009,1
401099800011010,1
401099800011011,1
401099800011012,1
401099800011013,1
401099800011014,1
401099800011015,1
401099800011016,1
401099800011017,1
401099800011018,1
401099800011019,1
401099800011020,1
401099800011021,1
401099800011022,1
401099800011023,1
401099800011024,1
401099800011025,1
401099800011026,1
401099800011027,1
401099800011028,1
401099800011029,1
401099800011030,1
401099800011031,1
401099800011032,1
401099800011033,1
401099800011035,1
401099800011036,1
401099800011037,1
401099800011038,1
401099800011039,1
401099800011042,1
401099800011043,1
401099800011044,1
401099800011045,1
401099800011046,1
401099800011047,1
401091068031000,1
401091068031001,1
401091068031002,1
401091068031003,1
401091068031004,1
401091068031005,1
401091068031006,1
401091068031007,1
401091068031008,1
401091068031009,1
401091068031010,1
401091068031011,1
401091068031012,1
401091068031013,1
401091068031014,1
401091068031015,1
401091068031016,1
