GEOID20,District
401430039001000,1
401430039001001,1
401430039001002,1
401430039001003,1
401430039001004,1
401430039001005,1
401430039001006,1
401430039001007,1
401430039001008,1
401430039001009,1
401430039001010,1
401430039001011,1
401430039001012,1
401430039001013,1
401430039001014,1
401430039001015,1
401430039001016,1
401430039001017,1
401430039001018,1
401430039001019,1
401430039001020,1
401430039001021,1
401430039001022,1
401430039001023,1
401430039001024,1
401430039001025,1
401430039001026,1
401430039001027,1
401430039001028,1
401430039001029,1
401430039001030,1
401430039001031,1
401430039004001,1
401430039004002,1
401430067111000,1
401430067111001,1
401430067111002,1
401430067111003,1
401430067111004,1
401430067111005,1
401430067112007,1
401430067112008,1
401430067112009,1
401430067112010,1
401430067112011,1
401430067112012,1
401430067112013,1
401430067112014,1
401430067112015,1
401430067112016,1
401430067112017,1
401430067112018,1
401430067112019,1
401430067112020,1
401430067112021,1
401430004001000,1
401430004001001,1
401430004001002,1
401430004001003,1
401430004001004,1
401430004001005,1
401430004001006,1
401430004001007,1
401430004001008,1
401430004001009,1
401430004001010,1
401430004001011,1
401430004001012,1
401430004001013,1
401430004001014,1
401430004001015,1
401430004001016,1
401430004001017,1
401430004001018,1
401430004001019,1
401430004001020,1
401430004001021,1
401430004001022,1
401430004001023,1
401430004001024,1
401430004001025,1
401430004001026,1
401430004001027,1
401430004001028,1
401430004001029,1
401430004001030,1
401430004001031,1
401430004001032,1
401430004001033,1
401430004001034,1
401430004001035,1
401430004001036,1
401430004001037,1
401430004001038,1
401430004001039,1
401430004001040,1
401430004001041,1
401430004001042,1
401430004002000,1
401430004002001,1
401430004002002,1
401430004002003,1
401430004002004,1
401430004002005,1
401430004002006,1
401430004002007,1
401430004002008,1
401430004002009,1
401430004002010,1
401430004002011,1
401430004002012,1
401430004002013,1
401430004002014,1
401430004002015,1
401430004002016,1
401430004002017,1
401430004002018,1
401430004002019,1
401430004002020,1
401430004002021,1
401430004002022,1
401430004002023,1
401430004002024,1
401430004002025,1
401430004002026,1
401430004002027,1
401430004002028,1
401430004003000,1
401430004003001,1
401430004003002,1
401430004003003,1
401430004003004,1
401430004003005,1
401430004003006,1
401430004003007,1
401430004003008,1
401430004003009,1
401430004003010,1
401430004003011,1
401430004003012,1
401430004003013,1
401430004003014,1
401430004003015,1
401430004003016,1
401430004003017,1
401430004003018,1
401430004003019,1
401430004003020,1
401430004003021,1
401430004003022,1
401430004003023,1
401430004003024,1
401430004003025,1
401430004003026,1
401430004003027,1
401430004003028,1
401430004003029,1
401430005001000,1
401430041012000,1
401430041012001,1
401430041012002,1
401430041012003,1
401430041012004,1
401430041012005,1
401430041012006,1
401430041012007,1
401430041012008,1
401430041012009,1
401430041012010,1
401430041012011,1
401430041012012,1
401430041012013,1
401430041012014,1
401430041012015,1
401430041012016,1
401430041012017,1
401430041012018,1
401430041012019,1
401430041012020,1
401430041012021,1
401430041012022,1
401430041013005,1
401430041013006,1
401430041013007,1
401430041013008,1
401430041013009,1
401430041013010,1
401430041013011,1
401430041013012,1
401430041013013,1
401430041013014,1
401430041013015,1
401430031001000,1
401430031001001,1
401430031001002,1
401430031001003,1
401430031001004,1
401430031001005,1
401430031001006,1
401430031001007,1
401430031001008,1
401430031001009,1
401430031001010,1
401430031001011,1
401430031001012,1
401430031001013,1
401430031001014,1
401430031001015,1
401430031001016,1
401430031001017,1
401430031001018,1
401430031001019,1
401430031001020,1
401430031001021,1
401430031001022,1
401430031001023,1
401430031001024,1
401430031001025,1
401430031001026,1
401430031001027,1
401430031001028,1
401430031001029,1
401430031001030,1
401430031001031,1
401430031001032,1
401430031002000,1
401430031002001,1
401430031002002,1
401430031002003,1
401430031002004,1
401430031002005,1
401430031002006,1
401430031002007,1
401430031002008,1
401430031002009,1
401430031002010,1
401430031002011,1
401430031002012,1
401430031002013,1
401430031002014,1
401430031002015,1
401430031002016,1
401430031002017,1
401430031002018,1
401430031002019,1
401430031002020,1
401430031002021,1
401430031002022,1
401430031002023,1
401430031002024,1
401430031002025,1
401430031002026,1
401430031002027,1
401430031002028,1
401430031002029,1
401430031002030,1
401430031002031,1
401430031002032,1
401430031002033,1
401430031002034,1
401430031002035,1
401430031002036,1
401430032001011,1
401430032001012,1
401430032001013,1
401430032001014,1
401430032001015,1
401430032001016,1
401430032001017,1
401430032001033,1
401430032001034,1
401430032001035,1
401430032001036,1
401430032001037,1
401430032001038,1
401430032001039,1
401430032001040,1
401430032001041,1
401430032001042,1
401430032001043,1
401430032001044,1
401430032001045,1
401430032001046,1
401430032001047,1
401430032001048,1
401430032001049,1
401430032001056,1
401430032001057,1
401430032001058,1
401430032001059,1
401430032001066,1
401430032001067,1
401430032001068,1
401430032001069,1
401430025001000,1
401430025001001,1
401430025001002,1
401430025001003,1
401430025001004,1
401430025001005,1
401430025001006,1
401430025001007,1
401430025001008,1
401430025001009,1
401430025001010,1
401430025001011,1
401430025001012,1
401430025001013,1
401430025001014,1
