GEOID20,District
400259501001585,1
400259501001600,1
400259501001601,1
400259501001602,1
400259501001603,1
400259501001604,1
400259501001605,1
400259501001606,1
400259501001608,1
400259501001609,1
400259501001610,1
400259501001611,1
400259501001612,1
400259501001613,1
400259501001663,1
400259501001728,1
400259501001729,1
400259501001730,1
400259501001775,1
400259501001776,1
400259501001777,1
400259501001779,1
400259501001780,1
400259501001781,1
400259501001782,1
400259501001783,1
400259501001784,1
400259501001785,1
400259501001788,1
400259501001789,1
400259501001790,1
400259501001791,1
400259501001797,1
400259501001798,1
400259501001799,1
400259501001800,1
400259501001801,1
400259501001802,1
400259501001803,1
400259501001804,1
400259501001805,1
400259501001806,1
400259501001807,1
400259501001808,1
400259501001809,1
400259501001810,1
400259501001811,1
400259501001812,1
400259501001813,1
400259501001814,1
400259501001815,1
400259501001827,1
400259501001828,1
400259501001829,1
400259501001830,1
400259501001831,1
400259501001839,1
400259501001840,1
400259501001841,1
400259501001842,1
400259501001848,1
400259501001849,1
400259501001850,1
400259501001868,1
400259501001869,1
400259501001870,1
400259501001871,1
400259501001872,1
400259501001873,1
400259501001881,1
400259501001889,1
400259503001100,1
400259503001101,1
400259503001108,1
400259503001109,1
400259503001122,1
400259503001123,1
400259503001136,1
400259503001137,1
400259503001138,1
400259503001139,1
400259503001140,1
400259503001156,1
400259503001157,1
400259503001158,1
400259503001159,1
400259503001160,1
400259503001161,1
400259503001162,1
400259503001163,1
400259503001164,1
400259503001165,1
400259503001169,1
400259503001170,1
400259503001171,1
400259503001172,1
400259503001173,1
400259503001174,1
400259503001175,1
400259503001176,1
400259503001190,1
400259503001191,1
400259503001192,1
400259503001193,1
400259503001194,1
400259503001195,1
400259503001196,1
400259503001197,1
400259503001198,1
400259503001199,1
400259503001200,1
400259503001201,1
400259503001202,1
400259503001203,1
400259503001204,1
400259503001205,1
400259503001206,1
400259503001207,1
400259503001208,1
400259503001210,1
400259503001211,1
400259503001212,1
400259503001235,1
400259503001236,1
400259503001239,1
400259503001240,1
400259503001241,1
400259503001242,1
400259503001243,1
400259503001244,1
400259503001245,1
400259503001246,1
400259503001247,1
400259503001248,1
400259503001249,1
400259503001250,1
400259503001251,1
400259503001252,1
400259503001253,1
400259503001254,1
400259503001255,1
400259503001261,1
400259503001264,1
400259501001000,1
400259501001001,1
400259501001002,1
400259501001003,1
400259501001004,1
400259501001005,1
400259501001006,1
400259501001007,1
400259501001008,1
400259501001009,1
400259501001010,1
400259501001011,1
400259501001012,1
400259501001013,1
400259501001014,1
400259501001015,1
400259501001016,1
400259501001017,1
400259501001018,1
400259501001019,1
400259501001020,1
400259501001021,1
400259501001022,1
400259501001023,1
400259501001024,1
400259501001025,1
400259501001026,1
400259501001027,1
400259501001028,1
400259501001102,1
400259501001103,1
400259501001106,1
400259501001107,1
400259501001121,1
400259501001122,1
400259501001124,1
400259501001125,1
400259501001126,1
400259501001127,1
400259501001128,1
400259501001129,1
400259501001130,1
400259501001131,1
400259501001132,1
400259501001133,1
400259501001134,1
400259501001135,1
400259501001136,1
400259501001137,1
400259501001138,1
400259501001139,1
400259501001140,1
400259501001141,1
400259501001142,1
400259501001143,1
400259501001144,1
400259501001145,1
400259501001146,1
400259501001147,1
400259501001148,1
400259501001149,1
400259501001150,1
400259501001151,1
400259501001152,1
400259501001153,1
400259501001154,1
400259501001155,1
400259501001156,1
400259501001157,1
400259501001158,1
400259501001159,1
400259501001160,1
400259501001161,1
400259501001162,1
400259501001163,1
400259501001164,1
400259501001165,1
400259501001166,1
400259501001167,1
400259501001168,1
400259501001169,1
400259501001170,1
400259501001171,1
400259501001172,1
400259501001173,1
400259501001174,1
400259501001175,1
400259501001176,1
400259501001177,1
400259501001178,1
400259501001179,1
400259501001180,1
400259501001181,1
400259501001182,1
400259501001183,1
400259501001184,1
400259501001185,1
400259501001186,1
400259501001187,1
400259501001188,1
400259501001189,1
400259501001190,1
400259501001191,1
400259501001192,1
400259501001193,1
400259501001194,1
400259501001195,1
400259501001196,1
400259501001197,1
400259501001198,1
400259501001199,1
400259501001200,1
400259501001201,1
400259501001202,1
400259501001203,1
400259501001204,1
400259501001205,1
400259501001206,1
400259501001207,1
400259501001208,1
400259501001209,1
400259501001210,1
400259501001211,1
400259501001212,1
400259501001213,1
400259501001214,1
400259501001215,1
400259501001216,1
400259501001217,1
400259501001218,1
400259501001219,1
400259501001220,1
400259501001221,1
400259501001222,1
400259501001225,1
400259501001226,1
400259501001227,1
400259501001228,1
400259501001229,1
400259501001230,1
400259501001231,1
400259501001232,1
400259501001233,1
400259501001234,1
400259501001235,1
400259501001236,1
400259501001237,1
400259501001238,1
400259501001239,1
400259501001240,1
400259501001241,1
400259501001242,1
400259501001243,1
400259501001244,1
400259501001245,1
400259501001246,1
400259501001247,1
400259501001248,1
400259501001249,1
400259501001250,1
400259501001251,1
400259501001252,1
400259501001253,1
400259501001254,1
400259501001255,1
400259501001256,1
400259501001257,1
400259501001258,1
