GEOID20,District
410470103032000,6
410470103032001,6
410470103032002,6
410470103032003,6
410470103032004,6
410470103032005,6
410470103032006,6
410470103032007,6
410470103032008,6
410470103032009,6
410470103032010,6
410470103032011,6
410470103032012,6
410470103032013,6
410470103032014,6
410470103032015,6
410470103032016,6
410470103032017,6
410470103032018,6
410470103032019,6
410470103032020,6
410470103032021,6
410470103032022,6
410470103032023,6
410470103032024,6
410470103032025,6
410470103032026,6
410470103032027,6
410470103032028,6
410470103032029,6
410470103032030,6
410470103032031,6
410470103032032,6
410470103032033,6
410470103032034,6
410470103032035,6
410470103032036,6
410470103032037,6
410470103032038,6
410470103032039,6
410470103032040,6
410470103032041,6
410470103032042,6
410470103032043,6
410470103032044,6
410470103032045,6
410470103032046,6
410470103032047,6
410470103032048,6
410470103032049,6
410470103032050,6
410470103032051,6
410470103032052,6
410470103032053,6
410470103032054,6
410470103032055,6
410470103032056,6
410470103032057,6
410470103032058,6
410470103032059,6
410470103032060,6
410470103032061,6
410470103032062,6
410470103032063,6
410470103032064,6
410470103032065,6
410470103032066,6
410470103032067,6
410470103032068,6
410470103032069,6
410470103032070,6
410470103032071,6
410470103032072,6
410470103032073,6
410470103032074,6
410470103032075,6
410470103032076,6
410470103032077,6
410470103032078,6
410470103032079,6
410470103032080,6
410470103032081,6
410470103032082,6
410470103032083,6
410470103032084,6
410470103032085,6
410470103032086,6
410470103032087,6
410470103032088,6
410470103032089,6
410470103032090,6
410470103032091,6
410470103032092,6
410470103032093,6
410470103032094,6
410470103032095,6
410470103032096,6
410470103032097,6
410470103032098,6
410470103032099,6
410470103032100,6
410470103032101,6
410470103032102,6
410470103032103,6
410470103032104,6
410470103032105,6
410470103031000,6
410470103031001,6
410470103031002,6
410470103031003,6
410470103031004,6
410470103031005,6
410470103031006,6
410470103031007,6
410470103031008,6
410470103031009,6
410470103031010,6
410470103031011,6
410470103031012,6
410470103031013,6
410470103031014,6
410470103031015,6
410470103031016,6
410470103031017,6
410470103031018,6
410470103031019,6
410470103031020,6
410470103031021,6
410470103031022,6
410470103031023,6
410470103031024,6
410470103031025,6
410470103031026,6
410470103031027,6
410470103031028,6
410470103031029,6
410470103031030,6
410470103031031,6
410470103031032,6
410470103031033,6
410470103031034,6
410470103031035,6
410470103031036,6
410470103031037,6
410470103031038,6
410470103031039,6
410470103031040,6
410470103031041,6
410470103031042,6
410470103031043,6
410470103031044,6
410470103031045,6
410470103031046,6
410470103031047,6
410470103031048,6
410470103031049,6
410470103031050,6
410470103031051,6
410470103031052,6
410470103031053,6
410470103031054,6
410470103031055,6
410470103031056,6
410470103031057,6
410470103031058,6
410470103031059,6
410470103031060,6
410470103031061,6
410470103031062,6
410470103031063,6
410470103031064,6
410470103042000,2
410470103042001,2
410470103042002,2
410470103042003,2
410470103042004,2
410470103042005,2
410470103042006,2
410470103042007,2
410470103042008,2
410470103042009,2
410470103042010,2
410470103042011,2
410470103042012,2
410470103042013,2
410470103042014,2
410470103042015,2
410470103042016,2
410470103042017,2
410470103042018,2
410470103042019,2
410470103042020,2
410470103042021,2
410470103042022,2
410470103044000,2
410470103044001,2
410470103044002,2
410470103044003,2
410470103044004,2
410470103044005,2
410470103044006,2
410470103044007,2
410470103044008,2
410470103044009,2
410470103044010,2
410470103044011,2
410470103044012,2
410470103044013,2
410470103044014,2
410470103044015,2
410470103044016,2
410470103044017,2
410470103043000,2
410470103043001,2
410470103043002,2
410470103043003,2
410470103043004,2
410470103043005,2
410470103043006,2
410470103043007,2
410470103043008,2
410470103043009,2
410470103041000,2
410470103041001,2
410470103041002,2
410470103041003,2
410470103041004,2
410470103041005,2
410470103041006,2
410470103041007,2
410470103041008,2
410470103041009,2
410470103041010,2
410470103051000,2
410470103051001,2
410470103051002,2
410470103051003,2
410470103051004,2
410470103051005,2
410470103051006,2
410470103051007,2
410470103051008,2
410470103051009,2
410470103051010,2
410470103051011,2
410470103051012,2
410470103051013,2
410470103051014,2
410470103051015,2
410470103051016,2
410470103051017,2
410470103051018,2
410470103051019,2
410470103051020,2
410470103051021,2
410470103053000,2
410470103053001,2
410470103053002,2
410470103053003,2
410470103053004,2
410470103053005,2
410470103053006,2
410470103053007,2
410470103053008,2
410470103053009,2
410470103053010,2
410470103053011,2
410470103053012,2
410470103053013,2
410470103053014,2
410470103053015,2
410470103053016,2
410470103053017,2
410470103053018,2
410470103053019,2
410470103053020,2
410470103053021,2
410470103053022,2
410470103053023,2
410470103052000,2
410470103052001,2
410470103052002,2
410470103052003,2
410470103052004,2
410470103052005,2
410470103052006,2
410470103052007,2
410470103052008,2
410470103052009,2
410470103052010,2
410470103052011,2
410470103052012,2
410470103052013,2
410470103052014,2
410470103052015,2
410470103052016,2
410470103052017,2
410470103052018,2
410470103052019,2
410470103094000,2
410470103094001,2
410470103094002,2
410470103094003,2
410470103094004,2
410470103094005,2
410470103094006,2
410470103094007,2
410470103094008,2
410470103094009,2
410470103094010,2
410470103094011,2
410470103094012,2
410470103094013,2
410470103094014,2
410470103094015,2
410470103094016,2
410470103094017,2
410470103094018,2
410470103094019,2
410470103094020,2
410470103094021,2
410470103094022,2
410470103094023,2
410470103094024,2
410470103094025,2
410470103094026,2
410470103094027,2
410470103094028,2
410470103094029,2
410470103094030,2
410470103094031,2
410470103094032,2
410470103094033,2
410470103094034,2
410470103094035,2
410470103094036,2
410470103094037,2
410470103094038,2
410470103094039,2
410470103094040,2
410470103094041,2
410470103082000,2
410470103082001,2
410470103082002,2
410470103082003,2
410470103082004,2
410470103082005,2
410470103082006,2
410470103082007,2
410470103082008,2
410470103082009,2
410470103082010,2
410470103082011,2
410470103093000,2
410470103093001,2
410470103093002,2
410470103093003,2
410470103093004,2
410470103093005,2
410470103093006,2
410470103093007,2
410470103093008,2
410470103093009,2
410470103091000,2
410470103091001,2
410470103091002,2
410470103091003,2
410470103091004,2
410470103091005,2
410470103091006,2
410470103091007,2
410470103091008,2
410470103091009,2
410470103091010,2
410470103091011,2
410470103091012,2
410470103091013,2
410470103091014,2
410470103091015,2
410470103091016,2
410470103091017,2
410470103091018,2
410470103091019,2
410470103081000,2
410470103081001,2
410470103081002,2
410470103081003,2
410470103081004,2
410470103081005,2
410470103081006,2
410470103081007,2
410470103081008,2
410470103081009,2
410470103081010,2
410470103081011,2
410470103081012,2
410470103081013,2
410470103081014,2
410470103081015,2
410470103081016,2
410470103081017,2
410470103081018,2
410470103081019,2
410470103081020,2
410470103092000,2
410470103071000,2
410470103071001,2
410470103071002,2
410470103071003,2
410470103071004,2
410470103071005,2
410470103071006,2
410470103071007,2
410470103071008,2
410470103071009,2
410470103071010,2
410470103071011,2
410470103071012,2
410470103071013,2
410470103071014,2
410470103071015,2
410470103071016,2
410470103071017,2
410470103071018,2
410470103071019,2
410470103071020,2
410470103071021,2
410470103071022,2
410470103071023,2
410470103071024,2
410470103071025,2
410470103071026,2
410470103071027,2
410470103071028,2
410470005011000,2
410470005011001,2
410470005011002,2
410470005011003,2
410470005011004,2
410470005011005,2
410470005011006,2
410470005011007,2
410470005011008,2
410470005011009,2
410470005011010,2
410470005011011,2
410470005011012,2
410470005011013,2
410470005011014,2
410470005011015,2
410470005011016,2
410470005011017,2
410470005012000,2
410470005012001,2
410470005012002,2
410470005012003,2
410470005012004,2
410470005012005,2
410470005012006,2
410470005012007,2
410470005012008,2
410470005012009,2
410470005012010,2
410470005012011,2
410470005012012,2
410470005012013,2
410470005012014,2
410470005012015,2
410470005012016,2
410470005012017,2
410470005012018,2
410470005012019,2
410470005012020,2
410470016071000,2
410470016071001,2
410470016071002,2
410470016071003,2
410470016071004,2
410470016071005,2
410470016071006,2
410470016071007,2
410470016071008,2
410470016071009,2
410470016071010,2
410470016071011,2
410470016071012,2
410470016071013,2
410470016071014,2
410470016071015,2
410470016071016,2
410470016071017,2
410470016071018,2
410470016071019,2
410470016071020,2
410470016071021,2
410470016071022,2
410470016071023,2
410470016071024,2
410470016052000,2
410470016052001,2
410470016052002,2
410470016052003,2
410470016052004,2
410470016052005,2
410470016052006,2
410470016052007,2
410470016052008,2
410470016052009,2
410470016052010,2
410470005023000,2
410470005023001,2
410470005023002,2
410470005023003,2
410470005023004,2
410470005023005,2
410470005023006,2
410470005023007,2
410470005023008,2
410470005023009,2
410470005023010,2
410470005023011,2
410470005023012,2
410470005023013,2
410470005023014,2
410470005023015,2
410470005023016,2
410470005023017,2
410470005023018,2
410470005023019,2
410470005022000,2
410470005022001,2
410470005022002,2
410470005022003,2
410470005022004,2
410470005022005,2
410470005022006,2
410470005022007,2
410470005022008,2
410470005022009,2
410470005022010,2
410470005022011,2
410470005022012,2
410470016051000,2
410470016051001,2
410470016051002,2
410470016051003,2
410470016051004,2
410470016051005,2
410470016051006,2
410470016051007,2
410470016051008,2
410470016051009,2
410470016051010,2
410470016051011,2
410470016051012,2
410470016051013,2
410470016051014,2
410470016051015,2
410470016051016,2
410470016051017,2
410470016051018,2
410470016063000,2
410470016063001,2
410470016063002,2
410470016063003,2
410470016063004,2
410470016063005,2
410470016063006,2
410470016063007,2
410470016063008,2
410470016063009,2
410470016063010,2
410470016063011,2
410470016072000,2
410470016072001,2
410470016072002,2
410470016072003,2
410470016072004,2
410470016072005,2
410470016072006,2
410470016072007,2
410470016072008,2
410470016072009,2
410470016072010,2
410470016072011,2
410470016072012,2
410470016072013,2
410470016072014,2
410470016072015,2
410470016072016,2
410470016072017,2
410470016072018,2
410470016072019,2
410470016072020,2
410470016082000,2
410470016082001,2
410470016082002,2
410470016082003,2
410470016082004,2
410470016082005,2
410470016082006,2
410470016082007,2
410470016082008,2
410470016082009,2
410470016082010,2
410470016082011,2
410470016082012,2
410470016082013,2
410470016082014,2
410470016082015,2
410470016082016,2
410470016082017,2
410470016061000,2
410470016061001,2
410470016061002,2
410470016061003,2
410470016061004,2
410470016061005,2
410470016061006,2
410470016081000,2
410470016081001,2
410470016081002,2
410470016081003,2
410470016081004,2
410470016081005,2
410470016081006,2
410470016081007,2
410470016081008,2
410470016081009,2
410470016081010,2
410470016081011,2
410470016081012,2
410470016081013,2
410470016081014,2
410470016034000,2
410470016034001,2
410470016034002,2
410470016034003,2
410470016034004,2
410470016034005,2
410470016034006,2
410470016034007,2
410470016034008,2
410470016034009,2
410470016034010,2
410470016034011,2
410470016034012,2
410470016034013,2
410470016033000,2
410470016033001,2
410470016033002,2
410470016033003,2
410470016033004,2
410470016033005,2
410470016032000,2
410470016032001,2
410470016032002,2
410470016032003,2
410470016032004,2
410470016032005,2
410470016032006,2
410470016032007,2
410470016032008,2
410470016032009,2
410470016032010,2
410470016032011,2
410470016032012,2
410470016032013,2
410470016032014,2
410470016032015,2
410470016032016,2
410470016062000,2
410470016062001,2
410470016062002,2
410470016062003,2
410470016062004,2
410470016062005,2
410470016062006,2
