GEOID20,District
440010301001000,2
440010301001001,2
440010301001002,2
440010301001003,2
440010301001004,2
440010301001005,2
440010301001006,2
440010301001007,2
440010301001008,2
440010301001009,2
440010301001010,2
440010301001011,2
440010301001012,2
440010301001013,2
440010301001014,2
440010301001015,2
440010301001016,2
440010301001017,2
440010301001018,2
440010301001019,2
440010301001020,2
440010301001021,2
440010301001022,2
440010301001023,2
440010301001024,2
440010301001025,2
440010301001026,2
440010301001027,2
440010301001028,2
440010301001029,2
440010301001030,2
440010301001031,2
440010301001032,2
440010301001033,2
440010301001034,2
440010301001035,2
440010301001036,2
440010301001037,2
440010301001038,2
440010301001039,2
440010301001040,2
440010301001041,2
440010301004000,2
440010301004001,2
440010301004002,2
440010301004003,2
440010301004004,2
440010301004005,2
440010301004008,2
440010301004009,2
440010301004033,2
440010302001001,2
440010302001002,2
440010302001003,2
440010302001004,2
440010302001005,2
440010302001006,2
440010302001007,2
440010302001008,2
440010302001009,2
440010302001010,2
440010302001011,2
440010302001012,2
440010302001013,2
440010302001014,2
440010302001015,2
440010302001016,2
440010302001017,2
440010302001018,2
440010302001019,2
440010302001020,2
440010302001021,2
440010302001022,2
440010302001023,2
440010302001024,2
440010302001025,2
440010302001026,2
440010302001027,2
440010302001028,2
440010302001029,2
440010302001030,2
440010302001031,2
440010302001032,2
440010302001033,2
440010302001034,2
440010302001035,2
440010302001036,2
440010302002000,2
440010302002001,2
440010301002000,2
440010301002001,2
440010301002002,2
440010301002003,2
440010301002004,2
440010301002005,2
440010301002006,2
440010301002007,2
440010301002008,2
440010301002009,2
440010301002010,2
440010301002011,2
440010301002012,2
440010301002013,2
440010301002014,2
440010301002015,2
440010301002016,2
440010301002017,2
440010301002018,2
440010301002019,2
440010301002020,2
440010301002021,2
440010301002022,2
440010301002023,2
440010301002024,2
440010301002025,2
440010301003000,2
440010301003001,2
440010301003002,2
440010301003003,2
440010301003004,2
440010301003005,2
440010301003006,2
440010301003007,2
440010301003008,2
440010301003009,2
440010301003010,2
440010301003011,2
440010301003012,2
440010301003013,2
440010301003014,2
440010301003015,2
440010301003016,2
440010301003025,2
440010301003026,2
440010301003027,2
440010301003028,2
440010301003029,2
440010301003030,2
440010301003031,2
440010301003032,2
440010301003033,2
440010301003034,2
440010301003035,2
440010301003040,2
440010301004006,2
440010301004007,2
440010301004010,2
440010301004011,2
440010301004012,2
440010301004013,2
440010301004014,2
440010301004015,2
440010301004016,2
440010301004017,2
440010301004018,2
440010301004019,2
440010301004020,2
440010301004021,2
440010301004022,2
440010301004023,2
440010301004024,2
440010301004025,2
440010301004026,2
440010301004027,2
440010301004028,2
440010301004029,2
440010301004030,2
440010301004031,2
440010301004032,2
440010302002002,2
440010302002003,2
440010302002004,2
440010302002005,2
440010302002006,2
440010302002007,2
440010302002008,2
440010302002009,2
440010302002010,2
440010302002011,2
440010302002012,2
440010302002013,2
440010302002014,2
440010302002015,2
440010302002017,2
440010302002018,2
440010302002019,2
440010302002021,2
440010302002022,2
440010302002023,2
440010302002024,2
440010302002025,2
440010302002026,2
440010302002027,2
440010302002028,2
440010302003028,2
440010302003029,2
440010302003030,2
440010302003031,2
440010301002026,2
440010301003017,2
440010301003018,2
440010301003019,2
440010301003020,2
440010301003021,2
440010301003022,2
440010301003023,2
440010301003024,2
440010301003036,2
440010301003037,2
440010301003038,2
440010301003039,2
440010301003041,2
440010301003042,2
440010304001001,2
440010304001003,2
440010304001004,2
