GEOID20,District
450730301003036,1
450730301003037,1
450730301003049,1
450730301003050,1
450730301003053,1
450730301003055,1
450730301003057,1
450730301003058,1
450730301003059,1
450730301003060,1
450730301003061,1
450730301003065,1
450730310003000,1
450730310003001,1
450730310004018,1
450730310004023,1
450730310004024,1
450730310004025,1
450730310004026,1
450730310004027,1
450730310004028,1
450730310004032,1
450730310004033,1
450730310004038,1
450730310004039,1
450730310004040,1
450730310005002,1
450730310005003,1
450730310005004,1
450730310005005,1
450730310005006,1
450730310005007,1
450730310005010,1
450730310005011,1
450730310005012,1
450730310005013,1
450730310005014,1
450730310005015,1
450730310005016,1
450730310005017,1
450730310005018,1
450730310005019,1
450730310005023,1
450730310005024,1
450730310005025,1
450730310005026,1
450730310005027,1
450730310005028,1
450730310005029,1
450730310005030,1
450730310005031,1
450730310005033,1
450730310005034,1
450730310005036,1
450730310005037,1
450730310005046,1
450730310005047,1
450730310005048,1
450730310005049,1
450730310005050,1
450730310005051,1
450730310005052,1
450730310005053,1
450730310005054,1
450730310005055,1
450730310005056,1
450730310005057,1
450730310005058,1
450730310005060,1
450730310005061,1
450730310005062,1
450730311001000,1
450730311001001,1
450730311001002,1
450730311001003,1
450730311001004,1
450730311001005,1
450730311001006,1
450730311001007,1
450730311001008,1
450730311001009,1
450730311001010,1
450730311001011,1
450730311001012,1
450730311001013,1
450730311001014,1
450730311001015,1
450730311001016,1
450730311001017,1
450730311001018,1
450730311001019,1
450730311001020,1
450730311001021,1
450730311001022,1
450730311001023,1
450730311001024,1
450730311001025,1
450730311001026,1
450730311001027,1
450730311001028,1
450730311001029,1
450730311001030,1
450730311001031,1
450730311001032,1
450730311001033,1
450730311001034,1
450730311001035,1
450730311001036,1
450730311001037,1
450730311001038,1
450730311001039,1
450730311001040,1
450730311001041,1
450730311002000,1
450730311002001,1
450730311002002,1
450730311002003,1
450730311002004,1
450730311002005,1
450730311002011,1
450730311002016,1
450730311002017,1
450730311002018,1
450730311002019,1
450730311002020,1
450730311002021,1
450730311002022,1
450730311002023,1
450730311002024,1
450730311002025,1
450730311002026,1
450730311002027,1
450730311002028,1
450730311002029,1
450730311002030,1
450730311002031,1
450730311002032,1
450730311002033,1
450730311002034,1
450730311002035,1
450730311002036,1
450730311002037,1
450730311002038,1
450730311002039,1
450730311002040,1
450730311002041,1
450730311002042,1
450730311002043,1
450730311002044,1
450730311003073,1
450730302011000,1
450730302011001,1
450730302011002,1
450730302011003,1
450730302011004,1
450730302011005,1
450730302011006,1
450730302011007,1
450730302011008,1
450730302011009,1
450730302011010,1
450730302011011,1
450730302011012,1
450730302011013,1
450730302011014,1
450730302011015,1
450730302011016,1
450730302011017,1
450730302011018,1
450730302011019,1
450730302011020,1
450730302011021,1
450730302011022,1
450730302011023,1
450730302011024,1
450730302011025,1
450730302011026,1
450730302011027,1
450730302011028,1
450730302011029,1
450730302011030,1
450730302011031,1
450730302011032,1
450730302011033,1
450730302011034,1
450730302011035,1
450730302011036,1
450730302011037,1
450730302011038,1
450730302011039,1
450730302011040,1
450730302011041,1
450730302011043,1
450730302011044,1
450730302011045,1
450730302011046,1
450730302011047,1
450730302011048,1
450730302011051,1
450730302011057,1
450730302011058,1
450730302011059,1
450730302011060,1
450730302011061,1
450730302011062,1
450730302011063,1
450730302011064,1
450730302011065,1
450730302011066,1
450730302011067,1
450730302011068,1
450730302011069,1
450730302011070,1
450730302011071,1
450730302011072,1
450730302011073,1
450730302011074,1
450730302011075,1
450730302011076,1
450730302011077,1
450730302011078,1
450730302011079,1
450730302011080,1
450730302011081,1
450730302011082,1
450730302011083,1
450730302011084,1
450730302011085,1
450730302011086,1
450730302011087,1
450730302011088,1
450730302011089,1
450730302011090,1
450730302011091,1
450730302011092,1
450730302011093,1
450730302011094,1
450730302011095,1
450730302011096,1
450730302011097,1
450730302011098,1
450730302011102,1
450730302011103,1
450730302011104,1
450730302011105,1
450730302011106,1
450730302011107,1
450730302011115,1
450730302011116,1
450730302011117,1
450730302011119,1
450730302011120,1
450730302011121,1
450730302012000,1
450730302012001,1
450730302012002,1
450730302012003,1
450730302012004,1
450730302012005,1
450730302012006,1
450730302012007,1
450730302012008,1
450730302012009,1
450730302012010,1
450730302012011,1
450730302012012,1
450730302012013,1
450730302012014,1
450730302012015,1
450730302012016,1
450730302012017,1
450730302012018,1
450730302012019,1
450730302012020,1
450730302012021,1
450730302012022,1
450730302012023,1
450730302012024,1
450730302012025,1
450730302012026,1
450730302012027,1
450730302012028,1
450730302012029,1
450730302012030,1
450730302012031,1
450730302012032,1
450730302012033,1
450730302012034,1
450730302012035,1
450730302012036,1
450730302012051,1
450730302012052,1
450730302012054,1
450730302012055,1
450730302012056,1
450730302012057,1
450730302012058,1
450730302021000,1
450730302021001,1
450730302021002,1
450730302021003,1
450730302021004,1
450730302021005,1
450730302021006,1
450730302021007,1
450730302021008,1
450730302021009,1
450730302021010,1
450730302021011,1
450730302021012,1
450730302021013,1
450730302021014,1
450730302021015,1
450730302021016,1
450730302021017,1
450730302021018,1
450730302021019,1
450730302021020,1
450730302021021,1
450730302021022,1
450730302021023,1
450730302021024,1
450730302021025,1
450730302021026,1
450730302021027,1
450730302021028,1
450730302021029,1
450730302021030,1
450730302021031,1
450730302021032,1
450730302021033,1
450730302021034,1
450730302021035,1
450730302021036,1
450730302021037,1
450730302021038,1
450730302021039,1
450730302021040,1
450730302021041,1
450730302021042,1
450730302021043,1
450730302021044,1
450730302021047,1
450730302021048,1
450730302021049,1
450730302023005,1
450730302023006,1
450730303011004,1
450730303011005,1
450730303011006,1
450730303022002,1
450730303022003,1
450730303022006,1
450730301001045,1
450730301001056,1
450730301001057,1
450730301001058,1
450730301001059,1
450730301001060,1
450730301001061,1
450730301001062,1
450730301001063,1
450730301001064,1
450730301001065,1
450730301001066,1
450730301001067,1
450730301001068,1
450730303011046,1
450730303011047,1
450730303011048,1
450730303011049,1
450730303011050,1
450730303011051,1
450730303011052,1
450730303011053,1
450730303011054,1
450730303011055,1
450730303011056,1
450730303011057,1
450730303011061,1
450730303011062,1
450730303011063,1
450730303011064,1
450730303011065,1
450730303011066,1
450730303011067,1
450730303011068,1
450730303011069,1
450730303011070,1
450730303011073,1
450730303011074,1
450730303011075,1
450730303011076,1
450730303011077,1
450730303022024,1
450730303022025,1
450730303022026,1
450730303022027,1
450730303022028,1
450730303022029,1
450730303022030,1
450730303022031,1
450730304022000,1
450730304022001,1
450730304022002,1
450730304022003,1
450730304022004,1
450730304022006,1
450730304022007,1
450730304022008,1
450730304022009,1
450730304022010,1
450730304022011,1
450730304022016,1
450730304041000,1
450730304041001,1
450730304041002,1
450730304041003,1
450730304041004,1
450730304041005,1
450730304041006,1
450730304041007,1
450730304041008,1
450730304041009,1
450730304041010,1
450730304041011,1
450730304041012,1
