GEOID20,District
471570066001000,1
471570066001001,1
471570066001002,1
471570066001017,1
471570066001018,1
471570066001019,1
471570066001026,1
471570066002001,1
471570066002002,1
471570066002011,1
471570066002019,1
471570066002020,1
471570066002021,1
471570066002022,1
471570066002023,1
471570066002024,1
471570066002025,1
471570066002026,1
471570066002027,1
471570066002028,1
471570067001002,1
471570067001004,1
471570067001005,1
471570067001006,1
471570067001007,1
471570067001008,1
471570067001009,1
471570067001010,1
471570067001011,1
471570067001012,1
471570067001013,1
471570067001014,1
471570067002000,1
471570067002001,1
471570067002002,1
471570067002003,1
471570067002004,1
471570067002005,1
471570067002006,1
471570067002007,1
471570067002008,1
471570067002009,1
471570067002010,1
471570067002011,1
471570067002012,1
471570067002013,1
471570067002014,1
471570067002015,1
471570067002016,1
471570067002017,1
471570067002018,1
471570067002019,1
471570067002020,1
471570067002021,1
471570067002022,1
471570067002026,1
471570067002027,1
471570067002028,1
471570067003000,1
471570067003001,1
471570067003002,1
471570067003003,1
471570067003004,1
471570067003005,1
471570067003006,1
471570067003007,1
471570067003008,1
471570067003009,1
471570067003010,1
471570067003011,1
471570067003012,1
471570067003013,1
471570067003014,1
471570067003015,1
471570067003016,1
471570067003017,1
471570067003018,1
471570067003019,1
471570067003020,1
471570067003021,1
471570067003022,1
471570067004001,1
471570067004002,1
471570067004006,1
471570067004007,1
471570067004016,1
471570068001000,1
471570068001001,1
471570068001002,1
471570068001003,1
471570068001004,1
471570068001005,1
471570068001006,1
471570068001007,1
471570068001008,1
471570068001009,1
471570068001010,1
471570068001011,1
471570068002000,1
471570068002001,1
471570068002002,1
471570068002003,1
471570068002004,1
471570068002005,1
471570068002006,1
471570068002007,1
471570068002010,1
471570068002011,1
471570068002012,1
471570108101000,1
471570108101001,1
471570108101002,1
471570108101003,1
471570108101004,1
471570108101005,1
471570108101006,1
471570108101007,1
471570108101008,1
471570108101009,1
471570108101010,1
471570108101011,1
471570108101012,1
471570108102000,1
471570108102001,1
471570108102002,1
471570108102003,1
471570108102004,1
471570108102005,1
471570108103000,1
471570108103001,1
471570108103002,1
471570108103003,1
471570108103008,1
471570108103009,1
471570108103010,1
471570108103011,1
471570108201002,1
471570108201003,1
471570108201004,1
471570108201005,1
471570108201006,1
471570108201007,1
471570108201008,1
471570108201009,1
471570108201011,1
471570108202000,1
471570108202001,1
471570108202002,1
471570108202003,1
471570108202004,1
471570108202005,1
471570108202006,1
471570108202007,1
471570108202008,1
471570108202009,1
471570108202010,1
471570108202011,1
471570108202012,1
471570108203000,1
471570108203001,1
471570108203002,1
471570108203003,1
471570108203004,1
471570108203005,1
471570108203006,1
471570108203007,1
471570108203008,1
471570108203009,1
471570108204004,1
471570108204005,1
471570108204006,1
471570108204007,1
471570108204008,1
471570108204009,1
471570108204010,1
471570006001000,1
471570006001001,1
471570006001002,1
471570006001003,1
471570006001004,1
471570006001005,1
471570006001006,1
471570102201005,1
471570102203012,1
471570102204000,1
471570102204001,1
471570102204002,1
471570102204003,1
471570102204004,1
471570102204005,1
471570102204006,1
471570102204007,1
471570102204008,1
471570102204009,1
471570102204010,1
471570102204011,1
471570102204012,1
471570102204013,1
471570102204014,1
471570102204015,1
471570102204016,1
471570102204017,1
471570102204018,1
471570102204019,1
471570102204020,1
471570102204021,1
471570102204022,1
471570102204023,1
471570102204024,1
471570102204025,1
471570102205000,1
471570102205001,1
471570102205002,1
471570102205003,1
471570102205004,1
471570102205005,1
471570102205006,1
471570102205007,1
471570102205008,1
471570102205009,1
471570102205010,1
471570102206000,1
471570102206001,1
471570102206002,1
471570102206003,1
471570102206004,1
471570102206005,1
471570102206006,1
471570102206007,1
471570102206008,1
471570102206009,1
471570102206010,1
471570102206011,1
471570102206012,1
471570102206013,1
471570102206014,1
471570102206015,1
471570102206016,1
471570102206017,1
471570102206018,1
471570102206019,1
471570102206020,1
471570102206021,1
471570102206022,1
471570102206023,1
471570102206024,1
471570205112000,1
471570205112001,1
471570205112002,1
471570205112003,1
471570205112004,1
471570205112005,1
471570205112006,1
471570205112007,1
471570205112008,1
471570205112009,1
471570205112010,1
471570205112011,1
471570205112012,1
471570205112013,1
471570205112014,1
471570205112015,1
471570205112016,1
471570205112017,1
471570205112018,1
471570205112019,1
471570205112020,1
471570205112021,1
471570205112022,1
471570205112023,1
471570205112024,1
471570205112025,1
471570060001000,1
471570060001001,1
471570060001002,1
471570060001003,1
471570060001006,1
471570060001007,1
471570060001008,1
471570060001009,1
471570060001010,1
471570060001011,1
471570060001012,1
471570060001013,1
471570060001014,1
471570060001015,1
471570060001016,1
471570060001017,1
471570060001018,1
471570060001019,1
471570060001020,1
471570060001021,1
471570060001022,1
471570060001023,1
471570060001025,1
471570060001026,1
471570060002000,1
471570060002001,1
471570060002002,1
471570060002003,1
471570060002004,1
471570060002005,1
471570060002006,1
471570060002007,1
471570060002008,1
471570060002009,1
471570060002010,1
471570065002006,1
471570065002007,1
471570065002008,1
471570065002009,1
471570065002010,1
471570065002013,1
471570065002014,1
471570078101000,1
471570078101001,1
471570078101002,1
471570078101003,1
471570078101004,1
471570078101005,1
471570078101006,1
471570078102000,1
471570078102001,1
471570078102002,1
471570078102003,1
471570078102004,1
471570078102005,1
471570078102006,1
471570078102007,1
471570078102008,1
471570078102009,1
471570078102017,1
471570078102018,1
471570078102019,1
471570078102020,1
471570078102021,1
471570078102022,1
471570078102023,1
471570078102024,1
471570078102025,1
471570078102026,1
471570078102027,1
471570078102028,1
471570078102029,1
471570078102030,1
471570078102031,1
471570078102032,1
471570078102033,1
471570078102034,1
471570078102036,1
471570078102037,1
471570078102038,1
471570078103000,1
471570078103001,1
471570078103002,1
471570078103003,1
471570078103005,1
471570078103007,1
471570078103008,1
471570078103009,1
471570078103010,1
471570078103011,1
471570078103012,1
471570115004021,1
471570211132000,1
471570211132001,1
471570211132002,1
471570211132004,1
471570211132024,1
471570211132025,1
471570211132026,1
471570211132027,1
471570211411000,1
471570211411001,1
