GEOID20,District
470370154041000,4
470370154041001,4
470370154041002,4
470370154041003,4
470370154041004,4
470370154041005,4
470370154041006,4
470370154041007,4
470370154041008,4
470370154041009,4
470370156091000,4
470370156091001,4
470370156091002,4
470370156091003,4
470370156091004,4
470370156091005,4
470370156091006,4
470370156091007,4
470370156091008,4
470370156091009,4
470370156091010,4
470370156091011,4
470370156091012,4
470370156091013,4
470370156091014,4
470370156091015,4
470370156091016,4
470370156091017,4
470370156091018,4
470370156091019,4
470370156091020,4
470370156091021,4
470370156091022,4
470370156091023,4
470370156091024,4
470370156091025,4
470370156091026,4
470370156091027,4
470370156091028,4
470370156091029,4
470370156091030,4
470370156091031,4
470370156092000,4
470370156092001,4
470370156092002,4
470370156092003,4
470370156092004,4
470370156092005,4
470370156092006,4
470370156093001,4
470370156233000,4
470370156233001,4
470370156233002,4
470370156233003,4
470370156233005,4
470370156233010,4
470370156241002,4
470370156323000,4
470370156323001,4
470370156323002,4
470370156323003,4
470370156323004,4
470370156323005,4
470370156323006,4
470370156323007,4
470370156323008,4
470370135002000,3
470370135002001,3
470370135002002,3
470370135002003,3
470370135002007,3
470370135002010,3
470370135002011,3
470370142002001,3
470370142002002,3
470370142002003,3
470370142002004,3
470370142002005,3
470370142002006,3
470370142002007,3
470370142002008,3
470370142002009,3
470370142002010,3
470370142002011,3
470370142002012,3
470370142002018,3
470370142002019,3
470370142002020,3
470370142002024,3
470370142002025,3
470370142002026,3
470370142002027,3
470370142002028,3
470370142002031,3
470370142002032,3
470370142002033,3
470370142002034,3
470370142002035,3
470370142002036,3
470370142002037,3
470370142002038,3
470370143001000,3
470370143001001,3
470370143001002,3
470370143001003,3
470370143001004,3
470370143001005,3
470370143001006,3
470370143001007,3
470370143001008,3
470370143001009,3
470370143001010,3
470370143001011,3
470370143001012,3
470370143001013,3
470370143001014,3
470370143001015,3
470370143001016,3
470370143001017,3
470370143001018,3
470370143001019,3
470370143001020,3
470370143001021,3
470370143002000,3
470370143002001,3
470370143002002,3
470370143002003,3
470370143002004,3
470370143002005,3
470370143002006,3
470370143002007,3
470370143002008,3
470370143002009,3
470370143002010,3
470370143002011,3
470370143002012,3
470370143002013,3
470370143002014,3
470370143002015,3
470370143002016,3
470370143002017,3
470370143002018,3
470370143002019,3
470370143002020,3
470370143002021,3
470370143002022,3
470370143002023,3
470370143002024,3
470370143002025,3
470370143002026,3
470370143002027,3
470370143002028,3
470370143002029,3
470370143002030,3
470370143002031,3
470370143002032,3
470370143002033,3
470370143002034,3
470370143002035,3
470370143002036,3
470370143002037,3
470370143002038,3
470370144001021,3
