GEOID20,District
471630435001016,1
471630435001017,1
471630435001020,1
471630435001021,1
471630435001022,1
471630435001023,1
471630435001024,1
471630435001028,1
471630435001031,1
471630435001032,1
471630435001033,1
471630435001034,1
471630435001035,1
471630435001036,1
471630435001037,1
471630435001038,1
471630435001039,1
471630435001040,1
471630435001041,1
471630435001042,1
471630435001043,1
471630435001044,1
471630435001045,1
471630435001046,1
471630435001047,1
471630435001048,1
471630435001049,1
471630435001050,1
471630435001051,1
471630435001052,1
471630435001053,1
471630435001054,1
471630435001055,1
471630435001056,1
471630435001057,1
471630435001058,1
471630435001059,1
471630435001060,1
471630435001061,1
471630435001062,1
471630435001063,1
471630435001064,1
471630435001065,1
471630435001066,1
471630435001067,1
471630435001068,1
471630435001069,1
471630435001070,1
471630435001071,1
471630435001072,1
471630435001073,1
471630435001074,1
471630435001075,1
471630435001077,1
471630435002007,1
471630435002008,1
471630435002009,1
471630435002010,1
471630435002011,1
471630435002012,1
471630435002013,1
471630435002014,1
471630435002015,1
471630435002016,1
471630435002017,1
471630435002018,1
471630435002019,1
471630435002021,1
471630435002022,1
471630435002023,1
471630435002024,1
471630435002025,1
471630435002026,1
471630435002027,1
471630435002028,1
471630435002029,1
471630435002030,1
471630435002031,1
471630435002032,1
471630435002033,1
471630435002037,1
471630435002038,1
471630435002039,1
471630435002040,1
471630435002042,1
471630435002043,1
471630435002044,1
471630436002023,1
471630436002027,1
471630436002028,1
471630436002029,1
471630436002030,1
471630432011004,1
471630432011005,1
471630432011006,1
471630432011007,1
471630432011008,1
471630432011009,1
471630432011010,1
471630432011011,1
471630432011012,1
471630432011013,1
471630432011014,1
471630432011015,1
471630432011016,1
471630432011017,1
471630432011018,1
471630432011019,1
471630432011020,1
471630432011021,1
471630432011022,1
471630432011023,1
471630432011024,1
471630432011025,1
471630432011026,1
471630432011027,1
471630432011028,1
471630432011029,1
471630432011030,1
471630432011031,1
471630432011032,1
471630432011033,1
471630432011034,1
471630432011035,1
471630432011036,1
471630432011037,1
471630432011038,1
471630432011039,1
471630432011040,1
471630432011041,1
471630432011042,1
471630432011043,1
471630432011044,1
471630432011045,1
471630432011046,1
471630432011047,1
471630432011048,1
471630432011049,1
471630432011051,1
471630432011052,1
471630432011053,1
471630432011054,1
471630432011055,1
471630432011056,1
471630432011057,1
471630432011058,1
471630432011059,1
471630432011060,1
471630432011061,1
471630432011062,1
471630432011063,1
471630432011064,1
471630432011065,1
471630432011068,1
471630432011069,1
471630432011070,1
471630432011071,1
471630432011072,1
471630432011073,1
471630432011074,1
471630432011075,1
471630432011076,1
471630432011077,1
471630432012010,1
471630432012012,1
471630432012013,1
471630432012020,1
471630434011027,1
471630434011030,1
471630434011031,1
471630434011032,1
471630434011033,1
471630434011035,1
471630434011039,1
471630434011040,1
471630434011041,1
471630434011042,1
471630434011043,1
471630434011044,1
471630434011045,1
471630434011046,1
471630434011047,1
471630434011048,1
471630434012010,1
471630434012011,1
471630434012012,1
471630434012013,1
471630434012014,1
471630434012015,1
471630434012016,1
