GEOID20,District
490111254111013,1
490111254111029,1
490111254111030,1
490111254112009,1
490111254112011,1
490111253074009,1
490111253074010,1
490111253074011,1
490111253074012,1
490111253074013,1
490111253074022,1
490111253074024,1
490111253074025,1
490111253074027,1
490111253074028,1
490111254082000,1
490111254082001,1
490111254082002,1
490111254082003,1
490111254082004,1
490111254082005,1
490111254082006,1
490111254082007,1
490111254082009,1
490111254082010,1
490111254082011,1
490111254082012,1
490111254082013,1
490111254082014,1
490111254082015,1
490111254082019,1
490572104081072,1
490572105161001,1
490572105161002,1
490572105161003,1
490572105161004,1
490572105161005,1
490572105161006,1
490572105161007,1
490572105161008,1
490572105161009,1
490572105161013,1
490572105161014,1
490572105161015,1
490572105161016,1
490572105161017,1
490572105161018,1
490572105161019,1
490572105161026,1
490572105161035,1
490572105163028,1
490572105181052,1
490039601003315,1
490039601003316,1
490039601003317,1
490039601003318,1
490039601003320,1
490039601003321,1
490039601003322,1
490039601003323,1
490039601003324,1
490039601003326,1
490039601003331,1
490039601003345,1
490039601003350,1
490039601003354,1
490039601003356,1
490039601003358,1
490039601003377,1
490039601003388,1
490039601003391,1
490039601003392,1
490039601003393,1
490039601003394,1
490039601003395,1
490039601003396,1
490039601003397,1
490039601003398,1
490039601003417,1
490039601003419,1
490039601003420,1
490039601003421,1
490039601003422,1
490039601003423,1
490039601003424,1
490039601003693,1
490039601003694,1
490039601003695,1
490039601003696,1
490039601003697,1
490039601003702,1
490039601003714,1
490039601003723,1
490039601003724,1
490039601003725,1
490039601003729,1
490039601003730,1
490039601003731,1
490039601003740,1
490039601003746,1
490039601003770,1
490111251033002,1
490111251033009,1
490111251033010,1
490111251033011,1
490111251033012,1
490111251033026,1
490111251033028,1
490111251033030,1
490111251033031,1
490111251033032,1
490111251033033,1
490111251041005,1
490111251041006,1
490111251041007,1
490111251041014,1
490111251041019,1
490111251041020,1
490111251041024,1
490111251041025,1
490111251042019,1
490111251042020,1
490111251042021,1
490111251042022,1
490111251042027,1
490111251042029,1
490572104081005,1
490572104081006,1
490572104081007,1
490572104081011,1
490572104081012,1
490572104081013,1
490572104081014,1
490572104081015,1
490572104081016,1
490572104081017,1
490572104081018,1
490572104081019,1
490572104081020,1
