GEOID20,District
511210213001020,1
511210213001027,1
511210213001028,1
511210213001029,1
511210213001030,1
511210213001031,1
511210213001032,1
511210213001033,1
511210213001034,1
511210213001035,1
511210213001036,1
511210213001037,1
511210213001038,1
511210213001051,1
511210213001052,1
511210213001053,1
511210213001054,1
511210213001055,1
511210213001056,1
511210213001057,1
511210213001058,1
511210213001061,1
511210213001062,1
511210213001063,1
511210213001064,1
511210213001068,1
511210213001069,1
511210213003036,1
511210213003037,1
511210213003040,1
511210213003044,1
511210213003049,1
511210213003052,1
511210214001000,1
511210214001001,1
511210214001002,1
511210214001003,1
511210214001004,1
511210214001005,1
511210214001006,1
511210214001007,1
511210214001008,1
511210214001009,1
511210214001010,1
511210214001011,1
511210214001012,1
511210214001013,1
511210214001014,1
511210214001015,1
511210214001016,1
511210214001017,1
511210214001018,1
511210214001019,1
511210214001020,1
511210214001021,1
511210214001022,1
511210214001023,1
511210214001024,1
511210214001025,1
511210214001026,1
511210214001027,1
511210214001028,1
511210214001029,1
511210214001030,1
511210214001031,1
511210214001032,1
511210214001033,1
511210214001034,1
511210214001035,1
511210214001036,1
511210214001037,1
511210214001038,1
511210214001039,1
511210214001040,1
511210214001041,1
511210214001042,1
511210214001043,1
511210214001044,1
511210214001045,1
511210214001046,1
511210214002000,1
511210214002001,1
511210214002002,1
511210214002003,1
511210214002004,1
511210214002005,1
511210214002006,1
511210214002007,1
511210214002008,1
511210214002009,1
511210214002010,1
511210214002011,1
511210214002012,1
511210214002013,1
511210214002014,1
511210214002015,1
511210214002016,1
511210214002017,1
511210214002018,1
511210214002019,1
511210214002020,1
511210214002021,1
511210214002022,1
511210214002023,1
511210214002024,1
511210214002025,1
511210214002026,1
511210214002027,1
511210214002028,1
511210214002029,1
511210214002030,1
511210214002031,1
511210214002032,1
511210214002033,1
511210214002034,1
511210214002035,1
511210214002036,1
511210214002037,1
511210214002038,1
511210214002039,1
511210214002040,1
511210214002041,1
511210214002042,1
511210214002043,1
511210214002044,1
511210214002045,1
511210214002046,1
511210214002047,1
511210214002048,1
511210214002049,1
511210214002050,1
511210214002051,1
511210214002052,1
511210214002053,1
511210214002054,1
511210214002055,1
511210214002056,1
511210214002057,1
511210214002058,1
511210214002059,1
511210214002060,1
511210214002061,1
511210214002062,1
511210214002063,1
511210214002064,1
511210214002065,1
511210214002066,1
511210214002067,1
511210214002068,1
511210214002069,1
511210214002070,1
511210214002071,1
511210214002072,1
511210214002073,1
511210214002074,1
511210214002075,1
511210214002076,1
511210214003000,1
511210214003001,1
511210214003002,1
511210214003003,1
511210214003004,1
511210214003005,1
511210214003006,1
511210214003007,1
511210214003008,1
511210214003009,1
511210214003010,1
511210214003011,1
511210214003012,1
511210214003013,1
511210214003014,1
511210214003015,1
511210214003016,1
511210214003017,1
511210214003018,1
511210214003020,1
511210214003021,1
511210214003022,1
511210214003023,1
511210214003024,1
511210214003025,1
511210214003026,1
511210214003027,1
511210214003028,1
511210214003029,1
511210214003030,1
511210214003031,1
511210214003032,1
511210214003033,1
511210214003034,1
511210214003035,1
511210214003036,1
511210214003037,1
511210214003038,1
511210214003039,1
511210214003040,1
511210214003041,1
511210214003042,1
511210214003043,1
511210214003044,1
511210214003045,1
511210214003046,1
511210214003047,1
511210214003048,1
511210214003049,1
511210214003050,1
511210214003051,1
511210214003052,1
511210214003053,1
511210214003054,1
511210214003055,1
511210214003068,1
511210214004000,1
511210214004001,1
511210214004002,1
511210214004003,1
511210214004004,1
511210214004005,1
511210214004006,1
511210214004007,1
511210214004008,1
511210214004009,1
511210214004010,1
511210214004011,1
511210214004012,1
511210214004013,1
511210214004014,1
511210214004015,1
511210214004016,1
511210214004017,1
511210214004018,1
511210214004019,1
511210214004020,1
511210214004021,1
511210214004022,1
511210214004023,1
511210214004024,1
511210214004025,1
511210214004026,1
511210214004027,1
511210214004028,1
511210214004029,1
511210214004031,1
511210214004032,1
511210214004033,1
511210214004035,1
511210214004036,1
511210214004037,1
511210214004038,1
511210214004045,1
511210214004046,1
511210214004047,1
511210214004048,1
511210214004049,1
511210214004050,1
511210214004051,1
511210214004052,1
511210214004053,1
511210214004054,1
511210206001007,1
511210206001008,1
511210206001009,1
511210206001010,1
511210206001011,1
511210206001012,1
511210206001017,1
511210206001018,1
511210206001019,1
511210206001020,1
511210206001021,1
511210206001022,1
511210206001023,1
511210206001024,1
511210206001025,1
511210206001026,1
511210206001027,1
511210206001028,1
511210206001029,1
511210206001030,1
511210206004005,1
511210206004006,1
511210206004014,1
511210206004015,1
511210206004016,1
511210206004017,1
511210206004018,1
511210206004019,1
511210206004020,1
511210206004021,1
511210206004022,1
511210206004023,1
511210206004024,1
511210207012000,1
511210207012001,1
511210207012002,1
511210207012003,1
511210207012004,1
511210207012005,1
511210207012006,1
511210207012007,1
511210207012008,1
511210207012009,1
511210207021000,1
511210207021001,1
511210207021002,1
511210207021003,1
511210207021004,1
511210207021005,1
511210207021006,1
511210207021007,1
511210207021008,1
511210207021009,1
511210207021010,1
511210207021011,1
511210207021012,1
511210207021013,1
511210207021014,1
511210207022000,1
511210207022001,1
511210207022002,1
511210207022003,1
511210207022004,1
511210207022005,1
511210207022006,1
511210207022007,1
511210207022008,1
511210207022009,1
511210207022010,1
511210207022011,1
511210207022012,1
511210207022013,1
511210207022014,1
511210207022015,1
511210207022019,1
511210207022020,1
511210207022021,1
511210207022022,1
511210207022023,1
511210207022024,1
511210207022029,1
511210207022030,1
511210207022033,1
511210207023000,1
511210207023001,1
511210207023002,1
511210207023003,1
511210207023004,1
511210207023005,1
511210207023006,1
511210207023007,1
511210213003011,1
511210213003012,1
511210213003013,1
511210213003014,1
511210213003024,1
511210213003025,1
511210213003026,1
511210213003027,1
511210213003028,1
511210213003029,1
511210213003030,1
511210213003031,1
511210213003032,1
511210213003038,1
511210213003039,1
511210213003050,1
511210211011000,1
511210211011001,1
511210211011002,1
511210211011003,1
511210211011004,1
511210211011005,1
511210211011006,1
511210211011007,1
511210211011008,1
511210211011010,1
511210211011011,1
511210211011012,1
511210211011013,1
511210211011014,1
511210211011015,1
511210211011016,1
511210211011017,1
511210211011018,1
511210211011019,1
511210211012006,1
511210211012007,1
511210211022000,1
511210211022001,1
511210211022002,1
511210211022003,1
511210211022004,1
511210211022005,1
511210211022006,1
511210211022007,1
511210211022008,1
511210211022009,1
511210211022010,1
511210211022011,1
511210211022012,1
511210211023012,1
511210211023013,1
511210211023014,1
511210211023015,1
511210211023016,1
511210211023017,1
511210212021029,1
511210212022052,1
511210212022054,1
511210212022055,1
511210203021021,1
511210203021022,1
511210203021023,1
511210203021024,1
511210203022021,1
511210203022024,1
511210203022025,1
511210203022026,1
511210212011000,1
511210212011001,1
511210212011002,1
511210212011003,1
511210212011004,1
511210212011005,1
511210212011006,1
511210212011007,1
511210212011011,1
511210212011023,1
511210212011024,1
511210212011025,1
511210212011032,1
511210212011033,1
511210212011034,1
511210212012002,1
511210212012003,1
511210212012004,1
511210212012005,1
511210212012006,1
511210212012007,1
511210212012009,1
511210212012010,1
511210212012011,1
511210212012012,1
511210212012013,1
511210212012014,1
511210212012015,1
511210212012016,1
511210212012017,1
511210212012018,1
511210212012019,1
511210212012020,1
511210212012021,1
511210212012022,1
511210212012023,1
511210212012024,1
511210212012025,1
511210212012026,1
511210212012027,1
511210212012028,1
511210212012029,1
511210212012030,1
511210212012031,1
511210212012032,1
511210212012033,1
511210212012034,1
511210212012035,1
511210212012036,1
511210212012037,1
511210212012038,1
511210212012039,1
511210212012040,1
511210212012041,1
511210212012042,1
511210212012043,1
511210212012044,1
511210212012045,1
511210212022000,1
511210212022001,1
511210212022002,1
511210212022003,1
511210212022004,1
511210212022005,1
511210212022006,1
511210212022007,1
511210212022008,1
511210212022010,1
511210212022011,1
511210212022012,1
511210212022013,1
511210212022014,1
511210212022015,1
511210212022031,1
511210212022053,1
511210210001000,1
511210210001001,1
511210210001002,1
511210210001003,1
511210210001004,1
511210210001005,1
511210210001006,1
511210210001007,1
511210210001008,1
511210210001009,1
511210210001010,1
511210210001011,1
511210210001012,1
511210210001013,1
511210210001014,1
511210210001015,1
511210210001016,1
511210210001017,1
511210210001018,1
511210210001019,1
511210210001020,1
511210210001021,1
511210210001022,1
511210210001023,1
511210210001024,1
511210210001025,1
511210210001026,1
511210210001027,1
511210210001028,1
511210210001029,1
511210210001030,1
511210210001031,1
511210210001032,1
511210210001033,1
511210210001034,1
511210210001035,1
511210210001043,1
511210210001044,1
511210211012000,1
511210211012001,1
511210211012002,1
511210211012003,1
511210211012004,1
511210211012005,1
511210211012008,1
511210211012009,1
511210211012010,1
511210211012011,1
511210211012012,1
511210211012013,1
511210211012014,1
511210211012015,1
511210211012016,1
511210211012017,1
511210211012018,1
511210211012019,1
511210211012020,1
511210211012021,1
511210211012022,1
511210211012023,1
511210211012024,1
511210211012025,1
511210211012026,1
511210211012027,1
511210211012028,1
511210211012029,1
511210211012030,1
511210211012031,1
511210211012032,1
511210212022056,1
511210215011000,1
511210215011003,1
511210215011004,1
511210215011039,1
511210215011040,1
511210215011041,1
511210215013001,1
511210212022045,1
511210212022046,1
511210212022047,1
511210212022048,1
511210212022051,1
511210212022058,1
511210215011001,1
511210215011002,1
511210215011005,1
511210215011006,1
511210215011007,1
511210215011008,1
511210215011009,1
511210215011010,1
511210215011011,1
511210215011012,1
511210215011013,1
511210215011014,1
511210215011015,1
511210215011016,1
511210215011017,1
511210215011018,1
511210215011019,1
511210215011020,1
511210215011021,1
511210215011022,1
511210215011023,1
511210215011024,1
511210215011025,1
511210215011026,1
511210215011027,1
511210215011028,1
511210215011029,1
511210215011030,1
511210215011031,1
511210215011032,1
511210215011033,1
511210215011034,1
511210215011035,1
511210215011036,1
511210215011037,1
511210215011038,1
511210215011042,1
511210215011043,1
511210215011044,1
511210215011045,1
511210215012000,1
511210215012001,1
511210215012002,1
511210215012003,1
511210215012004,1
511210215012005,1
511210215012006,1
511210215012007,1
511210215012008,1
511210215012009,1
511210215012010,1
511210215012011,1
511210215012012,1
511210215012013,1
511210215012014,1
511210215012015,1
511210215012016,1
511210215012017,1
511210215012018,1
511210215012019,1
511210215012020,1
511210215012021,1
511210215012022,1
511210215012023,1
511210215012024,1
511210215012025,1
511210215012026,1
511210215012027,1
511210215012029,1
511210215012030,1
511210215012031,1
511210215012032,1
511210215012033,1
511210215012034,1
511210215012035,1
511210215012036,1
511210215012037,1
511210215012038,1
511210215012045,1
511210215012046,1
511210215012047,1
511210215012048,1
511210215012084,1
511210215013000,1
511210215013002,1
511210215013003,1
511210215013004,1
511210215013005,1
511210215013006,1
511210215013007,1
511210215013008,1
511210215021007,1
511210215021008,1
511210208011057,1
511210208011058,1
511210208011059,1
511210208011060,1
511210208011061,1
511210208012002,1
511210208012003,1
511210208012004,1
511210208012005,1
511210208013004,1
511210208013005,1
511210208013006,1
511210208013007,1
511210208013008,1
511210208013009,1
511210208013010,1
511210208013011,1
511210208013012,1
511210208013013,1
511210208013014,1
511210208013015,1
511210208013016,1
511210208013017,1
511210208013020,1
511210208013021,1
511210208013022,1
511210208013023,1
511210208013024,1
511210208013025,1
511210208013030,1
511210208013031,1
511210208013032,1
511210208013033,1
511210208013034,1
511210208013035,1
511210208013036,1
511210208013037,1
511210208013038,1
511210208013039,1
511210208013040,1
511210208013041,1
511210208013042,1
511210208013043,1
511210208013044,1
