GEOID20,District
530090024003016,1
530090024003017,1
530090024003018,1
530090024003019,1
530090024003020,1
530090024003021,1
530090024003022,1
530090024003023,1
530090024003024,1
530090024003143,1
530090024003144,1
530090024003145,1
530090024003146,1
530090024003147,1
530090024003148,1
530090024003149,1
530090024003150,1
530090024003151,1
530090024003152,1
530090024003153,1
530090024003154,1
530090024003155,1
530090024003156,1
530090024003157,1
530090024003158,1
530090024003159,1
530090024003160,1
530090024003161,1
530090024003162,1
530090024003163,1
530090024003164,1
530090024003165,1
530090024003166,1
530090024003167,1
530090024003168,1
530090024003169,1
530090024003179,1
530099400001000,1
530099400001001,1
530099400001002,1
530099400001003,1
530099400001004,1
530099400001005,1
530099400001006,1
530099400001007,1
530099400001008,1
530099400001009,1
530099400001010,1
530099400001011,1
530099400001012,1
530099400001013,1
530099400001014,1
530099400001015,1
530099400001016,1
530099400001017,1
530099400001018,1
530099400001019,1
530099400001020,1
530099400001021,1
530099400001022,1
530099400001023,1
530099400001024,1
530099400001025,1
530099400001026,1
530099400001027,1
530099400001028,1
530099400001029,1
530099400001030,1
530099400001031,1
530099400001032,1
530099400001033,1
530099400001034,1
530099400001035,1
530099400001036,1
530099400001037,1
530099400001038,1
530099400001039,1
530099400001040,1
530099400001041,1
530099400001042,1
530099400001043,1
530099400001044,1
530099400001045,1
530099400001046,1
530099400001047,1
530099400001048,1
530099400001049,1
530099400001050,1
530099400001051,1
530099400001052,1
530099400001053,1
530099400001054,1
530099400001055,1
530099400001056,1
530099400002000,1
530099400002001,1
530099400002002,1
530099400002003,1
530099400002004,1
530099400002005,1
530099400002006,1
530099400002007,1
530099400002008,1
530099400002009,1
530099400002010,1
530099400002011,1
530099400002012,1
530099400002013,1
530099400002014,1
530099400002015,1
530099400002016,1
530099400002017,1
530099400002018,1
530099400002019,1
530099400002020,1
530099400002021,1
530099400002022,1
530099400002023,1
530099400002024,1
530099400002025,1
530099400002026,1
530099400002027,1
530099400002028,1
530099400002029,1
530099400002030,1
530099400002031,1
530099400002032,1
530099400002033,1
530099400002034,1
530099400002035,1
530099400002036,1
530099400002037,1
530099400002038,1
530099400002039,1
530099400002040,1
530099400002041,1
530099400002042,1
530099400002043,1
530099400002044,1
530099400002045,1
530099400002046,1
530099400002047,1
530099400002048,1
530099400002049,1
530099400002050,1
530099400002051,1
530099400002052,1
530099400002053,1
530099400002054,1
530099400002055,1
530099400002056,1
530099400002057,1
530099400002058,1
530099400002059,1
530099400002060,1
530099400002061,1
530099400002062,1
530099400002063,1
530099400002064,1
530099400002065,1
530099400002066,1
530099400002067,1
530099400002068,1
530099400002069,1
530099400002070,1
530099400002071,1
530099400002072,1
530099400002073,1
530099400002074,1
530099400002075,1
530099400002076,1
530099400002077,1
530099400002078,1
530099400002079,1
530099400002080,1
530099901000028,1
530099901000029,1
530099901000030,1
530099901000031,1
530099901000032,1
530099901000033,1
530099901000053,1
530099901000054,1
530090024001028,1
530090024001071,1
530090024001072,1
530090024001074,1
530090024001075,1
530090024001076,1
530090024001086,1
530090024001087,1
530090024001088,1
530090024001089,1
530090024001090,1
530090024001091,1
530090024001092,1
530090024001093,1
530090024001095,1
530090024002005,1
530090024002006,1
530090024002008,1
530090024002009,1
530090024002011,1
530090024002012,1
530090024002013,1
530090024002014,1
530090024002015,1
530090024003004,1
530090024003005,1
530090024003006,1
530090024003007,1
530090024003008,1
530090024003009,1
530090024003010,1
530090024003011,1
530090024003012,1
530090024003013,1
530090024003014,1
530090024003015,1
530090024003025,1
530090024003026,1
530090024003027,1
530090024003028,1
530090024003029,1
530090024003030,1
530090024003031,1
530090024003032,1
530090024003033,1
530090024003034,1
530090024003035,1
530090024003036,1
530090024003037,1
530090024003038,1
530090024003039,1
530090024003040,1
530090024003041,1
530090024003042,1
530090024003043,1
530090024003044,1
530090024003045,1
530090024003046,1
530090024003047,1
530090024003048,1
530090024003049,1
530090024003050,1
530090024003053,1
530090024003054,1
530090024003055,1
530090024003056,1
530090024003057,1
530090024003058,1
530090024003059,1
530090024003060,1
530090024003061,1
530090024003062,1
530090024003063,1
530090024003064,1
530090024003065,1
530090024003066,1
530090024003067,1
530090024003068,1
530090024003069,1
530090024003070,1
530090024003071,1
530090024003072,1
530090024003073,1
530090024003074,1
530090024003075,1
530090024003076,1
530090024003077,1
530090024003078,1
530090024003079,1
530090024003080,1
530090024003081,1
530090024003082,1
530090024003083,1
530090024003084,1
530090024003085,1
530090024003086,1
530090024003087,1
530090024003088,1
530090024003089,1
530090024003090,1
530090024003091,1
530090024003092,1
530090024003093,1
530090024003094,1
530090024003095,1
530090024003096,1
530090024003097,1
530090024003098,1
530090024003099,1
530090024003100,1
530090024003101,1
530090024003102,1
530090024003103,1
530090024003104,1
530090024003105,1
530090024003119,1
530090024003120,1
530090024003126,1
530090024003127,1
530090024003128,1
530090024003130,1
530090024003131,1
530090024003132,1
530090024003133,1
530090024003134,1
530090024003135,1
530090024003138,1
530090024003139,1
530090024003140,1
530090024003141,1
530090024003142,1
530090024003170,1
530090024003171,1
530090024003172,1
530090024003173,1
530090024003174,1
530090024003175,1
530090024003176,1
530090024003177,1
530090024003178,1
530090024003180,1
530090024003181,1
530090024003182,1
530090024003183,1
530090024003184,1
530090024003185,1
530090024003186,1
530090024003187,1
530090024003188,1
530090024003189,1
530090024003190,1
530090024003191,1
530090024003192,1
530090024003193,1
530090024003194,1
530090024003195,1
530090024003196,1
530090024003197,1
530090024003198,1
530090024003199,1
530090024003200,1
530090024003201,1
530090024003202,1
530090024003203,1
530090024003204,1
530090024003205,1
530090024003206,1
530090024003207,1
530090024003210,1
530090024003211,1
530090024003212,1
530090024003213,1
530090024003214,1
530090024003215,1
530090024003216,1
530090024003217,1
530099901000025,1
530099901000026,1
530099901000027,1
530099901000052,1
530099901000055,1
530099901000056,1
530090006001000,1
530090006001001,1
530090006001002,1
530090006001003,1
530090006001004,1
530090006001005,1
530090006001006,1
530090006001007,1
530090006001008,1
530090006001009,1
530090006001010,1
530090006001011,1
530090006001012,1
530090006001013,1
530090006001014,1
530090006001015,1
530090006001016,1
530090006001017,1
530090006001018,1
530090006001019,1
530090006001020,1
530090006001021,1
530090006001022,1
530090006001023,1
530090006001024,1
530090006001025,1
530090006001026,1
530090006001027,1
530090006001028,1
530090006001029,1
530090006001030,1
530090006001031,1
530090006001032,1
530090006001033,1
530090006001034,1
530090006001035,1
530090006001036,1
530090006001037,1
530090006001038,1
530090006001039,1
530090006001040,1
530090006001041,1
530090006001042,1
530090006001043,1
530090006001044,1
530090006001045,1
530090006001046,1
530090006001047,1
530090006001048,1
530090006001049,1
530090006001050,1
530090006001051,1
530090006001052,1
530090006001053,1
530090006001054,1
530090006001055,1
530090006001056,1
530090006001057,1
530090006001058,1
530090006001059,1
530090006001060,1
530090006001061,1
530090006001062,1
530090006001063,1
530090006001065,1
530090006001066,1
530090006001067,1
530090006001068,1
530090006001069,1
530090006001070,1
530090006001071,1
530090006001072,1
530090006001073,1
530090006001074,1
530090006001075,1
530090006001076,1
530090006001077,1
530090006001078,1
530090006001079,1
530090006002013,1
530090006002014,1
530090006002015,1
530090006002022,1
530090006002023,1
530090006002024,1
530090006002025,1
530090006002026,1
530090006002028,1
530090006002036,1
530090006002037,1
530090006002038,1
530090006002039,1
530090006002040,1
530090006002041,1
530090006002068,1
530090006002069,1
530090006002070,1
530090006002071,1
530090006002078,1
530090006002079,1
530090006002081,1
530090006002085,1
530090006003046,1
530090006003047,1
530090006003050,1
530090006003051,1
530090006003061,1
530090006003067,1
530090006003068,1
530090006003069,1
530090006003070,1
530090006003071,1
530090006003072,1
530090006003073,1
530090006003074,1
530090006003075,1
530090024001000,1
530090024001001,1
530090024001002,1
530090024001003,1
530090024003000,1
530090024003001,1
530090024003002,1
530090024003003,1
530090024003111,1
530090024003112,1
530090024003113,1
530090024003114,1
530090024003115,1
530090024003116,1
530090024003117,1
530090024003118,1
530090024003122,1
530090024003123,1
530090024003124,1
530090024003125,1
530099901000022,1
530099901000023,1
530099901000024,1
530099901000046,1
530090023011000,1
530090023011001,1
530090023011002,1
530090023011003,1
530090023011004,1
530090023011005,1
530090023011006,1
530090023011007,1
530090023011008,1
530090023011009,1
530090023011010,1
530090023011011,1
530090023011012,1
530090023011013,1
530090023011014,1
530090023011015,1
530090023011016,1
530090023011017,1
530090023011018,1
530090023011019,1
530090023011020,1
530090023011021,1
530090023011022,1
530090023011023,1
530090023011024,1
530090023011025,1
530090023011026,1
530090023011027,1
530090023011031,1
530090023011032,1
530090023011033,1
530090023011034,1
530099901000042,1
530099901000043,1
530090011001028,1
530090011001029,1
530090011001032,1
530090011003006,1
530090011003007,1
530090011003008,1
530090011003010,1
530090011003020,1
530090011003021,1
530090011003022,1
530090011003023,1
530090011003024,1
530090011003026,1
530090015001003,1
530090015001004,1
530090015001005,1
530090015001006,1
530090015001007,1
530090015001008,1
530090015001009,1
530090015001010,1
530090015001011,1
530090015001013,1
530090015001014,1
530090015001047,1
530090015001048,1
530090015001049,1
530090015001052,1
530090015001053,1
530090015001054,1
530090015001070,1
530090015001071,1
530090019021021,1
530090019021022,1
530090019021025,1
530090019021026,1
530090019021027,1
530090019021028,1
530090019021031,1
530090019021032,1
530090019021033,1
530090019021036,1
530090019021037,1
530090019021038,1
530090019021039,1
530090019021040,1
530090019021041,1
530090019021042,1
530090019021043,1
530090019021044,1
530090019021045,1
