GEOID20,District
540290212002000,1
540290212002001,1
540290212002002,1
540290212002003,1
540290212002004,1
540290212002005,1
540290212002006,1
540290212002007,1
540290212002008,1
540290212002009,1
540290212002010,1
540290212002011,1
540290212002012,1
540290212002013,1
540290212002014,1
540290212002015,1
540290212002016,1
540290212002017,1
540290212002018,1
540290212002019,1
540290212002020,1
540290212002021,1
540290212002022,1
540290212002023,1
540290212002024,1
540290212002025,1
540290212002026,1
540290212002027,1
540290212002028,1
540290212002029,1
540290212002030,1
540290212002031,1
540290212002032,1
540290212002033,1
540290212002034,1
540290212002035,1
540290212002036,1
540290212002037,1
540290212002038,1
540290212002039,1
540290212002040,1
540290212002041,1
540290212002042,1
540290212002043,1
540290212002044,1
540290212002045,1
540290212002046,1
540290212002047,1
540290212002048,1
540290212002049,1
540290212002050,1
540290212002051,1
540290212002052,1
540290212002053,1
540290212002054,1
540290212002055,1
540290212002056,1
540290212002057,1
540290212002058,1
540290212002059,1
540290212002060,1
540290212002061,1
540290212002062,1
540290212002063,1
540290212002064,1
540290212002065,1
540290212002066,1
540290212002067,1
540290212002068,1
540290212002069,1
540290212002070,1
540290212002071,1
540290212002072,1
540290212002073,1
540290212002074,1
540290214001000,1
540290214001001,1
540290214001002,1
540290214001003,1
540290214001004,1
540290214001005,1
540290214001006,1
540290214001007,1
540290214001008,1
540290214001009,1
540290214001010,1
540290214001011,1
540290214001012,1
540290214001013,1
540290214002000,1
540290214002001,1
540290214002002,1
540290214002003,1
540290214002004,1
540290214002005,1
540290214002006,1
540290214002007,1
540290214002008,1
540290214002009,1
540290214002010,1
540290214002011,1
540290214002012,1
540290214002013,1
540290214002014,1
540290214002015,1
540290214002016,1
540290214002017,1
540290214002018,1
540290214002019,1
540290214002020,1
540290214002021,1
540290214002022,1
540290214002023,1
540290214002024,1
540290214002025,1
540290214002026,1
540290214002027,1
540290214002028,1
540290214002029,1
540290214002030,1
540290214002031,1
540290214002032,1
540290214002033,1
540290214002034,1
540290214002035,1
540290214002036,1
540290214002037,1
540290214002038,1
540290214002039,1
540290214002040,1
540290214002041,1
540290214002042,1
540290214002043,1
540290214002044,1
540290214002045,1
540290214002046,1
540290214002047,1
540290214002048,1
540290214002049,1
540290214002050,1
540290214002051,1
540290214002052,1
540290214002053,1
540290214002054,1
540290214002055,1
540290214002056,1
540290214002057,1
540290214002058,1
540290214002059,1
540290214004000,1
540290214004001,1
540290214004002,1
540290214004003,1
540290214004004,1
540290214004005,1
540290214004006,1
540290214004007,1
540290214004008,1
540290214004009,1
540290214004010,1
540290214004011,1
540290214004012,1
540290214004013,1
540290214004014,1
540290214004015,1
540290214004016,1
540290214004017,1
540290214004018,1
540290214004019,1
540290214004020,1
540290214004021,1
540290214004022,1
540290214004023,1
540290214004024,1
540290214004025,1
540290214004026,1
540290211004000,1
540290211004001,1
540290211004002,1
540290211004003,1
540290211004004,1
540290211004005,1
540290211004006,1
540290211004007,1
540290211004008,1
540290211004009,1
540290211004010,1
540290211004011,1
540290211004012,1
540290211004013,1
540290211004014,1
540290211004015,1
540290211004016,1
540290211004017,1
540290211004018,1
540290211004019,1
540290211004020,1
540290211004021,1
540290211004022,1
540290211004023,1
540290211004024,1
540290211004025,1
