GEOID20,District
080310013021000,3
080310013021001,3
080310013021002,3
080310013021003,3
080310013021006,3
080310013021007,3
080310013021008,3
080310013021009,3
080310013021010,3
080310013021013,3
080310013021014,3
080310013021015,3
080310013021016,3
080310013021017,3
080310013021018,3
080310013021019,3
080310013021020,3
080310013021023,3
080310013021024,3
080310013021025,3
080310013021026,3
080310013021027,3
080310013021028,3
080310013021029,3
080310013021030,3
080310013021031,3
080310013022000,3
080310013022001,3
080310013022002,3
080310013022003,3
080310013022004,3
080310013022005,3
080310013022006,3
080310013022007,3
080310013022008,3
080310013022009,3
080310013022010,3
080310013022011,3
080310013022012,3
080310013022013,3
080310013022014,3
080310013022017,3
080310013022018,3
080310013022019,3
080310013022020,3
080310013023000,3
080310013023001,3
080310013023002,3
080310013023003,3
080310013023004,3
080310013023005,3
080310013023010,3
080310013023011,3
080310013023012,3
080310013023013,3
080310013023014,3
080310013023015,3
080310013023016,3
080310013023017,3
080310013023018,3
080310013023019,3
080310009022000,3
080310009022001,3
080310009022002,3
080310009022003,3
080310009022004,3
080310009022005,3
080310009022006,3
080310009022007,3
080310009022008,3
080310009022009,3
080310009022010,3
080310009022011,3
080310009022012,3
080310009022013,3
080310009022014,3
080310009022015,3
080310009022016,3
080310009022017,3
080310009023000,3
080310009023001,3
080310009023002,3
080310009023003,3
080310009023004,3
080310009023005,3
080310009023006,3
080310009023007,3
080310009023008,3
080310009023009,3
080310009023010,3
080310009023011,3
080310009023012,3
080310009023013,3
080310009023014,3
080310009023015,3
080310009023016,3
080310009023017,3
080310009024008,3
080310009024009,3
080310009024010,3
080310009024011,3
080310009024012,3
080310009024013,3
080310009024014,3
080310009024015,3
080310009024016,3
080310009024017,3
080310009024018,3
080310009024019,3
080310009024020,3
080310009024021,3
080310009024022,3
080310009024023,3
080310009024024,3
080310014011000,3
080310014011001,3
080310014011002,3
080310014011003,3
080310014011004,3
080310014011005,3
080310014011006,3
080310014011007,3
080310014011008,3
080310014011009,3
080310014011011,3
080310014011012,3
080310014011013,3
080310014011014,3
080310014011020,3
080310014011021,3
080310014011022,3
080310014011023,3
080310014011024,3
080310014011025,3
080310014011026,3
080310014012000,3
080310014012001,3
080310014012002,3
080310014012003,3
080310014012004,3
080310014012005,3
080310014012006,3
080310014012007,3
080310014012008,3
080310014012009,3
080310014013000,3
080310014013001,3
080310014013002,3
080310014013003,3
080310014013004,3
080310014013005,3
080310014013006,3
080310014013007,3
080310014013008,3
080310014013009,3
080310014013010,3
080310014013011,3
080310014013012,3
080310014022004,3
080310010001000,3
080310010001001,3
080310010001002,3
080310010001003,3
080310010001004,3
080310010001005,3
080310010001006,3
080310010001007,3
080310010001008,3
080310010001009,3
080310010001010,3
080310010001011,3
080310010001012,3
080310010001013,3
080310010001014,3
080310010001015,3
080310010001016,3
080310010001017,3
080310010001018,3
080310010001019,3
080310010001020,3
080310010001021,3
080310010001022,3
080310010001023,3
080310010001024,3
080310010001025,3
080310010001026,3
080310010001027,3
080310010001028,3
080310010001029,3
080310010001030,3
080310010001031,3
080310010001032,3
080310010001033,3
080310010001034,3
080310010001035,3
080310010001036,3
080310010001037,3
080310010001038,3
080310010001039,3
080310010001040,3
080310010001041,3
080310010002000,3
080310010002001,3
080310010002002,3
080310010002003,3
080310010002004,3
080310010002005,3
080310010002006,3
080310010002007,3
080310010002008,3
080310010002009,3
080310010002010,3
080310010002011,3
080310010002012,3
080310010002013,3
080310010002014,3
080310010002015,3
080310010002016,3
080310010002017,3
080310010003000,3
080310010003001,3
080310010003002,3
080310010003003,3
080310010003004,3
080310010003005,3
080310010003006,3
080310010003007,3
080310010003008,3
080310010003009,3
080310010003010,3
080310010003011,3
080310010003012,3
080310010003013,3
080310010003014,3
080310010003015,3
080310010003016,3
080310010003017,3
080310045051022,3
080310045051023,3
080310045051028,3
080310045051029,3
080310045051030,3
080310045053009,3
080310045053010,3
080310045053011,3
080310045061000,3
080310045061001,3
080310045061002,3
080310045061003,3
080310045061004,3
080310045061005,3
080310045061006,3
080310045061007,3
080310045061008,3
080310045061009,3
080310045061010,3
080310045062000,3
080310045062001,3
080310045062002,3
080310045062003,3
080310045062004,3
080310045062005,3
080310045062006,3
080310045062007,3
080310045062008,3
080310045062009,3
080310045062010,3
080310045062011,3
080310045062012,3
080310045062013,3
080310045062014,3
080310045063000,3
080310045063001,3
080310045063002,3
080310045063003,3
080310045063004,3
080310045063005,3
080310045063006,3
080310045063007,3
080310045063008,3
080310045063009,3
080310045063010,3
080310045031000,3
080310045031001,3
080310045031002,3
080310045031003,3
080310045031004,3
080310045031005,3
080310045031006,3
080310045031007,3
080310045031008,3
080310045031009,3
080310045032000,3
080310045032001,3
080310045032002,3
080310045032003,3
080310045032004,3
080310045032005,3
080310045032006,3
080310045032007,3
080310045032008,3
080310045032009,3
080310045032010,3
080310045032011,3
080310045032012,3
080310045032013,3
080310045033000,3
080310045033001,3
080310045033002,3
080310045033003,3
080310045033004,3
080310045033005,3
080310045033006,3
080310045033007,3
080310045033008,3
080310045033009,3
080310045043007,3
080310045043008,3
080310045043009,3
080310045043010,3
080310045051027,3
080310046013000,3
080310046013011,3
080310046022000,3
080310046022001,3
080310046022002,3
080310046022003,3
080310046022004,3
080310046022005,3
080310046022006,3
080310046022007,3
080310046022008,3
080310046022009,3
080310046022010,3
080310046022011,3
080310046022012,3
080310046022013,3
080310046022014,3
080310046022015,3
080310046022016,3
080310046022017,3
080310046022018,3
080310046022019,3
080310046022020,3
080310046022021,3
080310046022022,3
080310046022023,3
080310046023000,3
080310046023001,3
080310046023002,3
080310046023003,3
080310046023004,3
080310046023005,3
080310046023006,3
080310046023007,3
080310046023008,3
080310046023009,3
080310046023010,3
080310046023011,3
080310046023012,3
080310046023013,3
080310046013001,3
080310046013002,3
080310046013003,3
080310046013004,3
080310046013005,3
080310046013006,3
080310046013007,3
080310046013008,3
080310046013009,3
080310046013010,3
080310046013012,3
080310046013013,3
080310046013014,3
080310046013015,3
080310046013016,3
080310046013017,3
080310046013018,3
080310046013019,3
080310046013020,3
080310046013021,3
080310046013022,3
080310046013023,3
080310046013024,3
080310046013025,3
080310046013026,3
080310046013027,3
080310046013028,3
080310046014000,3
080310046014001,3
080310046014002,3
080310046014003,3
080310046014004,3
080310046014005,3
080310046014006,3
080310046014007,3
080310046014008,3
080310046014009,3
080310046014010,3
080310046014011,3
080310046014012,3
080310046014013,3
080310046014014,3
080310046014015,3
080310046014016,3
080310046021000,3
080310046021001,3
080310046021002,3
080310046021003,3
080310046021004,3
080310046021005,3
080310046021006,3
080310046021007,3
080310046021008,3
080310046021009,3
080310046021010,3
080310046021011,3
080310046024000,3
080310046024002,3
080310046024003,3
080310046024004,3
080310046024005,3
080310046024006,3
080310046024007,3
080310046024010,3
080310046024011,3
080310046024012,3
080310046024013,3
080310046024014,3
080310009031016,3
080310009031017,3
080310009031018,3
080310009031019,3
080310009031020,3
080310009031021,3
080310009032000,3
080310009032001,3
080310009032002,3
080310009032003,3
080310009032004,3
080310009032005,3
080310009032006,3
080310009032007,3
080310009032008,3
080310009032009,3
080310009032010,3
080310009032011,3
080310009032012,3
080310009032013,3
080310009032014,3
080310009032015,3
080310009032016,3
080310009032017,3
080310009033000,3
080310009033001,3
080310009033002,3
080310009033003,3
080310009033004,3
080310009033005,3
080310009033006,3
080310009033007,3
080310009033008,3
080310009033009,3
080310009033010,3
080310009033011,3
080310009033012,3
080310009033013,3
080310009033014,3
080310009034012,3
080310009034013,3
080310009034014,3
080310009034015,3
080310009034018,3
080310009034019,3
080310009034020,3
080310009034021,3
080310009034022,3
080310009034023,3
080310045041000,3
080310045041001,3
080310045041006,3
080310045041007,3
080310045041008,3
080310045041009,3
080310045041014,3
080310045041015,3
080310045041016,3
080310045051000,3
080310045051001,3
080310045051002,3
080310045051003,3
080310045051004,3
080310045051005,3
080310045051006,3
080310045051007,3
080310045051008,3
080310045051009,3
080310045051010,3
080310045051011,3
080310045051012,3
080310045051013,3
080310045051014,3
080310045051015,3
080310045051016,3
080310045051017,3
080310045051018,3
080310045051019,3
080310045051020,3
080310045051021,3
080310045051024,3
080310045051025,3
080310045051026,3
080310045052000,3
080310045052001,3
080310045052002,3
080310045052003,3
080310045052004,3
080310045052005,3
080310045052006,3
080310045052007,3
080310045052008,3
080310045052009,3
080310045052010,3
080310045052011,3
080310045053000,3
080310045053001,3
080310045053002,3
080310045053003,3
080310045053004,3
080310045053005,3
080310045053006,3
080310045053007,3
080310045053008,3
080310013011000,3
080310013011001,3
080310013011002,3
080310013011003,3
080310013011004,3
080310013011005,3
080310013011006,3
080310013011007,3
080310013011008,3
080310013014000,3
080310013014001,3
080310013014002,3
080310013014003,3
080310013014004,3
080310013014005,3
080310013014006,3
080310013014007,3
080310013014008,3
080310013014009,3
080310013014010,3
080310013014011,3
080310013014012,3
080310013014013,3
080310013014014,3
080310013014015,3
080310013014016,3
080310013014017,3
080310013015000,3
080310013015001,3
080310013015002,3
080310013015003,3
080310013015004,3
080310013015005,3
080310013015006,3
080310013015007,3
080310013015008,3
080310013015009,3
080310013015010,3
080310013015011,3
080310013015012,3
080310013015013,3
080310013015014,3
080310013015015,3
080310013015016,3
080310013015017,3
080310013021004,3
080310013021005,3
080310013021011,3
080310013021012,3
080310013021021,3
080310013021022,3
080310045041002,3
080310045041003,3
080310045041004,3
080310045041005,3
080310045041010,3
080310045041011,3
080310045041012,3
080310045041013,3
080310045041017,3
080310045042000,3
080310045042001,3
080310045042002,3
080310045042003,3
080310045042004,3
080310045042005,3
080310045042006,3
080310045042007,3
080310045042008,3
080310045042009,3
080310045042010,3
080310045042011,3
080310045042012,3
080310045042013,3
080310045042014,3
080310045042015,3
080310045042016,3
080310045042017,3
080310045043000,3
080310045043001,3
080310045043002,3
080310045043003,3
080310045043004,3
080310045043005,3
080310045043006,3
080310013012000,3
080310013012001,3
080310013012002,3
080310013012003,3
080310013012004,3
080310013012005,3
080310013012006,3
080310013012007,3
080310013012008,3
080310013012009,3
080310013012010,3
080310013012011,3
080310013012012,3
080310013012013,3
080310013012014,3
080310013012015,3
080310013012016,3
080310013012017,3
080310013012018,3
080310013012019,3
080310013012020,3
080310013012021,3
080310013013000,3
080310013013001,3
080310013013002,3
080310013013003,3
080310013013004,3
080310013013005,3
080310013013006,3
080310013013007,3
080310013013008,3
080310013013009,3
080310013013010,3
080310013013011,3
080310013013012,3
080310013013013,3
080310013013014,3
080310013013015,3
080310013013016,3
080310013013017,3
080310013013018,3
080310013013019,3
080310013022015,3
080310013022016,3
080310013023006,3
080310013023007,3
080310013023008,3
080310013023009,3
080310014011010,3
080310014011015,3
