GEOID20,District
080310013021000,7
080310013021001,7
080310013021002,7
080310013021003,7
080310013021006,7
080310013021007,7
080310013021008,7
080310013021009,7
080310013021010,7
080310013021013,7
080310013021014,7
080310013021015,7
080310013021016,7
080310013021017,7
080310013021018,7
080310013021019,7
080310013021020,7
080310013021023,7
080310013021024,7
080310013021025,7
080310013021026,7
080310013021027,7
080310013021028,7
080310013021029,7
080310013021030,7
080310013021031,7
080310013022000,7
080310013022001,7
080310013022002,7
080310013022003,7
080310013022004,7
080310013022005,7
080310013022006,7
080310013022007,7
080310013022008,7
080310013022009,7
080310013022010,7
080310013022011,7
080310013022012,7
080310013022013,7
080310013022014,7
080310013022017,7
080310013022018,7
080310013022019,7
080310013022020,7
080310013023000,7
080310013023001,7
080310013023002,7
080310013023003,7
080310013023004,7
080310013023005,7
080310013023010,7
080310013023011,7
080310013023012,7
080310013023013,7
080310013023014,7
080310013023015,7
080310013023016,7
080310013023017,7
080310013023018,7
080310013023019,7
080310009022000,7
080310009022001,7
080310009022002,7
080310009022003,7
080310009022004,7
080310009022005,7
080310009022006,7
080310009022007,7
080310009022008,7
080310009022009,7
080310009022010,7
080310009022011,7
080310009022012,7
080310009022013,7
080310009022014,7
080310009022015,7
080310009022016,7
080310009022017,7
080310009023000,7
080310009023001,7
080310009023002,7
080310009023003,7
080310009023004,7
080310009023005,7
080310009023006,7
080310009023007,7
080310009023008,7
080310009023009,7
080310009023010,7
080310009023011,7
080310009023012,7
080310009023013,7
080310009023014,7
080310009023015,7
080310009023016,7
080310009023017,7
080310009024008,7
080310009024009,7
080310009024010,7
080310009024011,7
080310009024012,7
080310009024013,7
080310009024014,7
080310009024015,7
080310009024016,7
080310009024017,7
080310009024018,7
080310009024019,7
080310009024020,7
080310009024021,7
080310009024022,7
080310009024023,7
080310009024024,7
080310014011000,7
080310014011001,7
080310014011002,7
080310014011003,7
080310014011004,7
080310014011005,7
080310014011006,7
080310014011007,7
080310014011008,7
080310014011009,7
080310014011011,7
080310014011012,7
080310014011013,7
080310014011014,7
080310014011020,7
080310014011021,7
080310014011022,7
080310014011023,7
080310014011024,7
080310014011025,7
080310014011026,7
080310014012000,7
080310014012001,7
080310014012002,7
080310014012003,7
080310014012004,7
080310014012005,7
080310014012006,7
080310014012007,7
080310014012008,7
080310014012009,7
080310014013000,7
080310014013001,7
080310014013002,7
080310014013003,7
080310014013004,7
080310014013005,7
080310014013006,7
080310014013007,7
080310014013008,7
080310014013009,7
080310014013010,7
080310014013011,7
080310014013012,7
080310014022004,7
080310010001000,7
080310010001001,7
080310010001002,7
080310010001003,7
080310010001004,7
080310010001005,7
080310010001006,7
080310010001007,7
080310010001008,7
080310010001009,7
080310010001010,7
080310010001011,7
080310010001012,7
080310010001013,7
080310010001014,7
080310010001015,7
