GEOID20,District
090010101011000,1
090010101011001,1
090010101011002,1
090010101011003,1
090010101011004,1
090010101011005,1
090010101011006,1
090010101011007,1
090010101011008,1
090010101011009,1
090010101011010,1
090010101011011,1
090010101011012,1
090010101011013,1
090010101011014,1
090010101011015,1
090010101011016,1
090010101011017,1
090010101011018,1
090010101011019,1
090010101011020,1
090010101011021,1
090010101011022,1
090010101011023,1
090010101011024,1
090010101011025,1
090010101012000,1
090010101012001,1
090010101013000,1
090010101013001,1
090010101014000,1
090010101014001,1
090010101014002,1
090010101014009,1
090010101014010,1
090010101014011,1
090010101014012,1
090010101014013,1
090010101014014,1
090010101014016,1
090010101014026,1
090010101014027,1
090010101015000,1
090010101015001,1
090010101015002,1
090010101015003,1
090010101015004,1
090010101015005,1
090010101015006,1
090010101015007,1
090010101015008,1
090010101015009,1
090010101015010,1
090010101015011,1
090010101015012,1
090010101015013,1
090010101015014,1
090010101015015,1
090010101015016,1
090010101015017,1
090010101022002,1
090010101022013,1
090010101022014,1
090010101022016,1
090010101022017,1
090010101022023,1
090010101022024,1
090010101023006,1
090010101023007,1
090010101023008,1
090010101023016,1
090010101023017,1
090010101023018,1
090010101023019,1
090010101023027,1
090010101023028,1
090010101023029,1
090010101023030,1
090010101023031,1
090010101023032,1
090010101023033,1
090010101023034,1
090010102011001,1
090010102011002,1
090010102011003,1
090010102011004,1
090010102011005,1
090010102011006,1
090010102011007,1
090010102011008,1
090010102011012,1
090010101014003,1
090010101014004,1
090010101014005,1
090010101014006,1
090010101014007,1
090010101014008,1
090010101014015,1
090010101014017,1
090010101014018,1
090010101014019,1
090010101014020,1
090010101014021,1
090010101014022,1
090010101014023,1
090010101014024,1
090010101014025,1
090010103002003,1
090010103002004,1
090010103002005,1
090010103002006,1
090010104001000,1
090010104001001,1
090010104001002,1
090010104001003,1
090010104001004,1
090010104001005,1
090010104001006,1
090010104001007,1
090010104002000,1
090010104002001,1
090010104002002,1
090010104002003,1
090010104002004,1
090010104002005,1
090010104003000,1
090010104003001,1
090010104003002,1
090010104003003,1
090010104003004,1
090010104003005,1
090010104003006,1
090010104003007,1
090010104003008,1
090010104004000,1
090010104004001,1
090010104004002,1
090010104004003,1
090010104004004,1
090010104005006,1
090010101021000,1
090010101021001,1
090010101021002,1
090010101021003,1
090010101021004,1
090010101021005,1
090010101021006,1
090010101021007,1
090010101021008,1
090010101021009,1
090010101021010,1
090010101021011,1
090010101021012,1
090010101021013,1
090010101021014,1
090010101021015,1
090010101021016,1
090010101021017,1
090010101021018,1
090010101021019,1
090010101021021,1
090010101022000,1
090010101022001,1
090010101022003,1
090010101022004,1
090010101022005,1
090010101022006,1
090010101022007,1
090010101022008,1
090010101022011,1
090010101022015,1
090010101022019,1
090010101022020,1
090010101022021,1
090010101022022,1
090010101023000,1
090010101023001,1
090010101023002,1
090010101023003,1
090010101023004,1
090010101023005,1
090010101023009,1
090010101023010,1
090010101023011,1
090010101023012,1
090010101023013,1
090010101023014,1
090010101023015,1
090010101023020,1
090010101023021,1
090010101023022,1
090010101023023,1
090010101023024,1
090010101023025,1
090010101023026,1
090010101023035,1
090010101023036,1
090010101023037,1
090010101023038,1
090010101023039,1
090010101021020,1
090010101021022,1
090010101021023,1
090010101021024,1
090010101021025,1
090010101021026,1
090010101021027,1
090010101021028,1
090010101021029,1
090010101021030,1
090010101022009,1
090010101022010,1
090010101022012,1
090010101022018,1
090010102011000,1
090010102011009,1
090010102011010,1
090010102011011,1
090010102011013,1
090010102012000,1
090010102012001,1
090010102012002,1
090010102012003,1
090010102012004,1
090010102012005,1
090010102012006,1
090010102012007,1
090010102012008,1
090010102012009,1
090010102013000,1
090010102013001,1
090010102013002,1
090010102013003,1
090010102013004,1
090010102013005,1
090010102013006,1
090010102013007,1
090010102013008,1
090010102013009,1
090010102013010,1
090010102013011,1
090010102013012,1
090010103001002,1
090010103001003,1
090010102012010,1
090010102012011,1
090010102012012,1
090010102012013,1
090010102012014,1
090010103001000,1
090010103001001,1
090010103001004,1
090010103001005,1
090010103001006,1
090010103002014,1
090010103003003,1
090010103003004,1
090010103003006,1
090010103003007,1
090010103003008,1
090010103003009,1
090010103003010,1
090010103003011,1
090010103003012,1
090010103003013,1
090010103003014,1
090010103003015,1
090010103003016,1
090010103003017,1
090010103003018,1
090010103003019,1
090010103003020,1
090010106002001,1
090010106002002,1
090010106002003,1
090010102021000,1
090010102021001,1
090010102021002,1
090010102021003,1
090010102021004,1
090010102021005,1
090010102021006,1
090010102021007,1
090010102021008,1
090010102021009,1
090010102022000,1
090010102022001,1
090010102022002,1
090010102022003,1
090010102022004,1
090010102022005,1
090010102022006,1
090010102022007,1
090010102022008,1
090010102022009,1
090010102022010,1
090010102022011,1
090010102023001,1
090010102023004,1
090010102023005,1
090010102023006,1
090010102023007,1
090010102023008,1
090010102024000,1
090010102024001,1
090010102024002,1
090010102024003,1
090010102024004,1
090010102024005,1
090010102024006,1
090010102024007,1
090010102024008,1
090010102024009,1
090010102024010,1
090010102024011,1
090010102024012,1
090010108001000,1
090010108001002,1
090010108001003,1
090010108003000,1
090010108003001,1
090010108003002,1
090010108003003,1
090010108003004,1
090010108003005,1
090010108003006,1
090010108003007,1
090010108003008,1
090010108003009,1
090010108003010,1
090010108003011,1
090010108003012,1
090010108003013,1
090010108003014,1
090010108003015,1
090010102023000,1
090010102023002,1
090010102023003,1
090010102023009,1
090010102023010,1
090010102023011,1
090010102023012,1
090010109001000,1
090010109001001,1
090010109001002,1
090010109001003,1
090010109001004,1
090010109001005,1
090010109001006,1
090010109001007,1
090010109001008,1
090010109001009,1
090010109001010,1
090010109001011,1
090010109001012,1
090010109001013,1
090010109001014,1
090010109001015,1
090010109001016,1
090010109001017,1
090010109001018,1
090010109002000,1
090010109002001,1
090010109002002,1
090010109002003,1
090010109002004,1
090010109002005,1
090010109002006,1
090010109002007,1
090010109002008,1
090010109002009,1
090010109002010,1
090010109002011,1
090010109003000,1
090010109003001,1
090010109003002,1
090010109003003,1
090010109003004,1
090010109003005,1
090010109004000,1
090010109004001,1
090010109004002,1
090010109004003,1
090010109004004,1
090010109004005,1
090010103002000,1
090010103002001,1
090010103002002,1
090010103002007,1
090010103002008,1
090010103002009,1
090010103002010,1
090010103002011,1
090010103002012,1
090010103002013,1
090010103002015,1
090010103002016,1
090010103002017,1
090010103002018,1
090010103002019,1
090010103002020,1
090010103002021,1
090010103002022,1
090010103002023,1
090010103002024,1
090010103002025,1
090010103002026,1
090010103002027,1
090010103002028,1
090010103002029,1
090010103002030,1
090010103002031,1
090010103002032,1
090010103002033,1
090010103003000,1
090010103003001,1
090010103003002,1
090010103003005,1
090010104005000,1
090010104005001,1
090010104005002,1
090010104005003,1
090010104005004,1
090010104005005,1
090010104005007,1
090010104005008,1
090010104005009,1
090010104005010,1
090010104005011,1
090010104005012,1
090010104005013,1
090010104005014,1
090010105001000,1
090010105001001,1
090010105001002,1
090010105001003,1
090010105001006,1
090010105001007,1
090010105001008,1
090010105001009,1
090010105001010,1
090010105001011,1
090010106001000,1
090010106001001,1
090010106001002,1
090010106001003,1
090010106001004,1
090010106001005,1
090010106001006,1
090010106001007,1
090010106001008,1
090010106001009,1
090010106001010,1
090010106001011,1
090010106001012,1
090010106002004,1
090010106002005,1
090010106002006,1
090010106002007,1
090010106002009,1
090010106002010,1
090010106002011,1
090010106002012,1
090010106002013,1
090010107001000,1
090010107001001,1
090010107001002,1
090010107001003,1
090010107001004,1
090010107001005,1
090010107001006,1
090010107002000,1
090010107002001,1
090010107002002,1
090010107002005,1
090010107002006,1
090010107002007,1
090010107002011,1
090010107003003,1
090010107003007,1
090010107003008,1
090010107003009,1
090010107003010,1
090010107003011,1
090010107003012,1
090010107003013,1
090010107003014,1
090010105001004,1
090010105001005,1
090010105001012,1
090010105002000,1
090010105002001,1
090010105002002,1
090010105002003,1
090010105002004,1
090010105002005,1
090010105002006,1
090010105002007,1
090010105002008,1
090010105002009,1
090010105002010,1
090010105002011,1
090010105002012,1
090010105003000,1
090010105003001,1
090010105004000,1
090010105004001,1
090010105004002,1
090010105004003,1
090010105004004,1
090010105004005,1
090010105004006,1
090010112002000,1
090010105003002,1
090010105003003,1
090010105003004,1
090010105003005,1
090010105003006,1
090010105003007,1
090010105003008,1
090010105003009,1
090010105003010,1
090010105003011,1
090010105003012,1
090010105003013,1
090010105003014,1
090010105003015,1
090010105003016,1
090010105003017,1
090010112002023,1
090010113001005,1
090010113001006,1
090010113001007,1
090010113001008,1
090010113001009,1
090010113001010,1
090010113001011,1
090010113001012,1
090010113001013,1
090010113001014,1
090010113001015,1
090010113001016,1
090010113001017,1
090010113001018,1
090010113001019,1
090010113001020,1
090010113001021,1
090010113001022,1
090010113001023,1
090010113001024,1
090010113001025,1
090010113001026,1
090010113001027,1
090010113001028,1
090010113001029,1
090010113001030,1
090010113001031,1
090010113001032,1
090010113001033,1
090010113002000,1
090010113002001,1
090010113002002,1
090010113002003,1
090010113002004,1
090010113002005,1
090010113002006,1
090010113002007,1
090010113002008,1
090010106002000,1
090010106002008,1
090010107002003,1
090010107002004,1
090010107002008,1
090010107002009,1
090010107002010,1
090010107003000,1
090010107003001,1
090010107003002,1
090010107003004,1
090010107003005,1
090010107003006,1
090010108001001,1
090010108001004,1
090010108001005,1
090010108001006,1
090010108001007,1
090010108001008,1
090010108001009,1
090010108001010,1
090010108001011,1
090010108001012,1
090010108001013,1
090010108002000,1
090010108002001,1
090010108002002,1
090010108002003,1
090010108002004,1
090010108002005,1
090010108002006,1
090010108002007,1
090010108002008,1
090010108002009,1
090010108002010,1
090010108002011,1
090010108002012,1
090010108002013,1
090010108002014,1
090010108002015,1
090010108002016,1
090010112001000,1
090010112001001,1
090010112001002,1
090010112001003,1
090010112001004,1
090010112001005,1
090010112001006,1
090010112001007,1
090010112001008,1
090010112001009,1
090010112001010,1
090010112001011,1
090010112001012,1
090010112001013,1
090010112001014,1
090010112001015,1
090010112001016,1
090010112001017,1
090010112001018,1
090010112001019,1
090010112001020,1
090010112001021,1
090010112001022,1
090010112001023,1
090010112001024,1
090010112001025,1
090010112001026,1
090010112001027,1
090010112001028,1
090010112001029,1
090010112001030,1
090010112001031,1
090010112001032,1
090010112001033,1
090010112001034,1
090010112001035,1
090010112001036,1
090010112001037,1
090010112001038,1
090010112001039,1
090010112001040,1
090010112002001,1
090010112002002,1
090010112002003,1
090010112002004,1
090010112002005,1
090010112002006,1
090010112002007,1
090010112002008,1
090010112002009,1
090010112002010,1
090010112002011,1
090010112002012,1
090010112002013,1
090010112002014,1
090010112002015,1
090010112002016,1
090010112002017,1
090010112002018,1
090010112002019,1
090010112002020,1
090010112002021,1
090010112002022,1
090010112002024,1
090010112002025,1
090010112002026,1
090010112002027,1
090010112002028,1
090010113001000,1
090010113001001,1
090010113001002,1
090010113001003,1
090010113001004,1
090019900000020,1
090019900000021,1
090010110001000,1
090010110001001,1
090010110001002,1
090010110001003,1
090010110001004,1
090010110001005,1
090010110001006,1
090010110001007,1
090010110001008,1
090010110001009,1
090010110001010,1
090010110001011,1
090010110001012,1
090010110001013,1
090010110001014,1
090010110001015,1
090010110001016,1
090010110001017,1
090010110001018,1
090010110001019,1
090010110001020,1
090010110001022,1
090010110001023,1
090010110001025,1
090010110001026,1
090010110002000,1
090010110002001,1
090010110002002,1
090010110002003,1
090010110002004,1
090010110002005,1
090010110002006,1
090010110002007,1
090010110002008,1
090010110002009,1
090010110003000,1
090010110003003,1
090010110003004,1
090010110003005,1
090010110003006,1
090010110003007,1
090010110003008,1
090010110004000,1
090010110004001,1
090010110004002,1
090010110004003,1
090010110004004,1
090010110004005,1
090010110004006,1
090010110004007,1
090010110004008,1
090010110004009,1
090010110004010,1
090010110004011,1
090010110004012,1
090010110004013,1
090010110004014,1
090010110005000,1
090010110005001,1
090010110005002,1
090010110005003,1
090010110005004,1
090010110005005,1
090010110005006,1
090010110005007,1
090010110005008,1
090019900000017,1
090010110001021,1
090010110001024,1
090010110003001,1
090010110003002,1
090010111002000,1
090010111002001,1
090010111002002,1
090010111002003,1
090010111002004,1
090010111002005,1
090010111002006,1
090010111002007,1
090010111002008,1
090010111002009,1
090010111002010,1
090010111002011,1
090010111002012,1
090010111002013,1
090010111002014,1
090010111003000,1
090010111003001,1
090010111003002,1
090010111003003,1
090010111003004,1
090010111003005,1
090010111003006,1
090010111003007,1
090010111003008,1
090010111003009,1
090010111003010,1
090010111003011,1
090010111003012,1
090010111003013,1
090010111003014,1
090010111003015,1
090010111003016,1
090019900000018,1
090019900000019,1
090010111001000,1
090010111001001,1
