GEOID20,District
190610102021000,1
190610102021003,1
190610102021004,1
190610102021034,1
190610104001000,1
190610104001001,1
190610104001002,1
190610104001010,1
190610104001011,1
190610104001012,1
190610104001034,1
190610104001041,1
190610104001042,1
190610104001043,1
190610104001044,1
190610104001045,1
190610104001046,1
190610104001047,1
190610104001048,1
190610104001049,1
190610104001050,1
190610104001054,1
190610106003012,1
190610106003013,1
190610106003014,1
190610106003015,1
190610106003016,1
190610106003027,1
190610106003028,1
190610106003029,1
190610106003030,1
190610106003031,1
190610106003032,1
190610106003036,1
190610106003037,1
190610106003038,1
190610106003039,1
190610106003040,1
190610106003042,1
190610106003043,1
190610106003044,1
190610001001010,1
190610001001011,1
190610001001012,1
190610001001013,1
190610001001014,1
190610001001015,1
190610001001025,1
190610001001026,1
190610001001028,1
190610001001029,1
190610001001030,1
190610001001031,1
190610001001032,1
190610001001033,1
190610001001036,1
190610001001037,1
190610001001038,1
190610001001039,1
190610001001040,1
190610001001041,1
190610001001042,1
190610001001043,1
190610001001045,1
190610001001046,1
190610001001047,1
190610001001048,1
190610001001049,1
190610001001050,1
190610001001051,1
190610001001052,1
190610001001053,1
190610001001054,1
190610001001055,1
190610001001056,1
190610001001057,1
190610001001058,1
190610001001059,1
190610001001060,1
190610001001061,1
190610001001062,1
190610001001063,1
190610001001064,1
190610001001065,1
190610001001066,1
190610001001067,1
190610001001068,1
190610001001069,1
190610001001070,1
190610001001071,1
190610001001072,1
190610001001073,1
190610001001074,1
190610001001075,1
190610001001076,1
190610001001077,1
190610001001078,1
190610001001079,1
190610001001080,1
190610001001081,1
190610001001082,1
190610001001083,1
190610001001084,1
190610001001086,1
190610001001087,1
190610001001088,1
190610001001089,1
190610001001090,1
190610001001091,1
190610001001092,1
190610001001093,1
190610001001094,1
190610001001095,1
190610001001096,1
190610001001097,1
190610001001098,1
190610001001099,1
190610001001100,1
190610001001101,1
190610001002000,1
190610001002001,1
190610001002002,1
190610001002003,1
190610001002004,1
190610001002005,1
190610001002006,1
190610001002007,1
190610001002008,1
190610001002009,1
190610001002010,1
190610001002011,1
190610001002012,1
190610001002013,1
190610001002014,1
190610001002015,1
190610001002016,1
190610001002017,1
190610001002018,1
190610001002019,1
190610001002020,1
190610001002021,1
190610001002022,1
190610001002023,1
190610001002024,1
190610001002025,1
190610001002026,1
190610001002027,1
190610001002028,1
190610001003000,1
190610001003011,1
190610001003012,1
190610001003013,1
190610001003014,1
190610001003015,1
190610001003016,1
190610001003017,1
190610001003018,1
190610001003019,1
190610001003020,1
190610001003021,1
190610001003022,1
190610001003023,1
190610001003024,1
190610001003025,1
190610001003026,1
190610001003027,1
190610001003029,1
190610001003030,1
190610001003031,1
190610001003032,1
190610001003033,1
190610001003034,1
190610001003035,1
190610001003036,1
190610001003037,1
190610001003038,1
190610001003039,1
190610001003040,1
190610001003041,1
190610001003042,1
190610005004022,1
190610005004023,1
190610005004024,1
190610005004025,1
190610005004026,1
190610103002008,1
190610103002009,1
190610103002035,1
190610103002036,1
190610103002037,1
190610103002038,1
190610103002039,1
190610103002040,1
190610103002041,1
190610103002046,1
190610103002047,1
190610103002048,1
190610103002063,1
190610103002064,1
190610103002065,1
190610103002066,1
190610103002067,1
190610103002085,1
190610103003062,1
190610103003078,1
190610103003079,1
190610103003080,1
190610103003081,1
190610103003082,1
190610103003083,1
190610103003084,1
190610103003087,1
190610103003088,1
190610103003089,1
190610103003090,1
190610103003091,1
190610103003092,1
190610103003093,1
190610103003094,1
190610103003095,1
190610103003096,1
190610103003097,1
190610103003098,1
190610103003099,1
190610103003100,1
190610103003101,1
190610103003102,1
190610103003103,1
190610103003104,1
190610103003105,1
190610103003106,1
190610103003107,1
190610103003108,1
190610103003109,1
190610103003116,1
190610103003117,1
190610103003118,1
190610103003119,1
190610103003124,1
190610103003125,1
190610103003126,1
190610102021040,1
190610102021041,1
190610102021042,1
190610102021046,1
190610102021047,1
190610102021048,1
190610102021049,1
190610102021050,1
190610102021051,1
190610102021052,1
190610102021053,1
190610102021054,1
190610102021055,1
190610102021056,1
190610102021057,1
190610102021059,1
190610102022000,1
190610102022001,1
190610102022002,1
190610102022003,1
190610102022004,1
190610102022005,1
190610102022010,1
190610102022011,1
190610102022012,1
190610102022080,1
190610102022081,1
190610102023000,1
190610102023001,1
190610102023002,1
190610102023003,1
190610102023004,1
190610102023005,1
190610102023006,1
190610102023007,1
190610102023008,1
190610102023009,1
190610102023010,1
190610102023011,1
190610102023012,1
190610102023013,1
190610102023014,1
190610102023015,1
190610102023016,1
190610102023017,1
190610102023018,1
190610102023019,1
190610102023020,1
190610102023021,1
190610102023022,1
190610102023023,1
190610102023024,1
190610102023025,1
190610102023026,1
190610102023027,1
190610102023028,1
190610102023029,1
190610102023030,1
190610102023031,1
190610102023032,1
190610102023033,1
190610102023034,1
190610102023035,1
190610102023036,1
190610102023037,1
190610102023038,1
190610102023039,1
190610102023040,1
190610102023041,1
190610102023042,1
190610102023043,1
190610102023044,1
190610102023045,1
190610102023046,1
190610102023047,1
190610102023048,1
190610102023049,1
190610102023050,1
190610102023051,1
190610102023052,1
190610102023053,1
190610102023054,1
190610102023055,1
190610102023056,1
190610103003018,1
190610103003019,1
190610103003020,1
190610103003021,1
190610103003022,1
190610103003023,1
190610103003024,1
190610103003041,1
190610103003042,1
190610103003043,1
190610103003044,1
190610103003045,1
190610103003046,1
190610103003047,1
190610103003048,1
190610103003049,1
190610103003050,1
190610103003051,1
190610103003055,1
190610103003056,1
190610103003120,1
190610103003121,1
190610104003000,1
190610104001029,3
190610104001030,3
190610104002001,3
190610104002002,3
190610104002003,3
190610104002004,3
190610104002005,3
190610104002009,3
190610104002010,3
190610104002011,3
190610104002012,3
190610104002013,3
190610104002014,3
190610104002015,3
190610104002016,3
190610104002017,3
190610104002018,3
190610104002019,3
190610104002020,3
190610104002022,3
190610104002023,3
190610104002024,3
190610104002025,3
190610104002026,3
190610104002027,3
190610104002028,3
190610104002029,3
190610104002030,3
190610104002031,3
190610104002032,3
190610104002033,3
190610104002034,3
190610104002035,3
190610104002036,3
190610104002037,3
190610104002038,3
190610104002039,3
190610104002040,3
190610104002041,3
190610104002042,3
190610104002043,3
190610104002044,3
190610104002045,3
190610104002046,3
190610104002047,3
190610104002048,3
190610104002049,3
190610104002050,3
190610104002051,3
190610104002052,3
190610104002053,3
190610104002054,3
190610104002055,3
190610104002056,3
190610104002057,3
190610104002058,3
190610104002059,3
190610104002061,3
190610104002062,3
190610104002063,3
190610104002066,3
190610104002067,3
190610104002068,3
190610104002070,3
190610104002071,3
190610104002072,3
190610104002073,3
190610104002074,3
190610104003004,3
190610104003005,3
190610104003060,3
190610105001000,3
190610105001001,3
190610105001002,3
190610105001003,3
190610105001005,3
190610105001006,3
190610105001007,3
190610105001008,3
190610105001012,3
190610105001013,3
190610105001014,3
190610105001018,3
190610105001019,3
190610105001023,3
190610105001024,3
190610105002000,3
190610105002001,3
190610105002005,3
190610105003019,3
190610011011000,1
190610011011001,1
190610011011002,1
190610011011003,1
190610011011004,1
190610011011005,1
190610011011006,1
190610011011007,1
190610011011008,1
190610011011009,1
190610011011010,1
190610011011011,1
190610011011012,1
190610011011013,1
190610011011014,1
190610011031017,1
190610011031020,1
190610011031022,1
190610011031023,1
190610011031024,1
190610011031027,1
190610011045009,1
190610011045010,1
190610011045011,1
190610011045012,1
190610011045013,1
190610011045017,1
190610011045018,1
190610011045019,1
190610011045020,1
190610011045021,1
190610011045022,1
190610011045023,1
190610011045031,1
190610103001000,1
190610103001001,1
190610103001002,1
190610103001005,1
190610103001006,1
190610103001007,1
190610103001008,1
190610103001009,1
190610103001010,1
190610103001011,1
190610103001012,1
190610103001013,1
190610103001014,1
190610103001015,1
190610103001016,1
190610103001017,1
190610103001018,1
190610103001019,1
190610103001020,1
190610103001021,1
190610103001022,1
190610103001023,1
190610103001024,1
190610103001025,1
190610103001026,1
190610103001027,1
190610103001028,1
190610103001029,1
190610103001030,1
190610103001031,1
190610103001032,1
190610103001033,1
190610103001034,1
190610103001035,1
190610103001036,1
190610103001037,1
190610103001038,1
190610103001039,1
190610103001040,1
190610103001041,1
190610103001042,1
190610103001043,1
190610103001044,1
190610103001045,1
190610103001046,1
190610103001047,1
190610103001048,1
190610103001049,1
190610103001050,1
190610103001051,1
190610103003115,1
190610104004027,1
190610104004029,1
190610104004032,1
190610104004033,1
190610104004036,1
190610104004037,1
190610104004038,1
190610104004039,1
190610104004040,1
190610104004041,1
190610104004042,1
190610104004044,1
190610104004045,1
190610104004046,1
190610104004047,1
190610104004048,1
190610104004063,1
190610104004064,1
190610104004065,1
190610104004066,1
190610104004067,1
190610104004068,1
190610104004069,1
190610104004070,1
190610104004071,1
190610104004072,1
190610104004073,1
190610104004074,1
190610104004075,1
190610104004076,1
190610104004077,1
190610104004078,1
190610104004079,1
190610104004080,1
190610104004081,1
190610104004082,1
190610104004083,1
190610104004084,1
190610104004085,1
190610104004086,1
190610008011004,1
190610008011009,1
190610008011010,1
190610008011011,1
190610008011025,1
190610008011026,1
190610101011004,1
190610101011005,1
190610101011010,1
190610101011019,1
190610101011021,1
190610101011026,1
190610101011029,1
190610101051000,1
190610101051001,1
190610101051002,1
190610101051003,1
190610101051004,1
190610101051005,1
190610101051006,1
190610101051007,1
190610101051008,1
190610101051009,1
190610101051010,1
190610101051011,1
190610101051012,1
190610101051013,1
190610101051014,1
190610101051015,1
190610101052000,1
190610101052001,1
190610101052003,1
190610101052004,1
190610101052005,1
190610101052006,1
190610101052007,1
190610101052026,1
190610101052027,1
190610101052028,1
190610101052029,1
190610101052030,1
190610101052031,1
190610101052032,1
190610101052033,1
190610101052041,1
190610101052042,1
190610101052043,1
190610102011003,1
190610102011004,1
190610102011006,1
190610102011007,1
190610102011010,1
190610102011011,1
