GEOID20,District
180190509022010,6
180190509022012,6
180190509022013,6
180190509022014,6
180190509022029,6
180190509023000,6
180190509023011,6
180190509023015,6
180190509024000,6
180190509024001,6
180190509024002,6
180190509024003,6
180190509024004,6
180190509024005,6
180190509024006,6
180190509024007,6
180190509024008,6
180190509024009,6
180190509024010,6
180190509024011,6
180190509024012,6
180190509024013,6
180190509024014,6
180190509024015,6
180190509024016,6
180190509025000,6
180190509025001,6
180190509025002,6
180190509025003,6
180190509025004,6
180190509025005,6
180190509025006,6
180190509025007,6
180190509025008,6
180190509025009,6
180190509025010,6
180190509025011,6
180190509025012,6
180190509025013,6
180190509025014,6
180190509025015,6
180190509025016,6
180190509025017,6
180190509025018,6
180190509025019,6
180190509025020,6
180190509025021,6
180190509025022,6
180190509025023,6
180190509025024,6
180190509025025,6
180190509025026,6
180190509025027,6
180190509025028,6
180190509025029,6
180190509025030,6
180190509025031,6
180190509025032,6
180190509025033,6
180190509025034,6
180190509025035,6
180190509025036,6
180190509025037,6
180190509025038,6
180190509025039,6
180190509025040,6
180190509026000,6
180190509026001,6
180190509026002,6
180190509026003,6
180190509026004,6
180190509026005,6
180190509026006,6
180190509026007,6
180190509026008,6
180190509026009,6
180190509026010,6
180190509026011,6
180190509026012,6
180190509026013,6
180190509026014,6
180190509026015,6
180190509026016,6
180190509032017,6
180190509032018,6
180190509033006,6
180190509033007,6
180190509033008,6
180190509033009,6
180190509033010,6
180190509033012,6
180190509033016,6
180190509033017,6
180190509033018,6
180190509033019,6
180190509033020,6
180190509033021,6
180190509033022,6
180190509033023,6
180190509033024,6
180190509033025,6
180190509033026,6
180190509033028,6
180190509033029,6
180190509033030,6
180190509044006,6
180190509045014,6
180190509045015,6
180190509045016,6
180190509045017,6
180190509045022,6
180190509045023,6
180190509045024,6
180190509045025,6
180190509045026,6
180190509045027,6
180190509045028,6
180190509045036,6
180190509045037,6
180190509045038,6
180190509045039,6
180190509045040,6
180190509045041,6
180190509045042,6
180190503051003,6
180190503051004,6
180190503051005,6
180190503051006,6
180190503051012,6
180190503052001,6
180190503052002,6
180190503052003,6
180190503052004,6
180190503052005,6
180190503052006,6
180190503052010,6
180190503052011,6
180190503052012,6
180190503052014,6
180190503052015,6
180190503052016,6
180190503041018,6
180190503041019,6
180190503041020,6
180190503041021,6
180190503041022,6
180190503041023,6
180190503041024,6
180190503041025,6
180190503041026,6
180190503041027,6
180190503041028,6
180190503041029,6
180190503041030,6
180190503041031,6
180190503042000,6
180190503042004,6
180190503042005,6
180190503042006,6
180190503042008,6
180190503042009,6
180190503042010,6
180190508031010,6
180190508031011,6
180190508031012,6
180190508031013,6
180190508031014,6
180190508031015,6
180190508031016,6
180190508031017,6
180190508031018,6
180190508031019,6
180190508031020,6
180190508031021,6
180190508031022,6
180190508031023,6
180190508031024,6
180190508031025,6
180190508031026,6
180190508031027,6
180190508031028,6
180190508031029,6
180190508031030,6
180190508031031,6
180190508031032,6
180190508031033,6
180190508031034,6
180190508031035,6
180190508031036,6
180190508031037,6
180190508031038,6
180190508031039,6
180190508031040,6
180190508031041,6
180190508031042,6
180190508031043,6
180190508031054,6
180190508031062,6
180190508031063,6
180190508032021,6
180190508041028,6
180190508041029,6
180190508041030,6
180190508041032,6
180190508041040,6
180190508041041,6
180190508041044,6
180190508041045,6
180190508041046,6
180190508041047,6
180190508041048,6
180190508041049,6
180190508041050,6
180190508041052,6
180190508041053,6
180190508041054,6
180190508042008,6
180190508042009,6
180190508042011,6
180190508042012,6
180190508042016,6
180190508042017,6
180190508042020,6
180190504042000,6
180190504042001,6
180190504042002,6
180190504042003,6
180190504042004,6
180190504042005,6
180190504042006,6
180190504042007,6
180190504042008,6
180190504042009,6
180190504042010,6
180190504042011,6
180190504042012,6
180190504042013,6
180190504042014,6
180190504042015,6
180190504042016,6
180190504042017,6
180190504042018,6
180190504042019,6
180190504042020,6
180190504042021,6
180190504042022,6
180190504042023,6
180190505051001,6
180190505052004,6
180190505052006,6
180190505052007,6
180190505052008,6
180190505052012,6
180190505052013,6
180190505052014,6
180190505052015,6
180190504032000,6
180190505041000,6
180190505041001,6
180190505041002,6
180190505041003,6
180190505041004,6
180190505041005,6
180190505041006,6
180190505041007,6
180190505041013,6
180190505041014,6
180190505041015,6
180190505041016,6
180190505041017,6
180190505041018,6
180190505041019,6
180190505041020,6
180190505041021,6
180190505041023,6
180190505041029,6
180190505041030,6
180190505041034,6
180190505041035,6
180190505041036,6
180190505041037,6
180190505042000,6
180190505042001,6
180190505042002,6
180190505042003,6
180190505042004,6
180190505042005,6
180190505042006,6
180190505042007,6
180190505042008,6
180190505042009,6
180190505042010,6
180190505042011,6
180190505042012,6
180190505042013,6
180190505042014,6
180190505042015,6
180190505042016,6
180190505042017,6
180190505042018,6
180190505042019,6
180190505042020,6
180190505042021,6
180190505042022,6
180190505042023,6
180190505042024,6
180190505043000,6
180190505043001,6
180190505043002,6
180190505044000,6
180190505044001,6
180190505044002,6
180190505044003,6
180190505044004,6
180190505044005,6
180190505044006,6
180190505044007,6
180190505044008,6
180190505044009,6
180190505044010,6
180190505044011,6
180190505044012,6
180190505044013,6
180190505044014,6
180190505044015,6
180190505044016,6
180190505044017,6
180190505044018,6
180190505044019,6
180190505044020,6
180190505044021,6
180190505044022,6
180190505044023,6
180190505044024,6
180190506053010,6
180190506053011,6
180190506053012,6
180190509022000,6
180190509022001,6
180190509022002,6
180190509022003,6
180190509022004,6
180190509022005,6
180190509022006,6
180190509022007,6
180190509022008,6
180190509022009,6
180190509022011,6
180190509041000,6
180190509041001,6
180190509041002,6
180190509041003,6
180190509041004,6
180190509041005,6
180190509041006,6
180190509041007,6
180190509041008,6
180190509041009,6
180190509041010,6
180190509041011,6
180190509041012,6
180190509041013,6
180190509041015,6
180190509041016,6
180190509041017,6
180190509041018,6
180190509041019,6
180190509042000,6
180190509042001,6
180190509042003,6
180190509042005,6
180190509042007,6
180190509042008,6
180190506041000,6
