GEOID20,District
180890432012020,1
180890432012021,1
180890432012022,1
180890432012023,1
180890432012024,1
180890432012025,1
180890432012026,1
180890432012027,1
180890432012028,1
180890432012029,1
180890432012030,1
180890432012031,1
180890432012032,1
180890432012035,1
180890432012038,1
180890432012039,1
180890432012040,1
180890432013004,1
180890432013005,1
180890432013006,1
180890432013008,1
180890432013009,1
180890432013010,1
180890432013011,1
180890432013012,1
180890432013013,1
180890432013014,1
180890432013015,1
180890432013016,1
180890424041000,1
180890424041001,1
180890424041002,1
180890424041003,1
180890424041004,1
180890424041005,1
180890424041006,1
180890424041007,1
180890424041009,1
180890424041010,1
180890424052016,1
180890424052017,1
180890424052021,1
180890424052022,1
180890424052025,1
180890201001016,1
180890201001025,1
180890201001026,1
180890201001027,1
180890201003021,1
180890201003022,1
180890201003026,1
180890201003027,1
180890201003028,1
180890201003029,1
180890201003030,1
180890201003031,1
180890201003032,1
180890201003033,1
180890201003034,1
180890201003035,1
180890201003036,1
180890201003037,1
180890201003038,1
180890201003039,1
180890201003040,1
180890201003041,1
180890201003042,1
180890201003043,1
180890201004000,1
180890201004001,1
180890201004002,1
180890201004003,1
180890201004004,1
180890201004005,1
180890201004006,1
180890201004007,1
180890201004008,1
180890201004009,1
180890201004010,1
180890201004011,1
180890201004012,1
180890201004013,1
180890201004014,1
180890201004015,1
180890201004016,1
180890201004017,1
180890201004018,1
180890201004019,1
180890201004020,1
180890201004021,1
180890201004035,1
180890213001001,1
180890213001002,1
180890213001003,1
180890213001012,1
180890213001013,1
180890213001014,1
180890213001015,1
180890213001016,1
180890213001017,1
180890213001018,1
180890213001019,1
180890213001020,1
180890213001021,1
180890213002000,1
180890213002001,1
180890213002002,1
180890213002003,1
180890213002004,1
180890213002005,1
180890213002006,1
180890213002007,1
180890213002008,1
180890213002009,1
180890213002010,1
180890213002020,1
180890213003000,1
180890213003001,1
180890213003002,1
180890213003004,1
180890213003006,1
180890213003007,1
180890213003008,1
180890213003009,1
180890213003010,1
180890213003011,1
180890213003012,1
180890213003013,1
180890213003014,1
180890213003015,1
180890213003016,1
180890213003017,1
180890213003018,1
180890213003019,1
180890213003020,1
180890213003021,1
180890213003022,1
180890213003023,1
180890213003024,1
180890213003026,1
180890213003027,1
180890123003017,1
180890123003018,1
180890123003019,1
180890124001004,1
180890124001005,1
180890124001008,1
180890124001009,1
180890124001010,1
180890124001011,1
180890124001012,1
180890124001013,1
180890124001014,1
180890124001015,1
180890124002000,1
180890124002001,1
180890124002002,1
180890124002010,1
180890124002011,1
180890124002012,1
180890124002013,1
180890124002019,1
180890124002020,1
180890125004000,1
180890125004001,1
180890125004007,1
180890125004008,1
180890125004009,1
180890125004010,1
180890125004028,1
180890125004029,1
180890126001013,1
180890126001014,1
180890126001015,1
180890126001025,1
180890126003005,1
180890126003006,1
180890126003007,1
180890126003008,1
180890126003009,1
180890126003010,1
180890126003011,1
180890126003012,1
180890126003023,1
180890126003024,1
180890126003025,1
180890119001008,1
180890119001009,1
180890119001024,1
180890119001025,1
180890119001030,1
180890119001031,1
180890119001032,1
180890119001033,1
180890119001034,1
180890119001035,1
180890119001036,1
180890119001037,1
180890119001038,1
180890119001047,1
180890119001048,1
180890119001049,1
180890119001050,1
180890119001051,1
180890119001052,1
180890119001053,1
180890119001054,1
180890119001055,1
180890119001056,1
180890119001058,1
180890119002000,1
180890119002001,1
180890119002002,1
180890119002003,1
180890119002004,1
180890119002005,1
180890119002006,1
180890119002007,1
180890119002008,1
180890119002009,1
180890119002010,1
180890119002011,1
180890119002012,1
180890119002013,1
180890119002014,1
180890119002015,1
180890119002016,1
180890119002017,1
180890119002018,1
180890119002019,1
180890119002020,1
180890119002021,1
180890119002022,1
180890119002023,1
180890119002024,1
180890119002025,1
180890119002026,1
180890119002027,1
180890119002028,1
180890119002029,1
180890119002030,1
180890119002031,1
180890119002032,1
180890119002033,1
180890119002034,1
180890119002035,1
180890119002036,1
180890119002037,1
180890119002038,1
180890119002039,1
180890119002040,1
180890119002041,1
180890120002009,1
180890120002010,1
180890120002011,1
180890120002012,1
180890120002013,1
180890120002014,1
180890120002015,1
180890120002016,1
180890120002017,1
180890120002018,1
180890120002019,1
180890120002020,1
180890120002021,1
180890120002022,1
180890120002023,1
180890120002024,1
180890120002025,1
180890120002026,1
180890120002027,1
180890120002028,1
180890120002029,1
180890120002030,1
180890120002031,1
180890120002032,1
180890120002033,1
180890120002034,1
180890120002035,1
180890120002036,1
180890120002037,1
180890120002038,1
180890120002039,1
180890120002040,1
180890120002041,1
180890120002042,1
180890120002043,1
180890120002044,1
180890120002045,1
180890124006000,1
180890124006001,1
180890124006004,1
180890303001011,1
180890303001012,1
180890303002038,1
180890303002039,1
180890303002040,1
180890303002041,1
180890303002042,1
180890303002043,1
180890303002044,1
180890303002046,1
180890303002047,1
180890303002048,1
180890307001000,1
180890307001001,1
180890307001002,1
180890307001003,1
180890307001004,1
180890307001007,1
180890307001008,1
180890307001009,1
180890307001010,1
180890307001011,1
180890307002008,1
180890307002009,1
180890307002013,1
180890307002014,1
180890307002015,1
180890307002016,1
180890307002022,1
180890307002023,1
180890307002024,1
180890307002025,1
180890307002026,1
180890308004008,1
180890308004009,1
180890423022009,1
180890423022010,1
180890424041008,1
180890424042000,1
180890424042001,1
180890424042002,1
180890424042003,1
180890424042004,1
180890424042006,1
180890424042007,1
180890424042008,1
180890424042009,1
180890424042010,1
180890424042011,1
180890424042012,1
180890424042013,1
180890424042014,1
180890424042016,1
180890425031001,1
180890425031002,1
180890425031003,1
180890425031004,1
180890425031005,1
180890425031006,1
180890425031007,1
180890425031008,1
180890425031009,1
180890425031010,1
180890425031011,1
180890425031012,1
180890425031013,1
180890425031014,1
180890425031015,1
180890425031016,1
180890425031017,1
180890425031018,1
180890425031019,1
180890425031020,1
180890425031022,1
180890425031023,1
180890201003006,1
180890201003007,1
180890201003008,1
180890201003009,1
180890201003010,1
180890201003011,1
180890201003012,1
180890201003013,1
180890201003014,1
180890201003015,1
180890201003016,1
180890201003017,1
180890201003018,1
180890201003019,1
180890201003020,1
180890201003023,1
180890201003024,1
180890201003025,1
180890202001000,1
180890202001001,1
180890202001002,1
180890202001003,1
180890202001004,1
180890202001005,1
180890202001006,1
180890202001007,1
180890202001008,1
180890202001009,1
180890202001010,1
180890202001012,1
180890202001013,1
180890202001014,1
180890202001016,1
180890202001017,1
180890202001018,1
180890202001019,1
180890202001021,1
180890202001022,1
180890202001023,1
180890202001024,1
180890202001025,1
180890202001045,1
180890202001046,1
180890202001047,1
180890202001048,1
180890202001049,1
180890202001050,1
180890202001055,1
180890202001056,1
180890202001057,1
180890202001058,1
180890202001059,1
180890202001060,1
180890202001061,1
180890203004019,1
180890203004020,1
180890203004021,1
180890203004022,1
180890203004023,1
180890203004024,1
180890203004025,1
180890203004026,1
180890203004027,1
180890203004028,1
180890203004029,1
180890203004030,1
180890203004031,1
180890203004032,1
180890421005003,1
180890421005006,1
180890421005007,1
180890421005008,1
180890421005009,1
180890422001000,1
180890422001004,1
180890422001005,1
180890422001006,1
180890422001007,1
180890422001008,1
180890422001009,1
180890422001010,1
180890422001011,1
180890422001012,1
180890422001013,1
180890422001014,1
180890422001015,1
180890422001016,1
180890422001030,1
180890422001031,1
180890422003006,1
180890422003007,1
180890422003009,1
180890422003010,1
180890422003011,1
180890422003012,1
180890422003013,1
180890422003014,1
180890422003015,1
180890422003016,1
180890422003017,1
180890422003018,1
180890422005000,1
180890434012000,1
180890434012016,1
180890434012018,1
180890434012027,1
180890434014000,1
180890434014001,1
180890434014002,1
180890434014003,1
180890434014004,1
180890434014005,1
180890434014006,1
180890434014007,1
180890434014008,1
180890434014009,1
180890434014010,1
180890434014012,1
180890434014013,1
180890434014014,1
180890434014015,1
180890401002001,1
180890401002002,1
180890401002003,1
180890401002004,1
180890401002005,1
180890401002006,1
180890401002007,1
180890401002008,1
180890401002011,1
180890402001000,1
180890402001001,1
180890402001002,1
180890402001003,1
180890402001004,1
180890402001005,1
180890402001006,1
180890402001007,1
180890402001008,1
180890402001009,1
180890402001010,1
180890402001011,1
180890402001012,1
180890402001013,1
180890402001014,1
180890402001015,1
180890402001016,1
180890402001017,1
180890402001018,1
180890402001019,1
180890402001020,1
180890402001021,1
180890402001022,1
180890402001027,1
180890402001028,1
180890402001029,1
180890402001030,1
180890402001031,1
180890402001032,1
180890402001033,1
180890402001034,1
180890402001035,1
180890402001036,1
180890207001007,1
180890207001008,1
180890207001009,1
180890207001010,1
180890207001011,1
180890207001015,1
180890207003003,1
180890207003004,1
180890207003005,1
180890207003006,1
180890207003007,1
180890207003008,1
180890207003009,1
180890207003010,1
180890207003011,1
180890207003012,1
180890207003013,1
180890207003014,1
180890207003015,1
180890214001004,1
180890214001005,1
180890214001006,1
180890214001007,1
180890214001008,1
180890214001012,1
180890214001013,1
180890214001014,1
180890214001015,1
180890214001016,1
180890214001017,1
180890214001018,1
180890214001019,1
180890214001024,1
180890214002004,1
180890214002005,1
180890214002006,1
180890214002007,1
180890214002008,1
180890214002009,1
180890214002010,1
180890214002011,1
180890214002012,1
180890214002014,1
180890214002015,1
180890214002016,1
180890214002024,1
180890215001006,1
180890215001007,1
180890215001008,1
180890215001009,1
180890215001010,1
180890215001011,1
180890215001012,1
180890215001013,1
180890215001014,1
180890215001015,1
180890429041000,1
180890429041001,1
180890429041002,1
180890429041003,1
180890429041004,1
180890429041006,1
180890429041007,1
180890429041009,1
180890429041010,1
180890429041011,1
180890429041012,1
180890429041013,1
180890429041014,1
180890429041015,1
180890429041016,1
180890429041017,1
180890429041018,1
180890429041019,1
180890429041020,1
180890429041021,1
180890429041022,1
180890429041023,1
180890429041024,1
180890429041025,1
180890429041026,1
180890429041027,1
180890429041028,1
180890429041029,1
180890429041030,1
180890429041033,1
180890429041056,1
180890429041057,1
180890429041058,1
180890429041059,1
180890429011005,1
180890429011006,1
180890429011007,1
180890429011009,1
180890429011010,1
180890429011012,1
180890429011014,1
180890429011015,1
180890429011016,1
180890429011017,1
180890429011018,1
180890429011022,1
180890429011023,1
180890429011024,1
180890429011025,1
180890429011026,1
180890429011027,1
180890429011028,1
180890429011029,1
180890429011030,1
180890429011031,1
180890429011032,1
180890429011033,1
180890429011039,1
180890429011040,1
180890429011041,1
180890429011043,1
180890429012000,1
180890429012002,1
180890429012003,1
180890429012004,1
180890429012005,1
180890429012006,1
180890429012007,1
180890429012008,1
180890429012010,1
180890429012022,1
180890429012023,1
180890429012026,1
180890102052015,1
180890102052016,1
180890102052036,1
180890102052037,1
180890102052038,1
180890102052039,1
180890102052040,1
180890102052041,1
180890102052042,1
180890102052043,1
180890102052044,1
180890102052045,1
180890102052046,1
180890102052047,1
180890102052048,1
180890102052051,1
180890102052052,1
180890102052053,1
180890102052054,1
180890102052055,1
180890102052056,1
180890102052057,1
180890102052058,1
180890102052059,1
180890102052060,1
180890102052061,1
180890102052062,1
180890102052063,1
180890102052064,1
180890102052065,1
180890102052066,1
180890102052067,1
180890102052068,1
180890102052069,1
180890102052070,1
180890102052071,1
180890102052072,1
180890102052073,1
180890102052074,1
180890102052075,1
180890102052076,1
180890102052077,1
180890102052078,1
180890102052079,1
180890102052080,1
180890102052081,1
180890102052082,1
180890102052083,1
180890102052084,1
180890102052085,1
180890102052086,1
180890102052087,1
180890102052106,1
180890102052107,1
180890104001000,1
180890113001002,1
180890113001003,1
180890113001004,1
180890113001005,1
180890113001006,1
180890113001007,1
180890113001008,1
180890113001016,1
180890113001017,1
180890113001018,1
180890113001019,1
180890113001020,1
180890113001024,1
180890113001025,1
180890113001026,1
180890113001027,1
180890113001028,1
180890113001029,1
180890113001030,1
180890113001031,1
180890113001032,1
180890113001036,1
180890113001037,1
180890113001038,1
180890113001039,1
180890113001048,1
180890113001049,1
180890113001050,1
180890113001055,1
180890113001057,1
180890118002005,1
180890118002006,1
180890128001000,1
180890128001001,1
180890128001008,1
180890128001009,1
180890128001010,1
180890128001011,1
180890128001012,1
180890128001013,1
180890128001014,1
180890128001018,1
180890128001025,1
180890128002000,1
180890128002025,1
180890128002026,1
180890128002027,1
180890128003002,1
180890128003003,1
180890128003004,1
180890128003005,1
180890128003006,1
180890128003007,1
180890128003008,1
180890128003009,1
180890128003010,1
180890128003011,1
180890128003012,1
180890128003013,1
180890128003016,1
180890128003017,1
180890128003018,1
180890128003019,1
180890128003020,1
180890128003021,1
180890128003026,1
180890128003028,1
180890128003029,1
180890128003030,1
180890128003031,1
180890128003045,1
180890128003046,1
180890104002018,1
180890104002019,1
180890104002020,1
180890104002021,1
180890104002022,1
180890104002023,1
180890104002024,1
180890104003000,1
180890104003001,1
180890104003002,1
180890104003003,1
180890104003004,1
180890104003005,1
180890104003006,1
180890104003007,1
180890104003018,1
180890104003019,1
180890104003020,1
180890104003021,1
180890104003022,1
180890104003023,1
180890104003024,1
180890128001002,1
180890128001003,1
180890128001004,1
180890128001005,1
180890128001006,1
180890128001007,1
180890128001015,1
180890128001016,1
180890128001017,1
180890128001019,1
180890128001020,1
180890128001021,1
180890128001022,1
180890128001023,1
180890128001024,1
180890128001026,1
180890128002001,1
180890128002002,1
180890128002003,1
180890128002004,1
180890128002005,1
180890128002006,1
180890128002007,1
180890128002008,1
180890128002009,1
180890128002010,1
180890128002011,1
180890128002012,1
180890128002013,1
180890128002014,1
180890128002015,1
180890128002016,1
180890128002017,1
180890128002018,1
180890128002019,1
180890128002020,1
180890128002021,1
180890128002022,1
180890128002023,1
180890128002024,1
180890128002028,1
180890128002029,1
180890434041000,1
180890434041001,1
180890434041002,1
180890434041003,1
180890434041004,1
180890434041005,1
180890434041006,1
180890434041007,1
180890434041008,1
180890434041009,1
180890434041010,1
180890434041011,1
180890434041012,1
180890434041013,1
180890434041014,1
180890434041015,1
180890434041016,1
180890434041017,1
180890434041018,1
180890434041019,1
180890434041020,1
180890434041021,1
180890434041022,1
180890434041023,1
180890434041024,1
180890434041025,1
180890434041026,1
180890434041027,1
180890434041028,1
180890434041029,1
180890434041030,1
180890434041031,1
180890434041032,1
180890434041033,1
180890434041034,1
180890434041035,1
180890434041036,1
180890434041037,1
180890434041038,1
180890434041039,1
180890434041040,1
180890434041041,1
180890434041042,1
180890434041043,1
180890434041044,1
180890434041045,1
180890434041046,1
180890434041047,1
180890434041048,1
180890434041049,1
180890434041050,1
180890434041051,1
180890434041052,1
180890434041053,1
180890434041054,1
180890434041055,1
180890434041056,1
180890434041057,1
180890434041058,1
180890434041059,1
180890434041060,1
180890434041061,1
180890434041062,1
180890434041063,1
180890434041064,1
180890434041065,1
180890434041066,1
180890434041067,1
180890434041068,1
180890434041069,1
180890434041070,1
180890434041071,1
180890434041072,1
180890434041073,1
180890434041074,1
180890434041075,1
180890434041076,1
180890434041077,1
180890434041078,1
180890434041079,1
180890434041080,1
180890434041081,1
180890434041082,1
180890434041083,1
180890434041084,1
180890434041085,1
180890434041086,1
180890434041087,1
180890430011000,1
180890430011027,1
180890430011036,1
180890430012025,1
180890430012026,1
180890430012027,1
180890430012028,1
180890430012029,1
180890430012038,1
180890430012039,1
180890430012040,1
180890430012041,1
180890430012042,1
180890430012057,1
180890430012058,1
180890430012059,1
180890430012064,1
180890430032003,1
180890430032004,1
180890430032005,1
180890430032006,1
180890430032007,1
180890430032008,1
180890430032009,1
180890430032010,1
180890430032011,1
180890430032012,1
180890430032013,1
180890430032014,1
180890430032015,1
180890430032016,1
180890430032017,1
180890430032018,1
180890430032019,1
180890430032020,1
180890430032021,1
180890430032022,1
180890430032023,1
180890430032024,1
180890430032025,1
180890430032026,1
180890430032027,1
180890430032028,1
180890430032033,1
180890430032034,1
180890430032035,1
180890430032036,1
180890430032037,1
180890430032038,1
180890430032039,1
180890430032040,1
180890430032041,1
180890430032042,1
180890430032043,1
180890430041000,1
