GEOID20,District
180890432012020,8
180890432012021,8
180890432012022,8
180890432012023,8
180890432012024,8
180890432012025,8
180890432012026,8
180890432012027,8
180890432012028,8
180890432012029,8
180890432012030,8
180890432012031,8
180890432012032,8
180890432012035,8
180890432012038,8
180890432012039,8
180890432012040,8
180890432013004,8
180890432013005,8
180890432013006,8
180890432013008,8
180890432013009,8
180890432013010,8
180890432013011,8
180890432013012,8
180890432013013,8
180890432013014,8
180890432013015,8
180890432013016,8
180890424041000,8
180890424041001,8
180890424041002,8
180890424041003,8
180890424041004,8
180890424041005,8
180890424041006,8
180890424041007,8
180890424041009,8
180890424041010,8
180890424052016,8
180890424052017,8
180890424052021,8
180890424052022,8
180890424052025,8
180890201001016,8
180890201001025,8
180890201001026,8
180890201001027,8
180890201003021,8
180890201003022,8
180890201003026,8
180890201003027,8
180890201003028,8
180890201003029,8
180890201003030,8
180890201003031,8
180890201003032,8
180890201003033,8
180890201003034,8
180890201003035,8
180890201003036,8
180890201003037,8
180890201003038,8
180890201003039,8
180890201003040,8
180890201003041,8
180890201003042,8
180890201003043,8
180890201004000,8
180890201004001,8
180890201004002,8
180890201004003,8
180890201004004,8
180890201004005,8
180890201004006,8
180890201004007,8
180890201004008,8
180890201004009,8
180890201004010,8
180890201004011,8
180890201004012,8
180890201004013,8
180890201004014,8
180890201004015,8
180890201004016,8
180890201004017,8
180890201004018,8
180890201004019,8
180890201004020,8
180890201004021,8
180890201004035,8
180890213001001,8
180890213001002,8
180890213001003,8
180890213001012,8
180890213001013,8
180890213001014,8
180890213001015,8
180890213001016,8
180890213001017,8
180890213001018,8
180890213001019,8
180890213001020,8
180890213001021,8
180890213002000,8
180890213002001,8
180890213002002,8
180890213002003,8
180890213002004,8
180890213002005,8
180890213002006,8
180890213002007,8
180890213002008,8
180890213002009,8
180890213002010,8
180890213002020,8
180890213003000,8
180890213003001,8
180890213003002,8
180890213003004,8
180890213003006,8
180890213003007,8
180890213003008,8
180890213003009,8
180890213003010,8
180890213003011,8
180890213003012,8
180890213003013,8
180890213003014,8
180890213003015,8
180890213003016,8
180890213003017,8
180890213003018,8
180890213003019,8
180890213003020,8
180890213003021,8
180890213003022,8
180890213003023,8
180890213003024,8
180890213003026,8
180890213003027,8
180890123003017,8
180890123003018,8
180890123003019,8
180890124001004,8
180890124001005,8
180890124001008,8
180890124001009,8
180890124001010,8
180890124001011,8
180890124001012,8
180890124001013,8
180890124001014,8
180890124001015,8
180890124002000,8
180890124002001,8
180890124002002,8
180890124002010,8
180890124002011,8
180890124002012,8
180890124002013,8
180890124002019,8
180890124002020,8
180890125004000,8
180890125004001,8
180890125004007,8
180890125004008,8
180890125004009,8
180890125004010,8
180890125004028,8
180890125004029,8
180890126001013,8
180890126001014,8
180890126001015,8
180890126001025,8
180890126003005,8
180890126003006,8
180890126003007,8
180890126003008,8
180890126003009,8
180890126003010,8
180890126003011,8
180890126003012,8
180890126003023,8
180890126003024,8
180890126003025,8
180890119001008,8
180890119001009,8
180890119001024,8
180890119001025,8
180890119001030,8
180890119001031,8
180890119001032,8
180890119001033,8
180890119001034,8
180890119001035,8
180890119001036,8
180890119001037,8
180890119001038,8
180890119001047,8
180890119001048,8
180890119001049,8
180890119001050,8
180890119001051,8
180890119001052,8
180890119001053,8
180890119001054,8
180890119001055,8
180890119001056,8
180890119001058,8
180890119002000,8
180890119002001,8
180890119002002,8
180890119002003,8
180890119002004,8
180890119002005,8
180890119002006,8
180890119002007,8
180890119002008,8
180890119002009,8
180890119002010,8
180890119002011,8
180890119002012,8
180890119002013,8
180890119002014,8
180890119002015,8
180890119002016,8
180890119002017,8
180890119002018,8
180890119002019,8
180890119002020,8
180890119002021,8
180890119002022,8
