GEOID20,District
200239502001000,2
200239502001001,2
200239502001002,2
200239502001003,2
200239502001004,2
200239502001005,2
200239502001006,2
200239502001007,2
200239502001008,2
200239502001009,2
200239502001010,2
200239502001011,2
200239502001012,2
200239502001013,2
200239502001014,2
200239502001015,2
200239502001016,2
200239502001017,2
200239502001018,2
200239502001019,2
200239502001020,2
200239502001021,2
200239502001022,2
200239502001023,2
200239502001024,2
200239502001025,2
200239502001026,2
200239502001027,2
200239502001028,2
200239502001029,2
200239502001030,2
200239502001031,2
200239502001032,2
200239502001033,2
200239502001034,2
200239502001035,2
200239502001036,2
200239502001037,2
200239502001038,2
200239502001039,2
200239502001040,2
200239502001041,2
200239502001042,2
200239502001043,2
200239502001044,2
200239502001045,2
200239502001046,2
200239502001050,2
200239502001051,2
200239502001052,2
200239502001053,2
200239502001054,2
200239502001055,2
200239502001056,2
200239502001057,2
200239502001058,2
200239502001059,2
200239502001060,2
200239502001061,2
200239502001062,2
200239502001063,2
200239502001064,2
200239502001065,2
200239502001066,2
200239502001078,2
200239502001079,2
200239502001109,2
200239502001110,2
200239502001114,2
200239502001115,2
200239502001116,2
200239502003001,2
200239502003002,2
200239502003003,2
200239502003004,2
200239502003005,2
200239502003006,2
200239502003007,2
200239502003008,2
200239502003009,2
200239502003010,2
200239502003015,2
200239502003016,2
200239502003017,2
200239502003018,2
200239502003019,2
200239502003020,2
200239502003021,2
200239502003022,2
200239502003023,2
200239502003024,2
200239502003025,2
200239502003026,2
200239502003027,2
200239502003028,2
200239502003029,2
200239502003030,2
200239502003031,2
200239502003032,2
200239502003033,2
200239502003034,2
200239502003035,2
200239502003036,2
200239502003037,2
200239502003053,2
200239502003058,2
200239502003063,2
200239502003064,2
200239502003065,2
200239502003066,2
200239502003067,2
200239502003068,2
200239502003069,2
200239502003070,2
200239502003071,2
200239502003072,2
200239502003075,2
200239502003076,2
200239502003077,2
200239502003078,2
200239502003079,2
200239502003080,2
200239502003081,2
200239502003163,2
200239502003164,2
200239502003165,2
200239502003169,2
200239502003170,2
200239502003171,2
200239502003172,2
200239502003173,2
200239502003174,2
200239502003175,2
200239502003176,2
200239502003177,2
200239502003178,2
200239502003179,2
200239502003180,2
200239502003181,2
200239502003182,2
200239502003183,2
200239502003184,2
200239502003185,2
200239502003186,2
200239502003187,2
200239502003188,2
200239502003189,2
200239502003190,2
200239502003191,2
200239502003192,2
200239502003193,2
200239502003194,2
200239502003195,2
200239502003316,2
200239502003317,2
200239502003318,2
200239502003321,2
200239502002000,2
200239502002001,2
200239502002002,2
200239502002003,2
200239502002004,2
200239502002005,2
200239502002006,2
200239502002007,2
200239502002008,2
200239502002009,2
200239502002031,2
200239502002032,2
200239502002033,2
200239502002034,2
200239502002035,2
200239502002036,2
200239502002037,2
200239502002038,2
200239502002039,2
200239502002040,2
200239502002060,2
200239502002061,2
200239502002068,2
200239502002069,2
200239502002070,2
200239502002071,2
200239502002072,2
200239502002073,2
200239502002074,2
200239502002075,2
200239502002076,2
200239502002077,2
200239502002078,2
200239502002079,2
200239502002080,2
200239502002081,2
200239502002082,2
200239502002083,2
200239502002084,2
200239502002085,2
200239502002086,2
200239502002087,2
200239502002088,2
200239502002089,2
200239502002090,2
200239502002091,2
200239502002092,2
200239502002093,2
200239502002094,2
200239502002095,2
200239502002096,2
200239502002097,2
200239502002098,2
200239502002099,2
200239502002100,2
200239502002101,2
200239502002102,2
200239502002103,2
200239502002104,2
200239502002105,2
200239502002106,2
200239502002107,2
200239502002108,2
200239502002109,2
200239502002110,2
200239502002111,2
200239502002112,2
200239502002113,2
