GEOID20,District
202090424001024,1
202090424001025,1
202090424003017,1
202090424003018,1
202090424003019,1
202090426001000,1
202090426001001,1
202090426001006,1
202090426001007,1
202090426001008,1
202090426001009,1
202090426001014,1
202090426001015,1
202090426001016,1
202090426001017,1
202090426002000,1
202090426002001,1
202090426002002,1
202090426002003,1
202090426002004,1
202090426002005,1
202090426002006,1
202090426002007,1
202090426002008,1
202090426002013,1
202090426002014,1
202090426002015,1
202090426002016,1
202090426002017,1
202090426002018,1
202090426002019,1
202090426002020,1
202090426002021,1
202090426002022,1
202090426002023,1
202090426002024,1
202090426002025,1
202090426002026,1
202090426002027,1
202090426002028,1
202090426002029,1
202090426002030,1
202090426003000,1
202090426003001,1
202090426003002,1
202090426003003,1
202090426003004,1
202090426003005,1
202090426003006,1
202090426003007,1
202090426003008,1
202090426003009,1
202090426003010,1
202090426003011,1
202090426003012,1
202090426003013,1
202090426003014,1
202090426003015,1
202090426003016,1
202090426003017,1
202090426003018,1
202090426003019,1
202090426003020,1
202090426003021,1
202090426003022,1
202090426003023,1
202090426003024,1
202090426003025,1
202090426003026,1
202090426003027,1
202090426003028,1
202090426003029,1
202090426003031,1
202090426003032,1
202090426003033,1
202090426003034,1
202090426003035,1
202090426003036,1
202090426003037,1
202099809001017,1
202099809001018,1
202099809001019,1
202099809001020,1
202099809001021,1
202099809001022,1
202099809001023,1
202099809001024,1
202099809001025,1
202099809001026,1
202099809001027,1
202099809001028,1
202099809001029,1
202099809001036,1
202099809001037,1
202099809001038,1
202099809001039,1
202099809001040,1
202099809001041,1
202099809001042,1
202099809001043,1
202099809001044,1
202099809001045,1
202099809001046,1
202099809001047,1
202099809001048,1
202099809001049,1
202099809001050,1
202099809001051,1
202099809001052,1
202099809001053,1
202099809001054,1
202099809001055,1
202099809001056,1
202099809001057,1
202099809001058,1
202099809001059,1
202099809001060,1
202099809001061,1
202099809001062,1
202099809001063,1
202099809001064,1
202099809001065,1
202099812001000,1
202099812001001,1
202099812001020,1
202099812001021,1
202099812001022,1
202099812001023,1
202099812001037,1
202090428001000,1
202090428001001,1
202090428001002,1
202090428001003,1
202090428001004,1
202090428001005,1
202090428001010,1
202090428002000,1
202090428002001,1
202090428002002,1
202090428002003,1
202090428002004,1
202090428002005,1
202090428002006,1
202090428002007,1
202090428002008,1
202090428002009,1
202090428002010,1
202090428002011,1
202090428002012,1
202090428002013,1
202090428002014,1
202090428002015,1
202090428002016,1
202090428002017,1
202090428002018,1
202090428002019,1
202090428002020,1
202090428002021,1
