GEOID20,District
211110098001002,3
211110098001003,3
211110098001004,3
211110098001005,3
211110098001006,3
211110098001007,3
211110098001008,3
211110098001009,3
211110100012017,3
211110100012018,3
211110103152000,3
211110103152001,3
211110103152002,3
211110103152003,3
211110103152004,3
211110103152005,3
211110103152006,3
211110103152007,3
211110103152008,3
211110103152009,3
211110103152010,3
211110103152011,3
211110103161007,3
211110103161008,3
211110103161009,3
211110103161016,3
211110103161017,3
211110103161018,3
211110103161019,3
211110103162001,3
211110103162002,3
211110103162008,3
211110103162009,3
211110103162010,3
211110103162011,3
211110103162013,3
211110103162014,3
211110103162015,3
211110103162016,3
211110103162017,3
211110103163004,3
211110103163005,3
211110103163010,3
211110103163011,3
211110103163012,3
211110103163013,3
211110103163016,3
211110103163019,3
211110104063000,3
211110104063001,3
211110104063002,3
211110104063003,3
211110104063004,3
211110104063005,3
211110104063006,3
211110104063007,3
211110104063008,3
211110104063015,3
211110104063016,3
211110104064000,3
211110104064001,3
211110104064002,3
211110119042000,3
211110119042001,3
211110119042009,3
211110119011005,3
211110119011009,3
211110119011012,3
211110119011013,3
211110119011014,3
211110119011015,3
211110119011016,3
211110119011017,3
211110119011018,3
211110119011019,3
211110119011021,3
211110119011022,3
211110119011029,3
211110119011030,3
211110119011031,3
211110111142000,3
211110111142001,3
211110111142002,3
211110111142003,3
211110111142007,3
211110111142008,3
211110111142009,3
211110111143000,3
211110111143001,3
211110111143002,3
211110111143003,3
211110111143004,3
211110111143005,3
211110111143006,3
211110111143007,3
211110027001000,3
211110027001001,3
211110027001002,3
211110027001003,3
211110027001004,3
211110027001005,3
211110027001006,3
211110027001007,3
211110027001008,3
211110027001009,3
211110027001043,3
211110027001044,3
211110027001045,3
211110027001047,3
211110027001048,3
211110027001049,3
211110027001052,3
211110027001053,3
211110027001054,3
211110027001055,3
211110027001056,3
211110027001057,3
211110027001058,3
211110027001059,3
211110027001060,3
211110027001061,3
211110049002011,3
211110049002012,3
211110049002013,3
211110049002018,3
211110050001001,3
211110050001002,3
211110050001003,3
211110050001004,3
211110050001005,3
211110050001006,3
211110050001007,3
211110050001008,3
211110050001009,3
211110050001010,3
211110050001011,3
211110050001012,3
211110050001013,3
211110050001014,3
211110051001001,3
211110051001002,3
211110051001003,3
211110051001004,3
211110051001014,3
211110051001015,3
211110051001016,3
211110051001017,3
211110051001018,3
211110051001019,3
211110051001020,3
211110051001021,3
211110096001003,3
211110096001004,3
211110096001005,3
211110096001006,3
211110096001010,3
211110096001011,3
211110096003000,3
211110096003001,3
211110096003002,3
211110038001020,3
211110038001021,3
211110038001022,3
211110038001023,3
211110038001024,3
211110038001025,3
