GEOID20,District
2400101-000,6
2400103-000,6
2400121-000,6
2400102-000,6
2400116-000,6
2400134-000,6
2400122-001,6
2400122-002,6
2400104-004,6
2400104-008,6
2400104-002,6
2400104-003,6
2400104-005,6
2400105-004,6
2400114-000,6
2400123-000,6
2400106-001,6
2400106-003,6
2400106-005,6
2400106-006,6
2400106-099,6
2400129-001,6
2400129-003,6
2400107-001,6
2400124-000,6
2400113-000,6
2400129-002,6
2400120-000,6
2400111-000,6
2400112-000,6
2400118-000,6
2400126-000,6
2400110-000,6
2400107-002,6
2400131-000,6
2400109-000,6
2400108-000,6
2400105-006,6
2400307-023,3
2400307-012,3
2400307-027,3
2400307-005,3
2400307-019,3
2400307-006,3
2400307-010,3
2400307-007,3
2400307-022,3
2400307-011,3
2400307-008,3
2400307-004,3
2400307-021,4
2400304-014,3
2400304-015,3
2400306-027,3
2400307-015,3
2400307-026,3
2400307-014,3
2400304-010,3
2400307-016,3
2400307-020,3
2400307-017,3
2400307-024,3
2400304-021,3
2400304-022,3
2400307-018,3
2400307-013,3
2400306-031,3
2400306-021,3
2400306-019,3
2400306-010,3
2400306-026,3
2400306-003,3
2400306-014,3
2400306-009,3
2400306-004,3
2400306-023,3
2400306-005,3
2400306-015,3
2400306-006,3
2400306-017,3
2400306-024,3
2400306-030,3
2400306-025,3
2400306-029,3
2400306-022,3
2400306-011,3
2400306-001,3
2400306-012,3
2400306-018,3
2400306-008,3
2400306-007,3
2400306-016,3
2400306-002,3
2400306-013,3
2400307-025,3
2400307-003,4
2400307-001,4
2400307-002,4
2400307-009,4
2400303-006,5
2400303-024,5
2400303-008,3
2400303-025,3
2400302-019,3
2400302-012,3
2400302-006,3
2400302-007,5
2400302-003,5
2400302-005,5
2400302-011,3
2400302-002,3
2400302-020,3
2400302-014,5
2400302-018,5
2400302-013,5
2400302-015,5
2400302-017,5
2400302-021,3
2400305-015,3
2400305-033,3
2400305-019,3
2400305-007,3
2400305-024,3
2400303-005,3
2400305-030,3
2400305-029,3
2400305-008,3
2400305-032,3
2400305-012,3
2400305-005,3
2400305-006,3
2400305-025,3
2400305-023,3
2400305-020,3
2400305-028,3
2400305-001,3
2400305-002,3
2400305-017,3
2400305-022,3
2400305-035,3
2400305-026,3
2400305-003,3
2400305-021,3
2400305-004,3
2400305-011,3
2400305-027,3
2400305-013,3
2400305-009,3
2400305-014,3
2400305-034,3
2400305-016,3
2400303-013,3
2400303-017,3
2400303-022,3
2400303-010,3
2400305-010,3
2400303-009,3
2400305-031,3
2400303-023,3
2400303-004,3
2400303-015,3
2400303-011,5
2400303-018,3
2400303-019,5
2400303-012,5
2400303-020,3
2400303-021,3
2400303-001,3
2400303-002,5
2400303-014,5
2400303-003,3
2400303-016,3
2400301-005,5
2400301-006,5
2400301-024,3
2400301-020,3
