GEOID20,District
2404707-001,5
2404704-001,5
2404701-001,5
24047ZZZZZZ,5
2404706-003,5
2404702-001,5
2404701-002,5
2404706-002,5
2404702-004,5
2404706-001,5
2404705-002,5
2404704-004,5
2404702-005,5
2404702-002,5
2404703-001,5
2404704-002,5
2404703-002,5
2404704-003,5
2404705-001,5
2404703-003,5
2404702-003,5
2404516-003,5
2404517-001,5
2404501-003,5
2404511-004,5
2404504-003,5
2404513-004,5
2404509-007,5
2404513-002,5
2404513-003,5
2404509-001,5
2404501-002,5
2404505-003,5
2404508-002,5
2404508-001,5
2404505-009,5
2404510-002,5
2404510-003,5
2404515-003,5
2404505-007,5
2404505-004,5
2404506-001,5
2404516-005,5
2404514-002,5
2404509-003,5
2404509-006,5
2404509-002,5
2404502-001,5
2404508-004,5
2404505-005,5
2404505-001,5
2404513-001,5
2404516-001,5
2404505-008,5
2404511-003,5
2404510-001,5
2404515-001,5
2404507-001,5
2404505-002,5
2404509-004,5
2404505-006,5
2404516-006,5
2404504-002,5
2404515-002,5
2404516-002,5
2404514-001,5
2404508-003,5
2404516-004,5
2404508-005,5
2404509-008,5
2404504-001,5
2404509-005,5
2404511-002,5
2404511-001,5
2404501-001,5
2404509-091,5
2403901-002,5
24039ZZZZZZ,5
2403906-001,5
2403901-001,5
2403904-001,5
2403903-001,5
2403911-001,5
2403908-002,5
2403915-002,5
2403905-001,5
2403902-001,5
2403913-002,5
2403907-001,5
2403909-001,5
2403908-001,5
2403915-001,5
2403910-002,5
2403912-001,5
2403914-001,5
2403910-001,5
2403901-003,5
2403915-003,5
2403913-003,5
2403913-001,5
2401901-001,5
2401915-001,5
2401907-011,5
2401913-001,5
2401909-001,5
2401907-006,5
2401917-001,5
2401904-001,5
2401905-001,5
2401910-001,5
2401916-001,5
2401907-003,5
2401918-001,5
2401906-001,5
2401907-001,5
2401907-009,5
2401907-004,5
2401917-002,5
2401902-001,5
2401908-001,5
2401903-001,5
2401915-003,5
2401914-001,5
2401914-002,5
2401914-003,5
2401903-002,5
2401907-002,5
2401902-003,5
2401902-004,5
2401913-002,5
2401911-001,5
2401912-002,5
2401907-007,5
2401912-001,5
2401902-002,5
2401907-010,5
2401915-002,5
2401901-002,5
2401907-008,5
2401907-005,5
2401914-004,5
2401108-001,5
2401105-001,5
2401101-001,5
2401107-001,5
2401103-001,5
2401102-001,5
2401104-001,5
2401106-001,5
2404101-002,5
2404104-001,5
2404101-005,5
2404101-003,5
2404102-003,5
2404101-001,5
2404103-001,5
24041ZZZZZZ,5
2404102-001,5
2404105-001,5
2404103-003,5
2404102-002,5
2404105-002,5
2403507-001,1
2403501-001,1
2403502-001,1
2403504-002,1
2403504-003,1
2403505-001,1
2403504-006,1
