GEOID20,District
240479512001015,1
240479512001016,1
240479512001017,1
240479512001033,1
240479512001034,1
240479512001035,1
240479512001036,1
240479512001037,1
240479512001038,1
240479512001040,1
240479512001041,1
240479512001042,1
240479512001044,1
240479512001045,1
240479512001046,1
240479512001047,1
240479512001048,1
240479512001049,1
240479512001050,1
240479512001055,1
240479512001056,1
240479512001057,1
240479512002001,1
240479512002002,1
240479512002003,1
240479512002004,1
240479512002005,1
240479512002006,1
240479512002007,1
240479512002008,1
240479512002009,1
240479512002010,1
240479512002011,1
240479512002012,1
240479512002013,1
240479512002014,1
240479512002015,1
240479512002016,1
240479512002017,1
240479512002018,1
240479512002019,1
240479512002020,1
240479512002021,1
240479512002022,1
240479512002023,1
240479512002024,1
240479512002025,1
240479512002026,1
240479512002027,1
240479512002028,1
240479512002029,1
240479512002030,1
240479512002031,1
240479512002032,1
240479512002033,1
240479512002034,1
240479512002035,1
240479512002036,1
240479512002037,1
240479512002038,1
240479512002039,1
240479512002040,1
240479512002041,1
240479512002042,1
240479512002043,1
240479512002044,1
240479512002045,1
240479512002046,1
240479512002047,1
240479512002050,1
240479512002051,1
240479512002052,1
240479512002053,1
240479512002054,1
240479512002055,1
240479512002056,1
240479512002057,1
240479512003004,1
240479512003005,1
240479512003006,1
240479512003008,1
240479512003116,1
240479513001001,1
240479513001003,1
240479513001013,1
240479513001014,1
240479513001024,1
240479513001025,1
240479513001026,1
240479513001028,1
240479513001029,1
240479513001030,1
240479513001037,1
240479513001038,1
240479513001039,1
240479513002000,1
240479513002001,1
240479513002002,1
240479513002003,1
240479513002004,1
240479513002005,1
240479513002006,1
240479513002009,1
240479513002010,1
240479513002011,1
240479513002012,1
240479513002013,1
240479513002014,1
240479513002015,1
240479513002016,1
240479513002018,1
240479513002022,1
240479513002023,1
240479513002024,1
240479513002025,1
240479513002026,1
240479513002027,1
240479513002028,1
240479513002029,1
240479513002037,1
240479513002039,1
240479513002040,1
240479513002041,1
240479514002000,1
240479514002001,1
240479514002002,1
240479514002003,1
240479514002004,1
240479514002005,1
240479514002006,1
240479514002007,1
240479514002008,1
240479514002009,1
240479514002010,1
240479514002011,1
240479514002012,1
240479514002013,1
240479514002014,1
240479514002015,1
240479514002016,1
240479514002017,1
240479514002018,1
240479514002019,1
240479514002020,1
240479514002021,1
240479514002022,1
240479514002023,1
240479514002024,1
240479514002025,1
240479514002026,1
240479514002027,1
240479514002028,1
240479514002029,1
240479514002030,1
240479514002031,1
240479514002032,1
240479514002033,1
240479514002034,1
240479514002035,1
