GEOID20,District
270314801021005,1
270314801021006,1
270314801021007,1
270314801021008,1
270314801021009,1
270314801021010,1
270314801021011,1
270314801021012,1
270314801021013,1
270314801021014,1
270314801021015,1
270314801021016,1
270314801021018,1
270314801021019,1
270314801021020,1
270314801021021,1
270314801021022,1
270314801021023,1
270314801021024,1
270314801021025,1
270314801021026,1
270314801021027,1
270314801021028,1
270314801021029,1
270314801021033,1
270314801021034,1
270314801021035,1
270314801021036,1
270314801021060,1
270314801021064,1
270314801021065,1
270314801021066,1
270314801021067,1
270314801021068,1
270314801021069,1
270314801021070,1
270314801021071,1
270314801021072,1
270314801021073,1
270314801021074,1
270314801021075,1
270314801021076,1
270314801021077,1
270314801021078,1
270314801021079,1
270314801021080,1
270314801021081,1
270314801021082,1
270314801021083,1
270314801021084,1
270314801021085,1
270314801021086,1
270314801021087,1
270314801021088,1
270314801021089,1
270314801021090,1
270314801021091,1
270314801021092,1
270314801021093,1
270314801021094,1
270314801021095,1
270314801021096,1
270314801021097,1
270314801021098,1
270314801021103,1
270314801021104,1
270314801021109,1
270314801021110,1
270314801021111,1
270314801021112,1
270314801021113,1
270314801021114,1
270314801021115,1
270314801021116,1
270314801021117,1
270314801021118,1
270314801021119,1
270314801021133,1
270314801021134,1
270314801021135,1
270314801021137,1
270314801021138,1
270314801021139,1
270314801021140,1
270314801021141,1
270314801021142,1
270314801021143,1
270314801021144,1
270314801021145,1
270314801021146,1
270314801021147,1
270314801021148,1
270314801021149,1
270314801021150,1
270314801021151,1
270314801021152,1
270314801021153,1
270314801021154,1
270314801021155,1
270314801021156,1
270314801021157,1
270314801021158,1
270314801021159,1
270314801021160,1
270314801021163,1
270314801011073,1
270314801011075,1
270314801011076,1
270314801011077,1
270314801011080,1
270314801011089,1
270314801011112,1
270314801011113,1
270314801011114,1
270314801011115,1
270314801011117,1
270314801011119,1
270314801011120,1
270314801011128,1
270314801011129,1
270314801011130,1
270314801011131,1
270314801011132,1
270314801011134,1
270314801011135,1
270314801011136,1
270314801011137,1
270314801011138,1
270314801011139,1
270314801011140,1
270314801011141,1
270314801011142,1
270314801011143,1
270314801011144,1
270314801011146,1
270314801011149,1
270314801011150,1
270314801011151,1
270314801011153,1
270314801011154,1
270314801011155,1
270314801011156,1
270314801011157,1
270314801011162,1
270314801011163,1
270314801011164,1
270314801011165,1
270314801011166,1
270314801011167,1
270314801011168,1
270314801011169,1
270314801011170,1
270314801011171,1
270314801011172,1
270314801011173,1
270314801011174,1
270314801011175,1
270314801011176,1
270314801011177,1
270314801011178,1
270314801011179,1
270314801011180,1
270314801011181,1
270314801011182,1
270314801011183,1
270314801011184,1
270314801011185,1
270314801011186,1
270314801011187,1
270314801011188,1
270314801011195,1
270314801011196,1
270314801011197,1
270314801011198,1
270314801011201,1
270314801011202,1
270314801011203,1
270314801011204,1
270314801011205,1
270314801011206,1
270314801011207,1
270314801011208,1
270314801011209,1
270314801011210,1
270314801011211,1
270314801011212,1
270314801011214,1
270314801011215,1
270314801011216,1
270314801011217,1
270314801011218,1
270314801011219,1
270314801011220,1
270314801011221,1
270314801011232,1
270314801011233,1
270314801011234,1
270314801011246,1
270314801011265,1
270314801011266,1
270314801011267,1
270314801011271,1
270314801011272,1
270314801011276,1
270314801011277,1
270314801011286,1
270314801022159,1
270314801022160,1
270314801022161,1
270314801022162,1
270314801022163,1
270314801022164,1
270314801022165,1
270314801022166,1
270314801022167,1
270314801022168,1
270314801022169,1
270314801022173,1
270314801022174,1
270314801022175,1
270314801022178,1
270314801022180,1
270314801022181,1
270314801022182,1
270314801022183,1
270314801022184,1
270314801022185,1
270314801022188,1
270314802001055,1
270314802001056,1
270314802001062,1
270314802001063,1
270314802002000,1
270314802002001,1
270314802002002,1
270314802002003,1
270314802002004,1
270314802002005,1
270314802002006,1
270314802002007,1
270314802002008,1
270314802002009,1
270314802002012,1
270314802002013,1
270314802002014,1
270314802002015,1
270314802002016,1
270314802002017,1
270314802002018,1
270314802002019,1
270314802002020,1
270314802002021,1
270314802002022,1
270314802002024,1
270314802002026,1
270314802002027,1
270314802002030,1
270314802002031,1
270314802002032,1
270314802002033,1
270314802002034,1
270314802002041,1
270314802002042,1
270314802002043,1
270314802002044,1
270314802002045,1
270314802002046,1
270314802002047,1
270314802002048,1
270314801011191,1
270314801011192,1
270314801011193,1
270314801011194,1
270314801011199,1
270314801011200,1
270314801011263,1
270314801011264,1
270314801022149,1
270314801022151,1
270314801022152,1
270314801022154,1
270314801022155,1
270314802001000,1
270314802001001,1
270314802001002,1
270314802001003,1
270314802001004,1
270314802001006,1
270314802001007,1
270314802001008,1
270314802001009,1
270314802001012,1
270314802001015,1
270314802001019,1
270314802001020,1
270314802001021,1
270314802001022,1
270314802001027,1
270314802001054,1
270314802001074,1
270314801021001,1
270314801021003,1
270314801021004,1
270314801021017,1
270314801021030,1
270314801021031,1
270314801021037,1
270314801021038,1
270314801021039,1
270314801021040,1
270314801021041,1
270314801021042,1
270314801021043,1
270314801021044,1
270314801021045,1
270314801021046,1
270314801021047,1
270314801021048,1
270314801021049,1
270314801021050,1
270314801021051,1
270314801021052,1
270314801021053,1
270314801021054,1
270314801021055,1
270314801021056,1
270314801021057,1
270314801021058,1
270314801021059,1
270314801021061,1
270314801021062,1
270314801021063,1
270314801021099,1
270314801021100,1
270314801021101,1
270314801021102,1
270314801021105,1
270314801021106,1
270314801021107,1
270314801021108,1
270314801021120,1
270314801021121,1
270314801021122,1
270314801021123,1
270314801021124,1
270314801021125,1
270314801021126,1
270314801021127,1
270314801021128,1
270314801021129,1
270314801021130,1
270314801021131,1
270314801021132,1
270314801021136,1
270314801021161,1
270314801021162,1
270314801022200,1
270314801022201,1
270314801022202,1
270314802001005,1
270314802001011,1
270314802001014,1
270314802001060,1
270314802001065,1
270314801022156,1
270314801022157,1
270314801022158,1
270314801022170,1
270314801022171,1
270314801022172,1
270314801022176,1
270314801022177,1
270314801022179,1
270314801022066,1
270314801022135,1
270314801022136,1
270314801022137,1
270314801022138,1
270314801022139,1
270314801022140,1
270314801022141,1
270314801022142,1
270314801022143,1
270314801022144,1
270314801022145,1
270314801022146,1
270314801022203,1
270314801023063,1
270314801023064,1
270314801023065,1
270314801023066,1
270314801023067,1
270314801023068,1
270314801023069,1
270314801023070,1
270314801023071,1
270314801023072,1
270314801023077,1
270314801023084,1
270314801023085,1
270314801023086,1
270314801023096,1
270314801023097,1
270314801023098,1
270314801023099,1
270314801023100,1
270314801023101,1
270314801023102,1
270314801023103,1
270314801023104,1
270314801023105,1
270314801023106,1
270314801023107,1
270314801023108,1
270314801023111,1
270314801023112,1
270314801023113,1
270314801023114,1
270314801023115,1
270314801023116,1
270314801023117,1
270314801023118,1
270314801023119,1
270314801023120,1
270314801023121,1
270314801023122,1
270314801023123,1
270314801023124,1
270314801023125,1
270314801023126,1
270314801023127,1
270314801023128,1
270314801023129,1
270314801023130,1
270314801023131,1
270314801023132,1
270314801023133,1
270314801023134,1
270314801023135,1
270314801023136,1
270314801023137,1
270314801023138,1
270314801023139,1
270314801023156,1
270314801023157,1
270314801023158,1
270314801023159,1
270314801023160,1
270314801023161,1
270314801023166,1
270314801023174,1
270314801023175,1
270314801023176,1
270314801023179,1
270314801023180,1
270314801023181,1
270314801023182,1
270314801023183,1
