GEOID20,District
281559502001012,1
281559502001013,1
281559502001014,1
281559502001015,1
281559502001016,1
281559502001017,1
281559502001018,1
281559502001019,1
281559502001020,1
281559502001021,1
281559502001022,1
281559502001023,1
281559502001024,1
281559502001025,1
281559502001026,1
281559502001027,1
281559502001028,1
281559502001029,1
281559502001030,1
281559502001072,1
281559502002004,1
281559502002005,1
281559502002006,1
281559502002007,1
281559502002008,1
281559502002012,1
281559502002013,1
281559502002016,1
281559501002015,1
281559501002018,1
281559501002019,1
281559501002020,1
281559501002021,1
281559501002022,1
281559501002023,1
281559501002024,1
281559501002025,1
281559501002026,1
281559501002027,1
281559501002028,1
281559501002029,1
281559501002030,1
281559501002031,1
281559501002032,1
281559501002033,1
281559501002034,1
281559501002035,1
281559501002036,1
281559501002082,1
281559501002083,1
281559501002084,1
281559501002088,1
281559501002089,1
281559501002090,1
281559501002091,1
281559501002092,1
281559501002093,1
281559501002094,1
281559501002095,1
281559501002096,1
281559501002097,1
281559501002098,1
281559501003000,1
281559501003001,1
281559501003002,1
281559501003007,1
281559501003008,1
281559501003009,1
281559501003016,1
281559501003017,1
281559501003018,1
281559501003019,1
281559501003020,1
281559501003021,1
281559501003022,1
281559501003023,1
281559501003024,1
281559501003025,1
281559501003075,1
281559501003076,1
281559501002050,1
281559501002052,1
281559501002053,1
281559501002054,1
281559501002072,1
281559501002073,1
281559501002074,1
281559501003003,1
281559501003004,1
281559501003005,1
281559501003006,1
281559501003010,1
281559501003011,1
281559501003012,1
281559501003013,1
281559501003014,1
281559501003015,1
281559501003026,1
281559501003027,1
281559501003028,1
281559501003029,1
281559501003030,1
281559501003031,1
281559501003032,1
281559501003033,1
281559501003034,1
281559501003035,1
281559501003036,1
281559501003037,1
281559501003038,1
281559501003039,1
281559501003040,1
281559501003041,1
281559501003042,1
281559501003043,1
281559501003044,1
281559501003045,1
281559501003046,1
281559501003047,1
281559501003048,1
281559501003049,1
281559501003050,1
281559501003051,1
281559501003052,1
281559501003053,1
281559501003054,1
281559501003055,1
281559501003056,1
281559501003057,1
281559501003058,1
281559501003059,1
281559501003060,1
281559501003061,1
281559501003062,1
281559501003063,1
281559501003064,1
281559501003065,1
281559501003066,1
281559501003067,1
281559501003068,1
281559501003069,1
281559501003070,1
281559501003071,1
281559501003072,1
281559501003073,1
281559501003074,1
281559501003077,1
281559501003078,1
281559501003079,1
281559501001077,1
281559501001080,1
281559501001081,1
281559501002042,1
281559501002044,1
281559501002045,1
281559501002059,1
281559501002062,1
281559501002063,1
281559501002064,1
281559501002065,1
281559501002077,1
281559501002078,1
281559501002079,1
281559501002081,1
281559501002086,1
281559502001053,1
281559502002091,1
281559502002092,1
281559502002096,1
281559502002104,1
281559502002105,1
281559502002106,1
281559502002107,1
281559502002108,1
281559502002109,1
281559502002110,1
281559502002111,1
281559502002112,1
281559502002113,1
281559502002114,1
281559502002115,1
281559502002116,1
281559502002117,1
281559502002118,1
281559502002119,1
281559502002120,1
281559502002121,1
281559502002122,1
281559502002123,1
281559502002124,1
281559502002125,1
281559502002126,1
281559502002127,1
281559502002128,1
281559502002129,1
281559502002130,1
281559502002140,1
281559503002000,1
281559503002001,1
281559503002016,1
281559503002028,1
281559503002029,1
281559503002032,1
281559503002033,1
281559503002034,1
281559503002035,1
281559503002036,1
281559503002037,1
281559503002038,1
281559503002039,1
281559503002040,1
281559503002041,1
281559503002042,1
280959502012047,1
280959502012048,1
280959502021033,1
280959502021034,1
280959502021035,1
280959502021050,1
280959502021051,1
280959502021053,1
280959502021054,1
280959502021055,1
280959502021057,1
280959502021059,1
280959502021060,1
280959502021072,1
280959502021073,1
280959502021074,1
280959502021075,1
280959502021076,1
280959502021078,1
280959502021079,1
280959502021080,1
280959502021081,1
280959502021082,1
280959502021083,1
280959502021084,1
280959502021085,1
280959502021121,1
280959502021129,1
280959502021130,1
280819502031018,1
280819504031006,1
280819504031007,1
280819504031008,1
280819504031009,1
280819504031010,1
280819504031011,1
280819504031012,1
280819504031013,1
280819504031014,1
280819504031015,1
280819504031016,1
280819504031017,1
280819504031018,1
280819504031019,1
280819504031020,1
280819504031021,1
280819504031022,1
280819504031023,1
280819504031026,1
280819504031027,1
280819504031028,1
280819504031029,1
280819504031030,1
280819504031034,1
280819504031035,1
280819504032003,1
280819504032004,1
280819504032005,1
280819504032006,1
280819504032007,1
280819504032008,1
280819504032012,1
280819504032013,1
280819504032014,1
280819504032015,1
280819504032016,1
280819504032017,1
280819504032018,1
280819504032019,1
280819504032020,1
280819504032021,1
280819504032022,1
280819504032024,1
280819504032026,1
280819504032027,1
280819504032028,1
280819504032038,1
280819504032039,1
280819504032040,1
280819504032041,1
280819504032042,1
280819504032043,1
280819504032044,1
280819504032045,1
280819504032046,1
280819504032047,1
280819504032048,1
280819504032049,1
280819504032050,1
280819504032051,1
280819504032052,1
280819504032053,1
280819504032054,1
280819504032055,1
280819504032062,1
280819504032072,1
280819504032073,1
280819504032074,1
280819504041000,1
280819504041001,1
280819504041002,1
280819504041003,1
280819504041004,1
280819504041005,1
280819504041006,1
280819504041007,1
280819504041013,1
280819504041014,1
280819504041017,1
280819504042000,1
280819504042001,1
280819504042002,1
280819504042003,1
280819504042004,1
280819504042005,1
280819504042006,1
280819504042007,1
280819504042008,1
280819504042009,1
280819504042010,1
280819504042011,1
280819504042012,1
280819504042013,1
280819504042015,1
280819504042016,1
280819504042017,1
280819504042018,1
280819504042019,1
280819504042020,1
280819504042021,1
280819504042022,1
280819504042032,1
280819504042033,1
280819504042034,1
280819506011001,1
280819506011002,1
280819506011003,1
280819506011006,1
280819506011007,1
280819506011008,1
280819506011009,1
280819506011010,1
280819506011011,1
280819506011014,1
280819506011015,1
280819506011016,1
280819506011036,1
281379503011011,1
281379503011012,1
281379503011013,1
281379503011014,1
281379503011016,1
281379503011017,1
281379503011020,1
281379503011021,1
281379503011030,1
281379503011031,1
281379503011032,1
281379503011033,1
281379503011034,1
281379503021007,1
281379503021028,1
281379503021029,1
281379503021030,1
281379503021031,1
281379503021033,1
281379503021034,1
281379503021048,1
281379503021049,1
280199502002010,1
280199502002047,1
280199502002049,1
280199502002050,1
280199502003000,1
280199502003001,1
280199502003002,1
280199502003003,1
280199502003004,1
280199502003005,1
280199502003006,1
280199502003007,1
280199502003008,1
280199502003009,1
280199502003010,1
280199502003011,1
280199502003013,1
280199502003014,1
280199502003015,1
280199502003016,1
280199502003017,1
280199502003018,1
280199502003019,1
280199502003020,1
280199502003021,1
280199502003022,1
280199502003023,1
280199502003024,1
280199502003025,1
280199502003026,1
280199502003027,1
280199502003028,1
280199502003029,1
280199502003030,1
280199502003031,1
280199502003032,1
280199502003033,1
280199502003034,1
280199502003035,1
280199502003036,1
280199502003037,1
280199502003038,1
280199502003039,1
280199502003040,1
280199502003041,1
280199502003042,1
280199502003043,1
280199502003044,1
280199502003045,1
280199502003046,1
280199502003047,1
280199502003048,1
280199502003051,1
280199502003052,1
280199502003053,1
280199502003054,1
280199502003058,1
280199502003060,1
280199502003062,1
280199502003077,1
280199502003078,1
280199502003079,1
280199503001000,1
280199503001001,1
280199503001002,1
280199503001003,1
280199503001004,1
280199503001005,1
280199503001006,1
280199503001007,1
280199503001008,1
280199503001009,1
280199503001010,1
280199503001011,1
280199503001012,1
280199503001013,1
280199503001014,1
280199503001015,1
280199503001016,1
280199503001021,1
280199503001024,1
280199503001025,1
280199503001026,1
280199503001027,1
280199503001033,1
280199503001034,1
280199503001035,1
280199503001036,1
280199503001037,1
280199503001038,1
280199503001039,1
280199503001040,1
280199503001041,1
280199503001042,1
280199503001043,1
280199503001044,1
280199503001045,1
280199503001046,1
280199503001047,1
280199503001048,1
280199503001049,1
280199503001050,1
280199503001051,1
280199503001052,1
280199503001053,1
280199503001054,1
280199503001055,1
280199503002000,1
280199503002001,1
280199503002002,1
280199503002003,1
280199503002004,1
280199503002005,1
280199503002009,1
280199503002010,1
280199503002011,1
280199503002012,1
280199503002013,1
280199503002015,1
281559502001054,1
281559502001055,1
281559502001056,1
281559502001061,1
281559502001064,1
281559502001065,1
281559502001066,1
281559502001067,1
281559502001068,1
281559502001069,1
281559502001070,1
281559502001071,1
281559502002042,1
281559502002043,1
281559502002044,1
281559502002061,1
281559502002062,1
281559502002068,1
281559502002069,1
281559502002070,1
281559502002074,1
281559502002075,1
281559502002079,1
281559502002080,1
281559502002081,1
281559502002082,1
281559502002083,1
281559502002084,1
281559502002085,1
281559502002086,1
281559502002087,1
281559502002088,1
281559502002131,1
281559502002133,1
281559502002134,1
281559502002136,1
281559502002137,1
281559502002138,1
281559502002139,1
281159501013008,1
281159501013022,1
281159501013023,1
281159501013024,1
281159501013025,1
281159501013027,1
281159501013028,1
281159501013029,1
281159501013030,1
281159501013033,1
281159501013034,1
281159501013035,1
281159501013036,1
281159501013037,1
281159501013041,1
281159501013042,1
281159501013043,1
281159501013044,1
281159501013045,1
281159501013046,1
281159501013047,1
281159501013048,1
281159501013049,1
281159501013050,1
281159501013051,1
281159501013052,1
281159501013053,1
281159501013054,1
281159501013055,1
281159501013064,1
281159501013065,1
281159501013067,1
281159501013068,1
281159501013069,1
281159501021082,1
281159503001012,1
281159503001020,1
281159503001021,1
281159503001023,1
281159503001024,1
281159503001025,1
281159503001026,1
281159503004000,1
281159503004001,1
281159503004002,1
281159503004003,1
281159503004004,1
281159503004005,1
281159503004006,1
281159503004011,1
281159503004012,1
281159504001010,1
281159504001011,1
281159504001012,1
281159504001013,1
281159504001014,1
281159504001015,1
281159504001017,1
281159504001021,1
281159504001026,1
281159504001027,1
281159504001028,1
281159504001029,1
281159504001041,1
281159502003048,1
281159502003049,1
281159502003053,1
281159502003054,1
281159502003056,1
281159505001003,1
281159505001004,1
281159505001005,1
281159505001006,1
