GEOID20,District
3703900HOTH,11
3703900MARB,11
3703900MURN,11
3703900MURS,11
3703900RGER,11
3703900CSON,11
3703900HIWA,11
3703900HANG,11
3703900ANNW,11
3703900ANSW,11
3703900GCRK,11
3703900BRAS,11
3703900UNKA,11
3703900BELL,11
3703900PCHT,11
3703900TOPT,11
370210001.1,14
370210053.1,14
370210068.1,14
370210022.2,14
370210058.1,14
370210059.1,14
370210066.1,14
370210044.1,14
370210048.1,14
370210038.3,14
370210036.1,14
370210060.2,14
370210002.1,14
370210011.1,14
370210045.1,14
370210039.2,14
370210003.1,14
370210054.2,14
370210052.1,14
370210047.1,14
370210025.1,14
370210008.3,14
370210034.1,14
370210023.3,14
370210014.3,14
370210067.1,14
370210012.1,14
370210042.1,14
370210033.3,14
370210064.1,14
370210024.1,14
370210009.1,14
370210057.1,14
370210031.1,14
370210055.1,14
370210018.2,14
370210013.1,14
370210030.3,14
370210071.1,14
370210033.2,14
370210005.1,14
370210049.1,14
370210006.1,14
370210040.2,14
370210041.1,14
370210016.2,14
370210027.2,14
370210004.1,14
370210028.1,14
370210038.2,14
370210014.2,14
370210065.1,14
370210030.2,14
370210032.1,14
370210035.1,14
370210061.1,14
370210060.4,14
370210007.1,14
370210070.1,14
370210019.1,14
370210010.1,14
370210056.2,14
370210026.1,14
370210037.1,14
370210069.1,14
370210021.1,14
370210008.2,14
370210050.1,14
370210017.1,14
370210015.1,14
370210051.2,14
370210020.1,14
370210046.1,14
370210039.3,14
370210029.2,14
370210062.1,14
370210043.2,14
370210063.1,14
370210023.2,14
37161000011,14
3716100006A,14
3716100005A,14
37161000028,14
37161000013,14
3716100016A,14
3716100004A,14
37161000014,14
37161000029,14
37161000027,14
3716100009A,14
37161000030,14
3716100003A,14
37161000018,14
37161000034,14
37161000019,14
3716100010A,14
37045000S-C,14
3704500KM-S,14
37045GROVER,14
370450MULLS,14
370450CASAR,14
37045SHANGI,14
37045000S-S,14
37045MRB-YO,14
3704500KM-N,14
3704500S-4A,14
370450000BR,14
37045BETHWR,14
37045POLKVL,14
370450RIPPY,14
37045LAWNDL,14
37045OAKGRV,14
3704500WACO,14
37045FALSTN,14
3704500LATT,14
37045000S-5,14
37045KINGST,14
37071000014,14
37071000039,10
37071000023,14
37071000021,14
37071000017,14
37071000025,14
37071000028,14
37071000044,10
37071000012,14
37071000022,14
37071000018,14
37071000045,14
37071000006,14
37071000035,10
37071000004,14
37071000027,14
37071000013,14
37071000038,10
37071000024,14
37071000042,10
37071000036,10
37071000001,14
37071000003,14
37071000032,14
37071000030,14
37071000020,14
37071000005,14
37071000037,10
37071000029,14
37071000009,14
37071000043,10
37071000040,14
37071000034,10
37071000015,14
37071000019,14
37071000008,14
37071000011,14
37071000002,14
37071000041,14
37071000046,14
37071000007,14
37071000026,14
37071000031,14
37071000010,14
37071000033,14
37071000016,14
3714900WO06,14
3714900CL07,14
3714900SA04,14
3714900CL08,14
371490TR123,14
3714900CG05,14
3714900GC09,14
371190223.1,14
37119000150,14
37119000089,14
37119000224,14
37119000080,14
37119000079,14
37119000200,14
37119000243,8
37119000229,8
