GEOID20,District
37023000051,50
37023000014,45
37023000036,46
37023000035,46
370230029-B,46
37023000065,46
37023000015,45
37023000052,46
37023000001,46
37023000031,46
37023000013,45
37023000021,46
37023000024,46
37023000040,50
37023000022,46
37023000011,45
37023000020,50
37023000018,46
37023000066,46
37023000062,46
37023000048,46
37023000034,46
37023000053,46
37023000003,46
37023000064,46
370230047-A,50
37023000038,46
37023000019,50
37023000039,46
37023000070,50
370230029-A,46
37023000012,45
370230047-B,46
37011000003,46
37011000010,50
37011000002,46
37011000005,50
37011000015,50
37011000011,46
37011000016,46
37011000013,46
37011000018,46
37011000001,46
37011000004,46
37011000014,46
37011000009,50
37011000012,50
37011000006,46
37011000017,50
37011000008,46
37011000007,50
37011000019,50
37189000011,46
37189000014,46
37189000005,46
37189000020,46
37189000017,46
37189000001,46
37189000007,46
37189000004,46
37189000006,46
37189000003,46
37189000019,46
37189000002,46
37189000008,46
37189000013,46
37189000015,46
37189000018,46
37189000016,46
37189000010,46
37189000012,46
37189000009,46
37111FORT-1,50
37111N.COVE,50
371110MAR-2,50
371110MAR-5,50
37111HIGGIN,50
37111GLENWD,46
3711100NEBO,50
37111FORT-2,50
37111DYSART,46
371110MAR-4,50
37111T.COVE,50
371110MAR-1,50
371110MAR-3,50
37111WEST-M,50
37111PLEASA,50
37111CCREEK,46
37111M.COVE,46
3702700PR07,45
3702700PR02,45
3707500STEC,50
3707500WEST,50
3707500EAST,50
3707500TAPO,50
37173ALMOND,50
37173000BC1,50
37173000BC2,50
3717300WHCH,50
37173ALARKA,50
370870000IH,50
370870000EF,50
3708700WS-2,50
370870000AC,50
3708700CL-S,50
370870000BC,50
3708700WS-1,50
370870000CR,50
3708700FC-2,50
3708700000P,50
3708700CL-N,50
3708700BE-1,50
3708700BE-3,50
3708700FC-1,50
3708700BE56,50
370870000WW,50
370870000JC,50
3708700BE-7,50
370870000PC,50
370870000HA,50
370870000ID,50
370870000LJ,50
370870000WE,50
3708700BE-2,50
370870000SA,50
370870000CE,50
370870000WC,50
3708700BE-4,50
370870000WO,50
37115MARS-H,50
37115LAUREL,50
371150BEECH,50
371150SOUTH,50
37115WALNUT,50
37115EBBS-C,50
37115SPRING,50
37115GRAPEV,50
371150NORTH,50
37115HOT-SP,50
371150SANDY,50
37115REVERE,50
370210063.1,48
370210053.1,48
370210068.1,48
370210047.1,48
370210049.1,48
370210048.1,48
370210044.1,47
370210045.1,48
370210024.1,47
370210046.1,47
370210016.2,47
370210026.1,47
370210015.1,47
370210043.2,47
370210014.3,47
370210042.1,47
370210013.1,47
370210069.1,48
370210054.2,47
370210014.2,46
370210002.1,46
370210012.1,46
370210070.1,47
370210011.1,46
370210030.2,47
370210030.3,47
370210010.1,46
370210052.1,48
370210005.1,47
370210003.1,46
3703900HOTH,50
3703900MARB,50
3703900MURN,50
3703900MURS,49
3703900RGER,50
3703900CSON,50
3703900HIWA,50
3703900HANG,50
3703900ANNW,49
3703900ANSW,49
3703900GCRK,50
3703900BRAS,49
3703900UNKA,50
3703900BELL,49
3703900PCHT,49
3703900TOPT,49
3704300HAY2,49
3704300TUSQ,49
3704300WARN,49
3704300HIAW,49
3704300SHCR,49
3704300SWEE,49
3704300HAY1,49
3704300HAYC,49
3704300BRAS,49
37113000003,49
37113000007,49
37113000002,49
37113000014,49
37113000010,49
37113000012,49
37113000013,49
37113000005,49
37113000009,49
37113000006,49
37113000001,49
37113000011,49
37113000015,49
37113000004,49
37113000008,49
37099000SDC,49
37099000QUA,49
37099000GCK,49
37099000CUL,49
37099000SAV,49
37099000SCC,49
37099000BCK,49
37099000GLV,49
37099000CAS,49
37099000WEB,49
37099000RIV,49
37099000CFK,49
37099000CAN,49
371750000CM,49
371750000BD,49
371750000WC,49
371750000PF,49
371750000B4,49
371750000RE,49
371750000LR,49
371750000DR,49
371750000B1,49
371750000CC,49
371750000EF,49
371750000B3,49
371750000B2,49
37175000TC7,49
37175000TC1,49
370890000GR,49
370890000RR,49
370890000SB,49
370890000EF,48
370890000CB,49
370890000ES,48
370890000EV,48
370890000SM,48
370890000NM,48
370890000NB,49
370890000AT,48
370890000CC,48
3714900WO06,49
3714900CL07,49
3714900SA04,49
3714900CL08,49
371490TR123,49
3714900CG05,49
3714900GC09,49
370890000SW,48
370890000RG,48
370890000SE,48
370890000HS,48
3708900HV-1,48
370890000BK,48
370890000FR,48
3708900HV-2,48
370890000FL,48
370890000LJ,48
370890000NW,48
370890000ED,49
370890000LP,48
3708900HV-3,48
370890000MG,48
370890000AR,48
