GEOID20,District
3702700PR33,43
3702700PR32,43
3702700PR21,43
3702700PR34,43
3702700PR01,43
3702700PR18,43
3702700PR14,43
3702700PR02,43
3702700PR22,43
3702700PR13,43
3702700PR07,43
3702700PR17,43
3702700PR30,43
3702700PR29,43
3702700PR24,43
3702700PR25,43
3702700PR31,43
3702700PR35,43
3702700PR08,43
3702700PR16,43
37023000051,45
37023000014,45
37023000036,45
37023000035,45
370230029-B,45
37023000065,45
37023000015,45
37023000052,45
37023000001,45
37023000031,45
37023000013,45
37023000021,45
37023000024,45
37023000040,45
37023000022,45
37023000011,45
37023000020,45
37023000018,45
37023000066,45
37023000062,45
37023000048,45
37023000034,45
37023000053,45
37023000003,45
37023000064,45
370230047-A,45
37023000038,45
37023000019,45
37023000039,45
37023000070,45
370230029-A,45
37023000012,45
370230047-B,45
3700300LRSL,43
3700300T2T3,43
3700300S1S2,43
3700300000E,43
3700300000W,43
370030000B1,43
37003T1T4T5,43
3700300G1G2,43
3700300000M,43
370030000B2,43
37035000019,42
37035000006,42
37035000002,42
37035000030,43
37035000014,42
37035000032,42
37035000001,42
37035000017,42
37035000024,42
37035000026,43
37035000016,42
37035000029,43
37035000012,42
37035000023,42
37035000013,42
37035000031,42
37035000008,42
37035000041,42
37035000020,42
37035000037,43
37035000003,42
37035000040,42
37035000034,42
37035000035,42
37035000005,42
37035000004,42
37035000021,42
37035000027,42
37035000033,42
37035000009,42
37035000011,42
37035000025,42
37035000007,42
37035000022,42
37035000028,42
37035000015,42
37035000010,42
37035000038,43
37035000036,43
37035000039,43
3710900IS23,42
3710900LS12,42
3710900DW28,42
3710900TA37,42
3710900ST36,42
3710900LI14,42
3710900SL24,42
3710900HC33,42
3710900OB21,42
3710900LN11,42
3710900LB34,42
3710900BC13,42
3710900IS20,42
3710900WP32,42
3710900PC22,42
3710900AS25,42
3710900DV08,42
3710900LW18,42
3710900LW31,42
3710900DN29,42
3710900NB35,42
3710900CF19,42
3710900BS26,42
37071000014,47
37071000039,47
37071000023,47
37071000021,47
37071000017,47
37071000025,47
37071000028,47
37071000044,47
37071000012,47
37071000022,47
37071000018,47
37071000045,47
37071000006,47
37071000035,46
37071000004,47
37071000027,47
37071000013,47
37071000038,47
37071000024,47
37071000042,47
37071000036,46
37071000001,47
37071000003,47
37071000032,47
37071000030,47
37071000020,47
37071000005,47
37071000037,46
37071000029,47
37071000009,47
37071000043,47
37071000040,47
37071000034,46
37071000015,47
37071000019,47
37071000008,47
37071000011,47
37071000002,47
37071000041,47
37071000046,47
37071000007,47
37071000026,47
37071000031,47
37071000010,47
37071000033,46
37071000016,47
