GEOID20,District
310550074511030,2
310550074523016,2
310550074523017,2
310550074523019,2
310550074523027,2
310550074531002,2
310550074531005,2
310550074531006,2
310550074531007,2
310550074531008,2
310550074531009,2
310550074531010,2
310550074531011,2
310550074531012,2
310550074531013,2
310550074531014,2
310550074532000,2
310550074532001,2
310550074532002,2
310550074532003,2
310550074532007,2
310550074532009,2
310550074532010,2
310550074532011,2
310550074532012,2
310550074532013,2
310550074532014,2
310550074533004,2
310550074533005,2
310550074533006,2
310550074611001,2
310550075161002,2
310550075161007,2
310550075161008,2
310550075161009,2
310550075161010,2
310550075161011,2
310550075161012,2
310550075161013,2
310550075161014,2
310550075161015,2
310550075161016,2
310550075161017,2
310550075161018,2
310550075161019,2
310550075161020,2
310550075161021,2
310550075161022,2
310550075162011,2
310550075162012,2
310550075162014,2
310550075162015,2
310550075162016,2
310550075162017,2
310550075162018,2
310550075162019,2
310550075162020,2
310550075162021,2
310550075162022,2
310550075162025,2
310550075162026,2
310550075163007,2
310550075163010,2
310550075163011,2
310550075163012,2
310550075163013,2
310550075163014,2
310550075163015,2
310550075163016,2
310550075163017,2
310550075163018,2
310550075163019,2
310550020002011,2
310550020002012,2
310550020002013,2
310550020002014,2
310550020002015,2
310550020002016,2
310550020002017,2
310550020002018,2
310550020002019,2
310550020002020,2
310550020002021,2
310550020002022,2
310550020003019,2
310550024002000,2
310550024002001,2
310550024002002,2
310550024002003,2
310550024002004,2
310550024002005,2
310550024002006,2
310550024002007,2
310550024002008,2
310550024002009,2
310550024002010,2
310550025003003,2
310550025003004,2
310550025003005,2
310550025003006,2
310550025003007,2
310550025003008,2
310550025003009,2
310550025003010,2
310550026001000,2
310550026001001,2
310550026001002,2
310550026001003,2
310550026001004,2
310550026001005,2
310550026001006,2
310550032001000,2
310550032001011,2
310550032001012,2
310550032001013,2
310550032001014,2
310550032001015,2
310550032001016,2
310550032001017,2
310550032001018,2
310550032001019,2
310550032001020,2
310550032001021,2
310550032001022,2
310550032001023,2
310550032001024,2
310550032001025,2
310550032001026,2
310550032001027,2
310550032002000,2
310550032002001,2
310550032002002,2
310550032002003,2
310550032002004,2
310550033002025,2
310550033002026,2
310550033002027,2
310550068053000,2
310550068053001,2
310550068053007,2
310550068053008,2
310550068053009,2
310550068053010,2
310550068053020,2
310550068061000,2
310550068061001,2
310550068061002,2
310550068061003,2
310550068061004,2
310550068061005,2
310550068061006,2
310550068061007,2
310550068061008,2
310550068061009,2
310550068061010,2
310550068062000,2
310550068062001,2
310550068062002,2
310550068062003,2
310550068062004,2
310550068062005,2
310550068062006,2
310550068062007,2
310550068062008,2
310550068062009,2
310550068062010,2
310550068062011,2
310550068063000,2
310550068063001,2
310550068063002,2
310550068063003,2
310550068063004,2
310550068063005,2
310550068063006,2
310550068063007,2
310550068063008,2
310550068063009,2
310550068063010,2
310550068063011,2
310550068063012,2
310550068063013,2
310550068063014,2
310550068063015,2
310550073101001,2
310550073101002,2
310550073101003,2
310550073101004,2
310550073101005,2
310550073101006,2
310550073112000,2
310550073112001,2
310550073112002,2
310550073112003,2
310550073112004,2
310550073112005,2
310550073112006,2
310550073112007,2
310550073112008,2
310550073112009,2
310550073112010,2
310550073112011,2
310550073112012,2
310550073112013,2
310550074331000,2
310550074331001,2
310550074331002,2
310550074331003,2
310550074331004,2
310550074331005,2
310550074335000,2
310550074335001,2
310550074335002,2
310550074335003,2
310550074335004,2
310550074335005,2
310550074335006,2
310550074335007,2
310550074335008,2
310550074335011,2
310550074701020,2
310550074701028,2
310550074702012,2
310550074702013,2
310550074702015,2
310550074702016,2
310550074702017,2
310550074702019,2
310550074702020,2
310550074702021,2
310550074702022,2
310550074702023,2
310550074702024,2
310550074703008,2
310550074703009,2
310550074703010,2
310550074703011,2
310550074703012,2
310550074703013,2
310550074703014,2
310550074703016,2
310550074704000,2
310550074704001,2
310550074704002,2
310550074704003,2
310550074704004,2
310550074704005,2
310550074704006,2
310550074704007,2
310550074704008,2
310550074704009,2
310550074704010,2
310550074704011,2
310550074704012,2
310550074704013,2
310550074704014,2
310550074704015,2
310550074381000,2
310550074381001,2
310550074381002,2
310550074381003,2
310550074381004,2
310550074381005,2
310550074381006,2
310550074381007,2
310550074381008,2
310550074381009,2
310550074381010,2
310550074381011,2
310550074381012,2
310550074381014,2
310550074381015,2
310550074381016,2
310550074381017,2
310550074381018,2
310550074381019,2
310550074381020,2
310550074381021,2
310550074381022,2
