GEOID20,District
320030014011000,3
320030014011001,3
320030014011002,3
320030014011003,3
320030014011004,3
320030014011005,3
320030014011006,3
320030014011007,3
320030014011012,3
320030014011013,3
320030014011014,3
320030014011015,3
320030014011016,3
320030014011017,3
320030014011018,3
320030014011019,3
320030014011020,3
320030014011021,3
320030014011022,3
320030014011023,3
320030014011024,3
320030014011025,3
320030014011026,3
320030014011027,3
320030014012004,3
320030014012005,3
320030014012006,3
320030014012007,3
320030014012008,3
320030014012009,3
320030014012012,3
320030014012013,3
320030014012014,3
320030014012015,3
320030014012020,3
320030014012021,3
320030028221007,3
320030028221008,3
320030028221009,3
320030028221010,3
320030028221011,3
320030028221012,3
320030028221013,3
320030028221014,3
320030028221015,3
320030028221016,3
320030028221017,3
320030028222006,3
320030028222007,3
320030028222008,3
320030028222009,3
320030028222010,3
320030028222011,3
320030028222015,3
320030050112007,3
320030050112008,3
320030050112009,3
320030050112010,3
320030050112011,3
320030050112012,3
320030050112013,3
320030050112014,3
320030050112015,3
320030050112016,3
320030054381000,2
320030054381001,2
320030054381002,2
320030054381003,2
320030054381004,2
320030054381005,2
320030054381006,2
320030054381007,2
320030054381008,2
320030054381009,2
320030054381010,2
320030054381011,2
320030054381012,2
320030054381013,2
320030054381014,2
320030054381015,2
320030054381016,2
320030054382011,2
320030054421012,2
320030054421013,2
320030054421014,2
320030054421015,2
320030054421016,2
320030054421017,2
320030054421018,2
320030054421019,2
320030054421020,2
320030054421021,2
320030054421022,2
320030054421023,2
320030054421024,2
320030054421025,2
320030054421026,2
320030054421027,2
320030054421028,2
320030054421029,2
320030054421030,2
320030054421031,2
320030054421032,2
320030054421033,2
320030054421034,2
320030054421035,2
320030054421036,2
320030054421037,2
320030054421038,2
320030054421039,2
320030054421040,2
320030054421041,2
320030054421042,2
320030054421043,2
320030054421044,2
320030054421045,2
320030054421046,2
320030054421047,2
320030054421051,2
320030005152000,3
320030005152001,3
320030005152002,3
320030005152003,3
320030005152004,3
320030005152005,3
320030005152006,3
320030005152007,3
320030005152008,3
320030005152009,3
320030005153000,3
320030005153001,3
320030005153002,3
320030005153009,3
320030005172000,3
320030005172001,3
320030005172002,3
320030005172003,3
320030053192000,2
320030053192001,2
320030053192005,2
320030053201000,2
320030053201001,2
320030053201002,2
320030053201003,2
320030053201004,2
320030053201005,2
320030053201006,2
320030053201007,2
320030053201008,2
320030053201009,2
320030053201010,2
320030053201011,2
320030053201012,2
320030053201013,2
320030053201014,2
320030053202002,2
320030053202010,2
320030053202011,2
320030053202012,2
320030053202013,2
320030053202014,2
320030051111000,3
320030051111001,3
320030051112000,3
320030051112001,3
320030051112002,3
320030051112003,3
320030051114002,3
320030051114003,3
320030051114004,3
320030051114005,3
320030051114006,3
320030051114007,3
320030051114008,3
320030051114009,3
320030051114010,3
320030055021000,2
320030055021001,2
320030055021002,2
320030055021003,2
320030055021005,2
320030055021006,2
320030055021007,2
320030055021008,2
320030055021010,2
320030055021011,2
320030055021012,2
320030055021013,2
320030055021014,2
320030055021015,2
320030055021016,2
320030055021017,2
320030055021018,2
320030055021019,2
320030055021020,2
320030055021021,2
320030055021022,2
320030055021023,2
320030055021024,2
320030055021025,2
320030055021026,2
320030055021027,2
320030055021028,2
320030055021029,2
320030055021030,2
320030055021031,2
320030055021032,2
320030055022007,2
320030055022008,2
320030055022009,2
320030055022010,2
320030055032000,2
320030055032001,2
320030055032002,2
320030055032003,2
320030055032004,2
320030055032005,2
320030055032006,2
320030055032007,2
320030055032008,2
320030055032009,2
320030055032010,2
320030055032014,2
320030055032015,2
320030055032018,2
320030057191008,2
320030057191009,2
320030057191010,2
320030057191011,2
320030057191012,2
320030057191013,2
320030057191014,2
320030057191015,2
320030057191016,2
320030057191017,2
320030057191018,2
320030057191019,2
320030057191020,2
320030057191021,2
320030057191022,2
320030057191025,2
320030057191037,2
320030057191038,2
320030057191039,2
320030057191040,2
320030057191041,2
320030057191042,2
320030057191043,2
320030057191044,2
320030057191045,2
320030057201013,2
320030057201016,2
320030057201021,2
320030057201030,2
320030057201032,2
320030057201033,2
320030057201034,2
320030057201037,2
320030057201039,2
320030057201040,2
320030057201045,2
320030057201047,2
320030057201048,2
320030057201050,2
320030057201053,2
320030057201057,2
320030057201059,2
320030057201060,2
320030057201062,2
320030057201064,2
320030057201065,2
320030057201066,2
320030057201068,2
320030057201069,2
320030057201070,2
320030057201071,2
320030057201072,2
320030057201076,2
320030057201077,2
320030057201078,2
320030057201079,2
320030057201081,2
320030057201086,2
320030057201087,2
320030057201089,2
320030057201090,2
320030057201091,2
320030057201096,2
320030057201097,2
320030057201098,2
320030057201099,2
320030057201100,2
320030057201101,2
320030057201102,2
320030057201103,2
320030057201104,2
320030057201105,2
320030057201106,2
320030057201107,2
320030057201108,2
320030057201109,2
320030057201110,2
320030057201111,2
320030057201112,2
320030057201113,2
320030057201114,2
320030057201115,2
320030057201116,2
320030057201117,2
320030057201118,2
320030057201119,2
320030057201120,2
320030057201121,2
320030057201122,2
320030057201123,2
320030057201124,2
320030057201125,2
320030057201126,2
320030057201127,2
320030057201128,2
320030057201129,2
320030057201136,2
320030057201144,2
320030057201146,2
320030057201147,2
320030057201148,2
320030057201149,2
320030057201152,2
320030057201155,2
320030057201156,2
320030057201157,2
320030057201159,2
320030057201160,2
320030057201161,2
320030057201162,2
320030013002002,3
320030013002003,3
320030013002004,3
320030013002005,3
320030013002006,3
320030013002007,3
320030013002008,3
320030013002009,3
320030013002010,3
320030013002011,3
320030013002012,3
320030013003000,3
320030013003001,3
320030013003002,3
320030013003006,3
320030013003007,3
320030013003008,3
320030013003009,3
320030013003010,3
320030013003011,3
320030014022004,3
320030014022005,3
320030014022006,3
320030014022007,3
320030014022017,3
320030014023002,3
320030014023003,3
320030014023004,3
320030014023005,3
320030014023010,3
320030014023011,3
320030014023012,3
320030014023013,3
320030051152019,2
320030051152020,2
320030053631000,2
320030053631001,2
320030053631002,2
320030053631003,2
320030053631004,2
320030053631005,2
320030053631006,2
320030053631007,2
320030053631008,2
320030053631009,2
320030053631010,2
320030053641000,2
320030053641001,2
320030053641002,2
320030053641003,2
320030053641004,2
320030053641005,2
320030053641006,2
320030053641007,2
320030053641008,2
320030053641009,2
320030053641015,2
320030053132000,2
320030053132001,2
320030053132002,2
320030053132003,2
320030053132004,2
320030053132005,2
320030053132006,2
320030053132007,2
320030053132008,2
320030053132009,2
320030053132010,2
320030053132011,2
320030019021000,3
320030019021001,3
320030019021002,3
320030019021003,3
320030019021004,3
320030019021005,3
320030019021006,3
320030019021007,3
320030019022002,3
320030019022006,3
320030019022007,3
320030019023000,3
320030019023001,3
320030019023002,3
320030019023003,3
320030019023004,3
320030019023005,3
320030019023006,3
320030019023007,3
320030019023008,3
320030019023009,3
320030019023010,3
320030019023011,3
320030019023012,3
320030019023013,3
320030019023014,3
320030019023015,3
320030053172003,2
320030053172004,2
320030053173005,2
320030053173006,2
320030053173007,2
320030053173009,2
320030053173010,2
320030053191000,2
320030053191001,2
320030053191002,2
320030053191003,2
320030053191011,2
320030053191012,2
320030053191013,2
320030053191014,2
320030053191015,2
320030053191016,2
320030053191018,2
320030053191020,2
320030057152011,2
320030057152012,2
320030057152013,2
320030057152014,2
320030057162000,2
320030057162001,2
320030057162002,2
320030057162003,2
320030057162004,2
320030057162005,2
320030057162006,2
320030057162007,2
320030057162008,2
320030057162009,2
320030057162010,2
320030057162019,2
320030057162020,2
320030057162021,2
320030057162022,2
320030057163000,2
320030057163001,2
320030057163002,2
320030057163003,2
320030057163004,2
320030057163005,2
320030057163006,2
320030057163007,2
320030057163008,2
320030057163009,2
320030057163010,2
320030053661000,2
320030053661001,2
320030053661002,2
320030053661003,2
320030053661004,2
320030053661005,2
320030053661006,2
320030053661007,2
320030053661008,2
320030053661009,2
320030053661010,2
320030053661011,2
320030053661012,2
320030053661013,2
320030053661014,2
320030053661015,2
320030053661016,2
320030053663006,2
320030053111000,2
320030053111001,2
320030053111002,2
320030053111003,2
320030053111004,2
320030053111005,2
320030053111006,2
320030053111007,2
320030053111008,2
320030053111009,2
320030053111010,2
320030053112000,2
320030053112001,2
320030053112002,2
320030053112003,2
320030053112004,2
320030053112005,2
320030053112006,2
320030053112007,2
320030053112008,2
320030053112009,2
320030053112010,2
320030053112013,2
320030049191000,3
320030049191002,3
320030049191003,3
320030049191004,3
320030049191005,3
320030049191007,3
320030054222003,2
320030054222004,2
320030054222005,2
320030054222006,2
320030054222007,2
320030054222008,2
320030054222009,2
320030054222010,2
320030054222011,2
320030054222013,2
320030054222019,2
320030054223003,2
320030054223004,2
320030054223011,2
320030054223012,2
320030054223013,2
320030054231000,2
320030054231001,2
320030054231012,2
320030019011002,3
320030019011003,3
320030019012005,3
320030019012006,3
320030019012007,3
320030019012008,3
320030019012009,3
320030019013000,3
320030019013001,3
320030019013002,3
320030019013003,3
320030019013004,3
320030019014000,3
320030019014001,3
320030019014002,3
320030019014003,3
320030019014004,3
320030019014005,3
320030019014006,3
320030019014007,3
320030019014008,3
320030050052000,3
320030050052001,3
320030050052002,3
320030050052003,3
320030050052004,3
320030050052005,3
320030050052006,3
320030050052007,3
320030050052008,3
320030050052009,3
320030050052010,3
320030050052011,3
320030050052012,3
320030050052013,3
320030050052014,3
320030050052015,3
320030050052016,3
320030050052017,3
320030050052018,3
320030050052019,3
320030050052020,3
320030050052021,3
320030050052022,3
320030050052023,3
320030050052024,3
320030050052025,3
320030050052026,3
320030050052027,3
320030050052028,3
320030053331000,2
320030053331001,2
320030053331002,2
320030053331003,2
320030053331004,2
320030053521000,2
320030053521001,2
320030053521002,2
320030053521003,2
320030053521004,2
320030053521005,2
320030053521006,2
320030053521007,2
320030053521008,2
320030053521009,2
320030053521010,2
320030053521011,2
320030053521012,2
320030053521013,2
320030053521014,2
320030053521015,2
320030053521016,2
320030053521017,2
320030053521018,2
320030053521019,2
320030053521020,2
