GEOID20,District
320030014011000,1
320030014011001,1
320030014011002,1
320030014011003,1
320030014011004,1
320030014011005,1
320030014011006,1
320030014011007,1
320030014011012,1
320030014011013,1
320030014011014,1
320030014011015,1
320030014011016,1
320030014011017,1
320030014011018,1
320030014011019,1
320030014011020,1
320030014011021,1
320030014011022,1
320030014011023,1
320030014011024,1
320030014011025,1
320030014011026,1
320030014011027,1
320030014012004,1
320030014012005,1
320030014012006,1
320030014012007,1
320030014012008,1
320030014012009,1
320030014012012,1
320030014012013,1
320030014012014,1
320030014012015,1
320030014012020,1
320030014012021,1
320030028221007,1
320030028221008,1
320030028221009,1
320030028221010,1
320030028221011,1
320030028221012,1
320030028221013,1
320030028221014,1
320030028221015,1
320030028221016,1
320030028221017,1
320030028222006,1
320030028222007,1
320030028222008,1
320030028222009,1
320030028222010,1
320030028222011,1
320030028222015,1
320030050112007,1
320030050112008,1
320030050112009,1
320030050112010,1
320030050112011,1
320030050112012,1
320030050112013,1
320030050112014,1
320030050112015,1
320030050112016,1
320030054381000,1
320030054381001,1
320030054381002,1
320030054381003,1
320030054381004,1
320030054381005,1
320030054381006,1
320030054381007,1
320030054381008,1
320030054381009,1
320030054381010,1
320030054381011,1
320030054381012,1
320030054381013,1
320030054381014,1
320030054381015,1
320030054381016,1
320030054382011,1
320030054421012,1
320030054421013,1
320030054421014,1
320030054421015,1
320030054421016,1
320030054421017,1
320030054421018,1
320030054421019,1
320030054421020,1
320030054421021,1
320030054421022,1
320030054421023,1
320030054421024,1
320030054421025,1
320030054421026,1
320030054421027,1
320030054421028,1
320030054421029,1
320030054421030,1
320030054421031,1
320030054421032,1
320030054421033,1
320030054421034,1
320030054421035,1
320030054421036,1
320030054421037,1
320030054421038,1
320030054421039,1
320030054421040,1
320030054421041,1
320030054421042,1
320030054421043,1
320030054421044,1
320030054421045,1
320030054421046,1
320030054421047,1
320030054421051,1
320030005152000,1
320030005152001,1
320030005152002,1
320030005152003,1
320030005152004,1
320030005152005,1
320030005152006,1
320030005152007,1
320030005152008,1
320030005152009,1
320030005153000,1
320030005153001,1
320030005153002,1
320030005153009,1
320030005172000,1
320030005172001,1
320030005172002,1
320030005172003,1
320030053192000,1
320030053192001,1
320030053192005,1
320030053201000,1
320030053201001,1
320030053201002,1
320030053201003,1
320030053201004,1
320030053201005,1
320030053201006,1
320030053201007,1
320030053201008,1
320030053201009,1
320030053201010,1
320030053201011,1
320030053201012,1
320030053201013,1
320030053201014,1
320030053202002,1
320030053202010,1
320030053202011,1
320030053202012,1
320030053202013,1
320030053202014,1
320030051111000,1
320030051111001,1
320030051112000,1
320030051112001,1
320030051112002,1
320030051112003,1
320030051114002,1
320030051114003,1
320030051114004,1
320030051114005,1
320030051114006,1
320030051114007,1
320030051114008,1
320030051114009,1
320030051114010,1
320030055021000,1
320030055021001,1
320030055021002,1
320030055021003,1
320030055021005,1
320030055021006,1
320030055021007,1
320030055021008,1
320030055021010,1
320030055021011,1
320030055021012,1
320030055021013,1
320030055021014,1
320030055021015,1
320030055021016,1
320030055021017,1
320030055021018,1
320030055021019,1
320030055021020,1
320030055021021,1
320030055021022,1
320030055021023,1
320030055021024,1
320030055021025,1
320030055021026,1
320030055021027,1
320030055021028,1
320030055021029,1
320030055021030,1
320030055021031,1
320030055021032,1
320030055022007,1
320030055022008,1
320030055022009,1
320030055022010,1
320030055032000,1
320030055032001,1
