GEOID20,District
320310032031004,1
320310032031005,1
320310032031006,1
320310032031008,1
320310032031010,1
320310032031012,1
320310032032002,1
320310032032003,1
320310032032004,1
320310032032005,1
320310032032006,1
320310032032007,1
320310032032011,1
320310032032012,1
320310032032013,1
320310032032014,1
320310032032015,1
320310032032016,1
320310032032018,1
320310032032019,1
320310032032020,1
320310032032021,1
320310032032030,1
320310032032031,1
320310026031016,1
320310026111010,1
320310026111011,1
320310026112000,1
320310026112001,1
320310026112002,1
320310026112003,1
320310026112004,1
320310026112005,1
320310026112006,1
320310026112007,1
320310026112008,1
320310026112009,1
320310026113000,1
320310026113001,1
320310026113002,1
320310026113003,1
320310026113004,1
320310026113005,1
320310026113006,1
320310026113007,1
320310026161002,1
320310026182002,1
320310026182016,1
320310026182017,1
320310026182022,1
320310026182023,1
320310026182024,1
320319801001000,1
320319801001001,1
320319801001002,1
320319801001003,1
320319801001004,1
320319801001005,1
320319801001006,1
320319801001007,1
320319801001008,1
320319801001009,1
320319801001010,1
320319801001011,1
320319801001012,1
320319801001013,1
320319801001014,1
320319801001015,1
320319801001016,1
320319801001019,1
320319801001021,1
320319801001022,1
320319801001023,1
320319801001024,1
320319801001025,1
320319801001026,1
320319801001027,1
320319801001028,1
320319801001029,1
320319801001030,1
320319801001031,1
320319801001032,1
320310026202004,1
320310026202005,1
320310026202007,1
320310026202008,1
320310026202009,1
320310026202010,1
320310026202011,1
320310026202012,1
320310026202013,1
320310026202014,1
320310026202015,1
320310026202016,1
320310026202017,1
320310026202018,1
320310026202019,1
320310026202020,1
320310026202021,1
320310026202022,1
320310026221000,1
320310026221001,1
320310026221002,1
320310026221003,1
320310026221004,1
320310026221005,1
320310026222017,1
320310026223002,1
320310026223003,1
320310026223004,1
320310026223005,1
320310026223006,1
320310026223007,1
320310026223008,1
320310026223009,1
320310026223010,1
320310026223011,1
320310026223012,1
320310026223013,1
320310026223014,1
320310026223015,1
320310021031015,1
320310021031018,1
320310021042013,1
320310022132000,1
320310022132001,1
320310022132002,1
320310022132003,1
320310022132004,1
320310022132005,1
320310022132006,1
320310022132007,1
320310022132008,1
320310022132009,1
320310022132010,1
320310022132011,1
320310022132012,1
320310022132013,1
320310022132014,1
320310022132015,1
320310022135000,1
320310022135001,1
320310022135002,1
320310022135003,1
320310022135004,1
320310022135005,1
320310022135006,1
320310022135007,1
320310022135008,1
320310022135009,1
320310022135010,1
320310022135011,1
320310022135012,1
320310022135013,1
320310022135014,1
320310022135015,1
320310022141001,1
320310022141002,1
320310022173000,1
320310022173001,1
320310022173002,1
320310022173003,1
320310022173004,1
320310022173005,1
320310022173006,1
320310022173007,1
320310022173008,1
320310022173009,1
320310022173010,1
320310022173011,1
320310022173012,1
320310022173013,1
320310022173014,1
320310022173015,1
320310022173016,1
320310022173017,1
320310022173018,1
320310022173019,1
320310022173020,1
320310026211027,1
320310026211028,1
320310026211038,1
320310027062005,1
320310027062007,1
320310027062008,1
320310027062009,1
320310027063008,1
320310027063012,1
320310027063013,1
320310027063014,1
320310027063015,1
320310027063016,1
320310021031000,1
320310021031001,1
320310021031002,1
320310021031003,1
320310021031004,1
320310021031005,1
320310021031006,1
320310021031007,1
320310021031008,1
320310021031020,1
320310021032021,1
320310021032022,1
320310021032023,1
320310021032024,1
320310021032025,1
320310021041000,1
320310021041012,1
320310021041022,1
320310022103013,1
320310022103014,1
320310022103015,1
320310022103016,1
320310022103017,1
320310022103018,1
320310022103019,1
320310022103020,1
320310022103021,1
320310022103022,1
320310022103023,1
320310022103024,1
320310022103025,1
320310022103026,1
320310022103027,1
320310022103028,1
320310022103029,1
320310022103030,1
320310022103031,1
320310022103032,1
320310022103033,1
320310022103034,1
320310032051000,1
320310032051001,1
320310032051022,1
320310032051025,1
320310032051026,1
320310032051027,1
320310032051028,1
320310032051029,1
320310032051030,1
320310032051031,1
320310032052000,1
320310032052001,1
320310032052002,1
320310032052003,1
320310032052004,1
320310032053005,1
320310032053015,1
320310032053016,1
320310032053017,1
320310032053020,1
320310032053021,1
320310032053028,1
320310032053029,1
320310024091004,1
320310024091005,1
320310024091007,1
320310024091008,1
320310024091009,1
320310024091026,1
320310024092011,1
320310024092012,1
320310024092013,1
320310024092014,1
320310024092015,1
320310024092016,1
320310024092017,1
320310024122020,1
320310032031007,1
320310032031009,1
320310032031011,1
320310032031013,1
320310032031014,1
320310032031015,1
320310032031016,1
320310032031017,1
320310032031018,1
320310032031019,1
320310032031020,1
320310032031021,1
320310032031023,1
320310032031024,1
320310032031025,1
320310032031026,1
320310032031027,1
320310032031028,1
320310032031029,1
320310032031030,1
320310032031031,1
320310032032017,1
320310032032032,1
320310032032033,1
320310032033016,1
320310032033020,1
320310032033021,1
320310032033022,1
320310032033025,1
320310032061000,1
320310032061003,1
320310032061005,1
320310032061006,1
320310032061007,1
320310032061008,1
320310032061009,1
320310032061010,1
320310032061011,1
320310032061012,1
320310032061013,1
320310032061014,1
320310032061015,1
320310032061016,1
320310032061017,1
320310032061088,1
320310035201010,1
320310035223000,1
320310035223001,1
320310035223002,1
320310035223003,1
320310035223004,1
320310035223006,1
320310035223007,1
320310035223012,1
320310004011000,1
320310004011001,1
320310004011002,1
320310004011003,1
320310004011004,1
320310004011005,1
320310004011006,1
320310004011007,1
320310004012000,1
320310004012006,1
320310004012007,1
320310004012008,1
320310004012009,1
320310011011000,1
320310011011001,1
320310011011002,1
320310011011003,1
320310011011004,1
320310011011005,1
320310002012002,1
320310002012003,1
320310002012006,1
320310002012007,1
320310002012008,1
320310002012009,1
320310002012014,1
320310002012015,1
