GEOID20,District
400151616021008,3
400151616021012,3
400151616021019,3
400151616021020,3
400151616021021,3
400151616021022,3
400151616021025,3
400151616021026,3
400151617001000,3
400151617001001,3
400151617001002,3
400151617001003,3
400151617001004,3
400151617001005,3
400151617001006,3
400151617001007,3
400151617001008,3
400151617001009,3
400151617001010,3
400151617001011,3
400151617001012,3
400151617001013,3
400151617001014,3
400151617001015,3
400151617001016,3
400151617001017,3
400151617001031,3
400151617001032,3
400151617001033,3
400151617002000,3
400151617002001,3
400151617002002,3
400151617002003,3
400151617002004,3
400151617002005,3
400151617002006,3
400151617002007,3
400151617002008,3
400151617002009,3
400151617002010,3
400151617002011,3
400151617002012,3
400151617002013,3
400151617002014,3
400151617002015,3
400151617002016,3
400151617002017,3
400151617002018,3
400151617002019,3
400151617002020,3
400151617002021,3
400151617002022,3
400151617002023,3
400151617002024,3
400151617002025,3
400151617002026,3
400151617002027,3
400151617002028,3
400151617002029,3
400151617002030,3
400151617002031,3
400151617002032,3
400151617002033,3
400151617002034,3
400151617002035,3
400151617002036,3
400151617002037,3
400151617002038,3
400151617002039,3
400151617002040,3
400151617002041,3
400151617002042,3
400151617002043,3
400151617002044,3
400151617002045,3
400151617002046,3
400151617002047,3
400151617002048,3
400151617002049,3
400151617002050,3
400151617002051,3
400151617002052,3
400151617002053,3
400151617002054,3
400151617002055,3
400151617002056,3
400151617002057,3
400151617002058,3
400151617002059,3
400151617002060,3
400151617002061,3
400151617002062,3
400151617002063,3
400151617002064,3
400151617002065,3
400151617002066,3
400151617002067,3
400151617002068,3
400151617002069,3
400151617002070,3
400151617002071,3
400151617002072,3
400151617002073,3
400151617002074,3
400151617002075,3
400151617002076,3
400151617002077,3
400151617002078,3
400151617002079,3
400119590001027,3
400119590001028,3
400119590001030,3
400119590001031,3
400119590001044,3
400119590001045,3
400119590001046,3
400119590001047,3
400119590001048,3
400119590001049,3
400119590001050,3
400119590001051,3
400119590001052,3
400119590001053,3
400119590001054,3
400119590001055,3
400119590001056,3
400119590001057,3
400119590001058,3
400119590001063,3
400119590001064,3
400119590001065,3
400119590001066,3
400119590001067,3
400119590001068,3
400119590001069,3
400119590001070,3
400119590001071,3
400119590001072,3
400119590001073,3
400119590001074,3
400119590001075,3
400119590001076,3
400119590001077,3
400119590001078,3
400119590001079,3
400119590001080,3
400119590001081,3
400119590001082,3
400119590001083,3
400119588001388,3
400119588001389,3
400119588001390,3
400119588001393,3
400119588001394,3
400119588001395,3
400119590001000,3
400119590001001,3
400119590001002,3
400119590001003,3
400119590001004,3
400119590001005,3
400119590001006,3
400119590001007,3
400119590001008,3
400119590001009,3
400119590001010,3
400119590001011,3
400119590001012,3
400119590001013,3
400119590001014,3
400119590001015,3
400119590001016,3
400119590001017,3
400119590001018,3
400119590001019,3
400119590001020,3
400119590001021,3
400119590001022,3
400119590001023,3
400119590001024,3
400119590001025,3
400119590001026,3
400119590001029,3
400119590001032,3
400119590001033,3
400119590001034,3
400119590001035,3
400119590001036,3
400119590001037,3
400119590001038,3
400119590001039,3
400119590001040,3
400119590001041,3
400119590001042,3
400119590001043,3
400119590001059,3
400119590001060,3
400119590001061,3
400119590001062,3
400119590001084,3
400119590001085,3
400119590001086,3
400119590001087,3
400119590001088,3
400119590001089,3
400119590001090,3
400119590002000,3
400119590002001,3
400119590002002,3
