GEOID20,District
470370154041000,2
470370154041001,2
470370154041002,2
470370154041003,2
470370154041004,2
470370154041005,2
470370154041006,2
470370154041007,2
470370154041008,2
470370154041009,2
470370156091000,2
470370156091001,2
470370156091002,2
470370156091003,2
470370156091004,2
470370156091005,2
470370156091006,2
470370156091007,2
470370156091008,2
470370156091009,2
470370156091010,2
470370156091011,2
470370156091012,2
470370156091013,2
470370156091014,2
470370156091015,2
470370156091016,2
470370156091017,2
470370156091018,2
470370156091019,2
470370156091020,2
470370156091021,2
470370156091022,2
470370156091023,2
470370156091024,2
470370156091025,2
470370156091026,2
470370156091027,2
470370156091028,2
470370156091029,2
470370156091030,2
470370156091031,2
470370156092000,2
470370156092001,2
470370156092002,2
470370156092003,2
470370156092004,2
470370156092005,2
470370156092006,2
470370156093001,2
470370156233000,2
470370156233001,2
470370156233002,2
470370156233003,2
470370156233005,2
470370156233010,2
470370156241002,2
470370156323000,2
470370156323001,2
470370156323002,2
470370156323003,2
470370156323004,2
470370156323005,2
470370156323006,2
470370156323007,2
470370156323008,2
470370135002000,2
470370135002001,2
470370135002002,2
470370135002003,2
470370135002007,2
470370135002010,2
470370135002011,2
470370142002001,2
470370142002002,2
470370142002003,2
470370142002004,2
470370142002005,2
470370142002006,2
470370142002007,2
470370142002008,2
470370142002009,2
470370142002010,2
470370142002011,2
470370142002012,2
470370142002018,2
470370142002019,2
470370142002020,2
470370142002024,2
470370142002025,2
470370142002026,2
470370142002027,2
470370142002028,2
470370142002031,2
470370142002032,2
470370142002033,2
470370142002034,2
470370142002035,2
470370142002036,2
470370142002037,2
470370142002038,2
470370143001000,2
470370143001001,2
470370143001002,2
470370143001003,2
470370143001004,2
470370143001005,2
470370143001006,2
470370143001007,2
470370143001008,2
470370143001009,2
470370143001010,2
470370143001011,2
470370143001012,2
470370143001013,2
470370143001014,2
470370143001015,2
470370143001016,2
470370143001017,2
470370143001018,2
470370143001019,2
470370143001020,2
470370143001021,2
470370143002000,2
470370143002001,2
470370143002002,2
470370143002003,2
470370143002004,2
470370143002005,2
470370143002006,2
470370143002007,2
470370143002008,2
470370143002009,2
470370143002010,2
470370143002011,2
470370143002012,2
470370143002013,2
470370143002014,2
470370143002015,2
470370143002016,2
470370143002017,2
470370143002018,2
470370143002019,2
470370143002020,2
470370143002021,2
470370143002022,2
470370143002023,2
470370143002024,2
470370143002025,2
470370143002026,2
470370143002027,2
470370143002028,2
470370143002029,2
470370143002030,2
470370143002031,2
470370143002032,2
470370143002033,2
470370143002034,2
470370143002035,2
470370143002036,2
470370143002037,2
470370143002038,2
470370144001021,2
470370144001028,2
470370144001029,2
470370144001030,2
470370144001031,2
470370144001032,2
470370144001033,2
470370144001034,2
470370144001035,2
470370144001036,2
470370144001037,2
470370144001041,2
470370144001042,2
470370144001043,2
470370144001048,2
470370144001049,2
470370144001050,2
470370144001051,2
470370144001052,2
470370144001053,2
470370144001054,2
470370144001055,2
470370144001056,2
470370144001057,2
470370144001058,2
470370144001059,2
470370144001060,2
470370144001061,2
470370144001062,2
470370144001063,2
470370144001064,2
470370144001065,2
470370144001066,2
470370144001070,2
470370144001083,2
470370144001084,2
470370144001085,2
470370144001086,2
470370144001087,2
470370144001089,2
470370144001090,2
470370144001094,2
470370144001095,2
470370195013007,2
470370195013008,2
470370195013009,2
470370195013010,2
470370195013013,2
470370195013020,2
470370195013021,2
470370195013022,2
470370195013023,2
470370195013024,2
470370195013025,2
470370195013026,2
470370195013027,2
470370195013028,2
470370195013029,2
470370195013030,2
470370195013031,2
470370195013032,2
470370195013033,2
470370195013037,2
470370195013038,2
470370111001000,2
470370111001001,2
470370111001002,2
470370111001005,2
470370111001006,2
470370111001007,2
470370111001008,2
470370111001009,2
470370111001012,2
470370111003000,2
470370111003001,2
470370111003002,2
470370111003003,2
470370111003004,2
470370111003005,2
470370111003006,2
470370111003007,2
470370111003008,2
470370111003009,2
470370111003010,2
470370111003011,2
470370111003012,2
470370111003013,2
470370111003014,2
470370111003015,2
470370111003016,2
470370111003017,2
470370111003018,2
470370111003019,2
470370111003020,2
470370111003021,2
470370111003022,2
470370111003023,2
470370179013008,2
470370179013013,2
470370179013018,2
470370179021004,2
470370179021011,2
470370179021012,2
470370179021013,2
470370185001000,2
470370185001001,2
470370185001002,2
470370185001003,2
470370185001004,2
470370185001005,2
470370185001006,2
470370185001007,2
470370185001008,2
470370185001009,2
470370185001010,2
470370185001011,2
470370185001012,2
470370185001013,2
470370185001014,2
470370185001015,2
470370185001016,2
470370185001017,2
470370185002000,2
470370185002001,2
470370185002002,2
470370185002003,2
470370185002004,2
470370185002005,2
470370185002006,2
470370185002007,2
470370185002008,2
470370185002009,2
470370185002010,2
470370185002011,2
470370185002012,2
470370185002013,2
470370185002014,2
470370185002015,2
470370185002016,2
470370185002017,2
470370185002018,2
470370185002019,2
470370185003000,2
470370185003001,2
470370185003002,2
470370185003003,2
470370185003004,2
470370185003005,2
470370185003006,2
470370185003007,2
470370185003008,2
470370185003009,2
470370185003010,2
470370185003011,2
470370185003012,2
470370185003013,2
470370185003014,2
