GEOID20,District
490351139091022,1
490351139091023,1
490351139091024,1
490351139091025,1
490351139091026,1
490351139091027,1
490351139091028,1
490351139091029,1
490351139091030,1
490351139091031,1
490351139091032,1
490351139091033,1
490351139091034,1
490351139091035,1
490351139091037,1
490351139091038,1
490351139091039,1
490351139091040,1
490351139091041,1
490351139091042,1
490351139091043,1
490351139091044,1
490351139091045,1
490351139091046,1
490351139091047,1
490351139091048,1
490351139091049,1
490351139091050,1
490351139091051,1
490351139091052,1
490351139091053,1
490351128134000,2
490351128134001,2
490351128134002,2
490351128134010,2
490351128141012,2
490351128141013,2
490351128141014,2
490351128141015,2
490351128141016,2
490351128141018,2
490351128141019,2
490351128141020,2
490351128141021,2
490351128141022,2
490351128141023,2
490351128141024,2
490351128141025,2
490351128141026,2
490351128141027,2
490351047003000,1
490351047003001,1
490351047003002,1
490351047003003,1
490351047003004,1
490351047003005,1
490351047003006,1
490351047003007,1
490351047003008,1
490351047003009,1
490351047003010,1
490351047003011,1
490351047003012,1
490351047003013,1
490351047003014,1
490351047003015,1
490351047003016,1
490351047003017,1
490351047003018,1
490351135381005,1
490351135381006,1
490351135381007,1
490351135382003,1
490351135382005,1
490351135382006,1
490351135382007,1
490351135382008,1
490351135382009,1
490351135382010,1
490351135391000,1
490351135391001,1
490351135391002,1
490351135391003,1
490351135391004,1
490351135391005,1
490351135391006,1
490351135391007,1
490351135391016,1
490351131081016,1
490351143041000,1
490351143041001,1
490351143041002,1
490351143041003,1
490351143041004,1
490351143041005,1
490351143041006,1
490351143041007,1
490351143041008,1
490351143041009,1
490351143041010,1
490351143041011,1
490351143041012,1
490351143041013,1
490351143041014,1
490351143041015,1
490351143041016,1
490351143041017,1
490351143041018,1
490351143041019,1
490351143041020,1
490351143041021,1
490351143041022,1
490351143041023,1
490351143041024,1
490351143043000,1
490351143043001,1
490351143043002,1
490351143043003,1
490351143043005,1
490351130221030,1
490351130221031,1
490351130221032,1
490351130221033,1
490351130221038,1
490351130221039,1
490351130221040,1
490351130221042,1
490351130221043,1
490351130223014,1
490351130223015,1
490351130223016,1
490351130223017,1
490351130223018,1
490351130223019,1
490351130223020,1
490351130223021,1
490351130223022,1
490351130223023,1
490351130223024,1
490351130223025,1
490351130223026,1
490351130223027,1
490351130223028,1
490351130223029,1
490351130223030,1
490351130223031,1
490351130223032,1
490351130223033,1
490351130223034,1
490351130223035,1
490351130223036,1
490351130223037,1
490351130223038,1
490351128301010,2
490351128301011,2
490351128301012,2
490351128301013,2
490351128301014,2
490351128301015,2
490351128301016,2
490351128301019,2
490351128301020,2
490351128301021,2
490351128301022,2
490351128301023,2
490351128302010,2
490351128302011,2
490351128302012,2
490351128302013,2
490351128302015,2
490351128302016,2
490351128302017,2
490351128302018,2
490351128302019,2
490351128302020,2
490351128302021,2
490351128302023,2
490351128271027,2
490351128271028,2
490351128271029,2
490351128271030,2
490351128271031,2
490351128271032,2
490351128271033,2
490351128271034,2
490351128271035,2
490351128271036,2
490351128271037,2
490351128271038,2
490351128271039,2
490351128271040,2
490351128271041,2
490351128271042,2
490351128271043,2
490351128271044,2
490351128271045,2
490351128271046,2
490351128271047,2
490351128271050,2
490351128271051,2
490351128271059,2
490351128271060,2
490351128271061,2
490351128271062,2
490351128271063,2
490351128271064,2
490351128271065,2
490351128271066,2
490351128271067,2
490351128271068,2
490351128271069,2
490351128271070,2
490351128271071,2
490351128271072,2
490351128271073,2
490351128271074,2
490351128271075,2
490351128271076,2
490351128271077,2
490351128271078,2
490351128271079,2
490351128271080,2
490351128271081,2
490351128271082,2
490351128271083,2
490351128271084,2
490351128271085,2
490351128271086,2
490351128271087,2
490351128271088,2
490351128271089,2
490351128271090,2
490351128271091,2
490351128271092,2
490351128271093,2
490351128271094,2
490351128271095,2
490351128271096,2
490351128271097,2
490351128271098,2
490351128271099,2
490351128271100,2
490351128271101,2
490351135421000,1
490351135421001,1
490351135421002,1
490351135421003,1
490351135421004,1
490351135421005,1
490351135421006,1
490351135421007,1
490351135421008,1
490351135421009,1
490351135421010,1
490351135421011,1
490351135421012,1
490351135421013,1
490351135421014,1
490351135421015,1
490351135421016,1
490351135421017,1
490351135421018,1
490351135421019,1
490351135421020,1
490351135421021,1
490351135421022,1
490351135421023,1
490351135421024,1
490351135421025,1
490351135421026,1
490351135421027,1
490351135421028,1
490351135421029,1
490351135421030,1
490351135421031,1
490351135432021,1
490351016003009,1
490351016003010,1
490351016003014,1
