GEOID20,District
517100009021119,1
517100023002000,1
517100023002001,1
517100023002002,1
517100023002003,1
517100023002004,1
517100023002005,1
517100023002006,1
517100023002007,1
517100023002008,1
517100023002009,1
517100023002010,1
517100023002011,1
517100023002012,1
517100023002013,1
517100024001007,1
517100024001008,1
517100024002000,1
517100024002001,1
517100024002002,1
517100024002003,1
517100024002004,1
517100024002005,1
517100024002006,1
517100024002007,1
517100024002008,1
517100024002009,1
517100024002010,1
517100024002011,1
517100024002012,1
517100024002013,1
517100024002014,1
517100024002015,1
517100024002016,1
517100024002017,1
517100024002018,1
517100024002019,1
517100024002020,1
517100024002021,1
517100024002022,1
517100024002023,1
517100024002024,1
517100024002025,1
517100024002026,1
517100024002027,1
517100024002028,1
517100024002029,1
517100024002030,1
517100024002031,1
517100024002032,1
517100024003000,1
517100024003001,1
517100024003002,1
517100024003003,1
517100024003004,1
517100024003005,1
517100024003006,1
517100024003007,1
517100024003008,1
517100024003009,1
517100024003010,1
517100024003011,1
517100024003012,1
517100024003013,1
517100024003014,1
517100024003015,1
517100024003016,1
517100024003017,1
517100024003018,1
517100024003019,1
517100025001000,1
517100025001001,1
517100025001002,1
517100025001003,1
517100025001004,1
517100025001005,1
517100025001006,1
517100025001007,1
517100025001008,1
517100025001014,1
517100025001015,1
517100025001030,1
517100025001031,1
517100025001032,1
517100025001033,1
517100025002010,1
517100026002000,1
517100026002001,1
517100026002002,1
517100026002003,1
517100026002004,1
517100026002005,1
517100026002006,1
517100026002007,1
517100026003000,1
517100026003001,1
517100026003002,1
517100026003003,1
517100026003004,1
517100026003005,1
517100026003006,1
517100026003007,1
517109801001000,1
517109801001001,1
517109801001002,1
517109801001003,1
517100033001002,1
517100033001003,1
517100033001004,1
517100033001005,1
517100033001006,1
517100033001007,1
517100033001008,1
517100033001009,1
517100033001010,1
517100033001011,1
517100033001012,1
517100033001013,1
517100033001014,1
517100033001015,1
517100033001016,1
517100033001017,1
517100033001018,1
517100033001019,1
517100033001020,1
517100033001021,1
517100033001022,1
517100033001023,1
517100033001024,1
517100033001025,1
517100033001026,1
517100033001027,1
517100033001028,1
517100043001000,1
517100043001001,1
517100043001002,1
517100043001003,1
517100043001004,1
517100043001005,1
517100043001006,1
517100043001007,1
517100043001008,1
517100043001009,1
517100043001010,1
517100043001011,1
517100043002000,1
517100043002001,1
517100043002002,1
517100043002003,1
517100043002004,1
517100043002005,1
517100043002006,1
517100043002013,1
517100043002014,1
517100043002015,1
517100043003000,1
517100043003001,1
517100043003002,1
517100043003003,1
517100043003004,1
517100043003005,1
517100043003006,1
517100043003007,1
517100043004000,1
517100043004001,1
517100044001000,1
517100044001001,1
517100044001002,1
517100044001003,1
517100044001004,1
517100044001005,1
517100044001006,1
517100044001007,1
517100044001008,1
517100044001009,1
517100044001010,1
517100044001011,1
517100044001012,1
517100044001013,1
517100044001014,1
517100044001015,1
517100044002000,1
517100044002001,1
517100044002002,1
517100044002003,1
517100044002004,1
517100044002005,1
517100044002006,1
517100044002007,1
517100044002008,1
517100044002009,1
517100044002010,1
517100044002011,1
517100044002012,1
517100044002013,1
517100044002014,1
517100044002015,1
517100044002016,1
517100044002017,1
517100044002018,1
517100044003000,1
517100044003001,1
517100044003002,1
517100044003003,1
517109802001007,1
517109802001015,1
517109802001022,1
517100005002007,1
517100005002010,1
517100005002017,1
517100005002023,1
517100006002018,1
517100006002019,1
517100006002020,1
517100006002021,1
517100006002022,1
517100006002023,1
517100006002024,1
517100006002025,1
517100006002026,1
517100006002027,1
517100006002028,1
517100006002029,1
517100006002030,1
517100006002031,1
517100006002032,1
517100006002033,1
517100006002034,1
517100006002035,1
517100006002036,1
517100006002037,1
517100007002004,1
517100007002005,1
517100007002006,1
517100007002007,1
517100007002008,1
517100007002009,1
517100007002010,1
517100007002011,1
517100007002013,1
517100007002019,1
517100007002020,1
517100007002021,1
517100007002022,1
517100007002023,1
517100007002024,1
517100007002025,1
517100007002026,1
517100007002027,1
517100007002028,1
517100007002029,1
517100007002030,1
517100008001000,1
517100008001001,1
517100008001002,1
517100008001003,1
517100008001004,1
517100008001005,1
517100008001006,1
517100008001007,1
517100008001008,1
517100008001009,1
517100008001010,1
517100008001011,1
517100008001012,1
517100008001013,1
517100008001014,1
517100008001015,1
517100008001016,1
517100008001017,1
517100008001018,1
517100008001019,1
517100008001020,1
517100008001021,1
517100008001022,1
517100008001023,1
517100008001024,1
517100008001025,1
517100008001026,1
517100008001027,1
517100008001028,1
517100008002000,1
517100008002001,1
517100008002002,1
517100008002003,1
517100008002004,1
517100008002005,1
517100008002006,1
517100008002007,1
517100008002008,1
517100008002009,1
517100008002010,1
517100008002011,1
517100008002012,1
517100008002013,1
517100008002014,1
517100055001011,1
517100009011000,1
517100009011001,1
517100009011002,1
517100009011003,1
517100009011004,1
517100009011005,1
517100009011006,1
517100009011007,1
517100009011008,1
517100009011009,1
517100009011010,1
517100009011011,1
517100009011012,1
517100009011013,1
517100009011014,1
517100009011015,1
517100009011016,1
517100009012000,1
517100009012001,1
517100009012002,1
517100009012003,1
517100009012004,1
517100009012005,1
517100009013000,1
517100009013001,1
517100009013002,1
517100009013003,1
517100009013004,1
517100009013005,1
517100009013006,1
517100009013007,1
517100009013008,1
517100009014000,1
517100009014001,1
517100009014002,1
517100009014003,1
517100009014004,1
517100009014005,1
517100009014006,1
517100009014007,1
517100009015000,1
517100009015001,1
517100009015002,1
517100009015003,1
517100009015004,1
517100009015005,1
517100009015006,1
517100009015007,1
517100009015008,1
517100009015009,1
517100009015010,1
517100009015011,1
517100009015012,1
517100009015013,1
517100009015014,1
517100009015015,1
517100009015016,1
517100009015017,1
517100009021002,1
517100009021008,1
517100009021009,1
517100009021010,1
517100009021011,1
517100009021012,1
517100009021014,1
517100009021015,1
517100009021029,1
517100009021033,1
517100009021042,1
517100009021043,1
517100009021044,1
517100009021045,1
517100009021047,1
517100009021048,1
517100009021049,1
517100009021050,1
517100009021077,1
517100009021083,1
517100009021106,1
517100009021107,1
517100009021108,1
517100009021109,1
517100009021110,1
517100009021111,1
517100009021113,1
517100009021114,1
517100009021115,1
517100009021116,1
517100009021117,1
517100009021118,1
517100009021120,1
517100012001000,1
517100012001001,1
517100012002000,1
517100012002001,1
517100012002002,1
517100012002010,1
517100016001000,1
517100016001001,1
517100016001002,1
517100016001003,1
517100016001004,1
517100016001005,1
517100016001006,1
517100016002000,1
517100016002001,1
517100016002002,1
517100016002003,1
517100016002004,1
517100016002005,1
517100016002006,1
517100016002007,1
517100016002008,1
517100016002009,1
517100016002010,1
517100016002011,1
517100016002012,1
517100016002013,1
517100016002014,1
517100016002015,1
517100016002016,1
517100016002017,1
517100016002018,1
517100016002019,1
517100016002020,1
517100016002021,1
517100066071000,1
517100066071001,1
517100066071002,1
517100066071003,1
517100066071004,1
517100066071005,1
517100066071006,1
517100066071007,1
517100066071008,1
517100066071009,1
517100066071010,1
517100066071011,1
517100066071012,1
517100066071013,1
517100066071014,1
517100066071015,1
517100066071016,1
517100066071017,1
517100066071018,1
517100066071019,1
517100066071020,1
517100066071021,1
517100066072000,1
517100066072001,1
517100066072002,1
517100066072003,1
517100066072004,1
517100066072005,1
517100066072006,1
517100066072007,1
517100066072008,1
517100066072009,1
517100066072010,1
517100066072011,1
517100066072012,1
517100066072013,1
517100066072014,1
517100066072015,1
517100066073000,1
517100066073001,1
517100066073002,1
517100066073003,1
517100066073004,1
517100066073005,1
517100066073006,1
517100066073007,1
517100066073008,1
517100066073009,1
517100066073010,1
517100066073011,1
517100066073012,1
517100066073013,1
517100066073014,1
517100066073015,1
517100066073016,1
517100066073017,1
517100066073018,1
517109803001000,1
517109803001001,1
517109803001002,1
517109803001003,1
517109803001004,1
517109803001005,1
517109803001006,1
517109803001007,1
517109803001008,1
517109803001009,1
517109803001010,1
517109803001011,1
517109803001012,1
517109803001013,1
517109803001014,1
517109803001015,1
517109803001016,1
517109803001019,1
517100027001006,1
517100027001007,1
517100027001008,1
517100027001009,1
517100027001010,1
517100027001011,1
517100027001012,1
517100027002000,1
517100027002001,1
517100027002002,1
517100027002003,1
517100027002004,1
517100027002005,1
517100027002006,1
517100027002007,1
517100027002008,1
517100027002009,1
517100027002010,1
517100027002011,1
517100027002012,1
517100027002013,1
517100027002014,1
517100027002015,1
517100027002016,1
517100027002018,1
517100027002019,1
517100027002020,1
517100027002021,1
517100027002022,1
517100027002023,1
517100027002024,1
517100027002025,1
517100027002026,1
517100027002027,1
517100027002028,1
517100027002029,1
517100027002030,1
517100027002031,1
517100027002032,1
517100027002033,1
517100027002034,1
517100027002035,1
517100027002036,1
517100027002037,1
517100027003010,1
517100027003011,1
517100027003012,1
517100027003013,1
517100027003014,1
517100027003015,1
517100027003023,1
517100027003024,1
517100027003025,1
517100028001013,1
517100029001000,1
517100029001001,1
517100029001002,1
517100029002000,1
517100029002001,1
517100029002002,1
517100029002003,1
517100029002004,1
517100029002005,1
517100029002006,1
517100029002007,1
517100029002008,1
517100029002009,1
517100029002010,1
517100029002011,1
517100029002012,1
517100029002013,1
517100029002014,1
517100029002015,1
517100029002016,1
517100029002017,1
517100029002018,1
517100029002019,1
517100029002020,1
517100029002021,1
517100029002022,1
517100029002023,1
517100029002024,1
517100029002025,1
517100029002026,1
517100029002027,1
517100029002028,1
517100029002029,1
517100029002030,1
517100029002031,1
517100029002032,1
517100029002033,1
517100029002034,1
517100029002035,1
517100029002036,1
517100029002037,1
517100029002038,1
517100029002039,1
517100029002040,1
517100029002041,1
517100029002042,1
517100029002043,1
517100029002044,1
517100029002045,1
517100029002046,1
517100029002047,1
517100029002048,1
517100029002049,1
517100029002050,1
517100029002051,1
517100029002052,1
517100029002053,1
517100029003000,1
517100029003001,1
517100029003002,1
517100029003003,1
517100029003004,1
517100029003005,1
517100029003006,1
517100029003007,1
517100029003008,1
517100029003009,1
517100029003010,1
517100029003011,1
517100029003012,1
517100029003013,1
517100029003014,1
517100029003015,1
517100029003016,1
517100029004013,1
517100029004014,1
517100029004015,1
517100029004016,1
517100029004017,1
517100029004018,1
517100029004019,1
517100029004020,1
517100029004021,1
517100002011000,1
517100002011001,1
517100002011002,1
517100002011003,1
517100002011004,1
517100002011005,1
517100002011006,1
517100002011007,1
517100002011008,1
517100002011009,1
517100002011010,1
517100002011011,1
517100002011012,1
517100002011013,1
517100002011014,1
517100002011015,1
517100002011016,1
517100002012000,1
517100002023000,1
517100002023001,1
517100002023002,1
517100002023003,1
517100002023004,1
517100002023005,1
517100002023006,1
517100002023007,1
517100002023008,1
517100002023009,1
517100002023010,1
517100002023011,1
517100002024000,1
517100002024001,1
517100002024002,1
517100002024003,1
517100002024004,1
517100002024005,1
517100002024009,1
517100002024010,1
517100002024011,1
517100003001004,1
517100003001007,1
517100003001008,1
517100003001009,1
517100003001010,1
517100003001011,1
517100003001012,1
517100003001013,1
517100003001014,1
517100003001015,1
517100003001016,1
517100003001017,1
517100003001018,1
517100003001019,1
517100003001020,1
517100003001021,1
517100003001022,1
517100003001023,1
517100003001025,1
517100003001026,1
517100003001027,1
517100003001028,1
517100003001029,1
517100003001030,1
517100003001031,1
517100003001032,1
517100003001033,1
517100003001034,1
517100003001035,1
517100003001036,1
517100003001037,1
517100003001038,1
517100003001039,1
517100003001040,1
517100003001041,1
517100003001042,1
517100003001043,1
517100006001000,1
517100006001001,1
517100006001002,1
517100006001005,1
517100006001006,1
517100006001007,1
517100006001010,1
517100006002000,1
517100006002001,1
517100006002002,1
517100006002003,1
517100006002004,1
517100006002005,1
517100006002006,1
517100006002007,1
517100006002008,1
517100006002009,1
517100006002010,1
517100006002011,1
517100006002012,1
517100006002013,1
517100006002014,1
517100006002015,1
517100006002016,1
517100006002017,1
517100006003000,1
517100006003001,1
517100006003002,1
517100006003003,1
517100006003004,1
517100006003005,1
517100006003006,1
517100006003007,1
517100006004000,1
517100006004001,1
517100006004002,1
517100006004003,1
517100006004004,1
517100006004005,1
517100006004006,1
517100006004007,1
517100006004008,1
517100006004009,1
517100006004010,1
517100006004011,1
517100006004012,1
517100006004013,1
517100006004014,1
517100006004015,1
517100006004016,1
517100006004017,1
517109900000004,1
517100036001001,1
517100036001002,1
517100036001003,1
517100036001010,1
517100036001011,1
517100036001012,1
517100036001013,1
517100036001014,1
517100036001015,1
517100036001016,1
517100036001017,1
517100036001018,1
517100036001019,1
517100036001020,1
517100036001021,1
517100036001022,1
517100036001023,1
517100036001024,1
517100036001025,1
517100036001026,1
517100036001027,1
517100036001028,1
517100036001029,1
517100036001030,1
517100036001031,1
517100036001032,1
517100036001035,1
517100036001036,1
517100036001041,1
517100036001042,1
517100036001043,1
517100036001044,1
517100036001045,1
517100036001046,1
517100036001047,1
517100036001048,1
517100036001049,1
517100036001050,1
517100036001051,1
517100036001052,1
517100036001053,1
517100036001054,1
517100036001055,1
517100036001056,1
517100036001058,1
517100037001000,1
517100037001001,1
517100037001002,1
517100037001003,1
517100037001004,1
517100037001005,1
517100037001006,1
517100037001007,1
517100037001008,1
517100037001009,1
517100037001010,1
517100037001011,1
517100037001012,1
517100037001013,1
517100037001014,1
517100037001015,1
517100037001016,1
517100037001017,1
517100037002012,1
517100037002013,1
517100037002014,1
517100037002021,1
517100037002022,1
517100037002023,1
517100040011009,1
517100040011010,1
517100040011011,1
517100040011012,1
517100040011013,1
