GEOID20,District
510853204001009,8
510853204001013,8
510853204001014,8
510853204001019,8
510853204001020,8
510853204001021,8
510853204001022,8
510853204001029,8
510853204001032,8
510853204001033,8
510853204001034,8
510853204001035,8
510853204001036,8
510853204001037,8
510853204001038,8
510853204001039,8
510853204002000,8
510853204002001,8
510853204002002,8
510853204002003,8
510853204002004,8
510853204002005,8
510853204002006,8
510853204002007,8
510853204002008,8
510853204002009,8
510853204002010,8
510853204002011,8
510853204002012,8
510853204002013,8
510853204002014,8
510853204002015,8
510853204002016,8
510853204002017,8
510853204002018,8
510853204002019,8
510853204002020,8
510853204002021,8
510853204002022,8
510853204002023,8
510853204003000,8
510853204003001,8
510853204003002,8
510853204003003,8
510853204003004,8
510853204003005,8
510853204003006,8
510853204003007,8
510853204003008,8
510853204003009,8
510853204003010,8
510853204003011,8
510853204003012,8
510853204003013,8
510853204003014,8
510853204003015,8
510853204003016,8
510853204003017,8
510853204003018,8
510853204003019,8
510853204003020,8
510853204003021,8
510853204003022,8
510853204003023,8
510853204003024,8
510853204003025,8
510853204003026,8
510853204003027,8
510853204003028,8
510853204003029,8
510853204003030,8
510853204003031,8
510853204003032,8
510853204003033,8
510853204003034,8
510853204003035,8
510853204003036,8
510853204003037,8
510853205002012,8
510853205002015,8
510853205002016,8
510853205002017,8
510853205002019,8
510853205002020,8
510853205002021,8
510853205002022,8
510853205002023,8
510853205002024,8
510853206021059,8
510853206021060,8
510853210011000,8
510853210011001,8
510853210011002,8
510853210011003,8
510853210011004,8
510853210011005,8
510853210011006,8
510853210011007,8
510853210011008,8
510853210011009,8
510853210011010,8
510853210011011,8
510853210011012,8
510853210011013,8
510853210011014,8
510853210011015,8
510853210013009,8
510853210013010,8
510853210013011,8
510853210013012,8
510853210013013,8
510853210013014,8
510853212011000,8
510853212011001,8
510853212011002,8
510853212011003,8
510853212011004,8
510853212011005,8
510853212011006,8
510853212011007,8
510853212011008,8
510853212011009,8
510853212011010,8
510853212011011,8
510853212011012,8
510853212011013,8
510853212011014,8
510853212011015,8
510853212011016,8
510853212011017,8
510853212011018,8
510853212011019,8
510853212011020,8
510853212011021,8
510853212011022,8
510853212011023,8
510853212011024,8
510853212011025,8
510853212011026,8
510853213004000,8
510853213004001,8
510853213004002,8
510853213004003,8
510853213004004,8
510853213004005,8
510853213004006,8
510853213004007,8
510853213004008,8
510853213004009,8
510853213004010,8
510853213004011,8
510853213004012,8
510853213004013,8
510853213004014,8
510853213004015,8
510853213004016,8
510853213004017,8
510853213004018,8
510853213004019,8
510853213004020,8
510853213004021,8
510853213004022,8
510853213004023,8
510853213004024,8
510853213004025,8
510853213004026,8
510853212021000,8
510853212021001,8
510853212021002,8
510853212021003,8
510853212021004,8
510853212021005,8
510853212021006,8
510853212021007,8
510853212021016,8
511990502061000,11
511990502061002,11
511990502061003,11
511990502061004,11
511990502061019,11
511990502061020,11
511990502061021,11
511990502061026,11
511990502061027,11
511990502063000,11
511990502063001,11
511990502063002,11
511990502063003,11
511990502063004,11
511990502063005,11
511990502063006,11
511990502063007,11
511990502063008,11
511990502063009,11
511990502063010,11
511990502063011,11
511990502063012,11
511990502063013,11
511990502063014,11
511990502063015,11
511990502063016,11
511990502063017,11
511990502063018,11
511990502063019,11
511990502063020,11
511990502064000,11
511990502064001,11
511990502064002,11
511990502064003,11
511990502072000,11
511990502072001,11
511990502072002,11
511990502072003,11
511990502072004,11
511990502072005,11
511990502072006,11
511990502072007,11
511990502072008,11
511990502072009,11
511990502072010,11
511990502072011,11
511990502072012,11
511990502072013,11
511990502072014,11
511990502072015,11
511990502081000,11
511990502081001,11
511990502081002,11
511990502081003,11
511990502081004,11
511990502081005,11
511990502081006,11
511990502081007,11
511990502081008,11
511990502081009,11
511990502081010,11
511990502081011,11
511990502081012,11
511990502081013,11
511990502081014,11
511990505001000,8
511990505001001,8
511990505001002,8
511990505001003,8
511990505001005,8
511990505001006,8
511990505001007,8
511990505002005,8
511990509001000,8
511990509001001,8
511990509001002,8
511990509001003,8
511990509001004,8
511990509001005,8
511990509001006,8
511990509001007,8
511990509001008,8
511990509001009,8
511990509001010,8
511990509001011,8
511990509001012,8
511990509001013,8
511990509001014,8
511990509001015,8
511990509001016,8
511990509001017,8
511990509001018,8
511990509001019,8
511990509001020,8
511990509001021,8
511990509001022,8
511990509001023,8
511990509001024,8
511990509001025,8
511990509001026,8
511990509001027,8
511990509001028,8
511990509001029,8
511990509001030,8
511990509001031,8
511990509001032,8
511990509001033,8
511990509001034,8
511990509001035,8
511990509001036,8
511990509001037,8
511990509001038,8
511990509001039,8
511990509001040,8
511990509001041,8
511990509001042,8
511990509001043,8
511990509001044,8
511990509001045,8
511990509001046,8
511990509001047,8
511990509001048,8
511990509001049,8
511990509001050,8
511990509001051,8
511990509001052,8
511990509001053,8
511990509001054,8
511990509001055,8
511990509001056,8
511990509001057,8
511990509001058,8
511990509001059,8
511990509001060,8
511990509001061,8
511990509001062,8
511990509001063,8
511990509001064,8
511990509001065,8
511990509001066,8
511990509001067,8
511990509001068,8
511990509001069,8
511990509001070,8
511990509001071,8
511990509001072,8
511990509001073,8
511990509001074,8
511990509001075,8
511990509001076,8
511990509001077,8
511990509001078,8
511990509001079,8
511990509001080,8
511990509001081,8
511990509001082,8
511990509001083,8
511990509001084,8
511990509001085,8
511990509001086,8
511990509001087,8
511990509001088,8
511990509001089,8
