GEOID20,District
530519701003147,1
530519701003149,1
530519701003150,1
530519701003151,1
530519701003152,1
530519701003153,1
530519701003154,1
530519701003155,1
530519701003160,1
530519701003161,1
530519701003162,1
530519701003164,1
530519701003165,1
530519701003166,1
530519701003167,1
530519701003168,1
530519701003169,1
530519701003170,1
530519701003171,1
530519701003172,1
530519701003173,1
530519701003174,1
530519701003175,1
530519701003180,1
530519701003186,1
530519702001083,1
530519702001084,1
530519702001085,1
530519702001086,1
530519702001087,1
530519702001088,1
530519702001089,1
530519702001091,1
530519702001092,1
530519702001093,1
530519702001094,1
530519702001095,1
530519702001096,1
530519702001097,1
530519702001098,1
530519702001099,1
530519702001100,1
530519702001101,1
530519702001102,1
530519702001103,1
530519702001104,1
530519702001105,1
530519702001106,1
530519702001108,1
530519702001109,1
530519702001110,1
530519702001111,1
530519702001112,1
530519702001113,1
530519702001148,1
530519702001149,1
530519702001150,1
530519702001151,1
530519702001152,1
530519702001153,1
530519702001155,1
530519702001156,1
530519702001157,1
530519702001158,1
530519702001159,1
530519702001171,1
530519702001175,1
530519702001176,1
530519702001177,1
530519702001178,1
530519702001179,1
530519702001180,1
530519702001182,1
530519702001186,1
530519702003000,1
530519702003001,1
530519702003002,1
530519702003003,1
530519702003011,1
530519702003012,1
530519702003013,1
530519702003016,1
530519702003017,1
530519702003037,1
530519702004002,1
530519702004003,1
530519702004004,1
530519701001071,1
530519701002040,1
530519701002041,1
530519701002042,1
530519701003016,1
530519701003017,1
530519701003018,1
530519701003019,1
530519701003033,1
530519701003034,1
530519701003035,1
530519701003036,1
530519701003037,1
530519701003041,1
530519701003042,1
530519701003043,1
530519701003048,1
530519701003049,1
530519701003050,1
530519701003051,1
530519701003052,1
530519701003055,1
530519701003056,1
530519701003057,1
530519701003058,1
530519701003059,1
530519701003060,1
530519701003061,1
530519701003062,1
530519701003063,1
530519701003064,1
530519701003065,1
530519701003066,1
530519701003067,1
530519701003068,1
530519701003069,1
530519701003070,1
530519701003071,1
530519701003073,1
530519701003074,1
530519701003084,1
530519701003085,1
530519701003086,1
530519701003087,1
530519701003125,1
530519701003132,1
530519701003133,1
530519701003134,1
530519701003135,1
530519701003136,1
530519701003137,1
530519701003138,1
530519701003139,1
530519701003140,1
530519701003141,1
530519701003142,1
530519701003143,1
530519701003144,1
530519701003145,1
530519701003146,1
530519701003148,1
530519701003156,1
530519701003157,1
530519701003158,1
530519701003159,1
530519701003163,1
530519701003179,1
530519701003184,1
530519701003185,1
530519702001000,1
530519702001001,1
530519702001002,1
530519702001004,1
530519702001005,1
530519702001006,1
530519702001007,1
530519702001008,1
530519702001009,1
530519702001010,1
530519702001011,1
530519702001012,1
530519702001013,1
530519702001014,1
530519702001015,1
530519702001016,1
530519702001017,1
530519702001018,1
530519702001019,1
530519702001020,1
530519702001021,1
530519702001030,1
530519702001031,1
530519702001032,1
530519702001061,1
530519702001062,1
530519702001063,1
530519702001064,1
530519702001162,1
530519702001163,1
530519702001164,1
530519701001037,1
530519701001046,1
530519701001047,1
530519701001048,1
530519701001049,1
530519701001050,1
530519701001051,1
530519701001052,1
530519701001053,1
530519701001054,1
530519701001055,1
530519701001056,1
530519701001057,1
530519701001058,1
530519701001059,1
530519701001060,1
530519701001061,1
530519701001062,1
530519701001063,1
530519701001064,1
530519701001065,1
530519701001066,1
530519701001067,1
530519701001068,1
530519701001072,1
530519701001073,1
530519701001074,1
