GEOID20,District
01115000019,3
01115000015,3
01115000020,3
01107001100,7
01075001301,4
01107004400,7
01107004500,7
01107004300,7
01107004200,7
01107001400,7
01107001800,7
01107001500,7
01107001300,7
01107001200,7
01075001401,4
01097000088,1
01003000040,1
01121000015,3
01121000002,3
01027000601,3
01029000402,3
01027002201,3
01027002101,3
01027000102,3
01027000201,3
01123000501,3
01111000013,3
01111000002,3
01029000401,3
01029000403,3
01111000006,3
01111000003,3
01029000404,3
01111000014,3
01111000004,3
01111000001,3
01029000302,3
01111000005,3
01113000502,3
01075001701,4
01075001201,4
01075002301,4
01075002101,4
01077000017,4
01075002001,4
01075001501,4
01075001601,4
01107003100,7
01107005105,7
01057001001,4
01107003200,7
01125000004,4
01057000701,4
01125000054,7
01125000034,7
01125000005,4
01057000201,4
01125000006,4
01125000019,4
01125000017,4
01125000003,4
01125000007,4
01125000002,4
01065000009,7
01125000009,4
01125000014,7
01125000010,7
01125000001,4
01073003220,7
01127000010,4
01007000003,6
01073003170,7
01125000013,7
01073003020,7
01073003260,6
01073003300,7
01073003150,7
01073003240,7
01035000043,2
01035001141,2
01035000111,2
01035000021,2
01073003030,7
01073003320,6
01073003330,6
01073003290,6
01073003010,6
01073002120,7
01073003025,7
01073001150,6
01073001160,7
01073001320,6
01073001100,7
01117000022,6
01073003080,7
01073001090,7
01073001370,7
01073001340,7
01073001040,7
01073002260,7
01073001300,7
01073001270,7
01073005100,6
01073002310,7
01073002160,7
01073001210,7
01073001290,7
01073001170,7
01073002080,7
01073001330,7
01073001360,7
01073001190,7
01073001220,7
01073001180,7
01073005080,6
01073005180,6
01073005190,6
01073005150,6
01073001280,7
01073001140,7
01073001230,7
01075002201,4
01057000101,4
01073004240,6
01117000017,6
01117000015,6
01073005160,6
01117000014,6
01073004230,6
01073005250,6
01073004190,6
01073005140,6
01117000028,6
01073005090,6
01073004140,6
01117000011,6
01117000001,6
01117000002,6
01115000030,3
01115000023,3
01001000016,2
01001000013,2
01001000007,2
01001000004,2
01093000015,4
01093000018,4
01093000011,4
01057001701,4
01057000401,4
01057001801,4
01057001901,4
01057000601,4
01057000901,4
01115000014,3
01117000003,6
01117000004,6
01115000013,3
01115000016,3
01117000005,6
01121000006,3
01121000010,3
01115000012,3
01121000014,3
01059000012,4
010330010-2,4
01057001301,4
01127000006,4
01127000018,4
01127000020,4
01127000009,4
01127000041,4
01127000011,4
01127000022,4
01127000019,4
01127000012,4
01127000014,4
01121000005,3
01121000004,3
01121000011,3
01121000012,3
01121000007,3
01121000001,3
01121000003,3
01061000012,2
01029000106,3
01029000301,3
01029000105,3
01029000405,3
01127000021,4
01127000013,4
01083000501,5
01083000401,5
01083000601,5
01073003120,6
01029000201,3
01015000011,3
01015000010,3
01015000012,3
01015000022,3
01019000015,3
01015000015,3
01015000013,3
01015000002,3
01015000004,3
01071000035,5
01071000003,5
01115000010,3
01055001901,4
01115000024,3
01115000004,3
01115000005,3
01115000025,3
01115000017,3
01115000026,3
01089000021,5
01089000029,5
01089000020,5
01073004040,6
01073004020,6
01073001010,6
01073001110,6
01073001130,6
01073001120,7
01073003200,6
01073001260,7
01073003180,6
01073001250,7
01073004070,6
01073001030,6
01073001060,6
01073004090,6
01073004010,6
01073004200,6
01097000047,1
01097000045,1
01097000044,1
01097000035,1
01097000036,1
01097000027,1
01097000056,1
01003000007,1
01097000031,1
01097000033,1
01097000026,1
01097000020,1
01097000055,1
01097000042,1
01097000017,1
01003000006,1
01097000015,1
01097000012,1
01097000011,1
01097000009,1
01097000006,1
01097000034,1
01097000029,1
01097000016,1
01097000022,1
01097000021,1
01097000064,1
01097000071,1
01097000063,1
01097000070,1
01097000072,1
01003000014,1
01003000019,1
01097000003,1
01097000069,1
01097000004,1
01003000003,1
01129000014,1
01097000019,1
01129000016,1
01129000015,1
01097000014,1
01129000019,1
01129000018,1
01097000078,1
01097000079,1
01097000075,1
01097000084,1
01125000033,7
01125000018,4
01107005400,7
01107002200,7
01063000103,7
01097000057,1
