GEOID20,District
01115000019,36
01115000015,36
01115000020,36
01107001100,61
01075001301,17
01107004400,61
01107004500,61
01107004300,61
01107004200,61
01107001400,61
01107001800,61
01107001500,61
01107001300,61
01107001200,61
01075001401,17
01097000088,105
01003000040,95
01121000015,35
01121000002,35
01027000601,35
01029000402,40
01027002201,35
01027002101,35
01027000102,35
01027000201,35
01123000501,81
01111000013,37
01111000002,37
01029000401,40
01029000403,40
01111000006,37
01111000003,37
01029000404,40
01111000014,37
01111000004,37
01111000001,37
01029000302,40
01111000005,37
01113000502,84
01075001701,17
01075001201,17
01075002301,17
01075002101,17
01077000017,1
01075002001,17
01075001501,17
01075001601,17
01107003100,61
01107005105,61
01057001001,16
01107003200,61
01125000004,61
01057000701,16
01125000054,72
01125000034,71
01125000005,61
01057000201,16
01125000006,16
01125000019,61
01125000017,61
01125000003,16
01125000007,16
01125000002,16
01065000009,72
01125000009,16
01125000014,16
01125000010,16
01125000001,16
01073003220,16
01127000010,14
01007000003,72
01073003170,16
01125000013,62
01073003020,15
01073003260,16
01073003300,16
01073003150,16
01073003240,57
01035000043,68
01035001141,68
01035000111,68
01035000021,68
01073003030,57
01073003320,57
01073003330,57
01073003290,60
01073003010,57
01073002120,56
01073003025,57
01073001150,60
01073001160,55
01073001320,60
01073001100,60
01073003080,15
01073001090,60
01073001370,60
01073001340,54
01073001040,60
01073002260,54
01073001300,59
01073001270,59
01073005100,46
01073002310,54
01073002160,54
01073001210,54
01073001290,59
01073001170,59
01073002080,52
01073001330,54
01073001360,55
01073002180,55
01073001190,59
01073001220,54
01073001180,54
01073005180,46
01073005190,46
01073005150,54
01073001280,54
01073001140,54
01073001230,54
01075002201,17
01057000101,16
01073004240,58
01117000017,43
01117000015,43
01073005160,48
01117000014,48
01073004230,58
01073005250,45
01073004190,45
01073005140,48
01117000028,41
01073005090,45
01073004140,45
01117000011,45
01117000001,45
01117000002,45
01115000030,45
01115000023,45
01001000016,69
01001000013,88
01001000007,42
01001000004,88
01093000015,17
01093000018,17
01093000011,17
01057001701,16
01057000401,16
01057001801,16
01057001901,16
01057000601,16
01057000901,16
01115000014,50
01117000003,41
01117000004,41
01115000013,50
01115000016,50
01117000005,41
01115000012,36
