GEOID20,District
01029000402,13
01027000201,13
01111000013,13
01111000002,13
01107001300,21
01107001100,21
01075001301,5
01107001400,21
01107001500,21
01107001200,21
01075001401,5
01097000088,35
01121000015,12
01121000002,12
01027000601,13
01027002201,13
01027002101,13
01027000102,13
01123000501,27
01123001701,27
01029000401,13
01029000403,13
01111000007,13
01111000003,13
01111000006,13
01111000014,13
01029000404,13
01111000004,13
01111000001,13
01029000302,13
01111000005,13
01113000502,28
01075001701,5
01075001201,5
01075001101,5
01075002301,5
01075002101,5
010330006-1,6
01077000017,1
01075002001,5
01075001501,5
01107003100,21
01107005105,21
01125000018,5
01107003200,21
01057001001,5
01125000004,5
01057000701,5
01125000054,24
01125000005,5
01057000201,5
01125000006,5
01125000003,5
01125000007,5
01125000002,5
01065000009,24
01065000005,24
01125000009,5
01125000001,5
01125000010,5
01073003220,5
01127000010,5
01007000003,14
01007000020,14
01073003170,5
01073003260,5
01073003020,19
01125000013,21
01073003140,19
01073003150,19
01073003300,19
01073003240,19
01035000043,23
01073003320,19
01073003330,19
01073003030,19
01073003290,19
01073003025,19
01073003010,19
01073001150,19
01073001160,19
01073001320,20
01073001100,20
01117000022,14
01073001090,20
01073001370,20
01073001040,20
01073002260,18
01073001340,20
01073001300,20
01073001270,20
01073005100,16
01073002350,18
01073005030,16
01073002310,18
01073001290,20
01073001170,20
01073001210,18
01073002080,18
01073001330,18
01073001360,18
01073002180,18
01073001190,20
01073001220,18
01073001140,18
01073001280,18
01073001180,18
01073001260,20
01073005080,15
01073005180,15
01073005190,15
01073005150,15
01073001230,18
01073004240,18
01117000017,16
01073004190,20
01073004230,20
01075001601,5
01073005250,15
01073005140,15
01073005090,15
01117000028,15
01073004140,15
01117000011,15
01117000001,15
01117000002,15
01115000030,11
01115000023,11
01001000016,30
01001000013,30
01001000007,30
01001000004,30
01075002201,5
01075000201,5
01057000801,5
01057000101,5
01057001701,5
01057000401,5
01057001801,5
01057001901,5
01057000601,5
01057001401,5
01115000014,11
01117000003,15
01117000004,15
01115000016,11
01117000005,15
01121000006,11
01121000010,11
01115000013,11
01115000012,11
01121000014,11
01057000901,5
01057001301,5
010330010-2,6
01059000012,6
01127000020,5
01127000041,5
01115000019,11
01133000004,4
01127000011,5
01127000019,5
01121000005,11
01121000004,11
01121000011,12
01121000012,12
01121000007,12
01121000001,11
01121000003,12
01127000012,5
01127000014,5
01061000012,29
01029000106,13
01029000301,13
01029000105,13
01029000405,13
01029000201,13
01127000021,5
01127000013,5
01015000011,12
01015000010,12
