GEOID20,District
04001000040,2
04001000145,2
04001000150,2
04001000200,2
04001000140,2
04001000190,2
04001000135,2
04001000110,2
04001000155,2
04001000090,2
04001000210,2
04001000175,2
04001000010,2
04001000055,2
04001000170,2
04001000105,2
04001000015,2
04001000195,2
04001000035,2
04001000115,2
04001000080,2
04001000125,2
04001000085,2
04001000215,2
04001000075,2
04001000060,2
04001000065,2
04001000025,2
04001000185,2
04001000130,2
04001000095,2
04001000020,2
04001000030,2
04001000165,2
04001000205,2
04001000160,2
04001000180,2
04001000045,2
04001000050,2
04001000120,2
04001000070,2
04001000005,2
04001000100,2
04003000023,6
04003000007,6
04003000047,6
04003000022,6
04003000025,6
04003000008,6
04003000048,6
04003000049,6
04003000021,6
04003000003,6
04003000001,6
04003000002,6
04003000024,6
04003000046,6
04003000044,6
04003000035,6
04003000045,6
04003000011,7
04003000012,7
04003000006,7
04003000010,7
04003000009,7
04003000018,7
04003000031,6
04003000016,6
04003000039,6
04003000028,6
04003000034,6
04003000029,6
04003000042,6
04003000030,6
04003000036,6
04003000026,6
04003000038,6
04003000041,6
04003000040,6
04003000032,6
04003000027,6
04003000043,6
04003000037,6
04003000033,6
04003000014,6
04005000005,2
04005000004,2
04005000015,2
04005000001,2
04005000011,2
04005000002,2
04005000014,2
04005000055,2
04005000008,2
04005000016,2
04005000019,2
04005000017,2
04005000092,2
04005000026,2
04005000018,2
04005000025,2
04005000024,2
04005000063,2
04005000012,2
04005000013,2
04005000022,2
04005000062,2
04005000023,2
04005000020,2
04005000010,2
04005000021,2
04005000007,2
04005000009,2
04005000006,2
04005000084,2
04005000003,2
04005000085,2
04005000052,2
04005000050,2
04005000086,2
04005000051,2
04005000080,2
04005000083,2
04005000041,2
04005000053,2
04005000082,2
04005000098,2
04005000099,2
04005000058,2
04005000075,2
04005000067,2
04005000073,2
04005000072,2
04005000074,2
04005000040,2
04005000079,2
04005000059,2
04005000097,2
04005000056,2
04005000043,2
04005000066,2
04005000060,2
04005000064,2
04005000065,2
04005000047,2
04005000090,2
04005000093,2
04005000042,2
04005000071,2
04005000061,2
04005000095,2
04005000070,2
04005000048,2
04005000094,2
04005000069,2
04005000088,2
04007000051,2
04007000039,2
04007000036,2
04007000038,2
04007000035,2
04007000034,2
04007000033,2
04007000028,2
04007000026,2
04007000031,2
04007000025,2
04007000032,2
04007000029,2
04007000030,2
04007000027,2
04007000037,2
04007000024,2
04007000023,2
04007000013,2
04007000014,2
04007000008,2
04007000054,2
04007000015,2
04007000018,2
04007000017,2
04007000001,2
04007000007,2
04007000016,2
04007000009,2
04007000002,2
04007000004,2
04007000003,2
04007000006,2
04007000012,2
04007000011,2
04007000040,2
04007000010,2
04009000016,2
04009000010,6
04009000009,6
04009000006,6
04009000008,6
04009000017,6
04009000007,6
04009000019,6
04009000018,6
04009000002,6
04009000004,6
04009000005,6
04009000015,6
04009000020,6
04009000014,6
04009000001,6
04009000013,6
04009000021,6
04009000022,6
04011000002,6
04011000001,6
04011000005,6
04011000004,6
04011000007,6
04011000003,6
04011000006,6
04011000008,6
04012000056,9
04012000062,9
04012000057,9
04012000054,9
04012000055,9
04012000051,9
04012000058,9
04012000064,9
04012000060,9
04012000059,9
04012ZZZZZZ,9
04012000052,9
04013000266,1
04013000648,1
04013000082,1
04013000625,1
04013000271,1
04013000540,1
04013000700,1
04013000673,1
04013000086,1
04013000662,8
04013000506,1
04013000666,1
04013000096,1
04013000728,9
04013000303,8
04013000057,8
04013000130,8
04013000013,8
04013000277,8
04013000351,8
04013000347,8
04013000636,8
04013000621,8
04013000153,8
04013000603,8
04013000629,8
04013000054,8
04013000007,9
04013000234,9
04013000740,9
04013000676,8
04013000284,8
04013000270,8
04013000352,8
04013000748,8
04013000701,8
04013000067,9
04013000671,9
04013000288,9
04013000405,9
04013000561,9
04013000316,9
04013000291,9
04013000646,9
04013000464,9
04013000685,9
04013000723,9
04013000727,9
04013000369,9
04013000062,9
04013000524,9
04013000709,9
04013000205,9
04013000704,9
04013000143,9
04013000737,9
04013000420,9
04013000664,9
04013000687,9
04013000658,9
04013000610,9
04013000730,9
04013000209,9
04013000009,9
04013000014,9
04013000731,9
04013000146,9
04013000350,7
04013000574,7
04013000490,9
04013000186,9
04013000538,9
04013000579,9
04013000483,9
04013000713,9
04013000533,9
04013000386,9
04013000404,9
04013000342,9
04013000526,9
04013000371,9
04013000388,9
04013000472,9
04013000176,9
04013000185,9
04013000734,9
04013000037,7
04013000188,7
04013000121,7
04013000219,8
04013000353,8
04013000555,8
04013000006,8
04013000590,8
04013000077,8
04013000002,8
04013000661,8
04013000703,8
04013000023,8
04013000141,8
04013000089,8
04013000059,8
04013000604,8
04013000510,8
04013000177,8
04013000690,8
04013000638,8
04013000745,9
04013000458,8
04013000156,8
04013000637,8
04013000626,8
04013000645,8
04013000125,8
04013000466,8
04013000718,8
04013000497,8
04013000702,8
04013000259,8
04013000401,3
04013000550,3
04013000693,9
04013000710,3
04013000134,3
04013000670,7
04013000495,3
04013000189,7
04013000158,7
04013000016,7
04013000465,7
04013000282,7
04013000493,2
04013000560,8
04013000044,8
04013000090,8
04013000069,8
04013000479,8
04013000340,8
04013000181,9
04013000322,9
04013000528,9
04013000124,9
04013000695,3
04013000644,8
04013000491,3
04013000712,3
04013000585,3
04013000058,3
04013000046,3
04013000434,3
04013000304,1
04013000452,1
04013000440,1
04013000032,1
04013000573,1
04013000587,1
04013000132,1
04013000462,1
04013000019,1
04013000305,1
04013000230,1
04013000318,1
04013000328,1
04013000021,1
04013000652,1
04013000114,1
04013000337,1
04013000329,1
04013000323,1
04013000276,1
04013000480,1
04013000242,1
04013000699,1
04013000592,1
04013000225,1
04013000683,1
04013000438,1
04013000436,1
04013000081,1
04013000432,1
04013000055,1
04013000593,1
04013000514,8
04013000515,8
04013000736,1
04013000175,1
04013000591,8
04013000001,8
04013000742,8
04013000344,8
04013000396,8
04013000393,8
04013000551,8
04013000162,8
04013000421,8
04013000142,8
04013000400,8
04013000015,8
04013000628,8
04013000145,8
04013000072,8
04013000643,8
04013000161,8
04013000251,8
04013000107,8
04013000544,8
04013000133,8
04013000656,8
04013000513,8
04013000500,8
04013000335,8
04013000106,8
04013000623,1
04013000653,1
04013000293,1
04013000199,1
04013000460,1
04013000746,1
04013000449,1
04013000017,1
04013000263,1
04013000478,1
04013000104,1
04013000345,1
04013000580,1
04013000195,1
04013000073,1
04013000390,1
04013000116,1
04013000215,1
04013000473,1
04013000602,1
04013000115,1
04013000733,1
04013000651,1
04013000675,8
04013000214,8
04013000286,8
04013000398,8
04013000212,8
04013000034,8
04013000445,8
04013000260,1
04013000463,1
04013000045,1
04013000110,1
04013000554,1
04013000355,1
04013000609,1
04013000403,1
04013000138,3
04013000387,3
04013000283,1
04013000048,1
04013000123,1
04013000382,1
04013000317,1
04013000339,1
04013000338,1
04013000453,1
04013000261,1
04013000099,3
04013000684,3
04013000482,3
04013000601,3
04013000268,3
04013000392,3
04013000012,3
04013000545,3
04013000407,3
04013000309,3
04013000087,3
04013000424,3
04013000308,3
04013000630,3
04013000678,3
04013000312,3
04013000402,3
04013000313,3
04013000485,3
04013000408,1
04013000027,1
04013000501,1
04013000627,1
04013000248,1
04013000502,1
04013000667,1
04013000152,3
04013000075,3
04013000725,3
04013000448,3
04013000412,3
04013000738,3
04013000221,3
04013000326,3
04013000367,3
04013000389,3
04013000003,3
04013000160,3
04013000433,3
04013000682,3
04013000542,3
04013000582,3
04013000290,3
04013000068,3
04013000103,3
04013000136,3
04013000363,3
04013000184,3
04013000295,3
04013000084,3
04013000720,3
04013000213,3
04013000249,3
04013000475,3
04013000306,3
04013000385,3
04013000204,3
04013000047,3
04013000649,3
04013000620,3
04013000297,3
04013000613,3
04013000102,3
04013000548,3
04013000598,3
04013000697,3
04013000218,3
04013000247,3
04013000274,3
04013000315,3
04013000362,3
04013000300,3
04013000459,3
04013000614,3
04013000092,3
04013000360,3
04013000028,3
04013000008,4
04013000509,4
04013000348,4
04013000607,4
04013000572,4
04013000414,4
04013000739,4
04013000354,4
04013000076,4
04013000394,4
04013000546,4
04013000119,4
04013000237,4
04013000606,4
04013000616,3
04013000229,3
04013000619,3
04013000615,3
04013000617,3
04013000618,3
04013000410,1
04013000570,1
04013000442,1
04013000537,1
04013000633,1
04013000108,1
04013000594,1
04013000314,1
04013000571,1
04013000171,1
04013000505,1
04013000486,1
04013000264,1
04013000240,1
04013000239,1
04013000470,1
04013000559,1
04013000489,1
04013000375,1
04013000577,1
04013000170,1
04013000120,1
04013000070,1
04013000361,1
04013000600,1
04013000534,1
04013000584,1
04013000200,1
04013000660,1
04013000060,1
04013000507,1
04013000272,1
04013000319,1
04013000167,1
04013000722,1
04013000179,1
04013000425,1
04013000411,1
04013000647,1
04013000429,1
04013000531,1
04013000492,1
04013000519,1
04013000399,1
04013000504,1
04013000726,1
04013000041,1
04013000469,1
04013000140,1
04013000747,1
04013000698,1
04013000320,1
04013000413,1
04013000657,1
04013000562,1
04013000549,4
04013000639,4
04013000694,4
04013000689,4
04013000539,4
04013000166,4
04013000427,4
04013000321,4
04013000332,4
04013000224,4
04013000553,4
04013000310,4
04013000197,4
04013000039,4
04013000589,4
04013000743,4
04013000071,4
04013000686,4
04013000207,4
04013000476,4
04013000681,4
04013000581,4
04013000461,4
04013000530,4
04013000135,4
04013000705,4
04013000066,4
04013000085,4
04013000097,4
04013000280,3
04013000498,4
04013000243,4
04013000468,4
04013000233,5
04013000163,5
04013000038,4
04013000022,5
04013000672,4
04013000198,4
04013000634,4
04013000024,4
04013000379,4
04013000688,4
04013000155,4
04013000112,4
04013000252,4
04013000080,4
04013000262,4
04013000365,4
04013000419,4
04013000516,4
04013000307,4
04013000147,4
04013000026,4
04013000383,4
04013000223,4
04013000503,4
04013000111,4
04013000668,4
04013000471,4
04013000118,4
04013000203,4
04013000721,4
04013000543,4
04013000346,4
04013000063,4
04013000227,4
04013000098,4
04013000281,4
04013000217,4
04013000418,4
04013000450,4
04013000532,4
04013000409,4
04013000296,4
04013000496,4
04013000324,4
04013000381,4
04013000010,4
04013000426,4
04013000194,4
04013000091,4
04013000154,4
04013000708,4
04013000187,4
04013000105,4
04013000128,4
04013000289,4
04013000417,4
04013000255,4
04013000569,5
04013000042,5
04013000235,5
04013000508,5
04013000159,5
04013000535,5
04013000595,5
04013000477,5
04013000642,4
04013000287,4
04013000457,4
04013000201,5
04013000094,5
04013000031,5
04013000512,5
04013000624,5
04013000558,5
04013000275,4
04013000222,4
04013000226,5
04013000517,5
04013000650,5
04013000494,5
04013000674,5
04013000563,5
04013000301,5
04013000053,5
04013000729,5
04013000265,5
04013000366,4
04013000568,4
04013000211,5
04013000035,5
04013000083,5
04013000488,5
04013000210,5
04013000178,5
04013000455,5
04013000372,5
04013000735,5
04013000078,5
04013000331,4
04013000165,4
04013000088,4
04013000692,4
04013000202,4
04013000622,4
04013000126,4
04013000254,4
04013000565,4
04013000444,8
04013000049,8
04013000183,8
04013000714,8
04013000250,8
04013000741,8
04013000292,8
04013000168,8
04013000395,8
04013000677,8
04013000180,8
04013000435,8
04013000244,8
04013000149,8
04013000447,8
04013000521,8
04013000285,8
04013000151,8
04013000004,8
04013000191,1
04013000527,1
04013000208,1
04013000377,1
04013000325,8
04013000487,8
04013000716,8
04013000384,8
04013000597,8
04013000706,8
04013000030,8
04013000043,8
04013000430,8
04013000052,8
04013000109,1
04013000547,1
04013000732,1
04013000056,1
04013000064,1
04013000036,1
04013000148,1
04013000596,1
04013000665,1
04013000557,8
04013000536,8
04013000020,8
04013000333,8
04013000334,8
04013000343,8
04013000164,8
04013000368,8
04013000373,1
04013000522,1
04013000599,1
04013000423,8
04013000330,8
04013000033,8
04013000273,8
04013000370,8
04013000655,8
04013000588,8
04013000278,1
04013000018,1
04013000422,1
04013000173,1
04013000131,1
04013000484,1
04013000696,1
04013000428,7
04013000583,7
04013000564,7
04013000174,9
04013000715,9
04013000011,4
04013000079,4
04013000451,4
04013000246,4
04013000711,4
04013000172,4
04013000139,4
04013000632,4
04013000336,4
04013000129,5
04013000357,5
04013000122,5
04013000691,5
04013000669,5
04013000127,5
04013000193,5
04013000253,5
04013000356,5
04013000025,5
04013000241,5
04013000245,5
04013000454,5
04013000446,5
04013000415,5
04013000117,5
04013000144,5
04013000101,5
04013000640,5
04013000443,5
04013000257,5
04013000416,5
04013000157,5
04013000258,5
04013000327,5
04013000511,5
04013000654,5
04013000302,5
04013000518,5
04013000364,5
04013000724,5
04013000061,5
04013000005,5
04013000679,5
04013000586,5
04013000576,5
04013000611,5
04013000612,5
04013000358,5
04013000541,5
04013000523,5
04013000641,5
04013000467,5
04013000299,7
04013000349,2
04013000376,2
04013000238,1
04015000212,9
04015000221,9
04015000205,9
04015000223,2
04015000209,9
04015000202,9
04015000204,9
04015000211,9
04015000214,9
04015000218,9
04015000210,9
04015000216,9
04015000217,9
04015000215,9
04015000206,9
04015000222,9
04015000207,9
04015000219,9
04015000220,9
04015000201,9
04015000203,9
04017000004,2
04017000002,2
04017000008,2
04017000011,2
04017000048,2
04017000020,2
04017000047,2
04017000059,2
04017000024,2
04017000010,2
04017000032,2
04017000045,2
04017000034,2
04017000030,2
04017000046,2
04017000033,2
04017000023,2
04017000057,2
04017000017,2
04017000050,2
04017000019,2
04017000022,2
04017000007,2
04017000001,2
04017000018,2
04017000021,2
04017000053,2
04017000056,2
04017000016,2
04017000005,2
04017000052,2
04017000006,2
04017000051,2
04017000009,2
04017000044,2
04017000026,2
04017000049,2
04017000061,2
04017000054,2
04017000027,2
04017000029,2
04017000058,2
04017000043,2
04017000041,2
04017000025,2
04017000012,2
04017000038,2
04017000036,2
04017000037,2
04017000055,2
04017000014,2
04017000031,2
04017000003,2
04017000015,2
04017000040,2
04017000060,2
04017000028,2
04017000042,2
04017000013,2
04017000035,2
04017000039,2
04019000044,7
04019000045,7
04019000246,7
04019000143,7
04019000245,7
04019000018,7
04019000043,7
04019000042,7
04019000062,7
04019000073,7
04019000078,7
04019000063,7
04019000082,7
04019000064,7
04019000037,7
04019000153,7
04019000036,7
04019000166,7
04019000167,7
04019000075,6
04019000072,6
04019000080,7
04019000096,7
04019000086,7
04019000050,7
04019000047,7
04019000244,7
04019000025,7
04019000022,7
04019000020,7
04019000157,7
04019000026,7
04019000059,7
04019000190,7
04019000236,7
04019000247,7
04019000057,6
04019000154,7
04019000164,6
04019000170,6
04019000067,6
04019000089,6
04019000091,6
04019000099,6
04019000100,6
04019000108,6
04019000107,6
04019000106,6
04019000093,6
04019000103,6
04019000117,7
04019000111,7
04019000189,7
04019000105,7
04019000113,7
04019000053,7
04019000051,7
04019000052,7
04019000196,7
04019000248,7
04019000159,7
04019000160,7
04019000028,7
04019000120,7
04019000119,7
04019000182,6
04019000046,6
04019000039,6
04019000177,6
04019000214,6
04019000118,6
04019000121,6
04019000009,6
04019000174,6
04019000123,6
04019000133,6
04019000197,6
04019000124,6
04019000069,6
04019000180,6
04019000181,6
04019000131,6
04019000243,6
04019000128,6
04019000192,6
04019000130,6
04019000199,6
04019000179,6
04019000220,6
04019000065,6
04019000240,6
04019000112,6
04019000027,6
04019000178,6
04019000126,6
04019000132,6
04019000109,6
04019000221,6
04019000195,6
04019000224,6
04019000198,6
