GEOID20,District
04001000040,6
04001000145,6
04001000150,6
04001000200,6
04001000140,6
04001000190,6
04001000135,6
04001000110,6
04001000155,6
04001000090,6
04001000210,6
04001000175,6
04001000010,6
04001000055,6
04001000170,6
04001000105,6
04001000015,6
04001000195,6
04001000035,6
04001000115,6
04001000080,6
04001000125,6
04001000085,6
04001000215,6
04001000075,6
04001000060,6
04001000065,6
04001000025,6
04001000185,6
04001000130,6
04001000095,6
04001000020,6
04001000030,6
04001000165,6
04001000205,6
04001000160,6
04001000180,6
04001000045,6
04001000050,6
04001000120,6
04001000070,6
04001000005,6
04001000100,6
04003000023,19
04003000007,19
04003000047,19
04003000022,19
04003000025,19
04003000008,19
04003000048,19
04003000049,19
04003000021,19
04003000003,19
04003000001,19
04003000002,19
04003000024,19
04003000046,19
04003000044,19
04003000035,19
04003000013,19
04003000045,19
04003000017,19
04003000020,19
04003000011,19
04003000012,19
04003000010,19
04003000009,19
04003000018,21
04003000031,19
04003000016,19
04003000039,19
04003000028,19
04003000034,19
04003000029,19
04003000042,19
04003000030,19
04003000036,19
04003000026,19
04003000038,19
04003000041,19
04003000040,19
04003000032,19
04003000027,19
04003000043,19
04003000037,19
04003000033,19
04003000014,19
04005000005,6
04005000004,6
04005000001,6
04005000011,6
04005000002,6
04005000055,6
04005000008,6
04005000016,6
04005000017,6
04005000026,6
04005000018,6
04005000025,7
04005000063,7
04005000013,7
04005000022,7
04005000062,7
04005000023,7
04005000020,7
04005000010,7
04005000021,7
04005000007,7
04005000003,6
04005000085,6
04005000052,6
04005000050,6
04005000086,6
04005000051,6
04005000080,7
04005000041,7
04005000053,7
04005000099,7
04005000058,6
04005000075,6
04005000067,6
04005000073,6
04005000072,6
04005000074,6
04005000059,6
04005000097,6
04005000056,6
04005000043,6
04005000066,6
04005000060,6
04005000064,6
04005000065,6
04005000047,6
04005000090,6
04005000093,6
04005000042,6
04005000071,6
04005000061,6
04005000095,6
04005000070,6
04005000048,6
04005000094,6
04005000069,6
04005000088,6
04007000051,7
04007000039,7
04007000036,7
04007000038,7
04007000035,7
04007000034,7
04007000033,7
04007000028,7
04007000026,7
04007000031,7
04007000025,7
04007000032,7
04007000029,7
04007000030,7
04007000027,7
04007000037,7
04007000024,7
04007000023,7
04007000013,7
04007000014,7
04007000008,7
04007000054,7
04007000015,7
04007000018,7
04007000017,7
04007000007,7
04007000016,7
04007000009,7
04007000002,7
04007000004,7
04007000003,7
04007000006,7
04007000011,6
04007000040,6
04007000010,6
04009000016,6
04009000010,19
04009000009,19
04009000006,19
04009000008,19
04009000017,19
04009000007,19
04009000019,19
04009000003,19
04009000018,19
04009000002,19
04009000004,19
04009000005,19
04009000015,19
04009000020,19
04009000014,19
04009000001,19
04009000013,19
04009000021,19
04009000022,19
04011000002,19
04011000001,19
04011000005,19
04011000004,19
04011000007,19
04011000003,19
04011000006,19
04011000008,19
04012000056,30
04012000062,30
04012000057,30
04012000054,30
04012000055,30
04012000051,30
04012000058,30
04012000064,30
04012000060,30
04012000059,30
04012ZZZZZZ,30
04012000052,30
04013000082,3
04013000625,3
04013000271,3
04013000540,3
04013000700,3
04013000673,3
04013000086,3
04013000506,3
04013000666,3
04013000096,3
04013000303,28
04013000057,28
04013000130,28
04013000013,28
04013000277,28
04013000347,28
04013000636,28
04013000153,28
04013000603,28
04013000629,28
04013000054,28
04013000234,25
04013000740,29
04013000676,29
04013000284,29
04013000270,29
04013000352,28
04013000748,28
04013000701,28
04013000067,29
04013000671,25
04013000288,25
04013000029,25
04013000405,25
04013000561,25
04013000316,25
04013000291,25
04013000646,25
04013000685,25
04013000723,25
04013000727,25
04013000062,25
04013000524,23
04013000709,25
04013000205,25
04013000065,23
04013000420,25
04013000664,25
04013000687,25
04013000658,29
04013000610,29
04013000730,29
04013000209,29
04013000009,29
04013000014,29
04013000731,29
04013000350,22
04013000574,22
04013000186,29
04013000579,29
