GEOID20,District
060590635005,47
060590635003,47
060590635002,47
060590635001,47
060590635004,47
060590626431,47
060590626562,47
060590626436,47
060590626437,47
060590626432,47
060590626435,47
060590626454,47
060590626453,47
060590626451,47
060590626434,47
060590626561,47
060590626321,47
060590626554,47
060590626552,47
060590626553,47
060590626551,47
060590626147,47
060590525181,47
060590525321,47
060590525324,47
060590525133,47
060590525132,47
060590525061,47
060590626391,40
060590626332,40
060590626382,40
060590626381,40
060375990004,42
060375990002,42
060375990001,42
060375991002,42
060375990003,42
060590626563,47
060590626482,40
060590626393,40
060590626392,40
060590626402,40
060590626394,40
060590626383,40
060590626054,47
060590626052,47
060590626194,47
060590626053,47
060590626363,40
060590626361,40
060590423344,49
060590423343,49
060710002033,35
060710003053,35
060710002073,35
060710003052,35
060710003061,35
060710002072,35
060710002071,35
060710002031,35
060590423352,49
060590423281,40
060590423332,40
060590320222,40
060590320134,40
060590626193,47
060590626323,47
060590626191,47
060590423233,49
060590423242,49
060590320023,40
060590320031,40
060590320282,40
060590320022,40
060590320224,40
060590320131,40
060590320133,40
060590320591,49
060590320593,49
060590320573,49
060590320595,49
060590320572,49
060590320571,49
060590320393,40
060590320392,40
060590320481,40
060590320474,40
060590524233,40
060590524281,40
060590524271,40
060590524272,40
060590320594,49
060590320662,49
060590320654,49
060590320534,49
060590320653,49
060590320666,49
060590320652,40
060590320451,40
060590320381,40
060590320533,40
060590320651,40
060590320665,49
060590320464,40
060590320461,40
060590320452,40
060590320463,40
060590320411,40
060590320431,40
060590320432,40
060590320421,40
060590320112,40
060590626201,47
060590626192,47
060590626322,47
060590626324,47
060650430101,41
060650430103,41
060650430032,41
060650432722,48
060650464033,41
060650464032,41
060650432712,41
060590423171,49
060590423172,49
060590423293,49
060590423252,49
060590423261,49
060590423262,49
060590423191,49
060590423192,49
060590423361,49
060730187001,49
060730190011,49
060650464051,41
060650464031,41
060650497022,48
060650497023,48
060650427332,41
060650427142,41
060650427161,41
060650427141,41
060650427162,41
060650497021,48
060650506003,48
060650506001,48
060650432273,48
060650506004,48
060650506005,48
060650498001,48
060650432293,48
060650432271,48
060650432761,41
060650432792,41
060650498002,48
060650432061,48
060650432065,48
060650432114,48
060650503021,48
060650432113,48
060650432101,48
060650503023,48
060650505022,48
060650432102,48
060650505011,48
060650432092,48
060650503011,48
060650432091,48
060650432962,48
060650503012,48
060650432951,41
060650427381,41
060650427392,41
060650432941,41
060650432942,41
060650432952,41
060650432953,41
060650432051,41
060650432052,41
060650432043,41
060650432042,41
060650427453,41
060650432921,48
060650433042,41
060710121062,23
060650444071,41
060650444072,41
060650444052,41
060650448072,41
060650451253,41
060650451254,41
060650451092,41
060650456101,25
060650456162,25
060650456122,25
060650456102,25
060650469003,25
060650456121,25
060590423362,49
060590423291,49
060590423154,49
060590423153,49
060590423155,49
060590320221,49
060590320223,40
060590423414,49
060590422011,49
060590423122,49
060590423111,49
060710104251,23
060590320611,49
060590320614,49
060590320613,49
060590320612,49
060590320581,49
060590320583,49
060590320582,49
060590320592,49
060590421081,49
060590421062,49
060590421072,49
060590421071,49
060590421084,49
060659810001,25
060650469001,25
060650469002,25
060650459001,25
060650470001,25
060650462002,25
060650461021,25
060650461011,25
060650461032,25
060650470002,25
060650459002,25
060759804011,11
060590320664,49
060590320663,49
060590320661,49
060590320633,49
060730099011,50
060250124001,25
060259400003,25
060250101011,25
060250119032,25
060250124003,25
060650456123,25
060250102001,25
060250123023,25
060250124002,25
060250123011,25
060650456182,25
060250123021,25
060650456191,25
060650456183,25
060650456181,25
060650456192,25
060250123012,25
060730210013,48
060730210021,48
060730210022,48
060730211021,48
060730211013,48
060730209044,48
060650432922,48
060650432032,48
060650432463,48
060650432461,48
060650432011,48
060650432182,48
060650432012,48
060730190021,48
060650432542,48
060650432523,48
060730191082,48
060650432031,48
060650432183,48
060650432181,48
060650432672,48
060650432983,48
060650432981,48
060650496001,48
060650505013,48
060650505012,48
060650432221,48
060650432222,48
060650496004,48
060650496003,48
060650505033,48
060650496002,48
060650505021,48
060650432162,48
060650512001,48
060650505032,48
060650505031,48
060730171062,50
060650432541,48
060650512003,48
060730186192,49
060590421164,49
060590421151,49
060590421083,49
060730188034,48
060730188033,48
060730188032,48
060730186011,49
061119800001,24
060839801001,24
060375991001,42
060839900000,24
060590423372,49
060590423371,49
060590423373,49
060590423312,49
060590423124,49
060590423303,49
060590423301,49
060590423321,49
060590423323,49
060590423322,49
060590423173,49
060590423311,49
060590423135,49
060590423133,49
060590423131,49
060590423134,49
060590423292,49
060590423313,49
060590423304,49
060590423302,49
060590422036,49
060590422052,49
060590423382,49
060590423391,49
060590423381,49
060590626202,47
060590423232,49
060590423234,49
060590423392,49
060590423231,49
060590423132,49
060590421141,49
060590421142,49
